,Rating
NICK THOMPSON,1820.9511703794042
KONTIDES PAVLOS,1917.694013399352
CLEMENTE SEGUEL LACAMARA,1685.2397941095865
TONCI STIPANOVIC,1904.876968387362
TOM BURTON,1824.2230492567803
PHILIPP BUHL,1912.1917819421546
ANDY MALONEY,1660.8908503426958
CHRISTOPHER BARNARD,1728.9536789192696
MICHAEL BECKETT,1890.0020949204275
THOMAS SAUNDERS,1858.699900218037
JEAN-BAPTISTE BERNAZ,1828.147404898571
MATT WEARN,1853.707225347908
HANSON ELLIOT,1883.9257121107387
STEFANO PESCHIERA,1823.6518677398162
FRANCESCO MARRAI,1687.3949912478754
BRUNO FONTES,1713.9268265557705
FILIP JURISIC,1856.9708869749604
SAM MEECH,1799.7453607364528
JESPER STALHEIM,1740.6140372129626
ROBERT SCHEIDT,1699.1808639990309
LYNCH FINN,1811.60128790996
GEORGE GAUTREY,1766.1774180311536
RUTGER VAN SCHAARDENBURG,1681.0259026490999
TAPPER KAARLE,1721.2546652229662
NICHOLAS HEINER,1649.7826960250907
MATHEUS DELLAGNELO,1544.8884855355864
FRANCISCO RENNA,1596.8613155841283
FRANCISCO GUARAGNA RIGONAT,1714.8137751486317
JONATAN VADNAI,1814.455649808751
MATHIAS MOLLATT,1663.1153942791427
JULIO ALSOGARAY,1677.0692864191037
SERGEY KOMISSAROV,1739.2528265567337
PHILIPP ANDREAS GROCHTMANN,1583.3128331166463
JOEL RODRIGUEZ,1793.0182885333393
JUAN IGNACIO MAEGLI,1759.702437085767
GALLO MARCO,1603.428843732289
MATIAS DYCK,1565.099612245132
SAM WHALEY,1743.9476846544671
NIK AARON WILLIM,1769.1646223170499
WANNES VAN LAER,1725.3250462756487
CHARLIE BUCKINGHAM,1784.197000428008
ZAC LITTLEWOOD,1600.8235282607095
LORENZO BRANDO CHIAVARINI,1859.7663678838555
JOAO PEDRO OLIVEIRA,1619.9955416770001
TOMASGAARD HERMANN,1838.722830396751
JUAN PABLO CARDOZO,1598.7106634641034
ETHAN MCAULLAY,1700.4437606334998
ELLIOTT LUKE,1780.1653109577815
FACUNDO MARIO OLEZZA BAZAN,1628.5751361996508
JOAQUIN BLANCO,1805.458560610017
JUAN IGNACIO BIAVA,1530.764855081252
WILLIAM DE SMET,1770.3783071396997
KRISTIAN RUTH,1632.5036403146762
BOS DUKO,1796.7203118930643
RENZO SANGUINETI,1565.4496066645713
JEEMIN HA,1725.5951149191255
FELIPE FRAQUELLI,1539.5413080465412
JEREMY O'CONNELL,1612.8532670144343
DANIEL WHITELEY,1696.3961615013395
STEFANO VIALE,1537.994706140559
AGUSTIN VIDAL,1515.577710577256
KACPER ZIEMINSKI,1623.626945326109
NIELS BROEKHUIZEN,1729.132987541017
RAMMO KARL-MARTIN,1639.9606362734041
GIOVANNI COCCOLUTO,1725.3826358093086
PEDRO MADUREIRA,1507.32249199153
CHEVRIER LUC,1562.8235632953697
MATHIAS REIMER,1529.5999523704215
FINN ALEXANDER,1793.4950623022219
JACK WETHERELL,1669.0986333929163
RYAN LO,1747.7612263220885
ANDRE PASSOW,1527.3884855355864
ELIOT MERCERON,1677.2678971144735
GUSTAVO CORREA NASCIMENTO,1508.4991654261344
BENGTSON EMIL,1714.480181047042
ANTONY MUNOS,1585.3003806196577
RYAN PALK,1567.1602026789838
ERICK CARPES,1516.0589727283107
PHILIP WALKENBACH,1579.3674703196384
MICHAEL BULLOT,1562.022354474778
FELIPE RONDINA,1522.3884855355864
ANDRES CLOOS,1433.571019213002
GEORGIOS PAPADAKOS,1569.6874724280058
COLIN CHENG,1601.1536712313425
MITCHELL KENNEDY,1688.9289005893124
GABRIEL MEDEIROS KONIGSFELD,1519.8884855355864
JUST VAN AANHOLT,1542.196917117114
CITAK YIGIT YALCIN,1694.9275121624469
ALESSIO SPADONI,1660.8650207762987
RICARDO SEGUEL LACAMARA,1439.4121432612899
DUKIC MILIVOJ,1752.1318147566872
EDUARDO MARQUES,1761.1716568498596
MARCO BENINI,1562.2958842831974
ANDREW MCKENZIE,1650.5204394145449
JOSE AFONSO HACKEROTT,1514.8884855355864
MAURO PRETTO,1527.5976021085758
ABAY BERKAY,1642.178450207761
GUSTAVO LIMA,1566.343870661763
DIMITRIS PAPADIMITRIOU,1616.412989841379
NICK GRAEL,1512.3884855355864
BENJAMIN VADNAI,1748.8009476096086
ENRIQUE ARATHOON,1709.1247014243604
ANDREW LEWIS,1497.0739882092175
MATIAS PONCELL,1509.8884855355864
VIKTOR TEPLY,1665.1258312630857
MATEO MALDONADO,1417.0198993182694
GEISON MENDES,1507.3884855355864
MATIAS KIBURG,1522.2120453930243
ALEJANDRO CLOOS,1492.8952520804091
ROBERT DAVIS,1658.0354088833242
NELSON ALENCASTRO,1504.8884855355864
CISZKIEWICZ FILIP,1551.3064640882947
MATIAS BLANCO,1492.5295609636046
ENRICO STRAZZERA,1510.9218111353334
ALEXANDRE BOITE,1666.8956408845431
STEFANO CAIAFA,1450.4821238792492
PEDRO PAULO PINTO,1518.8222148845493
THEODOR BAUER,1580.72139596225
DANIEL MIHELIC,1541.8282103917547
SEBASTIAN LERI,1479.363547442753
PERONI DIMITRI,1667.3217485668335
ZELKO ZAN LUKA,1685.4263235034746
FRANCISCO V. RUSCHEL,1499.8884855355864
JUAN PABLO BISIO,1566.5506652635952
JANULIONIS KAROLIS,1517.9791574553974
ANTONIO ABREU CUNHA BONITO,1463.275096730003
BARABINO CESARE,1533.3011964367226
ADRION JOSE BURGOS SANTOS,1497.3884855355864
ANDRES HEREDIA,1515.4323843760747
ANDREY DE OLIVEIRA GODOY,1494.8884855355864
SANTIAGO RIGONI,1513.7374691218372
EWAN MCMAHON,1645.2944767821841
PARKHILL LEE,1575.330778004437
JUAN MARTIN OUTEIRO,1480.7648550812514
TOMAS PELLEJERO,1550.046355357574
ALEX MILLS BARTON,1532.822447989414
THOMPSON CY,1564.9382045404518
LUCAS BUENO,1431.6906204196168
ENRIQUE FELIU,1445.1101575981527
JOHAN LUNDGAARD SCHUBERT,1601.689792108264
VISHNU SARAVANAN,1672.5619455858773
FEDERICO SIEBERT FRANCAVILLA,1489.8884855355864
ANTONIO CAVALCANTI ROSA,1510.3476386133625
HUMMEL YURI,1618.4552630821308
BRUNO GRUNWALDT,1474.8825021400748
ADONIS BOUGIOURIS,1592.6865068514328
ANTONIOS BOUGIOURIS,1484.1768968776266
NICOLO VILLA,1571.4725739813148
ANTONIO GANDOLPHO,1487.3884855355864
DENNIER INFANTE PUPO,1508.652723359125
NIKOLAEV MAXIM,1619.391058478407
HENRY MARSHALL,1583.6856912690646
TOMAS VARELA,1437.062276779682
JULIAN HOFFMANN,1602.2283007573278
KHAIRULNIZAM MOHD AFENDY,1610.095938637186
ARTURO MITNIK,1447.1881091398375
IGNACIO MORAGA SCHMIDT,1484.2366734834973
ANDRES RUVERTONI,1469.0001491988983
NOOA LAUKKANEN,1587.9516161840013
NAUJOCK NICO,1561.615431943199
RICARDO JOSE CHEBAR,1482.3884855355864
DIEGO SILVESTRE PEREZ,1505.2628928506504
BOWERS ERIK,1512.8652715333242
KARIM FILLAH,1587.4110410022945
ARIEL ZERPA,1466.05897272831
TOMASGAARD UFFE,1591.3428951852254
MICHAEL HANSEN,1559.263596724999
SAM VANDORMAEL,1500.0258496923443
AGUSTIN PASCUAL,1503.567977596413
JUAN GRUNWALDT,1463.1177962577217
UUSITALO VALTTERI,1673.1454881055472
SCHADEWALDT TOBIAS,1544.1557812045087
ALVARO ANTONIO C. BASTOS,1477.3884855355864
RUI SILVEIRA,1531.9504138081
LORENZO MAYER,1523.4272318665592
SAMPAIO SANTIAGO,1570.252953184945
JOAN CARDONA MENDEZ,1580.258488051066
NICHOLAS BEZY,1571.9435207799827
ALCIR CACHAPUZ,1474.8884855355864
RAMON FRENE,1500.1781470879382
MATEO VIDAL,1457.2354433165451
JOAO PEDRO A. DE CARVALHO,1472.3884855355864
PIERO CASTANEDA,1498.4832318337008
GABRIEL MARTIN,1454.2942668459568
