,Rating
"WILLIAM JONES, EVAN DEPAUL",1473.9892434328915
"DOMINIK BUKSAK, SZYMON WIERZBICKI",1643.9462239924767
"BLAIR TUKE, PETER BURLING",1644.880783259961
"DIEGO BOTIN, FLORIAN TRITTEL PAUL",1588.8496671077858
"RYAN SEATON, MATT MCGOVERN",1555.0498205793365
"FYNN STERRITT, JAMES PETERS",1616.3858410880302
"YAGO LANGE, KLAUS LANGE",1608.177686226856
"DYLAN FLETCHER, STUART BITHELL",1646.5954428162368
"CLEMENT PEQUIN, ERWAN FISCHER",1604.9719147877372
"LOGAN BECK, OSCAR GUNN",1620.8165709201294
"BART LAMBRIEX, FLORIS VAN DE WERKEN",1604.4087353937232
"SIME FANTELA, MIHOVIL FANTELA",1621.7055181783646
"DIEGO BOTIN, IAGO LOPEZ MARRA",1677.192614987332
"TIM FISCHER, FABIAN GRAF",1614.456322137394
"NATHAN OUTTERIDGE, IAIN JENSEN",1583.7688446986274
"DANE WILSON, SCOTT EWING",1513.9075705297987
"MAXIMILIANO AGNESE, NEVIN SNOW",1534.8176709431764
"JONAS WARRER, CHRISTIAN PETER STEPHENSEN LUBECK",1544.8131031408707
"JIM COLLEY, SHAUN CONNOR",1569.0957570961282
"ERIK HEIL, THOMAS PLOESSEL",1631.560285510895
"HANS HENKEN, IAN BARROWS",1581.0234900957385
"TOM BURTON, MAX PAUL",1509.8484436137298
"ARNO DE PLANTA, SEBASTIEN SCHNEITER",1527.6979757485947
"MATHIEU FREI, NOE DELPECH",1569.0122617337975
"NICO DELLE - KARTH, NIKOLAUS RESCH",1578.3979283126462
"BENJAMIN BILDSTEIN, DAVID HUSSL",1636.4575407227853
"WILL PHILLIPS, SAM PHILLIPS",1577.0327554928663
"MIKOLAJ STANIUL, JAKUB SZTORCH",1571.244837939846
"DANTE BIANCHI, THOMAS LOW-BEER",1505.4082095590525
"ISAAC MCHARDIE, WILLIAM MCKENZIE",1605.759163755773
"FREDERIK RASK, JAKOB PRECHT JENSEN",1578.8628169490116
"JOSH POREBSKI, TRENT RIPPEY",1567.5261801071924
"FEDERICO ALONSO TELLECHEA, ARTURO ALONSO TELLECHEA",1580.0686214446325
"DYLAN FLETCHER, ALAIN SIGN",1566.8019946968263
"CARL SYLVAN, MARCUS ANJEMARK",1583.4976458648625
"DON WHITCRAFT, DYLAN WHITCRAFT",1434.5480833803554
"DAVID GILMOUR, JOEL TURNER",1552.0740573666824
"DAVID GILMOUR, RHYS MARA",1520.4339946402956
"ANDERS THOMSEN, JONAS WARRER",1548.544328110468
"LUKASZ PRZYBYTEK, JACEK PIASECKI",1574.0166079421424
"LUKASZ PRZYBYTEK, PAWEL KOLODZINSKI",1649.2241782132971
"TOMASZ JANUSZEWSKI, JACEK NOWAK",1558.73384890522
"JONAS WARRER, JAKOB PRECHT JENSEN",1584.0116980078822
"OLIVER MANTON, BILLY GOODFELLOW",1505.9075705297987
"JOHN PINK, STUART BITHELL",1570.982395303034
"EMILE AMOROS, LUCAS RUAL",1596.6456283965317
"MARCUS HANSEN, JOSH POREBSKI",1524.6217122380422
"TOM PELSMAEKERS, YANNICK LEFEBVRE",1610.8061155850573
"JUSTUS SCHMIDT, MAX BOEHME",1599.6161645313175
"ANDREW MOLLERUS, IAN MACDIARMID",1614.8081734501923
"SEBASTIEN SCHNEITER, LUCIEN CUJEAN",1578.6491336134484
"RYAN WOOD, ANDREW WOOD",1470.6085978521369
"NOAH LYONS, JOHN MICHEL",1497.9075705297987
"DUNNING BECK LOGAN, OSCAR GUNN",1518.67434517245
"ANDREAS SPRANGER, JAKOB MEGGENDORFER",1571.2849361387837
"UBERTO CRIVELLI VISCONTI, GIANMARCO TOGNI",1544.1697780039547
"BART LAMBRIEX, PIM VAN VUGT",1556.6040521348868
"JOSE PEDRO CHIFFLET, FEDERICO RADOVITZKY",1493.9075705297987
"DAVE EVANS, ED POWYS",1498.0930242449726
"UBERTO CRIVELLI VISCONTI, LEONARDO CHISTE",1515.744776826518
"DYLAN JONES, EDWARD COLEMAN",1489.9075705297987
"PAVLE KOSTOV, PETAR CUPAC",1541.0916487526188
"ERWAN FISCHER, YOUENN BERTIN",1517.070665835952
"DAVID GILMOUR, LEWIS BRAKE",1536.683139028772
"ZAIDING WEN, TIAN LIU",1520.8579702077664
"ROBERT DICKSON, SEAN WADDILOVE",1519.2895973438365
"JORGE LIMA, JOSE COSTA",1580.027711540854
"NATHAN HOUSBERG, MALCOLM LAMPHERE",1485.9075705297987
"KENJI TAKAHASHI, YUKIO MAKINO",1524.531994748328
"MARCO GRAEL, GABRIEL BORGES",1570.9047103574146
"JONAS WARRER, MARCUS LANGAGERGAARD",1516.1641723383839
"JULIEN D'ORTOLI, NOE DELPECH",1551.1067319684846
"DANIEL NYBORG, SEBASTIAN WRIGHT OLSEN",1495.5133060494675
"JOEL TURNER, THOMAS NEEDHAM",1564.9463234668128
"ALEXANDER KOSCHATE, REECE PILLINGER",1481.9075705297987
"HANNES WESTBERG, ALBIN BOMAN",1548.1695302119786
"CARL SYLVAN, OTTO HAMEL",1522.8615013050783
"JACOPO PLAZZI, UMBERTO MOLINERIS",1538.8920844919303
"CARLOS ROBLES, MARCO GRAEL",1531.083255775364
"KEVIN FISCHER, YANN JAUVIN",1555.8337989550444
"UBERTO CRIVELLI VISCONTI, GIULIO CALABRO",1545.5125800343299
"MAXIME BACHELIN, ARNO DE PLANTA",1512.2720867344826
"ROBERT SCHEIDT, GABRIEL BORGES",1512.9827238422945
"MADS EMIL LUBECK, NIKOLAJ HOFFMANN BUHL",1574.8730756073273
"CHRIS TAYLOR, RHOS HAWES",1548.5929303876542
"MATHIEU FREI, YANN ROCHERIEUX",1508.5858601673751
"RUGGERO TITA, PIETRO ZUCCHETTI",1538.3824279415683
"JACK HAWKINS, CHRISTOPHER THOMAS",1531.4156216633112
"SIMONE FERRARESE, LEONARDO CHISTE",1549.5105463851871
"KEVIN FISCHER, NOE DELPECH",1532.8306442882795
"UBERTO CRIVELLI VISCONTI, N/A",1514.535314313457
"FREDERIK RASK, NIKOLAJ HOFFMANN BUHL",1503.1671433029278
"FRITIOF HEDSTROM, OTTO HAMEL",1525.0554105032522
"FERNANDO DIZ, HERNAN UMPIERRE",1522.4248807012195
"NICLAS DURING, VICTOR BERGSTROM",1515.7803891886965
"HENRY OTTO, DAVEY MILES",1490.5062429680875
"MAXIMILIAN STINGELE, LINOV SCHEEL",1484.339477685253
"JAMES PETERS, RHOS HAWES",1508.63697120973
"CARLOS PAZ BLANCO, ANTON PAZ",1529.4545238482704
"KLAUS LANGE, YAGO LANGE",1507.8453414950686
"IAN CHEKH, IVAN ZOTOV",1511.9688147901943
"JACOPO PLAZZI MARZOTTO, ANDREA TESEI",1547.5747054558567
"WILLIAM PHILLIPS, IAIN JENSEN",1528.0421548498764
"JOAKIM SALSKOV-IVERSEN, MARKUS OLIVER NIELSEN",1499.1389178901795
"ERWAN FISCHER, THIBAULT JULIEN",1514.3895025378301
"DICKSON ROBERT, N/A",1511.24891224543
"DANIEL NYBORG, NIKOLAJ HOFFMANN BUHL",1508.2296588972533
"KEANU PRETTNER, JAKOB FLACHBERGER",1514.5063734709247
"NIKLAS ENGELMANN, JUSTUS MICKAUSCH",1496.9208775963705
"JOEL TURNER, LEWIS BRAKE",1501.1742675425992
"ANDRES BARRIO, ANTONIO TORRADO MARTINEZ",1532.7091988585423
"ANDREA TESEI, STEFANO CHERIN",1536.685535329484
"UBERTO CRIVELLI VISCONTI, UMBERTO MOLINERIS",1509.59289333382
"ALBIN BOMAN, SIMON ALM",1508.4720495537917
"VICTOR BERGSTROM, VICTOR VASTERNAS",1506.683646527042
"JUSTUS SCHMIDT, THOMAS PLOSSEL",1512.926653889132
"PIM VAN VUGT, SCIPIO HOUTMAN",1536.781980775648
"RYAN SEATON, SEAFRA GUILFOYLE",1547.1687539565846
"MANU DYEN, STEPHANE CHRISTIDIS",1518.1271368914881
"FRITIOF HEDSTROM, VICTOR VASTERNAS",1512.5007796000532
