,Rating
BOUWMEESTER MARIT,1664.1449854023167
ERICK CARPES,1550.4987249762669
AGATA BARWINSKA,1681.0328898758578
EVI VAN ACKER,1627.3347064671445
TUULA TENKANEN,1659.67267652128
ANNE-MARIE RINDOM,1716.7079764124207
SARAH DOUGLAS,1628.8452755034914
MARIA ERDI,1650.7874293093105
ALISON YOUNG,1663.1809638325124
EMMA PLASSCHAERT,1711.490375098972
DOLORES MOREIRA FRASCHINI,1569.259496647828
JUAN PABLO CARDOZO,1519.8653420430378
DONGSHUANG ZHANG,1566.670302938285
LUCIA FALASCA,1607.179675532135
MAUD JAYET,1673.6588575622905
VASILEIA KARACHALIOU,1640.501862092575
GINTARE SCHEIDT,1575.4333244736167
OLSSON JOSEFIN,1668.1999650891219
HANNAH SNELLGROVE,1616.891138905916
ZOE THOMSON,1565.4905571243805
PAIGE RAILEY,1634.4317124707657
MAXIME JONKER,1691.6550400280744
MONIKA MIKKOLA,1627.6115840671566
GUSTAVO CORREA NASCIMENTO,1533.7558582809377
FELIPE FRAQUELLI,1536.9672663022209
VIKTORIJA ANDRULYTE,1609.5024445897934
MARIE BARRUE,1621.5369014002893
GABRIELLA MARQUES KIDD,1508.8876458920206
ERIKA REINEKE,1634.347710729117
IMENEO CASEY,1559.2098117398107
MANAMI DOI,1636.4727336664976
FLEM HOST LINE,1641.1548073096967
MATHILDE DE KERANGAT,1624.5831662166315
LOUISE CERVERA,1635.9815498475996
MATILDA NICHOLLS,1566.8423787672496
CHIARA BENINI FLORIANI,1587.0296826667632
SANTIAGO PACHECO,1518.0979003467519
LUCIANA ANDREA CARDOZO,1548.272279819861
MARTINA REINO CACHO,1539.6259862792544
FLORENCIA CHIARELLA,1544.725986702264
VERONIKA KOZELSKA FENCLOVA,1568.972454266242
ANNALISE MURPHY,1522.0964572376092
SARAH GUNNI SCHIERUP,1560.042099900634
ANNA MUNCH,1606.5906743097753
CHARLOTTE ROSE,1540.7795599321908
MARA STRANSKY,1609.8029138730592
BOWSKILL BRENDA,1558.0035515646018
MAGDALENA KWASNA,1547.7634994840248
JULIA BUESSELBERG,1573.6495494065014
MAITE CARLIER,1564.2622062042997
STEFANO PENDOLA,1521.7229057536158
COLLINGRIDGE DAISY,1565.2989609756773
XU LIJIA,1514.386578028791
SILVIA ZENNARO,1614.38084649842
PEDRO MADUREIRA,1533.1131458645511
HANNAH ANDERSSOHN,1535.0356403280955
THOMAS POTTHOFF,1519.5399126142777
MICHON PERNELLE,1626.5752758421759
GOLEBIOWSKA WIKTORIA,1533.8680511556279
DAPHNE VAN DER VAART,1614.5723276069164
TATIANA DROZDOVSKAYA,1583.725001838377
JOSE IRINEU SILVA,1516.4762787251307
NAZLI CAGLA DONERTAS,1589.4228643446572
TIRIL BUE,1523.3943696201834
ELENA VOROBEVA,1571.111521222492
AKKERMAN MIRTHE,1636.0822479553328
POVALL GEORGINA,1575.2885464215715
JULIAN MARIA DUARTE ARGERICH,1515.3608100150154
ASHLEY STODDART,1540.3686992057462
ALBANO CAROLINA,1566.5579741443687
PAULINE LIEBIG,1536.3491096248251
LUCAS VIDELA,1516.1444118104798
FRANCISCO MAROTTA,1524.7615369713096
AINSWORTH ELYSE,1569.557515218256
ECEM GUZEL,1582.8206225822335
FELIPE RONDINA,1514.8546571035095
CRISTINA PUJOL,1525.2135326576515
JOAQUIN GALVAN,1507.1083486613772
SARA WINTHER,1543.601565885192
SVENJA WEGER,1589.5441809645865
MATHIAS REIMER,1514.314116562969
TEO BERTOT,1515.2141792523405
SOPHIE ZIMMERMANN,1511.3752393145965
MARIE BOLOU,1604.5334110161778
AMELIE RIOU,1521.8533143087482
ELIZABETH YIN,1521.2391138961173
TINA MIHELIC,1550.2893438627877
GINAID ODILE,1509.7640479217096
ULISES GOMEZ LACCHINI,1514.7490629732708
ANTONIO MACHADO,1511.9062234563173
ALICIA CEBRIAN,1540.788546177644
SARA CARMO,1505.9442808868896
MOHDMAD LATIF NUR SHAZRIN,1509.4973642658833
LUCAS ZORZI,1513.233035481888
FEDERICA CATTAROZZI,1512.808865717095
CATERINA ISABEL ROMERO AGUIRRE,1524.2929847672156
ISABELLA BERTOLD,1524.6477908515756
SANDRA LULI,1520.1637046633252
MARIA CRISTINA BOABAID,1525.1137059870193
GUSTAVO KIESSLING,1522.7245904327922
AGUSTIN GONZALEZ VILLALBA,1512.777344946053
ISADORA DAL RI,1517.8300677564123
FACUNDO MAC GOWAN,1513.3537141360614
FRANCISCO GOMEZ,1511.4719211261265
MARILENA MAKRI,1513.256929672782
EVE MCMAHON,1531.7924267777275
RODRIGO LUZ,1511.6114138602668
STEFANO CAIAFA,1517.718721803556
CRISTINA CASTELLANOS ESTRADA,1494.8967210148649
CHLOE MARTIN,1517.3125026213904
NICK GRAEL,1511.0708733197264
AOIFE HOPKINS,1517.4199919829816
AGUSTINA JORDAN,1456.5820542475283
ANA MONCADA SANCHEZ,1525.5166104908683
FAKIDI ATHANASIA,1523.3261461114262
FRANCESCA CLAPCICH,1509.7910569336455
ALAN WILLY,1510.530332779186
DELFINA DALLI,1521.0767863254302
PYATT SUSANNAH,1544.5024117615435
RICARDO PARANHOS,1509.9897922386456
RAMON FRENE,1511.4932490197825
LUCAS MOMES RUIZ,1509.2496989039043
LOVISA KARLSSON,1486.4696451443997
MARTHE ENGER EIDE,1521.8839969863352
MARIA ASHIDA,1527.8307266865258
TALLURI MATILDA,1479.0377162685502
NICOLAS CASTELARI RIVAS,1508.6941433483487
FLORIDIA JOYCE,1545.52914844009
ANTONIO GANDOLPHO,1508.9087111575648
NICO GAINSCHUK,1508.138587792793
FATIMA REYES,1511.410472733294
PIA KUHLMANN,1495.3189677660114
KIM PLETIKOS,1473.8015391949805
GUILHERME PEREZ,1508.3681706170244
SHAY KAKON,1519.8912880406156
CARLOS TOMAS GABASIO,1510.0979001825733
ALEKSANDRA LUKOYANOVA,1487.8578028752886
MARIA GRACIA VEGAS TRIVELLI,1507.5830322372374
LUCIE BEN-AMOR,1464.2263488305139
OETLING RAMIREZ ELENA,1497.8152250688954
JULIA CARREIRAO,1491.9010493489418
KUMANAN NETHRA,1486.9155697389729
FEDERICO SIEBERT FRANCAVILLA,1513.386453699702
FERNANDA DECNOP COELHO,1486.466479582874
HUGHES HADDON,1498.294382435106
PHILIPINE VAN AANHOLT,1519.5064053209796
MARIANA CRESPO,1507.2870895359436
PIERO CASTANEDA,1508.9033236054
JOAQUIM DUARTE ARGERICH,1506.4719211261263
CAREN NIEZEN,1447.3090959138858
MARTHA CATERINA FARAGUNA,1514.5453015773514
SEBASTIAN LERI,1512.5137788478473
RUBEI YUAN,1491.993410618627
FELIPE WENZEL,1505.9163655705706
CHRISTINA SAKELLARIS,1501.7520389044141
ANDREY DE OLIVEIRA GODOY,1506.2060084548627
ROSINE BAUDET,1494.3148029470262
FEDERICO ROGNONI,1508.237435066294
EBRU BOLAT,1492.19341971271
NAINA MARIA PINTO,1505.360810015015
CLARA BEN-AMOR NUNEZ,1459.8668547964178
DELLA VALLE GIORGIA,1521.9918269705288
JOSE TOMAS CARDEMIL,1505.6654679143223
MATEO VIDAL,1506.4319123623063
ANJA VON ALLMEN,1516.573187395404
LILLIAN MYERS,1516.595003069647
TANIA ELIAS CALLES,1510.2223202141422
VERSTRAELEN ELINE,1513.6653936860741
ANTONIO ABREU CUNHA BONITO,1505.5145143084328
FELIPE DE ROSA,1497.5467600899915
ANNA WEINZIEHER,1497.3953268003686
ZYUZINA EKATERINA,1506.171382606002
PEDRO WIEGAND,1504.5843868332415
SANTIAGO TOKER,1506.842086229085
MILDA EIDUKEVICIUTE,1471.2302708296793
ISABEL BUSCH,1502.2520338699562
LIN PLETIKOS,1459.7403983637469
NICOLAS CASSESE,1503.1385877927926
MARINA GAMA,1503.5033057521607
JUAN DIEGO RISSO,1505.9118536709454
PALOMA SCHMIDT GUTIERREZ,1457.8038684636774
FELIPE ALVES TELES REVOREDO LIMA,1492.6381715952512
