Rank,Competidor,Rating
1,"MARTINE GRAEL, KAHENA KUNZE",0.15267
2,"IDA MARIE BAAD NIELSEN, MARIE THUSGAARD OLSEN",0.08374
3,"HANNA KLINGA, LISA ORN",0.09581
4,"ODILE VAN AANHOLT, ANNETTE DUETZ",0.1267
5,"MAIKEN FOGHT SCHUTT, ANNE-JULIE SCHUTT",0.10263
6,"ANNEMIEK BEKKERING, ANNETTE DUETZ",0.10263
7,"ANIKA LORENZ, VICTORIA JURCZOK",0.10235
8,"ODILE VAN AANHOLT, ELISE RUYTER",0.10235
9,"VILMA BOBECK, REBECCA NETZLER",0.08354
10,"RAGNA AGERUP, MAIA AGERUP",0.0593
11,"JENA MAI HANSEN, KATJA SALSKOV-IVERSEN",0.0593
12,"TAMARA ECHEGOYEN, BERTA BETANZOS",0.10601
13,"FRANCESCA CLAPCICH, GIULIA CONTI",0.10601
14,"ALEXANDRA MALONEY, MOLLY MEECH",0.08097
15,"TINA LUTZ, SUSANN BEUCKE",0.06124
16,"STEPHANIE ROBLE, MAGGIE SHEA",0.06124
17,"GIORGIA BERTUZZI, JANA GERMANI",0.06972
18,"HELENE NAESS, MARIE RONNINGEN",0.06972
19,"ANNA YAMAZAKI, SENA TAKANO",0.02111
20,"TANJA FRANK, LORENA ABICHT",0.02111
21,"CARLA MUNTE, MARTA MUNTE",0.02345
22,"OLIVIA PRICE, ELIZA SOLLY",0.02345
23,"KIMBERLY LIM, CECILIA LOW",0.01232
24,"ODILE VAN AANHOLT, MARIEKE JONGENS",0.01232
25,"CHARLOTTE DOBSON, SASKIA TIDEY",0.11664
26,"MARIA SOL BRANZ, CECILIA CARRANZA SAROLI",0.00527
27,"TAMARA ECHEGOYEN, PAULA BARCELO",0.00527
28,"OLIVIA PRICE, EVIE HASELDINE",0.09033
29,"SOPHIE WEGUELIN, SOPHIE AINSWORTH",0.09033
30,"VICTORIA TRAVASCIO, MARIA SOL BRANZ",0.05581
31,"JULIA GROSS, HANNA KLINGA",0.05581
32,"JOHANNE SCHMIDT, ANDREA SCHMIDT",0.11409
33,"KLARA WESTER, REBECCA NETZLER",0.03567
34,"ISAURA MAENHAUT, ANOUK GEURTS",0.03567
35,"RONJA GRONBLOM, VEERA HOKKA",0.01954
36,"ALEKSANDRA MELZACKA, SANDRA JANKOWIAK",0.01954
37,"NATASHA BRYANT, ANNIE WILMOT",0.02887
38,"ALEXANDRA TEN HOVE, MARIAH MILLEN",0.02887
39,"AUDE COMPAN, SARAH STEYAERT",0.02204
40,"XIAOYU HU, MENGYUAN SHAN",0.02204
41,"TESS LLOYD, CAITLIN ELKS",0.02283
42,"ALBANE DUBOIS, LILI SEBESI",0.02283
43,"PATRICIA SUAREZ, MARIA CANTERO",0.10259
44,"FREYA BLACK, SASKIA TIDEY",0.10259
45,"CHARLOTTE DOBSON, SOPHIE AINSWORTH",0.06337
46,"QUINLAN WILSON, ROMAIN SCREVE",0.06337
47,"LARA GRANIER, AMELIE RIOU",0.0392
48,"HANNA WILLE, MARLA BERGMANN",0.0392
49,"ANTONIA LEWIN LAFRANCE, GEORGIA LEWIN LAFRANCE",0.01986
50,"JO ALEH, MOLLY MEECH",0.01986
51,"ODILE VAN AANHOLT, NICOLE VAN DER VELDEN",0.04101
52,"TIMMA FLANAGAN, JEAN-MATTHIEU BOLLAND",0.04101
53,"CHIKA HATAE, HIROKA ITAKURA",0.01374
54,"CECILIA JONSSON, JULIA GROSS",0.01374
55,"IDA SVENSSON, CECILIA JONSSON",0.03001
56,"ALEXANDRA STALDER, SILVIA SPERI",0.03001
57,"NINA KEIJZER, CLAIRE BLOM",0.0083
58,"ALEKSANDRA MELZACKA, KINGA LOBODA",0.0083
59,"ENIA NINCEVIC, MIHAELA DE MICHELI VITTURI",0.02075
60,"ALLISON SURRETTE, MAX FLINN",0.02075
61,"ELENA CHRISTINE STOFFERS, LEONIE MEYER",0.06423
62,"HELENA SCUTT, PARIS HENKEN",0.06423
63,"OTTAVIA MARIA RAGGIO, PAOLA BERGAMASCHI",0.037
64,"SOPHIE STEINLEIN, MARIE THUSGAARD",0.037
65,"VILMA BOBECK, EBBA BERNTSSON",0.01416
66,"ALEXANDRA MALONEY, OLIVIA HOBBS",0.01416
67,"PIA DAHL ANDERSEN, NORA EDLAND",0.04986
68,"GALEN RICHARDSON, AIDAN CHIU",0.04986
69,"ANNA TOBIAS, PARIS HENKEN",0.02844
70,"NOORA RUSKOLA, CAMILLA CEDERCREUTZ",0.02844
71,"ANDREA SCHMIDT, JOHANNE SCHMIDT",0.07951
72,"NATE COLBURN, CAMERON COLBURN",0.07951
73,"KATRINE BENDIX KROGH, LAURA STEENSTRUP ZEEBERG",0.03874
74,"LINOR BEREZIN, MAX WOOD",0.03874
75,"GRISELDA KHNG, SARA TAN",0.01885
76,"ANNE-JULIE SCHUTT, IBEN NIELSBY",0.02269
77,"DEWI COUVERT, JESSICA ELIZABETH KISTERS",0.02269
78,"MATHILDE LOVADINA, MARINE RIOU",0.07075
79,"ERICA DAWSON, ELLIE COPELAND",0.03909
80,"CECILIA JONSSON, CECILIA JONSSON",0.03909
81,"LAURA SCHOEFEGGER, ELSA LOVREK",0.03851
82,"ANDREA BREWSTER, SASKIA TIDEY",0.03851
83,"CARLOTTA OMARI, SVEVA CARRARO",0.03977
84,"JULE GORGE, LOTTA GORGE",0.03977
85,"CECILE JANMAAT, SHANNEN MAXIME MARCK",0.04419
86,"VILMA BOBECK, MALIN TENGSTROM",0.04419
87,"MEGAN BRICKWOOD, STEPHANIE ORTON",0.02054
88,"KLARA WESTER, MALIN TENGSTROM",0.02054
89,"NOORA RUSKOLA, MIKAELA WULFF",0.05338
90,"SARAH STEYAERT, CHARLINE PICON",0.05338
91,"SOFIA GIUNCHIGLIA, GIULIA SCHIO",0.03208
92,"ERIN RAFUSE, DANIELLE BOYD",0.03208
93,"JULIE BOSSARD, AUDE COMPAN",0.03004
94,"HAYLEE OUTTERIDGE, NINA CURTIS",0.03004
95,"LARA GRANIER, RIOU AMELIE",0.05265
96,"AMELIA STABBACK, ELLA CLARK",0.05265
97,"CARLOTTA OMARI, MATILDA DISTEFANO",0.05489
98,"KATRINE BENDIX KROGH, LINE JUST EMSVANG",0.05489
99,"PATRICIA SUAREZ, NICOLE VAN DER VELDEN",0.05044
100,"MARU SCHEEL, CATHERINE SOPHIE BARTELHEIMER",0.05044
101,"ARIANNA PASSAMONTI, GIULIA FAVA",0.02161
102,"CATHERINE BARTELHEIMER, INGA-MARIE HOFMANN",0.02161
103,"MARIA OTTAVIA RAGGIO, PAOLA BERGAMASCHI",0.01191
104,"TESS LLOYD, DERVLA DUGGAN",0.01191
105,"JULIE BOSSARD, LILI SEBESI",0.01031
106,"VAN AANHOLT ODILE, SIEWERS EMMA",0.01031
107,"LAURA HARDING, ANNIE WILMOT",0.04695
108,"LAURA SCHOFEGGER, LISA FARTHOFER",0.04695
109,"WILLEMIJN OFFERMAN, ELISE RUYTER",0.06489
110,"SINEM KURTBAY, SILJA KANERVA",0.06489
111,"TESS LLOYD, JAIME RYAN",0.03919
112,"ELEANOR KEERS, SOPHIE AINSWORTH",0.03919
113,"XIAOYU HU, XUEBIN YU",0.00749
114,"FRANCESCA BERGAMO, JANA GERMANI",0.00749
115,"MEGAN BRICKWOOD, ELEANOR ALDRIDGE",0.01575
116,"MARIA OTTAVIA RAGGIO, JANA GERMANI",0.01575
117,"LOTTA GOERGE, JULE GOERGE",0.04123
118,"PATRICIA SUAREZ, MARIA TERESA ALONSO",0.04123
119,"MADELEINE ZIELINSKA, NADIA ZIELINSKA",0.02052
120,"LIVIA NAEF, NELIA PUHZE",0.02052
121,"DEWI COUVERT, JUDITH ENGBERTS",0.04193
122,"MOLLY HIGHFIELD, SANDY CHOI",0.04193
123,"ANGELIKA KOHLENDORFER, LISA FARTHOFER",0.06626
124,"KATLIN TAMMISTE, ANNA MARIA SEPP",0.06626
125,"WILLEMIJN OFFERMAN, JUDITH ENGBERTS",0.02287
126,"LUCY WILMOT, ERIKA REINEKE",0.02287
127,"LOUIS CHAMBET, ENZO LOBRY",0.04041
128,"HARSHITA TOMAR, SWETA SHERVEGAR",0.04041
129,"ALICIA FRAS SAMSON, ELENA BARRIO GARCIA",0.0161
130,"ANN KRISTIN WEDEMEYER, LEONIE MEYER",0.0161
131,"SVEA KARSENBARG, CECILE JANMAAT",0.02344
132,"SILVIA SICOURI, MARIA VITTORIA MARCHESINI",0.02344
133,"GWENDAL LAMAY, KIM HOLSTE",0.07671
134,"AURA MIQUEL MOLONS, NURIA MIRO",0.07671
135,"GABRIELA CZAPSKA, HANNA RAJCHERT",0.02555
136,"VERONIKA ZIVNA, KATERINA ZIVNA",0.02555
137,"SHASHA CHEN, MENGTING WANG",0.01771
138,"ANNA LUSCHAN, EVA-MARIA SCHIMAK",0.01771
139,"DEWI COUVERT, TESS WILSCHUT",0.01522
140,"FREYA FEILCKE, MOJA MARU SCHEEL",0.01522
141,"SAYOKO HARADA, SERA NAGAMATSU",0.00543
142,"ENIA NINCEVIC, MARINA DUJMOVIC",0.00543
143,"JULIA GROSS, CECILE JANMAAT",0.03492
144,"CHARLOTTE HEIJSTEK, JESKE KISTERS",0.03492
145,"CAROLINA HORLBECK, CHARLOTTE HENKEL",0.01604
146,"JESKE KISTERS, JOSCA HUMMEL",0.01604
147,"YANNIS NAUDY, MARTIN GUEZ",0.03932
148,"GRISELDA KHNG, OLIVIA CHEN",0.03932
149,"ANNA BURNET, STEPHANIE ORTON",0.04605
150,"MARIJA ANDELA DE MICHELI VITTURI, MIHAELA ZJENA DE MICHELI VITTURI",0.04605
151,"ARIELLE MORGAN, HEATHER MYATT",0.05292
152,"EWA ROMANIUK, SANDRA JANKOWIAK",0.05292
153,"PATRICIA SUAREZ GONZALEZ, JULIA RITA ROMAN",0.06945
154,"WILLEMIJN OFFERMAN, CECILE JANMAAT",0.06945
155,"DOMINIKA VADUROVA, SARA TKADLECOVA",0.02458
156,"LAURA SCHOFEGGER, ANNA BOUSTANI",0.02458
157,"ARANTZA GUMUCIO, BEGONA GUMUCIO",0.02389
158,"CLARA-SOFIA STAMMINGER DE MOURA, MANON PEYRE",0.02389
159,"MISAKI TANAKA, SERA NAGAMATSU",0.01925
160,"GENEVIEVE TULLOCH, MAGGIE SHEA",0.01925
161,"KATRINE BENDIX KROGH, CHRISTINA ANDERSEN",0.01916
162,"AMELIA STABBACK, CAITLIN ELKS",0.01916
163,"HANNAH BRISTOW, ANNA CARPENTER",0.01946
164,"MARGHERITA PORRO, SVEVA CARRARO",0.01946
165,"MATHILDE LOVADINA, ALBANE DUBOIS",0.02913
166,"MATHILDE LOVADINA, AUDE COMPAN",0.02913
167,"SOPHIE WEGUELIN, ANNA BURNET",0.05543
168,"EMILY DELLENBAUGH, ELIZABETH BARRY",0.05543
169,"ALICE MOSS, HANNA JOHNSSON",0.04059
170,"JOSEFINE NOJGAARD, ESTHER BOJSEN-MOLLER",0.04059
171,"NADINE BOEHM, LENA WEISSKICHEL",0.02363
172,"MAYUMI ROLLER, KAYLA MCCOMB",0.02363
173,"ANASTASIA GUSEVA, IANA STOKOLESOVA",0.01009
174,"HANNAH MILLS, ALAIN SIGN",0.01009
175,"MATHILDE LOVADINA, LEA PERNET",0.02131
176,"SOPHIE STEINLEIN, CLARA BORLINGHAUS",0.02131
177,"GRISELDA KHNG, AGUSTINA BARBUTO",0.07055
178,"CZAPSKA GABRIELA, RAJCHERT HANNA /",0.07055
179,"ERIN BERRY, INGRID MERRY",0.03824
180,"KEIKO MIYAGAWA, SENA TAKANO",0.03824
181,"MARINA GARAU, CARLOTA GARCIA",0.02826
182,"KATE MACGREGOR, MARY ROOK",0.02826
183,"ANTONIA SCHULTHEIS, VICTORIA SCHULTHEIS",0.00702
184,"ANN-KRISTIN WEDEMEYER, PIA SOPHIE WEDEMEYER",0.04736
185,"SARAH ROECK, LEA TESSA EINBRODT",0.04736
186,"ISABELLE FELLOWS, ALICE MASTERMAN",0.01148
187,"ANNA YAMAZAKI, N/A",0.01148
188,"VICTORIA SCHULTHEIS, ANTONIA SCHULTHEIS",0.03511
189,"SAKI MATSUNAE, SAYOKO HARADA",0.03511
190,"HELEN PAIS, HELEN AUSMAN",0.0456
191,"DEBBIE CAPOZZI, MAGGIE SHEA",0.0456
192,"ANNE SCHWARZ, MARTINA SCHWARZ",0.01118
193,"REBEKKA JOHANNESEN, IBEN NIELSBY CHRISTENSEN",0.01118
194,"FRANCESCA BERGAMO, ALICE SINNO",0.00817
195,"CATHERINE BARTELHEIMER, DANIELA BARTELHEIMER",0.00817
196,"KATE MACGREGOR, STEPHANIE ORTON",0.00527
197,"HANNAH STEADMAN, GABRIELLE RIZIKA",0.00527
198,"MINA FERGUSON, DERVLA DUGGAN",0.03451
199,"ERIN RAFUSE, MILLEN MARIAH",0.03451
200,"ALICE MOSS, EBBA BERNTSSON",0.02264
201,"JULIA HENRIKSSON, CAROLINE PETTERSSON",0.02264
202,"CLARA SCHEIWILLER, VIOLETTE LEMERCIER",0.03896
203,"FLORINE BRAMERVAER, EMMA SIEWERS",0.03896
204,"ARIANNA GARISTO, VIRGINIA GARISTO",0.01342
205,"SIRRE KRONLOF, SELMA VALJUS",0.01342
206,"HELENA WOLFF, LAURA ZEEBERG",0.01602
207,"TATE HOWELL, ADRIANNA BAIRD",0.01602
208,"LISA MARIA RAUSCH, LILLE JONAS",0.05254
209,"BRICE YRIEIX, ALBANE DUBOIS",0.05254
210,"SOPHIE MOSEGAARD, FIONA SCHARER",0.03702
211,"DIANA TUDELA BALLON, ADRIANA BARRON VELAOCHAGA",0.03702
212,"KATHARINA SCHWACHHOFER, ELENA STOLTZE",0.00876
213,"GIULIA GENESIO, FRANCESCA VOLPI",0.01378
214,"KATE SHANER, CHARLOTTE MACK",0.01378
215,"ELEANOR KEERS, JESSICA JOBSON",0.07247
216,"VICTORIA PAYNE, ALICE MASTERMAN",0.02393
217,"WILLEMIJN OFFERMAN, EMMA SIEWERS",0.02393
218,"MAYUMI ROLLER, AGUSTINA BARBUTO",0.01687
219,"ELIN SEVEDAG, KLARA JOHANSSON",0.01687
220,"SOPHIE STEINLEIN, JILL PALAND",0.01405
221,"MADELEINE MCLEAY, NATASHA BRYANT",0.01405
222,"ODILE VAN AANHOLT, PHILIPINE VAN AANHOLT",0.0921
223,"ANNA LUSCHAN, JOHANNA DAUM",0.0921
224,"RONJA GRONBLOM, SARA EHRNROOTH",0.01692
