Rank,Competidor,Rating
1,BOUWMEESTER MARIT,0.13992
2,ERICK CARPES,0.08626
3,AGATA BARWINSKA,0.06499
4,EVI VAN ACKER,0.00273
5,TUULA TENKANEN,0.07027
6,ANNE-MARIE RINDOM,0.07027
7,SARAH DOUGLAS,0.10594
8,MARIA ERDI,0.10594
9,ALISON YOUNG,0.00502
10,EMMA PLASSCHAERT,0.00502
11,DOLORES MOREIRA FRASCHINI,0.00671
12,JUAN PABLO CARDOZO,0.01442
13,DONGSHUANG ZHANG,0.01442
14,LUCIA FALASCA,0.09769
15,MAUD JAYET,0.09769
16,VASILEIA KARACHALIOU,0.05533
17,GINTARE SCHEIDT,0.05533
18,OLSSON JOSEFIN,0.04432
19,HANNAH SNELLGROVE,0.04432
20,ZOE THOMSON,0.01123
21,PAIGE RAILEY,0.01123
22,MAXIME JONKER,0.05185
23,MONIKA MIKKOLA,0.05185
24,GUSTAVO CORREA NASCIMENTO,0.01483
25,FELIPE FRAQUELLI,0.01483
26,VIKTORIJA ANDRULYTE,0.00582
27,MARIE BARRUE,0.00582
28,GABRIELLA MARQUES KIDD,0.04785
29,ERIKA REINEKE,0.04785
30,IMENEO CASEY,0.04991
31,MANAMI DOI,0.04991
32,FLEM HOST LINE,0.02094
33,MATHILDE DE KERANGAT,0.02094
34,LOUISE CERVERA,0.03067
35,MATILDA NICHOLLS,0.03067
36,CHIARA BENINI FLORIANI,0.0738
37,SANTIAGO PACHECO,0.0738
38,LUCIANA ANDREA CARDOZO,0.04378
39,MARTINA REINO CACHO,0.04378
40,FLORENCIA CHIARELLA,0.01156
41,VERONIKA KOZELSKA FENCLOVA,0.01156
42,ANNALISE MURPHY,0.02246
43,SARAH GUNNI SCHIERUP,0.02246
44,ANNA MUNCH,0.0182
45,CHARLOTTE ROSE,0.0182
46,MARA STRANSKY,0.04648
47,BOWSKILL BRENDA,0.04648
48,MAGDALENA KWASNA,0.06253
49,JULIA BUESSELBERG,0.06253
50,MAITE CARLIER,0.04165
51,STEFANO PENDOLA,0.04165
52,COLLINGRIDGE DAISY,0.00484
53,XU LIJIA,0.00484
54,SILVIA ZENNARO,0.02012
55,PEDRO MADUREIRA,0.02012
56,HANNAH ANDERSSOHN,0.01436
57,THOMAS POTTHOFF,0.01436
58,MICHON PERNELLE,0.05004
59,GOLEBIOWSKA WIKTORIA,0.05004
60,DAPHNE VAN DER VAART,0.01073
61,TATIANA DROZDOVSKAYA,0.01073
62,JOSE IRINEU SILVA,0.00672
63,NAZLI CAGLA DONERTAS,0.00672
64,TIRIL BUE,0.02451
65,ELENA VOROBEVA,0.02451
66,AKKERMAN MIRTHE,0.01008
67,POVALL GEORGINA,0.01008
68,JULIAN MARIA DUARTE ARGERICH,0.02031
69,ASHLEY STODDART,0.02031
70,ALBANO CAROLINA,0.02384
71,PAULINE LIEBIG,0.02384
72,LUCAS VIDELA,0.03922
73,FRANCISCO MAROTTA,0.03922
74,AINSWORTH ELYSE,0.06338
75,ECEM GUZEL,0.06338
76,FELIPE RONDINA,0.00675
77,CRISTINA PUJOL,0.00675
78,JOAQUIN GALVAN,0.00681
79,SARA WINTHER,0.00681
80,SVENJA WEGER,0.01011
81,MATHIAS REIMER,0.01011
82,TEO BERTOT,0.01862
83,SOPHIE ZIMMERMANN,0.01862
84,MARIE BOLOU,0.02231
85,AMELIE RIOU,0.02231
86,ELIZABETH YIN,0.0117
87,TINA MIHELIC,0.0117
88,GINAID ODILE,0.03379
89,ULISES GOMEZ LACCHINI,0.03379
90,ANTONIO MACHADO,0.02141
91,ALICIA CEBRIAN,0.02141
92,SARA CARMO,0.04757
93,MOHDMAD LATIF NUR SHAZRIN,0.04757
94,LUCAS ZORZI,0.02668
95,FEDERICA CATTAROZZI,0.02668
96,CATERINA ISABEL ROMERO AGUIRRE,0.03296
97,ISABELLA BERTOLD,0.03296
98,SANDRA LULI,0.00564
99,MARIA CRISTINA BOABAID,0.00564
100,GUSTAVO KIESSLING,0.05145
101,AGUSTIN GONZALEZ VILLALBA,0.05145
102,ISADORA DAL RI,0.01453
103,FACUNDO MAC GOWAN,0.01453
104,FRANCISCO GOMEZ,0.06548
105,MARILENA MAKRI,0.06548
106,EVE MCMAHON,0.02677
107,RODRIGO LUZ,0.02677
108,STEFANO CAIAFA,0.01514
109,CRISTINA CASTELLANOS ESTRADA,0.01514
110,CHLOE MARTIN,0.02648
111,NICK GRAEL,0.02648
112,AOIFE HOPKINS,0.04189
113,AGUSTINA JORDAN,0.04189
114,ANA MONCADA SANCHEZ,0.00726
115,FAKIDI ATHANASIA,0.00726
116,FRANCESCA CLAPCICH,0.01097
117,ALAN WILLY,0.01097
118,DELFINA DALLI,0.00413
119,PYATT SUSANNAH,0.00413
120,RICARDO PARANHOS,0.03973
121,RAMON FRENE,0.03973
122,LUCAS MOMES RUIZ,0.03004
123,LOVISA KARLSSON,0.03004
124,MARTHE ENGER EIDE,0.01329
125,MARIA ASHIDA,0.01329
126,TALLURI MATILDA,0.01131
127,NICOLAS CASTELARI RIVAS,0.01131
128,FLORIDIA JOYCE,0.01593
129,ANTONIO GANDOLPHO,0.01593
130,NICO GAINSCHUK,0.02861
131,FATIMA REYES,0.02861
132,PIA KUHLMANN,0.03225
133,KIM PLETIKOS,0.03225
134,GUILHERME PEREZ,0.00993
135,SHAY KAKON,0.00993
136,CARLOS TOMAS GABASIO,0.00703
137,ALEKSANDRA LUKOYANOVA,0.0107
138,MARIA GRACIA VEGAS TRIVELLI,0.0107
139,LUCIE BEN-AMOR,0.00261
140,OETLING RAMIREZ ELENA,0.00261
141,JULIA CARREIRAO,0.00233
142,KUMANAN NETHRA,0.00233
143,FEDERICO SIEBERT FRANCAVILLA,0.01305
144,FERNANDA DECNOP COELHO,0.01305
145,HUGHES HADDON,0.01844
146,PHILIPINE VAN AANHOLT,0.01844
147,MARIANA CRESPO,0.00343
148,PIERO CASTANEDA,0.00343
149,JOAQUIM DUARTE ARGERICH,0.02026
150,CAREN NIEZEN,0.02026
151,MARTHA CATERINA FARAGUNA,0.04726
152,SEBASTIAN LERI,0.01668
153,RUBEI YUAN,0.01668
154,FELIPE WENZEL,0.0173
155,CHRISTINA SAKELLARIS,0.0173
156,ANDREY DE OLIVEIRA GODOY,0.01223
157,ROSINE BAUDET,0.01223
158,FEDERICO ROGNONI,0.00042
159,EBRU BOLAT,0.00042
160,NAINA MARIA PINTO,0.00726
161,CLARA BEN-AMOR NUNEZ,0.00726
162,DELLA VALLE GIORGIA,0.01012
163,JOSE TOMAS CARDEMIL,0.01012
164,MATEO VIDAL,0.01054
165,ANJA VON ALLMEN,0.01054
166,LILLIAN MYERS,0.01419
167,TANIA ELIAS CALLES,0.01419
168,VERSTRAELEN ELINE,0.01152
169,ANTONIO ABREU CUNHA BONITO,0.01152
170,FELIPE DE ROSA,0.00342
171,ANNA WEINZIEHER,0.00342
172,ZYUZINA EKATERINA,0.00623
173,PEDRO WIEGAND,0.00623
174,SANTIAGO TOKER,0.0132
175,MILDA EIDUKEVICIUTE,0.0132
176,ISABEL BUSCH,0.00304
177,LIN PLETIKOS,0.00304
178,NICOLAS CASSESE,0.02188
179,MARINA GAMA,0.02188
180,JUAN DIEGO RISSO,0.00717
181,PALOMA SCHMIDT GUTIERREZ,0.00717
182,FELIPE ALVES TELES REVOREDO LIMA,0.0239
183,ISABELLA MAEGLI AGUERO,0.0239
184,MIN GU,0.0377
185,VITOR BAHIA,0.0377
186,LUIZ FELIPE GIAGIO,0.00679
187,PEDRO RODRIGUEZ REYNOSO,0.00679
188,LARA HIMMES,0.01223
189,VICTOR FONTAINE,0.01223
190,MICHALA NORSELL,0.01649
191,SAVELON EMMA,0.01649
192,BALBI VALENTINA,0.00519
193,JUAN PABLO CAROSI WARBURG,0.00519
194,STEPHANIE NORTON,0.02031
195,LEONARDO DIDIER,0.02031
196,BENJAMIN GALVAN,0.0198
197,ARIEL ZERPA,0.0198
198,WIND ROOS,0.04138
199,LISA FASSELT,0.04138
200,ANDREA ALDANA,0.02294
201,HUMBERTO CARVALHO,0.02294
202,TOMBE YUMIKO,0.01362
203,MARIIA KISLUKHINA,0.01362
204,CARLOTA SANCHEZ,0.00412
205,FRASCARI MAELLE,0.00412
206,SANTIAGO GUINAND,0.05036
207,SARA SAVELLI,0.05036
208,EKATERINA MORGUN,0.04089
209,KUMPINA ESTERE PAULA,0.04089
210,JACOB OREN,0.00384
211,ELLION DE JESUS,0.00384
212,MANUEL ROMAN,0.02941
213,ALESSIA PALANTI,0.02941
214,AGNESE CAIAFA,0.03754
215,IJBEN MARISSA,0.03754
216,LENA HAVERLAND,0.01653
217,ISABEL HERNANDEZ PENA,0.01653
218,HANNA KOBA,0.04397
219,BERNARDO MARTINS,0.04397
220,DEWEY MAURA,0.02103
221,FELIPE BLAS ALFARO,0.02103
222,ROGER TORRES,0.02001
223,HAJI-MICHAEL ANYA,0.02001
224,CLAIRE MERRY,0.02854
225,CUMPSTY ELEANOR,0.02854
226,MOLLY SACKER,0.00311
227,LAURA SCHEWE,0.00311
228,ROCA DE TOGORES BENABENT ASCENSION,0.02002
229,SOFIE SLOTSGAARD,0.02002
230,EDUARDO PEREIRA GUIMARAES,0.0051
231,SOFIA ALEJANDRA DAGOSTINO,0.0051
232,GRAVELY CLARA,0.02974
233,TOMAS BODETTO,0.02974
234,CHRISTIE OLIVIA,0.03771
235,ZITONG SHANG,0.03771
236,ANDELA DE MICHELI VITTURI,0.01721
237,LUIS ANDRE CASTRO,0.01721
238,MANUEL CADARSO,0.01054
239,EVIE SAUNDERS,0.01054
240,CORALIE VITTECOQ,0.03887
241,TOMAS PAGLINI,0.03887
242,AISLING KELLER,0.01611
243,FRANCESCA FRAZZA,0.01611
244,ANDRES FONTAN,0.02787
245,NAUMENKO SOFIIA,0.02787
246,COUVERT DEWI,0.02136
247,THEA LUBAC,0.02136
248,JOHAN FELIPPES,0.02125
249,CALDECOAT PAIGE,0.02125
250,LAURA BO VOSS,0.02032
251,WANNES VAN LAER,0.02032
252,COSENTINO LAURA,0.0054
253,ANDREA NORDQUIST,0.0054
254,MARTIN IBANEZ,0.00849
255,ANNA POHLAK,0.00849
256,ANA CAROLINA ROTH,0.04297
257,CELINE THERESE HERUD,0.04297
258,EDY BRANZ,0.00261
