Rank,Competidor,Rating
1,"MARTINE GRAEL, KAHENA KUNZE",0.1336
2,"IDA MARIE BAAD NIELSEN, MARIE THUSGAARD OLSEN",0.04461
3,"HANNA KLINGA, LISA ORN",0.05444
4,"ODILE VAN AANHOLT, ANNETTE DUETZ",0.07441
5,"MAIKEN FOGHT SCHUTT, ANNE-JULIE SCHUTT",0.09778
6,"ANNEMIEK BEKKERING, ANNETTE DUETZ",0.09778
7,"ANIKA LORENZ, VICTORIA JURCZOK",0.04621
8,"ODILE VAN AANHOLT, ELISE RUYTER",0.04621
9,"VILMA BOBECK, REBECCA NETZLER",0.0324
10,"RAGNA AGERUP, MAIA AGERUP",0.0324
11,"JENA MAI HANSEN, KATJA SALSKOV-IVERSEN",0.06757
12,"TAMARA ECHEGOYEN, BERTA BETANZOS",0.06757
13,"FRANCESCA CLAPCICH, GIULIA CONTI",0.03832
14,"ALEXANDRA MALONEY, MOLLY MEECH",0.03832
15,"TINA LUTZ, SUSANN BEUCKE",0.03488
16,"STEPHANIE ROBLE, MAGGIE SHEA",0.03488
17,"GIORGIA BERTUZZI, JANA GERMANI",0.04065
18,"HELENE NAESS, MARIE RONNINGEN",0.04065
19,"ANNA YAMAZAKI, SENA TAKANO",0.02961
20,"TANJA FRANK, LORENA ABICHT",0.02961
21,"CARLA MUNTE, MARTA MUNTE",0.01969
22,"OLIVIA PRICE, ELIZA SOLLY",0.01969
23,"KIMBERLY LIM, CECILIA LOW",0.016
24,"ODILE VAN AANHOLT, MARIEKE JONGENS",0.016
25,"CHARLOTTE DOBSON, SASKIA TIDEY",0.01247
26,"MARIA SOL BRANZ, CECILIA CARRANZA SAROLI",0.01247
27,"TAMARA ECHEGOYEN, PAULA BARCELO",0.06574
28,"OLIVIA PRICE, EVIE HASELDINE",0.07298
29,"SOPHIE WEGUELIN, SOPHIE AINSWORTH",0.07298
30,"VICTORIA TRAVASCIO, MARIA SOL BRANZ",0.03159
31,"JULIA GROSS, HANNA KLINGA",0.03159
32,"JOHANNE SCHMIDT, ANDREA SCHMIDT",0.0672
33,"KLARA WESTER, REBECCA NETZLER",0.02899
34,"ISAURA MAENHAUT, ANOUK GEURTS",0.02899
35,"RONJA GRONBLOM, VEERA HOKKA",0.01541
36,"ALEKSANDRA MELZACKA, SANDRA JANKOWIAK",0.01541
37,"NATASHA BRYANT, ANNIE WILMOT",0.03446
38,"ALEXANDRA TEN HOVE, MARIAH MILLEN",0.03446
39,"AUDE COMPAN, SARAH STEYAERT",0.04078
40,"XIAOYU HU, MENGYUAN SHAN",0.04078
41,"TESS LLOYD, CAITLIN ELKS",0.0156
42,"ALBANE DUBOIS, LILI SEBESI",0.0156
43,"PATRICIA SUAREZ, MARIA CANTERO",0.07832
44,"FREYA BLACK, SASKIA TIDEY",0.07832
45,"CHARLOTTE DOBSON, SOPHIE AINSWORTH",0.03628
