Rank,Competidor,Rating
1,BOUWMEESTER MARIT,0.14012
2,ERICK CARPES,0.07053
3,AGATA BARWINSKA,0.06562
4,EVI VAN ACKER,0.07768
5,TUULA TENKANEN,0.07768
6,ANNE-MARIE RINDOM,0.00871
7,SARAH DOUGLAS,0.00461
8,MARIA ERDI,0.00461
9,ALISON YOUNG,0.01844
10,EMMA PLASSCHAERT,0.03393
11,DOLORES MOREIRA FRASCHINI,0.03393
12,JUAN PABLO CARDOZO,0.04455
13,DONGSHUANG ZHANG,0.04455
14,LUCIA FALASCA,0.10101
15,MAUD JAYET,0.10101
16,VASILEIA KARACHALIOU,0.08871
17,GINTARE SCHEIDT,0.08871
18,OLSSON JOSEFIN,0.07418
19,HANNAH SNELLGROVE,0.07418
20,ZOE THOMSON,0.07662
21,PAIGE RAILEY,0.07662
22,MAXIME JONKER,0.01549
23,MONIKA MIKKOLA,0.01549
24,GUSTAVO CORREA NASCIMENTO,0.01644
25,FELIPE FRAQUELLI,0.01644
26,VIKTORIJA ANDRULYTE,0.0428
27,MARIE BARRUE,0.0428
28,GABRIELLA MARQUES KIDD,0.00465
29,ERIKA REINEKE,0.00465
30,IMENEO CASEY,0.05188
31,MANAMI DOI,0.05188
32,FLEM HOST LINE,0.05808
33,MATHILDE DE KERANGAT,0.05808
34,LOUISE CERVERA,0.05887
35,MATILDA NICHOLLS,0.05887
36,CHIARA BENINI FLORIANI,0.00652
37,SANTIAGO PACHECO,0.00652
38,LUCIANA ANDREA CARDOZO,0.00563
39,MARTINA REINO CACHO,0.00563
40,FLORENCIA CHIARELLA,0.01515
41,VERONIKA KOZELSKA FENCLOVA,0.01515
42,ANNALISE MURPHY,0.02821
43,SARAH GUNNI SCHIERUP,0.02821
44,ANNA MUNCH,0.00766
45,CHARLOTTE ROSE,0.00766
46,MARA STRANSKY,0.03811
47,BOWSKILL BRENDA,0.03811
48,MAGDALENA KWASNA,0.01662
49,JULIA BUESSELBERG,0.01662
50,MAITE CARLIER,0.00435
51,STEFANO PENDOLA,0.00435
52,COLLINGRIDGE DAISY,0.03178
53,XU LIJIA,0.03178
54,SILVIA ZENNARO,0.00846
55,PEDRO MADUREIRA,0.00846
56,HANNAH ANDERSSOHN,0.03344
57,THOMAS POTTHOFF,0.03344
58,MICHON PERNELLE,0.02694
59,GOLEBIOWSKA WIKTORIA,0.02694
60,DAPHNE VAN DER VAART,0.02998
61,TATIANA DROZDOVSKAYA,0.02998
62,JOSE IRINEU SILVA,0.03012
63,NAZLI CAGLA DONERTAS,0.03012
64,TIRIL BUE,0.02446
65,ELENA VOROBEVA,0.02446
66,AKKERMAN MIRTHE,0.02904
67,POVALL GEORGINA,0.02904
68,JULIAN MARIA DUARTE ARGERICH,0.01379
69,ASHLEY STODDART,0.01379
70,ALBANO CAROLINA,0.01287
71,PAULINE LIEBIG,0.01287
72,LUCAS VIDELA,0.04235
73,FRANCISCO MAROTTA,0.04235
74,AINSWORTH ELYSE,0.01769
75,ECEM GUZEL,0.01769
76,FELIPE RONDINA,0.00807
77,CRISTINA PUJOL,0.00807
78,JOAQUIN GALVAN,0.02066
79,SARA WINTHER,0.02066
80,SVENJA WEGER,0.0079
81,MATHIAS REIMER,0.0079
