Rank,Competidor,Rating
1,"MARTINE GRAEL, KAHENA KUNZE",(0.014451806677626723+0j)
2,"IDA MARIE BAAD NIELSEN, MARIE THUSGAARD OLSEN",(0.006882098204210557-0.02665401516822478j)
3,"HANNA KLINGA, LISA ORN",(0.006882098204210557+0.02665401516822478j)
4,"ODILE VAN AANHOLT, ANNETTE DUETZ",(0.02400717230376467-0.02521909344392379j)
5,"MAIKEN FOGHT SCHUTT, ANNE-JULIE SCHUTT",(0.02400717230376467+0.02521909344392379j)
6,"ANNEMIEK BEKKERING, ANNETTE DUETZ",(0.038068484985720887+0.010110605970397467j)
7,"ANIKA LORENZ, VICTORIA JURCZOK",(0.038068484985720887-0.010110605970397467j)
8,"ODILE VAN AANHOLT, ELISE RUYTER",(-0.005982351538255282-0.039049153204170066j)
9,"VILMA BOBECK, REBECCA NETZLER",(-0.005982351538255282+0.039049153204170066j)
10,"RAGNA AGERUP, MAIA AGERUP",(0.027443628863975875+0.004012421480143823j)
11,"JENA MAI HANSEN, KATJA SALSKOV-IVERSEN",(0.027443628863975875-0.004012421480143823j)
12,"TAMARA ECHEGOYEN, BERTA BETANZOS",(-0.022493504240682433+0.017522290259055724j)
13,"FRANCESCA CLAPCICH, GIULIA CONTI",(-0.022493504240682433-0.017522290259055724j)
14,"ALEXANDRA MALONEY, MOLLY MEECH",(0.01704406658804302-0.07434683491433879j)
15,"TINA LUTZ, SUSANN BEUCKE",(0.01704406658804302+0.07434683491433879j)
16,"STEPHANIE ROBLE, MAGGIE SHEA",(-0.005344189573080298+0.020663274739121214j)
17,"GIORGIA BERTUZZI, JANA GERMANI",(-0.005344189573080298-0.020663274739121214j)
18,"HELENE NAESS, MARIE RONNINGEN",(0.02497993209864345-0.010055982319755534j)
19,"ANNA YAMAZAKI, SENA TAKANO",(0.02497993209864345+0.010055982319755534j)
20,"TANJA FRANK, LORENA ABICHT",(-0.013934691852548387+0.05820021985046195j)
21,"CARLA MUNTE, MARTA MUNTE",(-0.013934691852548387-0.05820021985046195j)
22,"OLIVIA PRICE, ELIZA SOLLY",(-0.03786053531407217+0.001038192447840567j)
23,"KIMBERLY LIM, CECILIA LOW",(-0.03786053531407217-0.001038192447840567j)
24,"ODILE VAN AANHOLT, MARIEKE JONGENS",(-0.00661923437698649-0.01844896487582463j)
25,"CHARLOTTE DOBSON, SASKIA TIDEY",(-0.00661923437698649+0.01844896487582463j)
26,"MARIA SOL BRANZ, CECILIA CARRANZA SAROLI",(-0.03493209812659205+0.014933871922562604j)
27,"TAMARA ECHEGOYEN, PAULA BARCELO",(-0.03493209812659205-0.014933871922562604j)
28,"OLIVIA PRICE, EVIE HASELDINE",(0.05075508743074503-0.04597623104925839j)
29,"SOPHIE WEGUELIN, SOPHIE AINSWORTH",(0.05075508743074503+0.04597623104925839j)
30,"VICTORIA TRAVASCIO, MARIA SOL BRANZ",(0.09695598543565193+0.055497933705739j)
31,"JULIA GROSS, HANNA KLINGA",(0.09695598543565193-0.055497933705739j)
32,"JOHANNE SCHMIDT, ANDREA SCHMIDT",(0.10913530426165004+0j)
33,"KLARA WESTER, REBECCA NETZLER",(0.05829854608286744+0.032524439688260895j)
34,"ISAURA MAENHAUT, ANOUK GEURTS",(0.05829854608286744-0.032524439688260895j)
35,"RONJA GRONBLOM, VEERA HOKKA",(0.04333804075579201+0.07165343475142837j)
36,"ALEKSANDRA MELZACKA, SANDRA JANKOWIAK",(0.04333804075579201-0.07165343475142837j)
37,"NATASHA BRYANT, ANNIE WILMOT",(0.08737934490114731-0.03116553074897161j)
38,"ALEXANDRA TEN HOVE, MARIAH MILLEN",(0.08737934490114731+0.03116553074897161j)
39,"AUDE COMPAN, SARAH STEYAERT",(0.0830718773842923-0.10463776091759745j)
40,"XIAOYU HU, MENGYUAN SHAN",(0.0830718773842923+0.10463776091759745j)
41,"TESS LLOYD, CAITLIN ELKS",(-0.13965918021987456+0.14525015518063406j)
42,"ALBANE DUBOIS, LILI SEBESI",(-0.13965918021987456-0.14525015518063406j)
43,"PATRICIA SUAREZ, MARIA CANTERO",(-0.0907748839345825+0.10268687945243461j)
44,"FREYA BLACK, SASKIA TIDEY",(-0.0907748839345825-0.10268687945243461j)
45,"CHARLOTTE DOBSON, SOPHIE AINSWORTH",(0.05185209661216854+0.04749001357354447j)
46,"QUINLAN WILSON, ROMAIN SCREVE",(0.05185209661216854-0.04749001357354447j)
47,"LARA GRANIER, AMELIE RIOU",(0.044530811133495225-0.021911971545023314j)
48,"HANNA WILLE, MARLA BERGMANN",(0.044530811133495225+0.021911971545023314j)
49,"ANTONIA LEWIN LAFRANCE, GEORGIA LEWIN LAFRANCE",0j
50,"JO ALEH, MOLLY MEECH",0j
51,"ODILE VAN AANHOLT, NICOLE VAN DER VELDEN",0j
52,"TIMMA FLANAGAN, JEAN-MATTHIEU BOLLAND",0j
53,"CHIKA HATAE, HIROKA ITAKURA",0j
54,"CECILIA JONSSON, JULIA GROSS",0j
55,"IDA SVENSSON, CECILIA JONSSON",0j
56,"ALEXANDRA STALDER, SILVIA SPERI",0j
57,"NINA KEIJZER, CLAIRE BLOM",0j
58,"ALEKSANDRA MELZACKA, KINGA LOBODA",0j
59,"ENIA NINCEVIC, MIHAELA DE MICHELI VITTURI",0j
60,"ALLISON SURRETTE, MAX FLINN",0j
61,"ELENA CHRISTINE STOFFERS, LEONIE MEYER",0j
62,"HELENA SCUTT, PARIS HENKEN",0j
