Rank,Competidor,Rating
1,NICK THOMPSON,(-0.03901565375894751+0j)
2,KONTIDES PAVLOS,(0.020853594009157744-0.0023374277629929683j)
3,CLEMENTE SEGUEL LACAMARA,(0.020853594009157744+0.0023374277629929683j)
4,TONCI STIPANOVIC,(0.1581207369058363-0.03835593383707356j)
5,TOM BURTON,(0.1581207369058363+0.03835593383707356j)
6,PHILIPP BUHL,(-0.027697996417514987+0.023257068984500712j)
7,ANDY MALONEY,(-0.027697996417514987-0.023257068984500712j)
8,CHRISTOPHER BARNARD,(-0.039052918893779785+0.04951515616377408j)
9,MICHAEL BECKETT,(-0.039052918893779785-0.04951515616377408j)
10,THOMAS SAUNDERS,(0.03497006716412051-0.036980963185721645j)
11,JEAN-BAPTISTE BERNAZ,(0.03497006716412051+0.036980963185721645j)
12,MATT WEARN,(0.000810274877681065-0.020555662939893495j)
13,HANSON ELLIOT,(0.000810274877681065+0.020555662939893495j)
14,STEFANO PESCHIERA,(-0.14539520717286317+0.058605529525750474j)
15,FRANCESCO MARRAI,(-0.14539520717286317-0.058605529525750474j)
16,BRUNO FONTES,(0.03441343953525983+0.06340935034702667j)
17,FILIP JURISIC,(0.03441343953525983-0.06340935034702667j)
18,SAM MEECH,(0.08494738033612502+0.1609069646595994j)
19,JESPER STALHEIM,(0.08494738033612502-0.1609069646595994j)
20,ROBERT SCHEIDT,(-0.05381780406338834+0.1428065123414263j)
21,LYNCH FINN,(-0.05381780406338834-0.1428065123414263j)
22,GEORGE GAUTREY,(0.03565398898123955+0.054323547354482485j)
23,RUTGER VAN SCHAARDENBURG,(0.03565398898123955-0.054323547354482485j)
24,TAPPER KAARLE,(0.03837459567128989+0.013641159421456354j)
25,NICHOLAS HEINER,(0.03837459567128989-0.013641159421456354j)
26,MATHEUS DELLAGNELO,(0.004717983013967318+0.000901855155454844j)
27,FRANCISCO RENNA,(0.004717983013967318-0.000901855155454844j)
28,FRANCISCO GUARAGNA RIGONAT,(0.1495759190691866-0.035899177474782454j)
29,JONATAN VADNAI,(0.1495759190691866+0.035899177474782454j)
30,MATHIAS MOLLATT,(-0.03500989587273646-0.01830083958574877j)
31,JULIO ALSOGARAY,(-0.03500989587273646+0.01830083958574877j)
32,SERGEY KOMISSAROV,(0.008295988601974943+0.10657231384145627j)
33,PHILIPP ANDREAS GROCHTMANN,(0.008295988601974943-0.10657231384145627j)
34,JOEL RODRIGUEZ,(0.030585120550025578-0.2496486560061567j)
35,JUAN IGNACIO MAEGLI,(0.030585120550025578+0.2496486560061567j)
36,GALLO MARCO,(0.007071964645826492-0.10825970419076687j)
37,MATIAS DYCK,(0.007071964645826492+0.10825970419076687j)
38,SAM WHALEY,(-0.02194587845487062-0.12036779415059419j)
39,NIK AARON WILLIM,(-0.02194587845487062+0.12036779415059419j)
40,WANNES VAN LAER,(-0.03049077363716538-0.06668569932950374j)
41,CHARLIE BUCKINGHAM,(-0.03049077363716538+0.06668569932950374j)
42,ZAC LITTLEWOOD,(0.06253141418755616+0.06479173879311917j)
43,LORENZO BRANDO CHIAVARINI,(0.06253141418755616-0.06479173879311917j)
44,JOAO PEDRO OLIVEIRA,(-0.05911369794853524+0.08124654016745711j)
45,TOMASGAARD HERMANN,(-0.05911369794853524-0.08124654016745711j)
46,JUAN PABLO CARDOZO,(0.08124088925785128+0.017313018912461117j)
47,ETHAN MCAULLAY,(0.08124088925785128-0.017313018912461117j)
48,ELLIOTT LUKE,(0.09417148391785414-0.15561609310112084j)
49,FACUNDO MARIO OLEZZA BAZAN,(0.09417148391785414+0.15561609310112084j)
50,JOAQUIN BLANCO,(-0.18549995916041184+0.03847724451126234j)
51,JUAN IGNACIO BIAVA,(-0.18549995916041184-0.03847724451126234j)
52,WILLIAM DE SMET,(-0.022706786903311228-0.06792758755599121j)
53,KRISTIAN RUTH,(-0.022706786903311228+0.06792758755599121j)
54,BOS DUKO,(0.021555348124673995-0.2047541614273903j)
55,RENZO SANGUINETI,(0.021555348124673995+0.2047541614273903j)
56,JEEMIN HA,(-0.06289897519573867+0.06771333341970363j)
57,FELIPE FRAQUELLI,(-0.06289897519573867-0.06771333341970363j)
58,JEREMY O'CONNELL,(-0.10458251620196977-0.1425341564529598j)
59,DANIEL WHITELEY,(-0.10458251620196977+0.1425341564529598j)
60,STEFANO VIALE,(0.07252092850177148+0.10381805030372515j)
61,AGUSTIN VIDAL,(0.07252092850177148-0.10381805030372515j)
62,KACPER ZIEMINSKI,(-0.2569551096295186+0j)
63,NIELS BROEKHUIZEN,(-0.21464274486851156+0j)
64,RAMMO KARL-MARTIN,(0.22836534143232673-0.06342474615391631j)
65,GIOVANNI COCCOLUTO,(0.22836534143232673+0.06342474615391631j)
66,PEDRO MADUREIRA,(-0.028681805445009284-0.14070694936280104j)
67,CHEVRIER LUC,(-0.028681805445009284+0.14070694936280104j)
68,MATHIAS REIMER,0j
69,FINN ALEXANDER,0j
70,JACK WETHERELL,0j
71,RYAN LO,0j
72,ANDRE PASSOW,0j
73,ELIOT MERCERON,0j
74,GUSTAVO CORREA NASCIMENTO,0j
75,BENGTSON EMIL,0j
76,ANTONY MUNOS,0j
77,RYAN PALK,0j
78,ERICK CARPES,0j
79,PHILIP WALKENBACH,0j
80,MICHAEL BULLOT,0j
81,FELIPE RONDINA,0j
82,ANDRES CLOOS,0j
83,GEORGIOS PAPADAKOS,0j
84,COLIN CHENG,0j
85,MITCHELL KENNEDY,0j
86,GABRIEL MEDEIROS KONIGSFELD,0j
87,JUST VAN AANHOLT,0j
88,CITAK YIGIT YALCIN,0j
89,ALESSIO SPADONI,0j
90,RICARDO SEGUEL LACAMARA,0j
91,DUKIC MILIVOJ,0j
92,EDUARDO MARQUES,0j
93,MARCO BENINI,0j
94,ANDREW MCKENZIE,0j
95,JOSE AFONSO HACKEROTT,0j
96,MAURO PRETTO,0j
97,ABAY BERKAY,0j
98,GUSTAVO LIMA,0j
99,DIMITRIS PAPADIMITRIOU,0j
100,NICK GRAEL,0j
101,BENJAMIN VADNAI,0j
102,ENRIQUE ARATHOON,0j
103,ANDREW LEWIS,0j
104,MATIAS PONCELL,0j
105,VIKTOR TEPLY,0j
106,MATEO MALDONADO,0j
107,GEISON MENDES,0j
108,MATIAS KIBURG,0j
109,ALEJANDRO CLOOS,0j
110,ROBERT DAVIS,0j
111,NELSON ALENCASTRO,0j
112,CISZKIEWICZ FILIP,0j
113,MATIAS BLANCO,0j
114,ENRICO STRAZZERA,0j
115,ALEXANDRE BOITE,0j
116,STEFANO CAIAFA,0j
117,PEDRO PAULO PINTO,0j
118,THEODOR BAUER,0j
119,DANIEL MIHELIC,0j
120,SEBASTIAN LERI,0j
121,PERONI DIMITRI,0j
122,ZELKO ZAN LUKA,0j
123,FRANCISCO V. RUSCHEL,0j
124,JUAN PABLO BISIO,0j
125,JANULIONIS KAROLIS,0j
126,ANTONIO ABREU CUNHA BONITO,0j
127,BARABINO CESARE,0j
128,ADRION JOSE BURGOS SANTOS,0j
129,ANDRES HEREDIA,0j
130,ANDREY DE OLIVEIRA GODOY,0j
131,SANTIAGO RIGONI,0j
132,EWAN MCMAHON,0j
133,PARKHILL LEE,0j
134,JUAN MARTIN OUTEIRO,0j
135,TOMAS PELLEJERO,0j
136,ALEX MILLS BARTON,0j
137,THOMPSON CY,0j
138,LUCAS BUENO,0j
139,ENRIQUE FELIU,0j
140,JOHAN LUNDGAARD SCHUBERT,0j
141,VISHNU SARAVANAN,0j
142,FEDERICO SIEBERT FRANCAVILLA,0j
143,ANTONIO CAVALCANTI ROSA,0j
144,HUMMEL YURI,0j
145,BRUNO GRUNWALDT,0j
146,ADONIS BOUGIOURIS,0j
147,ANTONIOS BOUGIOURIS,0j
148,NICOLO VILLA,0j
149,ANTONIO GANDOLPHO,0j
150,DENNIER INFANTE PUPO,0j
151,NIKOLAEV MAXIM,0j
152,HENRY MARSHALL,0j
153,TOMAS VARELA,0j
154,JULIAN HOFFMANN,0j
155,KHAIRULNIZAM MOHD AFENDY,0j
156,ARTURO MITNIK,0j
157,IGNACIO MORAGA SCHMIDT,0j
158,ANDRES RUVERTONI,0j
159,NOOA LAUKKANEN,0j
160,NAUJOCK NICO,0j
161,RICARDO JOSE CHEBAR,0j
162,DIEGO SILVESTRE PEREZ,0j
163,BOWERS ERIK,0j
164,KARIM FILLAH,0j
165,ARIEL ZERPA,0j
166,TOMASGAARD UFFE,0j
167,MICHAEL HANSEN,0j
168,SAM VANDORMAEL,0j
169,AGUSTIN PASCUAL,0j
170,JUAN GRUNWALDT,0j
171,UUSITALO VALTTERI,0j
172,SCHADEWALDT TOBIAS,0j
173,ALVARO ANTONIO C. BASTOS,0j
174,RUI SILVEIRA,0j
175,LORENZO MAYER,0j
176,SAMPAIO SANTIAGO,0j
177,JOAN CARDONA MENDEZ,0j
178,NICHOLAS BEZY,0j
179,ALCIR CACHAPUZ,0j
180,RAMON FRENE,0j
181,MATEO VIDAL,0j
182,JOAO PEDRO A. DE CARVALHO,0j
183,PIERO CASTANEDA,0j
184,GABRIEL MARTIN,0j
185,SANTIAGO VILLAX SAMPAIO,0j
186,GASPIC BRUNO,0j
187,FERNANDO MADUREIRA,0j
188,LEOPOLDO BARRETO HASCHKE,0j
189,VICTOR BARROCA,0j
190,RAMIRO ALEJANDRO SUAREZ FABBRO,0j
191,MATIAS DEL SOLAR,0j
192,EVERT MCLAUGHLIN,0j
193,IVO SCAMPINI,0j
194,HELIO ARAUJO,0j
195,MARCUS MAGNUSSON,0j
196,BORIO ATTILIO,0j
197,AKROUT YOUSSEF,0j
198,TOM RAMSHAW,0j
199,ROBERTO MOREIRA,0j
200,FRANCO NAHUEL RIQUELME ANTONETTI,0j
201,DANIIL KRUTSKIKH,0j
202,WIERSEMA WILLEM,0j
203,CHUSITT PUNJAMALA,0j
204,TADEUSZ KUBIAK,0j
205,DIEGO URRACA ROCHA,0j
206,LE PEN ETIENNE,0j
207,FIN DICKINSON,0j
208,CHIMONAS EVANGELOS,0j
209,GIANMARCO PLANCHESTAINER,0j
210,ANTONIO CARLOS B. DEFIGUEIREDO,0j
211,CARLOS TOMAS GABASIO,0j
212,SEGAWA KAZUMASA,0j
213,TIM CONRADI,0j
214,MARCIA STEFANO,0j
215,GIROD GUILLAUME,0j
216,MARK SPEARMAN,0j
217,ARTHIT MIKHAIL ROMANYK,0j
218,ELIMAR BITTAR,0j
219,EZEQUIEL ELIAS,0j
220,MACIEJ GRABOWSKI,0j
221,JACK COOKSON,0j
222,LUDVIG LINDQVIST,0j
223,PIETRO GIACOMONI,0j
224,LUCAS EDUARDO FAGNANI,0j
225,GIACOMO MUSONE,0j
226,ALEXANDRE KOWALSKI,0j
227,IGOR LES,0j
228,ALEJO ACOSTA,0j
229,QUEYROUX LOIC,0j
230,HENRY WETHERELL,0j
231,BEN HAROSH MAOR,0j
232,ILLIJA MARKOVIC,0j
233,MARIANO RIGONI,0j
234,MAXIME MAZARD,0j
235,GLYNN LIAM,0j
236,JAMES ESPEY,0j
237,HERMAN CELLI,0j
238,JACOB FARREN-PRICE,0j
239,GOLANI OMER,0j
240,THOMAS VAN OFWEGEN,0j
241,NING ZHAO,0j
242,ELLIOTT-SHIRCORE STEFAN,0j
243,JUAN VUGDELIJA,0j
244,JAKUB RODZIEWICZ,0j
245,GAUTHIER VERHULST,0j
246,SAMUEL KING,0j
247,LUKE RUITENBERG,0j
248,FLOWER BENJAMIN-TIMOTHY,0j
249,TOM HIGGINS,0j
250,JUAN DIEGO CHAVES,0j
251,MARTIN EVANS,0j
252,ANASTASIOS PANAGIOTIDIS,0j
253,GASPIC STIPE,0j
254,PEDRO LUIS FERNANDEZ GAMBOA,0j
255,ZALESKI MAREK,0j
256,GEORGII PACHES,0j
257,TOMAS RODRIGUEZ ARAYA,0j
258,CHRISTIAN GULDBERG ROST,0j
259,SYDNEY SCOTT,0j
260,MALCOLM LAMPHERE,0j
261,ROGEL SANCHEZ JESUS,0j
262,LUCAS ALDAZABAL,0j
263,RODZIEWICZ KUBA,0j
264,ARTHUR FARLEY,0j
265,MAVROGEORGIS CHARALAMPOS,0j
266,BRUNO AMARAL,0j
267,WILKEN MAX,0j
268,TOMAI BALAZS,0j
269,THEO PEYRE,0j
270,JUSTIN BARTH,0j
271,KARLSSON ANDERS,0j
272,IGNACIO ALMARZA,0j
273,GENTRY YANIC,0j
274,AO HIGUCHI,0j
275,TAPPER ALEKSI,0j
276,THEODOR MIDDELTHON,0j
277,KARK WILHELM,0j
278,THOMAS FORD MCCANN,0j
