Rank,Competidor,Rating
1,"MARTINE GRAEL, KAHENA KUNZE",(-0.012358586529414031+0j)
2,"IDA MARIE BAAD NIELSEN, MARIE THUSGAARD OLSEN",(0.008979117712394761-0.01883161288764762j)
3,"HANNA KLINGA, LISA ORN",(0.008979117712394761+0.01883161288764762j)
4,"ODILE VAN AANHOLT, ANNETTE DUETZ",(0.009770547847424335-0.025815489933691847j)
5,"MAIKEN FOGHT SCHUTT, ANNE-JULIE SCHUTT",(0.009770547847424335+0.025815489933691847j)
6,"ANNEMIEK BEKKERING, ANNETTE DUETZ",(0.02431557132181756-0.04194207465488738j)
7,"ANIKA LORENZ, VICTORIA JURCZOK",(0.02431557132181756+0.04194207465488738j)
8,"ODILE VAN AANHOLT, ELISE RUYTER",(-0.04979466370358137+0.002280236454335476j)
9,"VILMA BOBECK, REBECCA NETZLER",(-0.04979466370358137-0.002280236454335476j)
10,"RAGNA AGERUP, MAIA AGERUP",(-0.02890189345542752-0.020609449830151977j)
11,"JENA MAI HANSEN, KATJA SALSKOV-IVERSEN",(-0.02890189345542752+0.020609449830151977j)
12,"TAMARA ECHEGOYEN, BERTA BETANZOS",(-0.00884921442519459+0.046658853017492743j)
13,"FRANCESCA CLAPCICH, GIULIA CONTI",(-0.00884921442519459-0.046658853017492743j)
14,"ALEXANDRA MALONEY, MOLLY MEECH",(-0.03867759367119482+0.05873827589552217j)
15,"TINA LUTZ, SUSANN BEUCKE",(-0.03867759367119482-0.05873827589552217j)
16,"STEPHANIE ROBLE, MAGGIE SHEA",(0.02092705785624255-0.06502268657591004j)
17,"GIORGIA BERTUZZI, JANA GERMANI",(0.02092705785624255+0.06502268657591004j)
18,"HELENE NAESS, MARIE RONNINGEN",(0.022520628459748226-0.0063787779350020935j)
19,"ANNA YAMAZAKI, SENA TAKANO",(0.022520628459748226+0.0063787779350020935j)
20,"TANJA FRANK, LORENA ABICHT",(-0.004379165731190206-0.03450644743523729j)
21,"CARLA MUNTE, MARTA MUNTE",(-0.004379165731190206+0.03450644743523729j)
22,"OLIVIA PRICE, ELIZA SOLLY",(-0.04781706937241576+0.01609411537886818j)
23,"KIMBERLY LIM, CECILIA LOW",(-0.04781706937241576-0.01609411537886818j)
24,"ODILE VAN AANHOLT, MARIEKE JONGENS",(0.016730277306284767+0.023672473145671842j)
25,"CHARLOTTE DOBSON, SASKIA TIDEY",(0.016730277306284767-0.023672473145671842j)
26,"MARIA SOL BRANZ, CECILIA CARRANZA SAROLI",(0.026635049292193434-0.04235571119553306j)
27,"TAMARA ECHEGOYEN, PAULA BARCELO",(0.026635049292193434+0.04235571119553306j)
28,"OLIVIA PRICE, EVIE HASELDINE",(-0.025691496048293124+0.050448160334562606j)
29,"SOPHIE WEGUELIN, SOPHIE AINSWORTH",(-0.025691496048293124-0.050448160334562606j)
30,"VICTORIA TRAVASCIO, MARIA SOL BRANZ",(-0.029152292945430546-0.06719571914286496j)
31,"JULIA GROSS, HANNA KLINGA",(-0.029152292945430546+0.06719571914286496j)
32,"JOHANNE SCHMIDT, ANDREA SCHMIDT",(-0.04200480835734384-0.10310879319738045j)
33,"KLARA WESTER, REBECCA NETZLER",(-0.04200480835734384+0.10310879319738045j)
34,"ISAURA MAENHAUT, ANOUK GEURTS",(0.17528217704260932+0j)
