Rank,Competidor,Rating
1,BOUWMEESTER MARIT,(0.042897933713899265+0j)
2,ERICK CARPES,(-0.019467391623199395+0.053776657703391434j)
3,AGATA BARWINSKA,(-0.019467391623199395-0.053776657703391434j)
4,EVI VAN ACKER,(0.06994489729298142+0.014168945278589595j)
5,TUULA TENKANEN,(0.06994489729298142-0.014168945278589595j)
6,ANNE-MARIE RINDOM,(0.048765566230017404+0.023875440813964612j)
7,SARAH DOUGLAS,(0.048765566230017404-0.023875440813964612j)
8,MARIA ERDI,(-0.01414209082150023-0.059345302576770405j)
9,ALISON YOUNG,(-0.01414209082150023+0.059345302576770405j)
10,EMMA PLASSCHAERT,(-0.02839691083971258-0.031674788875401164j)
11,DOLORES MOREIRA FRASCHINI,(-0.02839691083971258+0.031674788875401164j)
12,JUAN PABLO CARDOZO,(-0.07247935523147489+0.0318658387812439j)
13,DONGSHUANG ZHANG,(-0.07247935523147489-0.0318658387812439j)
14,LUCIA FALASCA,(0.02131255483880794-0.08019501085192382j)
15,MAUD JAYET,(0.02131255483880794+0.08019501085192382j)
16,VASILEIA KARACHALIOU,(-0.07870406936056899-0.08687562592424496j)
17,GINTARE SCHEIDT,(-0.07870406936056899+0.08687562592424496j)
18,OLSSON JOSEFIN,(-0.08298898181308649+0.005929037606444525j)
19,HANNAH SNELLGROVE,(-0.08298898181308649-0.005929037606444525j)
20,ZOE THOMSON,(-0.002988377518340358-0.03748045235775552j)
21,PAIGE RAILEY,(-0.002988377518340358+0.03748045235775552j)
22,MAXIME JONKER,(-0.06478219839561931-0.015632910532115237j)
23,MONIKA MIKKOLA,(-0.06478219839561931+0.015632910532115237j)
24,GUSTAVO CORREA NASCIMENTO,(-0.05312894091577208+0.020907075186205222j)
25,FELIPE FRAQUELLI,(-0.05312894091577208-0.020907075186205222j)
26,VIKTORIJA ANDRULYTE,(-0.014991123874423393+0.03642356172041293j)
27,MARIE BARRUE,(-0.014991123874423393-0.03642356172041293j)
28,GABRIELLA MARQUES KIDD,(0.026914570023977184-0.1525217019151944j)
29,ERIKA REINEKE,(0.026914570023977184+0.1525217019151944j)
30,IMENEO CASEY,(0.03238116804636446-0.07778706102806339j)
31,MANAMI DOI,(0.03238116804636446+0.07778706102806339j)
32,FLEM HOST LINE,(0.15418180046524024-0.06368324178524286j)
33,MATHILDE DE KERANGAT,(0.15418180046524024+0.06368324178524286j)
34,LOUISE CERVERA,(-0.022920882396763927-0.0024791180553565347j)
35,MATILDA NICHOLLS,(-0.022920882396763927+0.0024791180553565347j)
36,CHIARA BENINI FLORIANI,(0.031232756158239464-0.08518322380043852j)
37,SANTIAGO PACHECO,(0.031232756158239464+0.08518322380043852j)
38,LUCIANA ANDREA CARDOZO,(-0.05053437955852897-0.10148474738415059j)
39,MARTINA REINO CACHO,(-0.05053437955852897+0.10148474738415059j)
40,FLORENCIA CHIARELLA,(0.03679782120778519-0.08197144540415335j)
41,VERONIKA KOZELSKA FENCLOVA,(0.03679782120778519+0.08197144540415335j)
42,ANNALISE MURPHY,(0.0303033496362746+0.146274811823669j)
43,SARAH GUNNI SCHIERUP,(0.0303033496362746-0.146274811823669j)
44,ANNA MUNCH,(-0.031092192306626406-0.0801269839956228j)
45,CHARLOTTE ROSE,(-0.031092192306626406+0.0801269839956228j)
46,MARA STRANSKY,(0.12388323789062122+0.031123347917137844j)
47,BOWSKILL BRENDA,(0.12388323789062122-0.031123347917137844j)
48,MAGDALENA KWASNA,(-0.08677934322722011-0.19078454694787803j)
49,JULIA BUESSELBERG,(-0.08677934322722011+0.19078454694787803j)
50,MAITE CARLIER,(-0.030844263556218214+0.075830991761358j)
51,STEFANO PENDOLA,(-0.030844263556218214-0.075830991761358j)
52,COLLINGRIDGE DAISY,(0.008385144227610806+0.07749942379658142j)
53,XU LIJIA,(0.008385144227610806-0.07749942379658142j)
54,SILVIA ZENNARO,(0.06336653561980672-0.047081041555262756j)
55,PEDRO MADUREIRA,(0.06336653561980672+0.047081041555262756j)
56,HANNAH ANDERSSOHN,(0.007990929659219667+0.12544568692797528j)
57,THOMAS POTTHOFF,(0.007990929659219667-0.12544568692797528j)
58,MICHON PERNELLE,(-0.025190253183085643-0.008515386749847125j)
59,GOLEBIOWSKA WIKTORIA,(-0.025190253183085643+0.008515386749847125j)
60,DAPHNE VAN DER VAART,(-0.04843939059627792-0.0018770799453719912j)
61,TATIANA DROZDOVSKAYA,(-0.04843939059627792+0.0018770799453719912j)
62,JOSE IRINEU SILVA,(-0.002810136062342903-0.022555148413494874j)
63,NAZLI CAGLA DONERTAS,(-0.002810136062342903+0.022555148413494874j)
64,TIRIL BUE,(0.0014129847152245208+0.016811749409809455j)
65,ELENA VOROBEVA,(0.0014129847152245208-0.016811749409809455j)
66,AKKERMAN MIRTHE,0j
67,POVALL GEORGINA,0j
68,JULIAN MARIA DUARTE ARGERICH,0j
69,ASHLEY STODDART,0j
70,ALBANO CAROLINA,0j
71,PAULINE LIEBIG,0j
72,LUCAS VIDELA,0j
73,FRANCISCO MAROTTA,0j
74,AINSWORTH ELYSE,0j
75,ECEM GUZEL,0j
76,FELIPE RONDINA,0j
77,CRISTINA PUJOL,0j
78,JOAQUIN GALVAN,0j
79,SARA WINTHER,0j
80,SVENJA WEGER,0j
81,MATHIAS REIMER,0j
82,TEO BERTOT,0j
83,SOPHIE ZIMMERMANN,0j
84,MARIE BOLOU,0j
85,AMELIE RIOU,0j
86,ELIZABETH YIN,0j
87,TINA MIHELIC,0j
88,GINAID ODILE,0j
89,ULISES GOMEZ LACCHINI,0j
90,ANTONIO MACHADO,0j
91,ALICIA CEBRIAN,0j
92,SARA CARMO,0j
93,MOHDMAD LATIF NUR SHAZRIN,0j
94,LUCAS ZORZI,0j
95,FEDERICA CATTAROZZI,0j
96,CATERINA ISABEL ROMERO AGUIRRE,0j
97,ISABELLA BERTOLD,0j
98,SANDRA LULI,0j
99,MARIA CRISTINA BOABAID,0j
100,GUSTAVO KIESSLING,0j
101,AGUSTIN GONZALEZ VILLALBA,0j
102,ISADORA DAL RI,0j
103,FACUNDO MAC GOWAN,0j
104,FRANCISCO GOMEZ,0j
105,MARILENA MAKRI,0j
106,EVE MCMAHON,0j
107,RODRIGO LUZ,0j
108,STEFANO CAIAFA,0j
109,CRISTINA CASTELLANOS ESTRADA,0j
110,CHLOE MARTIN,0j
111,NICK GRAEL,0j
112,AOIFE HOPKINS,0j
113,AGUSTINA JORDAN,0j
114,ANA MONCADA SANCHEZ,0j
115,FAKIDI ATHANASIA,0j
116,FRANCESCA CLAPCICH,0j
117,ALAN WILLY,0j
118,DELFINA DALLI,0j
119,PYATT SUSANNAH,0j
120,RICARDO PARANHOS,0j
121,RAMON FRENE,0j
122,LUCAS MOMES RUIZ,0j
123,LOVISA KARLSSON,0j
124,MARTHE ENGER EIDE,0j
125,MARIA ASHIDA,0j
126,TALLURI MATILDA,0j
127,NICOLAS CASTELARI RIVAS,0j
128,FLORIDIA JOYCE,0j
129,ANTONIO GANDOLPHO,0j
130,NICO GAINSCHUK,0j
131,FATIMA REYES,0j
132,PIA KUHLMANN,0j
133,KIM PLETIKOS,0j
134,GUILHERME PEREZ,0j
135,SHAY KAKON,0j
136,CARLOS TOMAS GABASIO,0j
137,ALEKSANDRA LUKOYANOVA,0j
138,MARIA GRACIA VEGAS TRIVELLI,0j
139,LUCIE BEN-AMOR,0j
140,OETLING RAMIREZ ELENA,0j
141,JULIA CARREIRAO,0j
142,KUMANAN NETHRA,0j
143,FEDERICO SIEBERT FRANCAVILLA,0j
144,FERNANDA DECNOP COELHO,0j
145,HUGHES HADDON,0j
146,PHILIPINE VAN AANHOLT,0j
147,MARIANA CRESPO,0j
148,PIERO CASTANEDA,0j
149,JOAQUIM DUARTE ARGERICH,0j
150,CAREN NIEZEN,0j
151,MARTHA CATERINA FARAGUNA,0j
152,SEBASTIAN LERI,0j
153,RUBEI YUAN,0j
154,FELIPE WENZEL,0j
155,CHRISTINA SAKELLARIS,0j
156,ANDREY DE OLIVEIRA GODOY,0j
157,ROSINE BAUDET,0j
158,FEDERICO ROGNONI,0j
159,EBRU BOLAT,0j
160,NAINA MARIA PINTO,0j
161,CLARA BEN-AMOR NUNEZ,0j
162,DELLA VALLE GIORGIA,0j
163,JOSE TOMAS CARDEMIL,0j
164,MATEO VIDAL,0j
165,ANJA VON ALLMEN,0j
166,LILLIAN MYERS,0j
167,TANIA ELIAS CALLES,0j
168,VERSTRAELEN ELINE,0j
169,ANTONIO ABREU CUNHA BONITO,0j
170,FELIPE DE ROSA,0j
171,ANNA WEINZIEHER,0j
172,ZYUZINA EKATERINA,0j
173,PEDRO WIEGAND,0j
174,SANTIAGO TOKER,0j
175,MILDA EIDUKEVICIUTE,0j
176,ISABEL BUSCH,0j
177,LIN PLETIKOS,0j
178,NICOLAS CASSESE,0j
179,MARINA GAMA,0j
180,JUAN DIEGO RISSO,0j
181,PALOMA SCHMIDT GUTIERREZ,0j
182,FELIPE ALVES TELES REVOREDO LIMA,0j
183,ISABELLA MAEGLI AGUERO,0j
184,MIN GU,0j
185,VITOR BAHIA,0j
186,LUIZ FELIPE GIAGIO,0j
187,PEDRO RODRIGUEZ REYNOSO,0j
188,LARA HIMMES,0j
189,VICTOR FONTAINE,0j
190,MICHALA NORSELL,0j
191,SAVELON EMMA,0j
192,BALBI VALENTINA,0j
193,JUAN PABLO CAROSI WARBURG,0j
194,STEPHANIE NORTON,0j
195,LEONARDO DIDIER,0j
196,BENJAMIN GALVAN,0j
197,ARIEL ZERPA,0j
198,WIND ROOS,0j
199,LISA FASSELT,0j
200,ANDREA ALDANA,0j
201,HUMBERTO CARVALHO,0j
202,TOMBE YUMIKO,0j
203,MARIIA KISLUKHINA,0j
204,CARLOTA SANCHEZ,0j
205,FRASCARI MAELLE,0j
206,SANTIAGO GUINAND,0j
207,SARA SAVELLI,0j
208,EKATERINA MORGUN,0j
209,KUMPINA ESTERE PAULA,0j
210,JACOB OREN,0j
211,ELLION DE JESUS,0j
212,MANUEL ROMAN,0j
213,ALESSIA PALANTI,0j
214,AGNESE CAIAFA,0j
215,IJBEN MARISSA,0j
216,LENA HAVERLAND,0j
217,ISABEL HERNANDEZ PENA,0j
218,HANNA KOBA,0j
219,BERNARDO MARTINS,0j
220,DEWEY MAURA,0j
221,FELIPE BLAS ALFARO,0j
222,ROGER TORRES,0j
223,HAJI-MICHAEL ANYA,0j
224,CLAIRE MERRY,0j
225,CUMPSTY ELEANOR,0j
226,MOLLY SACKER,0j
227,LAURA SCHEWE,0j
228,ROCA DE TOGORES BENABENT ASCENSION,0j
229,SOFIE SLOTSGAARD,0j
230,EDUARDO PEREIRA GUIMARAES,0j
231,SOFIA ALEJANDRA DAGOSTINO,0j
232,GRAVELY CLARA,0j
233,TOMAS BODETTO,0j
234,CHRISTIE OLIVIA,0j
