,Rating
"WILLIAM JONES, EVAN DEPAUL",0.010828597629605955
"DOMINIK BUKSAK, SZYMON WIERZBICKI",0.004249376998495471
"BLAIR TUKE, PETER BURLING",0.0037470615681681084
"DIEGO BOTIN, FLORIAN TRITTEL PAUL",0.0012628258833245216
"RYAN SEATON, MATT MCGOVERN",0.0012628258833245216
"FYNN STERRITT, JAMES PETERS",0.010893805935364468
"YAGO LANGE, KLAUS LANGE",0.009140339651484424
"DYLAN FLETCHER, STUART BITHELL",0.009140339651484424
"CLEMENT PEQUIN, ERWAN FISCHER",0.014506604042766916
"BART LAMBRIEX, FLORIS VAN DE WERKEN",0.014506604042766916
"SIME FANTELA, MIHOVIL FANTELA",0.002379248937763565
"DIEGO BOTIN, IAGO LOPEZ MARRA",0.002379248937763565
"TIM FISCHER, FABIAN GRAF",0.005068228976553635
"NATHAN OUTTERIDGE, IAIN JENSEN",0.009483507851464918
"DANE WILSON, SCOTT EWING",0.009483507851464918
"MAXIMILIANO AGNESE, NEVIN SNOW",0.001573204510471129
"JONAS WARRER, CHRISTIAN PETER STEPHENSEN LUBECK",0.001573204510471129
"JIM COLLEY, SHAUN CONNOR",0.009754493229353733
"ERIK HEIL, THOMAS PLOESSEL",0.009754493229353733
"HANS HENKEN, IAN BARROWS",0.0015177578000186386
"LOGAN BECK, OSCAR GUNN",0.0015177578000186386
"MATHIEU FREI, NOE DELPECH",0.005187704505598653
"NICO DELLE - KARTH, NIKOLAUS RESCH",0.005187704505598653
"BENJAMIN BILDSTEIN, DAVID HUSSL",0.00915051928384809
"WILL PHILLIPS, SAM PHILLIPS",0.004265013794410363
"MIKOLAJ STANIUL, JAKUB SZTORCH",0.004265013794410363
"DANTE BIANCHI, THOMAS LOW-BEER",0.006180995133515061
"FREDERIK RASK, JAKOB PRECHT JENSEN",0.006180995133515061
"JOSH POREBSKI, TRENT RIPPEY",0.004760331927606365
"FEDERICO ALONSO TELLECHEA, ARTURO ALONSO TELLECHEA",0.004760331927606365
"DYLAN FLETCHER, ALAIN SIGN",0.0063666791611022
"CARL SYLVAN, MARCUS ANJEMARK",0.0063666791611022
"DON WHITCRAFT, DYLAN WHITCRAFT",0.008926648483365196
"DAVID GILMOUR, JOEL TURNER",0.008926648483365196
"DAVID GILMOUR, RHYS MARA",0.004371617162017021
"ANDERS THOMSEN, JONAS WARRER",0.004371617162017021
"ISAAC MCHARDIE, WILLIAM MCKENZIE",0.0112485468048851
"LUKASZ PRZYBYTEK, PAWEL KOLODZINSKI",0.0112485468048851
"TOMASZ JANUSZEWSKI, JACEK NOWAK",0.0060804148101486185
"JONAS WARRER, JAKOB PRECHT JENSEN",0.0060804148101486185
"OLIVER MANTON, BILLY GOODFELLOW",0.011638805027389891
"JOHN PINK, STUART BITHELL",0.011638805027389891
"EMILE AMOROS, LUCAS RUAL",0.00996103399760942
"MARCUS HANSEN, JOSH POREBSKI",0.00996103399760942
"TOM PELSMAEKERS, YANNICK LEFEBVRE",0.009575009523141947
"JUSTUS SCHMIDT, MAX BOEHME",0.009575009523141947
"ANDREW MOLLERUS, IAN MACDIARMID",0.0026406710570439948
"LUKASZ PRZYBYTEK, JACEK PIASECKI",0.0026406710570439948
"SEBASTIEN SCHNEITER, LUCIEN CUJEAN",0.017157453826848468
"RYAN WOOD, ANDREW WOOD",0.017157453826848468
"NOAH LYONS, JOHN MICHEL",0.0013441823719266318
"DUNNING BECK LOGAN, OSCAR GUNN",0.0013441823719266318
"ARNO DE PLANTA, SEBASTIEN SCHNEITER",0.0036780265892501322
"ANDREAS SPRANGER, JAKOB MEGGENDORFER",0.0036780265892501322
"UBERTO CRIVELLI VISCONTI, GIANMARCO TOGNI",0.015438572023845826
"BART LAMBRIEX, PIM VAN VUGT",0.015438572023845826
"JOSE PEDRO CHIFFLET, FEDERICO RADOVITZKY",0.024888951600475752
"DAVE EVANS, ED POWYS",0.024888951600475752
"UBERTO CRIVELLI VISCONTI, LEONARDO CHISTE",0.02168430194924734
"DYLAN JONES, EDWARD COLEMAN",0.02168430194924734
"PAVLE KOSTOV, PETAR CUPAC",0.01638200619696857
"ERWAN FISCHER, YOUENN BERTIN",0.01638200619696857
"DAVID GILMOUR, LEWIS BRAKE",0.021574260220979455
"ROBERT DICKSON, SEAN WADDILOVE",0.021574260220979455
"JORGE LIMA, JOSE COSTA",0.021114553093343584
"NATHAN HOUSBERG, MALCOLM LAMPHERE",0.021114553093343584
"KENJI TAKAHASHI, YUKIO MAKINO",0.011624827618976994
"MARCO GRAEL, GABRIEL BORGES",0.011624827618976994
"JONAS WARRER, MARCUS LANGAGERGAARD",0.013654250230209396
"ZAIDING WEN, TIAN LIU",0.013654250230209396
"JULIEN D'ORTOLI, NOE DELPECH",0.006845881506827924
"DANIEL NYBORG, SEBASTIAN WRIGHT OLSEN",0.006845881506827924
