,Rating
"MARTINE GRAEL, KAHENA KUNZE",0.1436780303508371
"IDA MARIE BAAD NIELSEN, MARIE THUSGAARD OLSEN",0.057880117100144644
"HANNA KLINGA, LISA ORN",0.06493871740105558
"ODILE VAN AANHOLT, ANNETTE DUETZ",0.08908495312210439
"MAIKEN FOGHT SCHUTT, ANNE-JULIE SCHUTT",0.10374505819799962
"ANNEMIEK BEKKERING, ANNETTE DUETZ",0.10374505819799962
"ANIKA LORENZ, VICTORIA JURCZOK",0.06826267610547729
"ODILE VAN AANHOLT, ELISE RUYTER",0.06826267610547729
"RAGNA AGERUP, MAIA AGERUP",0.050016870557955846
"JENA MAI HANSEN, KATJA SALSKOV-IVERSEN",0.050016870557955846
"TAMARA ECHEGOYEN, BERTA BETANZOS",0.023800404360989284
"FRANCESCA CLAPCICH, GIULIA CONTI",0.023800404360989284
"ALEXANDRA MALONEY, MOLLY MEECH",0.08913773992221409
"TINA LUTZ, SUSANN BEUCKE",0.08913773992221409
"STEPHANIE ROBLE, MAGGIE SHEA",0.059794682061703124
"GIORGIA BERTUZZI, JANA GERMANI",0.059794682061703124
"HELENE NAESS, MARIE RONNINGEN",0.027214496623664233
"VILMA BOBECK, REBECCA NETZLER",0.027214496623664233
"ANNA YAMAZAKI, SENA TAKANO",0.03981750037995055
"TANJA FRANK, LORENA ABICHT",0.03981750037995055
"CARLA MUNTE, MARTA MUNTE",0.04245380154545043
"OLIVIA PRICE, ELIZA SOLLY",0.04245380154545043
"KIMBERLY LIM, CECILIA LOW",0.024817600089656725
"ODILE VAN AANHOLT, MARIEKE JONGENS",0.024817600089656725
"CHARLOTTE DOBSON, SASKIA TIDEY",0.031587744940818265
"TAMARA ECHEGOYEN, PAULA BARCELO",0.031587744940818265
"SOPHIE WEGUELIN, SOPHIE AINSWORTH",0.00931052268664502
"VICTORIA TRAVASCIO, MARIA SOL BRANZ",0.00931052268664502
"JULIA GROSS, HANNA KLINGA",0.013369645616302621
"JOHANNE SCHMIDT, ANDREA SCHMIDT",0.013369645616302621
"KLARA WESTER, REBECCA NETZLER",0.022051329580510533
"ISAURA MAENHAUT, ANOUK GEURTS",0.022051329580510533
"RONJA GRONBLOM, VEERA HOKKA",0.10930128987407922
"ALEKSANDRA MELZACKA, SANDRA JANKOWIAK",0.10930128987407922
"NATASHA BRYANT, ANNIE WILMOT",0.04196160908097499
"ALEXANDRA TEN HOVE, MARIAH MILLEN",0.04196160908097499
"MARIA SOL BRANZ, CECILIA CARRANZA SAROLI",0.027707135484590296
"AUDE COMPAN, SARAH STEYAERT",0.02207027590030544
"XIAOYU HU, MENGYUAN SHAN",0.02207027590030544
"TESS LLOYD, CAITLIN ELKS",0.00823733916097805
"ALBANE DUBOIS, LILI SEBESI",0.00823733916097805
"PATRICIA SUAREZ, MARIA CANTERO",0.02580114821998673
"CHARLOTTE DOBSON, SOPHIE AINSWORTH",0.02580114821998673
"QUINLAN WILSON, ROMAIN SCREVE",0.047392718783687844
"LARA GRANIER, AMELIE RIOU",0.047392718783687844
"ANTONIA LEWIN LAFRANCE, GEORGIA LEWIN LAFRANCE",0.018989090907178034
"ODILE VAN AANHOLT, NICOLE VAN DER VELDEN",0.018989090907178034
"TIMMA FLANAGAN, JEAN-MATTHIEU BOLLAND",0.0064104915740320475
"CHIKA HATAE, HIROKA ITAKURA",0.0064104915740320475
"CECILIA JONSSON, JULIA GROSS",0.026342748876068474
"IDA SVENSSON, CECILIA JONSSON",0.026342748876068474
"ALEXANDRA STALDER, SILVIA SPERI",0.02877797328604667
"NINA KEIJZER, CLAIRE BLOM",0.02877797328604667
"ALEKSANDRA MELZACKA, KINGA LOBODA",0.041222238619038544
"ENIA NINCEVIC, MIHAELA DE MICHELI VITTURI",0.041222238619038544
"ALLISON SURRETTE, MAX FLINN",0.05078477411357392
"ELENA CHRISTINE STOFFERS, LEONIE MEYER",0.05078477411357392
"HELENA SCUTT, PARIS HENKEN",0.0357760776877027
"OTTAVIA MARIA RAGGIO, PAOLA BERGAMASCHI",0.0357760776877027
"SOPHIE STEINLEIN, MARIE THUSGAARD",0.03671507834826546
"ALEXANDRA MALONEY, OLIVIA HOBBS",0.03671507834826546
"GALEN RICHARDSON, AIDAN CHIU",0.0659534279349191
"ANNA TOBIAS, PARIS HENKEN",0.0659534279349191
"NOORA RUSKOLA, CAMILLA CEDERCREUTZ",0.06051835840965358
"FREYA BLACK, SASKIA TIDEY",0.06051835840965358
"PIA DAHL ANDERSEN, NORA EDLAND",0.02249202226737873
