,Rating
"MARTINE GRAEL, KAHENA KUNZE",1686.772743993647
"IDA MARIE BAAD NIELSEN, MARIE THUSGAARD OLSEN",1633.7676582829263
"HANNA KLINGA, LISA ORN",1537.787614631647
"ODILE VAN AANHOLT, ANNETTE DUETZ",1574.151923658839
"MAIKEN FOGHT SCHUTT, ANNE-JULIE SCHUTT",1557.305002347452
"ANNEMIEK BEKKERING, ANNETTE DUETZ",1636.0356231434648
"ANIKA LORENZ, VICTORIA JURCZOK",1615.6575548899693
"ODILE VAN AANHOLT, ELISE RUYTER",1537.8934606774783
"VILMA BOBECK, REBECCA NETZLER",1565.9802152522602
"RAGNA AGERUP, MAIA AGERUP",1554.871975269273
"JENA MAI HANSEN, KATJA SALSKOV-IVERSEN",1618.1921556537413
"TAMARA ECHEGOYEN, BERTA BETANZOS",1573.462377779389
"FRANCESCA CLAPCICH, GIULIA CONTI",1574.5476171054981
"ALEXANDRA MALONEY, MOLLY MEECH",1630.8203085300158
"TINA LUTZ, SUSANN BEUCKE",1611.874218586582
"STEPHANIE ROBLE, MAGGIE SHEA",1622.9295259744551
"GIORGIA BERTUZZI, JANA GERMANI",1588.976713929231
"HELENE NAESS, MARIE RONNINGEN",1644.2890101780577
"ANNA YAMAZAKI, SENA TAKANO",1503.8994788573873
"TANJA FRANK, LORENA ABICHT",1520.7400282970482
"CARLA MUNTE, MARTA MUNTE",1520.6848865924424
"OLIVIA PRICE, ELIZA SOLLY",1514.3093341453148
"KIMBERLY LIM, CECILIA LOW",1506.6976236472096
"ODILE VAN AANHOLT, MARIEKE JONGENS",1534.5011329578142
"CHARLOTTE DOBSON, SASKIA TIDEY",1613.5823903061796
"MARIA SOL BRANZ, CECILIA CARRANZA SAROLI",1509.5541723351612
"TAMARA ECHEGOYEN, PAULA BARCELO",1563.0426460380431
"OLIVIA PRICE, EVIE HASELDINE",1501.428031781555
"SOPHIE WEGUELIN, SOPHIE AINSWORTH",1571.605187529518
"VICTORIA TRAVASCIO, MARIA SOL BRANZ",1598.5463626268202
"JULIA GROSS, HANNA KLINGA",1552.4562743594774
"JOHANNE SCHMIDT, ANDREA SCHMIDT",1549.6665293615665
"KLARA WESTER, REBECCA NETZLER",1550.5881342357818
