,Rating
"WILLIAM JONES, EVAN DEPAUL",1530.6383777227923
"DOMINIK BUKSAK, SZYMON WIERZBICKI",1846.616461237657
"BLAIR TUKE, PETER BURLING",2130.908407491653
"DIEGO BOTIN, FLORIAN TRITTEL PAUL",2061.3603919490506
"RYAN SEATON, MATT MCGOVERN",1839.718394550439
"FYNN STERRITT, JAMES PETERS",1917.6214614985454
"YAGO LANGE, KLAUS LANGE",1827.5654618967249
"DYLAN FLETCHER, STUART BITHELL",2091.273703348474
"CLEMENT PEQUIN, ERWAN FISCHER",1965.8985008589243
"LOGAN BECK, OSCAR GUNN",1990.5646536776092
"BART LAMBRIEX, FLORIS VAN DE WERKEN",2031.9223248588291
"SIME FANTELA, MIHOVIL FANTELA",2000.4179308310045
"DIEGO BOTIN, IAGO LOPEZ MARRA",2058.060947447961
"TIM FISCHER, FABIAN GRAF",1820.182034715183
"NATHAN OUTTERIDGE, IAIN JENSEN",1956.866938432428
"DANE WILSON, SCOTT EWING",1633.044283318879
"MAXIMILIANO AGNESE, NEVIN SNOW",1797.2298790544705
"JONAS WARRER, CHRISTIAN PETER STEPHENSEN LUBECK",1828.5259820494396
"JIM COLLEY, SHAUN CONNOR",1888.017938690728
"ERIK HEIL, THOMAS PLOESSEL",1893.6352210938182
"HANS HENKEN, IAN BARROWS",1978.1322366404268
"TOM BURTON, MAX PAUL",1644.369229806924
"ARNO DE PLANTA, SEBASTIEN SCHNEITER",1771.4584631709454
"MATHIEU FREI, NOE DELPECH",1836.9735553072303
"NICO DELLE - KARTH, NIKOLAUS RESCH",1956.5849933389147
"BENJAMIN BILDSTEIN, DAVID HUSSL",1905.9995706165105
"WILL PHILLIPS, SAM PHILLIPS",1881.5711907935338
"MIKOLAJ STANIUL, JAKUB SZTORCH",1960.943972655938
"DANTE BIANCHI, THOMAS LOW-BEER",1554.7236953316801
"ISAAC MCHARDIE, WILLIAM MCKENZIE",1982.1777482275934
"FREDERIK RASK, JAKOB PRECHT JENSEN",1899.5904396465126
"JOSH POREBSKI, TRENT RIPPEY",1918.7712383370038
"FEDERICO ALONSO TELLECHEA, ARTURO ALONSO TELLECHEA",1746.2758263897913
"DYLAN FLETCHER, ALAIN SIGN",1839.0003596675474
"CARL SYLVAN, MARCUS ANJEMARK",1755.4274831052492
"DON WHITCRAFT, DYLAN WHITCRAFT",1280.3263267860978
"DAVID GILMOUR, JOEL TURNER",1846.522081885429
"DAVID GILMOUR, RHYS MARA",1648.2904072935387
"ANDERS THOMSEN, JONAS WARRER",1819.444512343923
