,Rating
BOUWMEESTER MARIT,2187.2340359455566
ERICK CARPES,1838.4196615664491
AGATA BARWINSKA,2138.517741354458
EVI VAN ACKER,2057.285032646543
TUULA TENKANEN,2016.0888915647479
ANNE-MARIE RINDOM,2247.2674395774593
SARAH DOUGLAS,2084.2310746308026
MARIA ERDI,2129.346286714718
ALISON YOUNG,2011.6174212974265
EMMA PLASSCHAERT,2180.289014284353
DOLORES MOREIRA FRASCHINI,1858.0153183956045
JUAN PABLO CARDOZO,1706.1220557126803
DONGSHUANG ZHANG,1841.4805347310598
LUCIA FALASCA,1838.2313923140466
MAUD JAYET,2138.2815382575995
VASILEIA KARACHALIOU,1955.3291967104667
GINTARE SCHEIDT,1897.0239574509715
OLSSON JOSEFIN,2063.992037069824
HANNAH SNELLGROVE,2019.225333831403
ZOE THOMSON,1670.2851975183037
PAIGE RAILEY,2044.7758497622715
MAXIME JONKER,2112.5218727773345
MONIKA MIKKOLA,1719.8999645094354
GUSTAVO CORREA NASCIMENTO,1757.0662573307286
FELIPE FRAQUELLI,1791.264193223609
VIKTORIJA ANDRULYTE,1768.1561218926715
MARIE BARRUE,1977.1016561573706
GABRIELLA MARQUES KIDD,1621.8869992361535
ERIKA REINEKE,2005.2549209845977
IMENEO CASEY,1977.8917689455852
MANAMI DOI,2005.5128905505248
FLEM HOST LINE,2034.2426223226826
MATHILDE DE KERANGAT,1833.6903457766316
LOUISE CERVERA,2089.7454887105546
MATILDA NICHOLLS,1910.2881627747076
CHIARA BENINI FLORIANI,1937.6265795038669
SANTIAGO PACHECO,1681.7183225035953
LUCIANA ANDREA CARDOZO,1727.540907794626
MARTINA REINO CACHO,1749.3909517756326
FLORENCIA CHIARELLA,1794.0153450915059
VERONIKA KOZELSKA FENCLOVA,1837.0215571779634
ANNALISE MURPHY,1729.9705231254313
SARAH GUNNI SCHIERUP,1826.898937086952
ANNA MUNCH,1955.1583669673
CHARLOTTE ROSE,1874.9304941927976
MARA STRANSKY,2074.916608201238
BOWSKILL BRENDA,1811.655318146555
MAGDALENA KWASNA,1845.1637984802621
