,Rating
BOUWMEESTER MARIT,0.14291910718220108
ERICK CARPES,0.09323313910975962
AGATA BARWINSKA,0.09323313910975962
EVI VAN ACKER,0.006548928413998407
TUULA TENKANEN,0.07066087671384291
ANNE-MARIE RINDOM,0.07066087671384291
SARAH DOUGLAS,0.10739291658261767
ALISON YOUNG,0.10739291658261767
EMMA PLASSCHAERT,0.004653491836080701
DOLORES MOREIRA FRASCHINI,0.004653491836080701
JUAN PABLO CARDOZO,0.008856154203730333
DONGSHUANG ZHANG,0.02182925933812515
LUCIA FALASCA,0.02182925933812515
MAUD JAYET,0.11053556385473788
VASILEIA KARACHALIOU,0.11053556385473788
GINTARE SCHEIDT,0.07907758412389437
OLSSON JOSEFIN,0.07907758412389437
HANNAH SNELLGROVE,0.0701797579839451
PAIGE RAILEY,0.0701797579839451
MAXIME JONKER,0.006000440109942041
MONIKA MIKKOLA,0.006000440109942041
GUSTAVO CORREA NASCIMENTO,0.026107202806214914
FELIPE FRAQUELLI,0.026107202806214914
VIKTORIJA ANDRULYTE,0.0395777128809992
MARIE BARRUE,0.0395777128809992
GABRIELLA MARQUES KIDD,0.009533920571498196
MARIA ERDI,0.009533920571498196
ERIKA REINEKE,0.06681967719447159
IMENEO CASEY,0.05981713993949987
MANAMI DOI,0.05981713993949987
FLEM HOST LINE,0.05323358630735629
MATHILDE DE KERANGAT,0.05323358630735629
LOUISE CERVERA,0.046132385955601506
MATILDA NICHOLLS,0.046132385955601506
SANTIAGO PACHECO,0.07707203912822935
LUCIANA ANDREA CARDOZO,0.07707203912822935
MARTINA REINO CACHO,0.030804733567397605
FLORENCIA CHIARELLA,0.030804733567397605
VERONIKA KOZELSKA FENCLOVA,0.02196207503988996
ANNALISE MURPHY,0.02196207503988996
SARAH GUNNI SCHIERUP,0.024142876855337957
ANNA MUNCH,0.024142876855337957
MARA STRANSKY,0.01264769555260619
BOWSKILL BRENDA,0.01264769555260619
MAGDALENA KWASNA,0.02422770925491691
JULIA BUESSELBERG,0.02422770925491691
MAITE CARLIER,0.01813286572830799
STEFANO PENDOLA,0.01813286572830799
COLLINGRIDGE DAISY,0.10590673693494108
XU LIJIA,0.03226431066370344
SILVIA ZENNARO,0.03226431066370344
PEDRO MADUREIRA,0.004804259928764173
HANNAH ANDERSSOHN,0.004804259928764173
THOMAS POTTHOFF,0.0035937213508704826
MICHON PERNELLE,0.0035937213508704826
DAPHNE VAN DER VAART,0.04686977303800874
TATIANA DROZDOVSKAYA,0.04686977303800874
JOSE IRINEU SILVA,0.007497956073845708
CHIARA BENINI FLORIANI,0.007497956073845708
GOLEBIOWSKA WIKTORIA,0.049786703911707475
NAZLI CAGLA DONERTAS,0.049786703911707475
TIRIL BUE,0.014280460035242746
ELENA VOROBEVA,0.014280460035242746
AKKERMAN MIRTHE,0.006481702314673431
POVALL GEORGINA,0.006481702314673431
JULIAN MARIA DUARTE ARGERICH,0.060001095999241146
ASHLEY STODDART,0.060001095999241146
PAULINE LIEBIG,0.015614992552446548
CHARLOTTE ROSE,0.015614992552446548
LUCAS VIDELA,0.04374584986603256
FRANCISCO MAROTTA,0.04374584986603256
AINSWORTH ELYSE,0.027785113099656686
ECEM GUZEL,0.027785113099656686
FELIPE RONDINA,0.06453835350772381
CRISTINA PUJOL,0.06453835350772381
JOAQUIN GALVAN,0.023758045348989953
ZOE THOMSON,0.023758045348989953
SARA WINTHER,0.032587566748033
SVENJA WEGER,0.032587566748033
MATHIAS REIMER,0.03339693168107816
TEO BERTOT,0.03339693168107816
SOPHIE ZIMMERMANN,0.0198473796368606
MARIE BOLOU,0.0198473796368606
AMELIE RIOU,0.011219979835679263
ELIZABETH YIN,0.011219979835679263
TINA MIHELIC,0.009494357799141689
GINAID ODILE,0.009494357799141689
ULISES GOMEZ LACCHINI,0.012882545584812714
ANTONIO MACHADO,0.012882545584812714
ALICIA CEBRIAN,0.027375308108397747
SARA CARMO,0.027375308108397747
MOHDMAD LATIF NUR SHAZRIN,0.01334231276233885
LUCAS ZORZI,0.01334231276233885
FEDERICA CATTAROZZI,0.03205453380229981
CATERINA ISABEL ROMERO AGUIRRE,0.03205453380229981
ISABELLA BERTOLD,0.004343824125623648
SANDRA LULI,0.004343824125623648
MARIA CRISTINA BOABAID,0.022396656329711922
GUSTAVO KIESSLING,0.022396656329711922
AGUSTIN GONZALEZ VILLALBA,0.004031437051671065
ISADORA DAL RI,0.027392256686153922
FACUNDO MAC GOWAN,0.027392256686153922
FRANCISCO GOMEZ,0.04770166698108982
MARILENA MAKRI,0.04770166698108982
EVE MCMAHON,0.018405336074022748
RODRIGO LUZ,0.018405336074022748
STEFANO CAIAFA,0.014002422828325275
ALBANO CAROLINA,0.014002422828325275
CRISTINA CASTELLANOS ESTRADA,0.02127588232540242
CHLOE MARTIN,0.02127588232540242
NICK GRAEL,0.040473780856292184
AOIFE HOPKINS,0.040473780856292184
AGUSTINA JORDAN,0.027535599028635345
ANA MONCADA SANCHEZ,0.027535599028635345
FAKIDI ATHANASIA,0.009273923645346321
FRANCESCA CLAPCICH,0.009273923645346321
ALAN WILLY,0.019850129690450805
DELFINA DALLI,0.019850129690450805
PYATT SUSANNAH,0.018189134263273277
RICARDO PARANHOS,0.018189134263273277
RAMON FRENE,0.0032470070927096734
LUCAS MOMES RUIZ,0.0032470070927096734
LOVISA KARLSSON,0.01679544269160683
MARTHE ENGER EIDE,0.01679544269160683
MARIA ASHIDA,0.013331062604928333
TALLURI MATILDA,0.013331062604928333
NICOLAS CASTELARI RIVAS,0.01363624289058482
FLORIDIA JOYCE,0.01363624289058482
ANTONIO GANDOLPHO,0.04475463414494978
NICO GAINSCHUK,0.04475463414494978
FATIMA REYES,0.0006137420977948121
KIM PLETIKOS,0.0006137420977948121
GUILHERME PEREZ,0.0148060320696649
SHAY KAKON,0.0148060320696649
CARLOS TOMAS GABASIO,0.0425424668176241
ALEKSANDRA LUKOYANOVA,0.0425424668176241
MARIA GRACIA VEGAS TRIVELLI,0.008075231107640891
LUCIE BEN-AMOR,0.008075231107640891
OETLING RAMIREZ ELENA,0.00795484163460353
JULIA CARREIRAO,0.00795484163460353
KUMANAN NETHRA,0.015686422588134092
FEDERICO SIEBERT FRANCAVILLA,0.015686422588134092
FERNANDA DECNOP COELHO,0.019291897941635938
HUGHES HADDON,0.019291897941635938
PHILIPINE VAN AANHOLT,0.02341592781729127
MARIANA CRESPO,0.02341592781729127
PIERO CASTANEDA,0.01711739813951539
JOAQUIM DUARTE ARGERICH,0.01711739813951539
CAREN NIEZEN,0.0073611807462009024
MARTHA CATERINA FARAGUNA,0.0073611807462009024
SEBASTIAN LERI,0.025491077413710542
RUBEI YUAN,0.025491077413710542
FELIPE WENZEL,0.04297931490985354
CHRISTINA SAKELLARIS,0.04297931490985354
ANDREY DE OLIVEIRA GODOY,0.03799798386101559
ROSINE BAUDET,0.031905948257044785
FEDERICO ROGNONI,0.031905948257044785
EBRU BOLAT,0.030297717624034274
NAINA MARIA PINTO,0.030297717624034274
CLARA BEN-AMOR NUNEZ,0.016448698430275764
DELLA VALLE GIORGIA,0.016448698430275764
JOSE TOMAS CARDEMIL,0.013106670128284635
MATEO VIDAL,0.013106670128284635
ANJA VON ALLMEN,0.0011770112128240138
LILLIAN MYERS,0.0011770112128240138
TANIA ELIAS CALLES,0.012177829711416075
VERSTRAELEN ELINE,0.02104016435234644
ANTONIO ABREU CUNHA BONITO,0.02104016435234644
FELIPE DE ROSA,0.03178524976137236
ANNA WEINZIEHER,0.03178524976137236
ZYUZINA EKATERINA,0.0022083718828706657
PEDRO WIEGAND,0.0022083718828706657
SANTIAGO TOKER,0.05922861893504118
MILDA EIDUKEVICIUTE,0.05922861893504118
ISABEL BUSCH,0.008433638979482277
LIN PLETIKOS,0.008433638979482277
NICOLAS CASSESE,0.005663443118351888
MARINA GAMA,0.005663443118351888
JUAN DIEGO RISSO,0.016104911368169456
PALOMA SCHMIDT GUTIERREZ,0.016104911368169456
FELIPE ALVES TELES REVOREDO LIMA,0.030766917769920687
ISABELLA MAEGLI AGUERO,0.030766917769920687
MIN GU,0.010312984185093754
VITOR BAHIA,0.010312984185093754
LUIZ FELIPE GIAGIO,0.005756057339135722
PEDRO RODRIGUEZ REYNOSO,0.005756057339135722
VICTOR FONTAINE,0.012036095714764711
MICHALA NORSELL,0.012036095714764711
SAVELON EMMA,0.02124183876661719
BALBI VALENTINA,0.02124183876661719
JUAN PABLO CAROSI WARBURG,0.0016313733139264076
LEONARDO DIDIER,0.0016313733139264076
BENJAMIN GALVAN,0.0162738748588474
ARIEL ZERPA,0.0162738748588474
WIND ROOS,0.012233171634126374
LISA FASSELT,0.012233171634126374
PIA KUHLMANN,0.020511056284914633
ANDREA ALDANA,0.020511056284914633
HUMBERTO CARVALHO,0.007056175111031255
TOMBE YUMIKO,0.007056175111031255
MARIIA KISLUKHINA,0.05667473063838813
CARLOTA SANCHEZ,0.05667473063838813
FRASCARI MAELLE,0.0444873207735156
SANTIAGO GUINAND,0.0444873207735156
SARA SAVELLI,0.008795143390344824
EKATERINA MORGUN,0.008795143390344824
KUMPINA ESTERE PAULA,0.027444220847546053
JACOB OREN,0.027444220847546053
ELLION DE JESUS,0.015624594851434748
MANUEL ROMAN,0.015624594851434748
ALESSIA PALANTI,0.023716451402132445
AGNESE CAIAFA,0.023716451402132445
IJBEN MARISSA,0.01952071505818916
LENA HAVERLAND,0.01952071505818916
HANNA KOBA,0.005505420388380888
BERNARDO MARTINS,0.005505420388380888
DEWEY MAURA,0.013067088781348551
FELIPE BLAS ALFARO,0.013067088781348551
ROGER TORRES,0.027714329010055824
HAJI-MICHAEL ANYA,0.027714329010055824
CLAIRE MERRY,0.01788779170709032
CUMPSTY ELEANOR,0.01788779170709032
MOLLY SACKER,0.01720679858093241
LAURA SCHEWE,0.01720679858093241
ROCA DE TOGORES BENABENT ASCENSION,0.026026153888646302
SOFIE SLOTSGAARD,0.026026153888646302
EDUARDO PEREIRA GUIMARAES,0.030807676028465847
SOFIA ALEJANDRA DAGOSTINO,0.030807676028465847
GRAVELY CLARA,0.006338056975570717
TOMAS BODETTO,0.006338056975570717
CHRISTIE OLIVIA,0.014457646524007127
ANDELA DE MICHELI VITTURI,0.014457646524007127
LUIS ANDRE CASTRO,0.007657078177460102
MANUEL CADARSO,0.007657078177460102
EVIE SAUNDERS,0.0015164026885840754
CORALIE VITTECOQ,0.0015164026885840754
TOMAS PAGLINI,0.01221660479798134
AISLING KELLER,0.01221660479798134
FRANCESCA FRAZZA,0.021359296552371704
ANDRES FONTAN,0.021359296552371704
NAUMENKO SOFIIA,0.02591351636228709
COUVERT DEWI,0.02591351636228709
THEA LUBAC,0.004282593322329658
JOHAN FELIPPES,0.004282593322329658
CALDECOAT PAIGE,0.008961470549346012
LAURA BO VOSS,0.008961470549346012
WANNES VAN LAER,0.011672706859666693
COSENTINO LAURA,0.011672706859666693
ANDREA NORDQUIST,0.013384322208676764
MARTIN IBANEZ,0.013384322208676764
ANNA POHLAK,0.020339409418072947
ANA CAROLINA ROTH,0.020339409418072947
CELINE THERESE HERUD,0.026060383610340614
EDY BRANZ,0.026060383610340614
LAURA OLIVA VIDAL,0.012950071018828727
ADRIANA PENRUDDOCKE,0.012950071018828727
MOHAMAD LATIF NUR ALIA AMERA,0.02726457075461174
ERICA PARTANEN,0.02726457075461174
FERNANDO ROCHA,0.017847143004965524
NANCY HIGHFIELD,0.017847143004965524
MARIA JOSE PONCELL,0.0196580812819747
HECTOR DAVID,0.0196580812819747
CORINNE PETERS,0.011471542384934585
LUANA BRUNA SILVA,0.011471542384934585
DANTE VOLKER,0.0041662460942496855
LINDA HENSEL,0.0041662460942496855
BAUZA ROIG AINA,0.013878015414267775
JOAO PEDRO OLIVEIRA,0.013878015414267775
JILLIAN LEE,0.008396552813572841
DANIELA RIVERA,0.008396552813572841
STEPHANIE NORTON,0.015992103384098098
BRUNO GRUNWALDT,0.015992103384098098
BAUTISTA BECERRA,0.03355113775451195
ISABEL HERNANDEZ PENA,0.03355113775451195
PAULINA CZUBACHOWSKA,0.02762470487178779
ENGBERTS JUDITH,0.02762470487178779
THOMPSON CLEMENTINE,0.0010746441325241128
SYLVIE STANNAGE,0.0010746441325241128
MATTEO WALLAU,0.0019252186408452174
CARLY BROUSSARD,0.0019252186408452174
BEREZA EKATERINA,0.00318325033663684
VERONICA JORDANA,0.00318325033663684
CAROLINE SOFIA ROSMO,0.003963184677783278
RIZZARDI CARLOTTA,0.003963184677783278
BALAS URSULA,0.03604034130042218
JOAO PEDRO MEDEIROS,0.03604034130042218
AGUSTIN SAGUIER,0.04027537452074801
HANNAH VAN GOOR,0.04027537452074801
KAMOLWAN CHANYIM,0.007064057160920544
MARLENA BERZINS,0.007064057160920544
AUGUSTO MOREIRA,0.0503848868217077
FEDERICO ISERN,0.0503848868217077
SHEILA MARTINEZ ARJONA,0.017041378080833544
SOFIIA LARYCHEVA,0.017041378080833544
INES GMATI,0.012394438400927145
TOMAS IBARBOURE,0.012394438400927145
PROVELENGIOU AMALIA,0.019069596559387787
SANKO EKATERINA,0.019069596559387787
RADULIC MAILYS,0.018514070802050874
IGNACIO FRIAS,0.018514070802050874
STEPHANIE DEVAUX-LOVELL,0.03569325840511635
ALCIR CACHAPUZ,0.03569325840511635
ANNABELLE RENNIE-YOUNGER,0.013785890605653496
MATEO PARODI,0.013785890605653496
BOROVKOVA ELIZAVETA,0.01945421610487523
