,Rating
BOUWMEESTER MARIT,0.14336385068568433
ERICK CARPES,0.08486808295296289
AGATA BARWINSKA,0.08486808295296289
EVI VAN ACKER,0.08185730874616544
TUULA TENKANEN,0.08185730874616544
ANNE-MARIE RINDOM,0.013661803101534418
SARAH DOUGLAS,0.004026108369397572
ALISON YOUNG,0.004026108369397572
EMMA PLASSCHAERT,0.02052010201824656
DOLORES MOREIRA FRASCHINI,0.002677801481064635
JUAN PABLO CARDOZO,0.002677801481064635
DONGSHUANG ZHANG,0.04079527561788115
LUCIA FALASCA,0.04079527561788115
MAUD JAYET,0.11530039786559813
VASILEIA KARACHALIOU,0.11530039786559813
GINTARE SCHEIDT,0.09443292374604072
OLSSON JOSEFIN,0.09443292374604072
HANNAH SNELLGROVE,0.09528927261556464
PAIGE RAILEY,0.09528927261556464
MAXIME JONKER,0.005590882415297019
MONIKA MIKKOLA,0.005590882415297019
GUSTAVO CORREA NASCIMENTO,0.03451737566134609
FELIPE FRAQUELLI,0.03451737566134609
VIKTORIJA ANDRULYTE,0.02877702427813408
MARIE BARRUE,0.02877702427813408
GABRIELLA MARQUES KIDD,0.057709838703753166
MARIA ERDI,0.057709838703753166
ERIKA REINEKE,0.007575169982283875
IMENEO CASEY,0.007575169982283875
MANAMI DOI,0.05670258782260488
FLEM HOST LINE,0.05670258782260488
MATHILDE DE KERANGAT,0.06938056350297271
LOUISE CERVERA,0.06938056350297271
MATILDA NICHOLLS,0.056088992900604887
SANTIAGO PACHECO,0.03242088677572045
LUCIANA ANDREA CARDOZO,0.03242088677572045
MARTINA REINO CACHO,0.01421156014378095
FLORENCIA CHIARELLA,0.01421156014378095
VERONIKA KOZELSKA FENCLOVA,0.02021602384768398
ANNALISE MURPHY,0.02021602384768398
SARAH GUNNI SCHIERUP,0.02165639155126015
ANNA MUNCH,0.02165639155126015
MARA STRANSKY,0.012160554562864885
BOWSKILL BRENDA,0.012160554562864885
MAGDALENA KWASNA,0.04952072838720529
JULIA BUESSELBERG,0.04952072838720529
MAITE CARLIER,0.03420934822827162
STEFANO PENDOLA,0.03420934822827162
COLLINGRIDGE DAISY,0.06148182266143736
XU LIJIA,0.018333929005605525
SILVIA ZENNARO,0.018333929005605525
PEDRO MADUREIRA,0.03754305675539336
HANNAH ANDERSSOHN,0.03754305675539336
THOMAS POTTHOFF,0.03469815577594366
MICHON PERNELLE,0.03469815577594366
DAPHNE VAN DER VAART,0.04343270601459764
TATIANA DROZDOVSKAYA,0.04343270601459764
JOSE IRINEU SILVA,0.003759216777457874
CHIARA BENINI FLORIANI,0.003759216777457874
GOLEBIOWSKA WIKTORIA,0.02985278566196856
NAZLI CAGLA DONERTAS,0.02985278566196856
TIRIL BUE,0.016655150491943153
ELENA VOROBEVA,0.016655150491943153
AKKERMAN MIRTHE,0.04157935292869366
POVALL GEORGINA,0.04157935292869366
JULIAN MARIA DUARTE ARGERICH,0.040523922452972115
ASHLEY STODDART,0.040523922452972115
PAULINE LIEBIG,0.01780214186356808
CHARLOTTE ROSE,0.01780214186356808
LUCAS VIDELA,0.020356918853931726
FRANCISCO MAROTTA,0.020356918853931726
AINSWORTH ELYSE,0.049534470466991325
ECEM GUZEL,0.049534470466991325
FELIPE RONDINA,0.05643454810341783
CRISTINA PUJOL,0.05643454810341783
JOAQUIN GALVAN,0.021784836991616957
ZOE THOMSON,0.021784836991616957
SARA WINTHER,0.01504987256331494
SVENJA WEGER,0.01504987256331494
MATHIAS REIMER,0.011216913592069219
TEO BERTOT,0.011216913592069219
SOPHIE ZIMMERMANN,0.0456279679346739
MARIE BOLOU,0.0456279679346739
AMELIE RIOU,0.05641512877231691
ELIZABETH YIN,0.05641512877231691
TINA MIHELIC,0.027610497536560058
GINAID ODILE,0.027610497536560058
ULISES GOMEZ LACCHINI,0.011776900542925094
ANTONIO MACHADO,0.011776900542925094
ALICIA CEBRIAN,0.015746963946980434
SARA CARMO,0.015746963946980434
MOHDMAD LATIF NUR SHAZRIN,0.040356921388556656
LUCAS ZORZI,0.040356921388556656
FEDERICA CATTAROZZI,0.005408289934504489
CATERINA ISABEL ROMERO AGUIRRE,0.005408289934504489
ISABELLA BERTOLD,0.04066108414030828
SANDRA LULI,0.04066108414030828
MARIA CRISTINA BOABAID,0.02396892299265124
GUSTAVO KIESSLING,0.02396892299265124
AGUSTIN GONZALEZ VILLALBA,0.025001951220824308
ISADORA DAL RI,0.025001951220824308
FACUNDO MAC GOWAN,0.023287546378970802
FRANCISCO GOMEZ,0.023287546378970802
MARILENA MAKRI,0.03484184329795125
EVE MCMAHON,0.03484184329795125
RODRIGO LUZ,0.03101287215636464
STEFANO CAIAFA,0.03101287215636464
ALBANO CAROLINA,0.008849139671576524
CRISTINA CASTELLANOS ESTRADA,0.015482118574276518
CHLOE MARTIN,0.015482118574276518
NICK GRAEL,0.0053645006715237155
AOIFE HOPKINS,0.0053645006715237155
AGUSTINA JORDAN,0.006691295625314381
ANA MONCADA SANCHEZ,0.006691295625314381
FAKIDI ATHANASIA,0.010765199934459837
FRANCESCA CLAPCICH,0.010765199934459837
ALAN WILLY,0.00877717681404309
DELFINA DALLI,0.00877717681404309
PYATT SUSANNAH,0.013047113223889316
RICARDO PARANHOS,0.013047113223889316
RAMON FRENE,0.007897587787380596
LUCAS MOMES RUIZ,0.007897587787380596
LOVISA KARLSSON,0.0061755339284768045
MARTHE ENGER EIDE,0.0061755339284768045
MARIA ASHIDA,0.02024568393708567
TALLURI MATILDA,0.02024568393708567
NICOLAS CASTELARI RIVAS,0.029735464887619235
FLORIDIA JOYCE,0.029735464887619235
ANTONIO GANDOLPHO,0.01907414905675194
NICO GAINSCHUK,0.01907414905675194
FATIMA REYES,0.03803927080911355
KIM PLETIKOS,0.03803927080911355
GUILHERME PEREZ,0.03597607528557101
SHAY KAKON,0.03597607528557101
CARLOS TOMAS GABASIO,0.0013217287407487263
ALEKSANDRA LUKOYANOVA,0.0013217287407487263
MARIA GRACIA VEGAS TRIVELLI,0.026527362305801664
LUCIE BEN-AMOR,0.026527362305801664
OETLING RAMIREZ ELENA,0.01718703259220564
JULIA CARREIRAO,0.01718703259220564
KUMANAN NETHRA,0.013117210823426659
FEDERICO SIEBERT FRANCAVILLA,0.013117210823426659
FERNANDA DECNOP COELHO,0.021884954573450587
HUGHES HADDON,0.021884954573450587
PHILIPINE VAN AANHOLT,0.0012950897638539826
MARIANA CRESPO,0.0012950897638539826
PIERO CASTANEDA,0.02735619929355797
JOAQUIM DUARTE ARGERICH,0.02735619929355797
CAREN NIEZEN,0.022935582501105983
MARTHA CATERINA FARAGUNA,0.022935582501105983
SEBASTIAN LERI,0.003958902080348063
RUBEI YUAN,0.003958902080348063
FELIPE WENZEL,0.03695369620834566
CHRISTINA SAKELLARIS,0.03695369620834566
ANDREY DE OLIVEIRA GODOY,0.0013099695775073315
ROSINE BAUDET,0.0013099695775073315
FEDERICO ROGNONI,0.0031165519084856014
EBRU BOLAT,0.0031165519084856014
NAINA MARIA PINTO,0.032304965265416354
CLARA BEN-AMOR NUNEZ,0.032304965265416354
DELLA VALLE GIORGIA,0.022773420294756125
JOSE TOMAS CARDEMIL,0.022773420294756125
MATEO VIDAL,0.013807131617850618
ANJA VON ALLMEN,0.013807131617850618
LILLIAN MYERS,0.0018610090558912238
TANIA ELIAS CALLES,0.0018610090558912238
VERSTRAELEN ELINE,0.036617904947391255
ANTONIO ABREU CUNHA BONITO,0.036617904947391255
FELIPE DE ROSA,0.002111504417540654
ANNA WEINZIEHER,0.002111504417540654
ZYUZINA EKATERINA,0.022884071721201875
PEDRO WIEGAND,0.022884071721201875
SANTIAGO TOKER,0.031551407656331236
MILDA EIDUKEVICIUTE,0.02633831075042244
ISABEL BUSCH,0.02633831075042244
LIN PLETIKOS,0.018424718207503354
NICOLAS CASSESE,0.018424718207503354
MARINA GAMA,0.0027167335009464894
JUAN DIEGO RISSO,0.0027167335009464894
PALOMA SCHMIDT GUTIERREZ,0.03066498298010118
FELIPE ALVES TELES REVOREDO LIMA,0.03066498298010118
ISABELLA MAEGLI AGUERO,0.0119976670893395
MIN GU,0.0119976670893395
VITOR BAHIA,0.03505439033746563
LUIZ FELIPE GIAGIO,0.03505439033746563
PEDRO RODRIGUEZ REYNOSO,0.00758945157455145
VICTOR FONTAINE,0.00758945157455145
MICHALA NORSELL,0.027601156394551234
SAVELON EMMA,0.027601156394551234
BALBI VALENTINA,0.013802574695293276
