,Rating
"MARTINE GRAEL, KAHENA KUNZE",(-0.01140828147099283+0j)
"IDA MARIE BAAD NIELSEN, MARIE THUSGAARD OLSEN",(-0.01736963947849375+0.0036337265414032893j)
"HANNA KLINGA, LISA ORN",(-0.01736963947849375-0.0036337265414032893j)
"ODILE VAN AANHOLT, ANNETTE DUETZ",(0.012039636143921447+0.007169730987532065j)
"MAIKEN FOGHT SCHUTT, ANNE-JULIE SCHUTT",(0.012039636143921447-0.007169730987532065j)
"ANNEMIEK BEKKERING, ANNETTE DUETZ",(-0.003442762067727557+0.005201376479426687j)
"ANIKA LORENZ, VICTORIA JURCZOK",(-0.003442762067727557-0.005201376479426687j)
"ODILE VAN AANHOLT, ELISE RUYTER",(-0.023576388136856585-0.005000049516732211j)
"RAGNA AGERUP, MAIA AGERUP",(-0.023576388136856585+0.005000049516732211j)
"JENA MAI HANSEN, KATJA SALSKOV-IVERSEN",(0.0006368343596027753-0.051105658345937756j)
"TAMARA ECHEGOYEN, BERTA BETANZOS",(0.0006368343596027753+0.051105658345937756j)
"FRANCESCA CLAPCICH, GIULIA CONTI",(0.01193801856354481+0.04889100529931722j)
"ALEXANDRA MALONEY, MOLLY MEECH",(0.01193801856354481-0.04889100529931722j)
"TINA LUTZ, SUSANN BEUCKE",(0.039488143940624734+0.01686275618267657j)
"STEPHANIE ROBLE, MAGGIE SHEA",(0.039488143940624734-0.01686275618267657j)
"GIORGIA BERTUZZI, JANA GERMANI",(0.04447844871204993+0.0031924024552469903j)
"HELENE NAESS, MARIE RONNINGEN",(0.04447844871204993-0.0031924024552469903j)
"VILMA BOBECK, REBECCA NETZLER",(0.0769238146110225+0.058650508853122486j)
"ANNA YAMAZAKI, SENA TAKANO",(0.0769238146110225-0.058650508853122486j)
"TANJA FRANK, LORENA ABICHT",(-0.0023474152888940656-0.028162774645608825j)
"CARLA MUNTE, MARTA MUNTE",(-0.0023474152888940656+0.028162774645608825j)
"OLIVIA PRICE, ELIZA SOLLY",(-0.03532505407184607-0.03856603607733896j)
"KIMBERLY LIM, CECILIA LOW",(-0.03532505407184607+0.03856603607733896j)
"ODILE VAN AANHOLT, MARIEKE JONGENS",(-0.012195409160114351-0.015538974016029493j)
"CHARLOTTE DOBSON, SASKIA TIDEY",(-0.012195409160114351+0.015538974016029493j)
"TAMARA ECHEGOYEN, PAULA BARCELO",(0.032717990160181086-0.05431029283670654j)
"SOPHIE WEGUELIN, SOPHIE AINSWORTH",(0.032717990160181086+0.05431029283670654j)
"VICTORIA TRAVASCIO, MARIA SOL BRANZ",(-0.020216531710638183-0.09324288392903701j)
"JULIA GROSS, HANNA KLINGA",(-0.020216531710638183+0.09324288392903701j)
"JOHANNE SCHMIDT, ANDREA SCHMIDT",(0.04009995066094018-0.01933484893895549j)
"KLARA WESTER, REBECCA NETZLER",(0.04009995066094018+0.01933484893895549j)
"ISAURA MAENHAUT, ANOUK GEURTS",(0.019149076401946782-0.022147562103217815j)
"RONJA GRONBLOM, VEERA HOKKA",(0.019149076401946782+0.022147562103217815j)
"ALEKSANDRA MELZACKA, SANDRA JANKOWIAK",(-0.09827046210695775-0.07406999670605663j)
"NATASHA BRYANT, ANNIE WILMOT",(-0.09827046210695775+0.07406999670605663j)
"ALEXANDRA TEN HOVE, MARIAH MILLEN",(0.015390965917134361-0.1753832242208819j)
"MARIA SOL BRANZ, CECILIA CARRANZA SAROLI",(0.015390965917134361+0.1753832242208819j)
"AUDE COMPAN, SARAH STEYAERT",(0.04790962460264453+0j)
"XIAOYU HU, MENGYUAN SHAN",(-0.020958669211955435+0.06188950190007326j)
"TESS LLOYD, CAITLIN ELKS",(-0.020958669211955435-0.06188950190007326j)
"ALBANE DUBOIS, LILI SEBESI",(0.008402689017579833+0.10676334972383583j)
"PATRICIA SUAREZ, MARIA CANTERO",(0.008402689017579833-0.10676334972383583j)
"CHARLOTTE DOBSON, SOPHIE AINSWORTH",(0.0250332778469874+0.15628686544485737j)
"QUINLAN WILSON, ROMAIN SCREVE",(0.0250332778469874-0.15628686544485737j)
"LARA GRANIER, AMELIE RIOU",(0.027626753291035016-0.021255343375700755j)
"ANTONIA LEWIN LAFRANCE, GEORGIA LEWIN LAFRANCE",(0.027626753291035016+0.021255343375700755j)
"ODILE VAN AANHOLT, NICOLE VAN DER VELDEN",(-0.0400040010184748-0.010642960871198707j)
"TIMMA FLANAGAN, JEAN-MATTHIEU BOLLAND",(-0.0400040010184748+0.010642960871198707j)
"CHIKA HATAE, HIROKA ITAKURA",0j
"CECILIA JONSSON, JULIA GROSS",0j
"IDA SVENSSON, CECILIA JONSSON",0j
"ALEXANDRA STALDER, SILVIA SPERI",0j
"NINA KEIJZER, CLAIRE BLOM",0j
"ALEKSANDRA MELZACKA, KINGA LOBODA",0j
"ENIA NINCEVIC, MIHAELA DE MICHELI VITTURI",0j
"ALLISON SURRETTE, MAX FLINN",0j
"ELENA CHRISTINE STOFFERS, LEONIE MEYER",0j
"HELENA SCUTT, PARIS HENKEN",0j
"OTTAVIA MARIA RAGGIO, PAOLA BERGAMASCHI",0j
"SOPHIE STEINLEIN, MARIE THUSGAARD",0j
"ALEXANDRA MALONEY, OLIVIA HOBBS",0j
"GALEN RICHARDSON, AIDAN CHIU",0j
"ANNA TOBIAS, PARIS HENKEN",0j
"NOORA RUSKOLA, CAMILLA CEDERCREUTZ",0j
"FREYA BLACK, SASKIA TIDEY",0j
"PIA DAHL ANDERSEN, NORA EDLAND",0j
"NATE COLBURN, CAMERON COLBURN",0j
"KATRINE BENDIX KROGH, LAURA STEENSTRUP ZEEBERG",0j
"LINOR BEREZIN, MAX WOOD",0j
"GRISELDA KHNG, SARA TAN",0j
"OLIVIA PRICE, EVIE HASELDINE",0j
"ANNE-JULIE SCHUTT, IBEN NIELSBY",0j
"DEWI COUVERT, JESSICA ELIZABETH KISTERS",0j
"MATHILDE LOVADINA, MARINE RIOU",0j
"JO ALEH, MOLLY MEECH",0j
"ERICA DAWSON, ELLIE COPELAND",0j
"CECILIA JONSSON, CECILIA JONSSON",0j
"LAURA SCHOEFEGGER, ELSA LOVREK",0j
"ANDREA BREWSTER, SASKIA TIDEY",0j
"CARLOTTA OMARI, SVEVA CARRARO",0j
"JULE GORGE, LOTTA GORGE",0j
"CECILE JANMAAT, SHANNEN MAXIME MARCK",0j
"VILMA BOBECK, MALIN TENGSTROM",0j
"MEGAN BRICKWOOD, STEPHANIE ORTON",0j
"KLARA WESTER, MALIN TENGSTROM",0j
"NOORA RUSKOLA, MIKAELA WULFF",0j
"SARAH STEYAERT, CHARLINE PICON",0j
"SOFIA GIUNCHIGLIA, GIULIA SCHIO",0j
"ERIN RAFUSE, DANIELLE BOYD",0j
"JULIE BOSSARD, AUDE COMPAN",0j
"HAYLEE OUTTERIDGE, NINA CURTIS",0j
"LARA GRANIER, RIOU AMELIE",0j
"AMELIA STABBACK, ELLA CLARK",0j
"CARLOTTA OMARI, MATILDA DISTEFANO",0j
"HANNA WILLE, MARLA BERGMANN",0j
"KATRINE BENDIX KROGH, LINE JUST EMSVANG",0j
"PATRICIA SUAREZ, NICOLE VAN DER VELDEN",0j
"MARU SCHEEL, CATHERINE SOPHIE BARTELHEIMER",0j
"ARIANNA PASSAMONTI, GIULIA FAVA",0j
"CATHERINE BARTELHEIMER, INGA-MARIE HOFMANN",0j
