,Rating
BOUWMEESTER MARIT,(-0.05293183269049891+0j)
ERICK CARPES,(0.033249776237786646-0.0673217483737487j)
AGATA BARWINSKA,(0.033249776237786646+0.0673217483737487j)
EVI VAN ACKER,(0.08337373620035751+0.01730187161049084j)
TUULA TENKANEN,(0.08337373620035751-0.01730187161049084j)
ANNE-MARIE RINDOM,(-0.009980121651521517+0.030738566486045265j)
SARAH DOUGLAS,(-0.009980121651521517-0.030738566486045265j)
ALISON YOUNG,(-0.060879800341779464+0.06504486164423542j)
EMMA PLASSCHAERT,(-0.060879800341779464-0.06504486164423542j)
DOLORES MOREIRA FRASCHINI,(-0.00746519226481955-0.05523009546989613j)
JUAN PABLO CARDOZO,(-0.00746519226481955+0.05523009546989613j)
DONGSHUANG ZHANG,(-0.004746895890415483+0.09750768457061906j)
LUCIA FALASCA,(-0.004746895890415483-0.09750768457061906j)
MAUD JAYET,(0.04274169060551609-0.056760420706419054j)
VASILEIA KARACHALIOU,(0.04274169060551609+0.056760420706419054j)
GINTARE SCHEIDT,(-0.12885532143675646-0.03092089831837073j)
OLSSON JOSEFIN,(-0.12885532143675646+0.03092089831837073j)
HANNAH SNELLGROVE,(0.08591164700031974+0.020343619889698756j)
PAIGE RAILEY,(0.08591164700031974-0.020343619889698756j)
MAXIME JONKER,(0.036626219831927535-0.05188762750049388j)
MONIKA MIKKOLA,(0.036626219831927535+0.05188762750049388j)
GUSTAVO CORREA NASCIMENTO,(-0.07782469232819622-0.022086005146162945j)
FELIPE FRAQUELLI,(-0.07782469232819622+0.022086005146162945j)
VIKTORIJA ANDRULYTE,(-0.026309923184524867-0.04573265902832389j)
MARIE BARRUE,(-0.026309923184524867+0.04573265902832389j)
GABRIELLA MARQUES KIDD,(0.053329988855839984-0.11146565056373506j)
MARIA ERDI,(0.053329988855839984+0.11146565056373506j)
ERIKA REINEKE,(-0.05333567901788796-0.02097636744448486j)
IMENEO CASEY,(-0.05333567901788796+0.02097636744448486j)
MANAMI DOI,(-0.07457642815679495+0.024662409965977263j)
FLEM HOST LINE,(-0.07457642815679495-0.024662409965977263j)
MATHILDE DE KERANGAT,(0.10406062593597387-0.034629219421522035j)
LOUISE CERVERA,(0.10406062593597387+0.034629219421522035j)
MATILDA NICHOLLS,(0.07129476204669778-0.05024635413725517j)
SANTIAGO PACHECO,(0.07129476204669778+0.05024635413725517j)
LUCIANA ANDREA CARDOZO,(-0.025978792220259388-0.1478495146622409j)
MARTINA REINO CACHO,(-0.025978792220259388+0.1478495146622409j)
FLORENCIA CHIARELLA,(-0.06343927834875221+0.031666150153714406j)
VERONIKA KOZELSKA FENCLOVA,(-0.06343927834875221-0.031666150153714406j)
ANNALISE MURPHY,(-0.11525462211522819-0.12099920674796115j)
SARAH GUNNI SCHIERUP,(-0.11525462211522819+0.12099920674796115j)
ANNA MUNCH,(-0.13632030891698696-0.002522001654202645j)
MARA STRANSKY,(-0.13632030891698696+0.002522001654202645j)
BOWSKILL BRENDA,(0.04070775509315611-0.04937973902387665j)
MAGDALENA KWASNA,(0.04070775509315611+0.04937973902387665j)
JULIA BUESSELBERG,(-0.14326525687861041+0.05271125555764634j)
MAITE CARLIER,(-0.14326525687861041-0.05271125555764634j)
STEFANO PENDOLA,(-0.12637998761786948-0.07400805057211539j)
COLLINGRIDGE DAISY,(-0.12637998761786948+0.07400805057211539j)
XU LIJIA,(0.11931318097095299-0.012438989128405359j)
SILVIA ZENNARO,(0.11931318097095299+0.012438989128405359j)
PEDRO MADUREIRA,(0.00969622153134633+0.1032059466553804j)
HANNAH ANDERSSOHN,(0.00969622153134633-0.1032059466553804j)
THOMAS POTTHOFF,(-0.022596462491705358-0.13041176699980903j)
MICHON PERNELLE,(-0.022596462491705358+0.13041176699980903j)
DAPHNE VAN DER VAART,(-0.0108890436426245-0.13802823398816128j)
TATIANA DROZDOVSKAYA,(-0.0108890436426245+0.13802823398816128j)
JOSE IRINEU SILVA,(0.030742972215049347-0.054345999672331266j)
CHIARA BENINI FLORIANI,(0.030742972215049347+0.054345999672331266j)
GOLEBIOWSKA WIKTORIA,(0.016767962961438294+0.041457938147395616j)
NAZLI CAGLA DONERTAS,(0.016767962961438294-0.041457938147395616j)
TIRIL BUE,(0.016062962268542657-0.05230440018394772j)
ELENA VOROBEVA,(0.016062962268542657+0.05230440018394772j)
AKKERMAN MIRTHE,(0.021550499067326305-0.04442488197294197j)
POVALL GEORGINA,(0.021550499067326305+0.04442488197294197j)
JULIAN MARIA DUARTE ARGERICH,0j
ASHLEY STODDART,0j
PAULINE LIEBIG,0j
CHARLOTTE ROSE,0j
LUCAS VIDELA,0j
FRANCISCO MAROTTA,0j
AINSWORTH ELYSE,0j
ECEM GUZEL,0j
