,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Thomas SAUNDERS ,,ILCA 7,3,G,1,,60,1,2021 ILCA Standard Men's World Championship
1,,,Thomas SAUNDERS ,,ILCA 7,4,G,1,,60,1,2021 ILCA Standard Men's World Championship
2,,,Thomas SAUNDERS ,,ILCA 7,7,G,1,,60,1,2021 ILCA Standard Men's World Championship
3,,,Thomas SAUNDERS ,,ILCA 7,2,G,1,,60,1,2021 ILCA Standard Men's World Championship
4,,,Thomas SAUNDERS ,,ILCA 7,(37),G,1,,60,1,2021 ILCA Standard Men's World Championship
5,,,Thomas SAUNDERS ,,ILCA 7,1,O,1,,60,1,2021 ILCA Standard Men's World Championship
6,,,Thomas SAUNDERS ,,ILCA 7,4,O,1,,60,1,2021 ILCA Standard Men's World Championship
7,,,Thomas SAUNDERS ,,ILCA 7,2,O,1,,60,1,2021 ILCA Standard Men's World Championship
8,,,,,ILCA 7,TO VERIFY,TO VERIFY,"

punt_Gold _0000002 2
                                            
",,37,"

punt_Blue _0000005 5
                                            
",2021 ILCA Standard Men's World Championship
9,,,,,ILCA 7,3,G,"

punt_Gold _0000002 2
                                            
",,37,"

punt_Blue _0000005 5
                                            
",2021 ILCA Standard Men's World Championship
10,,,,,ILCA 7,6,G,"

punt_Gold _0000002 2
                                            
",,37,"

punt_Blue _0000005 5
                                            
",2021 ILCA Standard Men's World Championship
11,,,,,ILCA 7,8,G,"

punt_Gold _0000002 2
                                            
",,37,"

punt_Blue _0000005 5
                                            
",2021 ILCA Standard Men's World Championship
12,,,,,ILCA 7,10,G,"

punt_Gold _0000002 2
                                            
",,37,"

punt_Blue _0000005 5
                                            
",2021 ILCA Standard Men's World Championship
13,,,,,ILCA 7,(16),G,"

punt_Gold _0000002 2
                                            
",,37,"

punt_Blue _0000005 5
                                            
",2021 ILCA Standard Men's World Championship
14,,,,,ILCA 7,7,O,"

punt_Gold _0000002 2
                                            
",,37,"

punt_Blue _0000005 5
                                            
",2021 ILCA Standard Men's World Championship
15,,,,,ILCA 7,2,O,"

punt_Gold _0000002 2
                                            
",,37,"

punt_Blue _0000005 5
                                            
",2021 ILCA Standard Men's World Championship
16,,,  CRO 219107,,ILCA 7,TO VERIFY,TO VERIFY,"

punt_Gold _0000002 2
                                            
",,,,2021 ILCA Standard Men's World Championship
17,,,  CRO 219107,,ILCA 7,TO VERIFY,TO VERIFY,"

punt_Gold _0000002 2
                                            
",,,,2021 ILCA Standard Men's World Championship
18,,,  CRO 219107,,ILCA 7,11,G,"

punt_Gold _0000002 2
                                            
",,,,2021 ILCA Standard Men's World Championship
19,,,  CRO 219107,,ILCA 7,3,G,"

punt_Gold _0000002 2
                                            
",,,,2021 ILCA Standard Men's World Championship
20,,,  CRO 219107,,ILCA 7,6,G,"

punt_Gold _0000002 2
                                            
",,,,2021 ILCA Standard Men's World Championship
