,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Anton DAHLBERGLovisa KARLSSON ,,470,2,G,1,,71,53,European Championship 2022
1,,,Anton DAHLBERGLovisa KARLSSON ,,470,1,G,1,,71,53,European Championship 2022
2,,,Anton DAHLBERGLovisa KARLSSON ,,470,5,G,1,,71,53,European Championship 2022
3,,,Anton DAHLBERGLovisa KARLSSON ,,470,1,G,1,,71,53,European Championship 2022
4,,,Anton DAHLBERGLovisa KARLSSON ,,470,4,G,1,,71,53,European Championship 2022
5,,,Anton DAHLBERGLovisa KARLSSON ,,470,11,O,1,,71,53,European Championship 2022
6,,,Anton DAHLBERGLovisa KARLSSON ,,470,(18),O,1,,71,53,European Championship 2022
7,,,Anton DAHLBERGLovisa KARLSSON ,,470,2,O,1,,71,53,European Championship 2022
8,,,Anton DAHLBERGLovisa KARLSSON ,,470,1,O,1,,71,53,European Championship 2022
9,,,Anton DAHLBERGLovisa KARLSSON ,,470,8,O,1,,71,53,European Championship 2022
10,,,Anton DAHLBERGLovisa KARLSSON ,,470,2,O,1,,71,53,European Championship 2022
11,,,Anton DAHLBERGLovisa KARLSSON ,,470,16,Medal Race,1,,71,53,European Championship 2022
12,,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,1,G,2,,75,61,European Championship 2022
13,,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,2,G,2,,75,61,European Championship 2022
14,,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,1,G,2,,75,61,European Championship 2022
15,,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,6,G,2,,75,61,European Championship 2022
16,,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,3,G,2,,75,61,European Championship 2022
17,,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,10,O,2,,75,61,European Championship 2022
18,,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,3,O,2,,75,61,European Championship 2022
19,,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,3,O,2,,75,61,European Championship 2022
20,,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,(14),O,2,,75,61,European Championship 2022
21,,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,13,O,2,,75,61,European Championship 2022
22,,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,1,O,2,,75,61,European Championship 2022
23,,,Jordi  XAMMAR HERNANDEZNora BRUGMAN CABOT  ,,470,18,Medal Race,2,,75,61,European Championship 2022
24,,,Giacomo  FERRARI Bianca CARUSO ,,470,7,G,3,,86,66,European Championship 2022
25,,,Giacomo  FERRARI Bianca CARUSO ,,470,7,G,3,,86,66,European Championship 2022
26,,,Giacomo  FERRARI Bianca CARUSO ,,470,4,G,3,,86,66,European Championship 2022
27,,,Giacomo  FERRARI Bianca CARUSO ,,470,10,G,3,,86,66,European Championship 2022
28,,,Giacomo  FERRARI Bianca CARUSO ,,470,2,G,3,,86,66,European Championship 2022
29,,,Giacomo  FERRARI Bianca CARUSO ,,470,3,O,3,,86,66,European Championship 2022
30,,,Giacomo  FERRARI Bianca CARUSO ,,470,5,O,3,,86,66,European Championship 2022
31,,,Giacomo  FERRARI Bianca CARUSO ,,470,7,O,3,,86,66,European Championship 2022
32,,,Giacomo  FERRARI Bianca CARUSO ,,470,(20),O,3,,86,66,European Championship 2022
33,,,Giacomo  FERRARI Bianca CARUSO ,,470,4,O,3,,86,66,European Championship 2022
34,,,Giacomo  FERRARI Bianca CARUSO ,,470,9,O,3,,86,66,European Championship 2022
35,,,Giacomo  FERRARI Bianca CARUSO ,,470,8,Medal Race,3,,86,66,European Championship 2022
36,,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,3,G,4,,92,70,European Championship 2022
