,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Hélène NOESMOEN ,,IQFOIL Fem.,(3),G,1,,164,77,European Championship 2022
1,,,Hélène NOESMOEN ,,IQFOIL Fem.,1,G,1,,164,77,European Championship 2022
2,,,Hélène NOESMOEN ,,IQFOIL Fem.,3,G,1,,164,77,European Championship 2022
3,,,Hélène NOESMOEN ,,IQFOIL Fem.,3,G,1,,164,77,European Championship 2022
4,,,Hélène NOESMOEN ,,IQFOIL Fem.,1,G,1,,164,77,European Championship 2022
5,,,Hélène NOESMOEN ,,IQFOIL Fem.,(11),G,1,,164,77,European Championship 2022
6,,,Hélène NOESMOEN ,,IQFOIL Fem.,1,G,1,,164,77,European Championship 2022
7,,,Hélène NOESMOEN ,,IQFOIL Fem.,2,G,1,,164,77,European Championship 2022
8,,,Hélène NOESMOEN ,,IQFOIL Fem.,2,O,1,,164,77,European Championship 2022
9,,,Hélène NOESMOEN ,,IQFOIL Fem.,1,O,1,,164,77,European Championship 2022
10,,,Hélène NOESMOEN ,,IQFOIL Fem.,9,O,1,,164,77,European Championship 2022
11,,,Hélène NOESMOEN ,,IQFOIL Fem.,9,O,1,,164,77,European Championship 2022
12,,,Hélène NOESMOEN ,,IQFOIL Fem.,(24),O,1,,164,77,European Championship 2022
13,,,Hélène NOESMOEN ,,IQFOIL Fem.,2,O,1,,164,77,European Championship 2022
14,,,Hélène NOESMOEN ,,IQFOIL Fem.,DNF(49),O,1,,164,77,European Championship 2022
15,,,Hélène NOESMOEN ,,IQFOIL Fem.,11,O,1,,164,77,European Championship 2022
16,,,Hélène NOESMOEN ,,IQFOIL Fem.,7,O,1,,164,77,European Championship 2022
17,,,Hélène NOESMOEN ,,IQFOIL Fem.,9,O,1,,164,77,European Championship 2022
18,,,Hélène NOESMOEN ,,IQFOIL Fem.,13,O,1,,164,77,European Championship 2022
