Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
Diego BOTIN,5,49er,9.0,0,red,1,,80.0,68.0,European Championship 2022
Diego BOTIN,5,49er,3.0,0,red,1,,80.0,68.0,European Championship 2022
Diego BOTIN,5,49er,3.0,0,red,1,,80.0,68.0,European Championship 2022
Diego BOTIN,5,49er,6.0,0,yellow,1,,80.0,68.0,European Championship 2022
Diego BOTIN,5,49er,5.0,0,yellow,1,,80.0,68.0,European Championship 2022
Diego BOTIN,5,49er,4.0,0,yellow,1,,80.0,68.0,European Championship 2022
Diego BOTIN,5,49er,4.0,0,yellow,1,,80.0,68.0,European Championship 2022
Diego BOTIN,5,49er,8.0,0,yellow,1,,80.0,68.0,European Championship 2022
Diego BOTIN,5,49er,1.0,0,yellow,1,,80.0,68.0,European Championship 2022
Diego BOTIN,5,49er,1.0,0,gold,1,,80.0,68.0,European Championship 2022
Diego BOTIN,5,49er,1.0,0,gold,1,,80.0,68.0,European Championship 2022
Diego BOTIN,5,49er,5.0,0,gold,1,,80.0,68.0,European Championship 2022
Diego BOTIN,5,49er,9.0,0,gold,1,,80.0,68.0,European Championship 2022
Diego BOTIN,5,49er,12.0,1,gold,1,,80.0,68.0,European Championship 2022
Diego BOTIN,5,49er,1.0,0,gold,1,,80.0,68.0,European Championship 2022
Diego BOTIN,5,49er,,0,gold,1,,80.0,68.0,European Championship 2022
Diego BOTIN,5,49er,8.0,0,medal,1,,80.0,68.0,European Championship 2022
Bart LAMBRIEX,5,49er,2.0,0,yellow,2,,108.0,83.0,European Championship 2022
Bart LAMBRIEX,5,49er,3.0,0,yellow,2,,108.0,83.0,European Championship 2022
Bart LAMBRIEX,5,49er,1.0,0,yellow,2,,108.0,83.0,European Championship 2022
Bart LAMBRIEX,5,49er,4.0,0,yellow,2,,108.0,83.0,European Championship 2022
Bart LAMBRIEX,5,49er,1.0,0,yellow,2,,108.0,83.0,European Championship 2022
Bart LAMBRIEX,5,49er,9.0,0,yellow,2,,108.0,83.0,European Championship 2022
Bart LAMBRIEX,5,49er,2.0,0,yellow,2,,108.0,83.0,European Championship 2022
Bart LAMBRIEX,5,49er,7.0,0,yellow,2,,108.0,83.0,European Championship 2022
Bart LAMBRIEX,5,49er,11.0,0,yellow,2,,108.0,83.0,European Championship 2022
Bart LAMBRIEX,5,49er,3.0,0,gold,2,,108.0,83.0,European Championship 2022
Bart LAMBRIEX,5,49er,15.0,0,gold,2,,108.0,83.0,European Championship 2022
Bart LAMBRIEX,5,49er,4.0,0,gold,2,,108.0,83.0,European Championship 2022
Bart LAMBRIEX,5,49er,6.0,0,gold,2,,108.0,83.0,European Championship 2022
Bart LAMBRIEX,5,49er,3.0,0,gold,2,,108.0,83.0,European Championship 2022
Bart LAMBRIEX,5,49er,25.0,1,gold,2,,108.0,83.0,European Championship 2022
Bart LAMBRIEX,5,49er,,0,gold,2,,108.0,83.0,European Championship 2022
Bart LAMBRIEX,5,49er,12.0,0,medal,2,,108.0,83.0,European Championship 2022
James PETERS,5,49er,6.0,0,red,3,,105.0,84.0,European Championship 2022
James PETERS,5,49er,1.0,0,red,3,,105.0,84.0,European Championship 2022
James PETERS,5,49er,1.0,0,red,3,,105.0,84.0,European Championship 2022
James PETERS,5,49er,8.0,0,blue,3,,105.0,84.0,European Championship 2022
James PETERS,5,49er,5.0,0,blue,3,,105.0,84.0,European Championship 2022
James PETERS,5,49er,3.0,0,blue,3,,105.0,84.0,European Championship 2022
James PETERS,5,49er,3.0,0,red,3,,105.0,84.0,European Championship 2022
James PETERS,5,49er,3.0,0,red,3,,105.0,84.0,European Championship 2022
James PETERS,5,49er,10.0,0,red,3,,105.0,84.0,European Championship 2022
James PETERS,5,49er,5.0,0,gold,3,,105.0,84.0,European Championship 2022
James PETERS,5,49er,10.0,0,gold,3,,105.0,84.0,European Championship 2022
James PETERS,5,49er,10.0,0,gold,3,,105.0,84.0,European Championship 2022
James PETERS,5,49er,21.0,1,gold,3,,105.0,84.0,European Championship 2022
James PETERS,5,49er,7.0,0,gold,3,,105.0,84.0,European Championship 2022
James PETERS,5,49er,8.0,0,gold,3,,105.0,84.0,European Championship 2022
James PETERS,5,49er,,0,gold,3,,105.0,84.0,European Championship 2022
James PETERS,5,49er,4.0,0,medal,3,,105.0,84.0,European Championship 2022
Sime FANTELA,5,49er,3.0,0,blue,4,,126.2,100.2,European Championship 2022
Sime FANTELA,5,49er,5.0,0,blue,4,,126.2,100.2,European Championship 2022
Sime FANTELA,5,49er,4.2,0,blue,4,RDG,126.2,100.2,European Championship 2022
Sime FANTELA,5,49er,1.0,0,blue,4,,126.2,100.2,European Championship 2022
Sime FANTELA,5,49er,10.0,0,blue,4,,126.2,100.2,European Championship 2022
Sime FANTELA,5,49er,2.0,0,blue,4,,126.2,100.2,European Championship 2022
Sime FANTELA,5,49er,4.0,0,blue,4,,126.2,100.2,European Championship 2022
Sime FANTELA,5,49er,5.0,0,blue,4,,126.2,100.2,European Championship 2022
Sime FANTELA,5,49er,9.0,0,blue,4,,126.2,100.2,European Championship 2022
Sime FANTELA,5,49er,26.0,1,gold,4,RET,126.2,100.2,European Championship 2022
Sime FANTELA,5,49er,16.0,0,gold,4,,126.2,100.2,European Championship 2022
Sime FANTELA,5,49er,11.0,0,gold,4,,126.2,100.2,European Championship 2022
Sime FANTELA,5,49er,8.0,0,gold,4,,126.2,100.2,European Championship 2022
Sime FANTELA,5,49er,9.0,0,gold,4,,126.2,100.2,European Championship 2022
Sime FANTELA,5,49er,3.0,0,gold,4,,126.2,100.2,European Championship 2022
Sime FANTELA,5,49er,,0,gold,4,,126.2,100.2,European Championship 2022
Sime FANTELA,5,49er,10.0,0,medal,4,,126.2,100.2,European Championship 2022
Jim COLLEY,5,49er,3.0,0,yellow,5,,121.0,102.0,European Championship 2022
Jim COLLEY,5,49er,5.0,0,yellow,5,,121.0,102.0,European Championship 2022
Jim COLLEY,5,49er,9.0,0,yellow,5,,121.0,102.0,European Championship 2022
Jim COLLEY,5,49er,4.0,0,red,5,,121.0,102.0,European Championship 2022
Jim COLLEY,5,49er,1.0,0,red,5,,121.0,102.0,European Championship 2022
Jim COLLEY,5,49er,3.0,0,red,5,,121.0,102.0,European Championship 2022
Jim COLLEY,5,49er,17.0,0,red,5,,121.0,102.0,European Championship 2022
Jim COLLEY,5,49er,4.0,0,red,5,,121.0,102.0,European Championship 2022
Jim COLLEY,5,49er,14.0,0,red,5,,121.0,102.0,European Championship 2022
Jim COLLEY,5,49er,9.0,0,gold,5,,121.0,102.0,European Championship 2022
Jim COLLEY,5,49er,6.0,0,gold,5,,121.0,102.0,European Championship 2022
Jim COLLEY,5,49er,7.0,0,gold,5,,121.0,102.0,European Championship 2022
Jim COLLEY,5,49er,2.0,0,gold,5,,121.0,102.0,European Championship 2022
Jim COLLEY,5,49er,19.0,1,gold,5,,121.0,102.0,European Championship 2022
Jim COLLEY,5,49er,4.0,0,gold,5,,121.0,102.0,European Championship 2022
Jim COLLEY,5,49er,,0,gold,5,,121.0,102.0,European Championship 2022
Jim COLLEY,5,49er,14.0,0,medal,5,,121.0,102.0,European Championship 2022
Łukasz PRZYBYTEK,5,49er,9.0,0,yellow,6,,122.0,106.0,European Championship 2022
Łukasz PRZYBYTEK,5,49er,10.0,0,yellow,6,,122.0,106.0,European Championship 2022
Łukasz PRZYBYTEK,5,49er,5.0,0,yellow,6,,122.0,106.0,European Championship 2022
Łukasz PRZYBYTEK,5,49er,2.0,0,yellow,6,,122.0,106.0,European Championship 2022
Łukasz PRZYBYTEK,5,49er,6.0,0,yellow,6,,122.0,106.0,European Championship 2022
Łukasz PRZYBYTEK,5,49er,6.0,0,yellow,6,,122.0,106.0,European Championship 2022
Łukasz PRZYBYTEK,5,49er,5.0,0,red,6,,122.0,106.0,European Championship 2022
Łukasz PRZYBYTEK,5,49er,7.0,0,red,6,,122.0,106.0,European Championship 2022
Łukasz PRZYBYTEK,5,49er,5.0,0,red,6,,122.0,106.0,European Championship 2022
Łukasz PRZYBYTEK,5,49er,10.0,0,gold,6,,122.0,106.0,European Championship 2022
Łukasz PRZYBYTEK,5,49er,3.0,0,gold,6,,122.0,106.0,European Championship 2022
Łukasz PRZYBYTEK,5,49er,16.0,1,gold,6,,122.0,106.0,European Championship 2022
Łukasz PRZYBYTEK,5,49er,12.0,0,gold,6,,122.0,106.0,European Championship 2022
Łukasz PRZYBYTEK,5,49er,13.0,0,gold,6,,122.0,106.0,European Championship 2022
Łukasz PRZYBYTEK,5,49er,11.0,0,gold,6,,122.0,106.0,European Championship 2022
Łukasz PRZYBYTEK,5,49er,,0,gold,6,,122.0,106.0,European Championship 2022
Łukasz PRZYBYTEK,5,49er,2.0,0,medal,6,,122.0,106.0,European Championship 2022
Frederik RASK,5,49er,2.0,0,red,7,,127.0,106.0,European Championship 2022
Frederik RASK,5,49er,5.0,0,red,7,,127.0,106.0,European Championship 2022
Frederik RASK,5,49er,8.0,0,red,7,,127.0,106.0,European Championship 2022
Frederik RASK,5,49er,1.0,0,yellow,7,,127.0,106.0,European Championship 2022
Frederik RASK,5,49er,7.0,0,yellow,7,,127.0,106.0,European Championship 2022
Frederik RASK,5,49er,8.0,0,yellow,7,,127.0,106.0,European Championship 2022
Frederik RASK,5,49er,6.0,0,red,7,,127.0,106.0,European Championship 2022
Frederik RASK,5,49er,1.0,0,red,7,,127.0,106.0,European Championship 2022
Frederik RASK,5,49er,4.0,0,red,7,,127.0,106.0,European Championship 2022
Frederik RASK,5,49er,14.0,0,gold,7,,127.0,106.0,European Championship 2022
Frederik RASK,5,49er,9.0,0,gold,7,,127.0,106.0,European Championship 2022
