Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
Martine GRAEL,5,49erFX,10.0,1,blue,1,,79.0,69.0,European Championship 2022
Martine GRAEL,5,49erFX,3.0,0,blue,1,,79.0,69.0,European Championship 2022
Martine GRAEL,5,49erFX,2.0,0,blue,1,,79.0,69.0,European Championship 2022
Martine GRAEL,5,49erFX,3.0,0,yellow,1,,79.0,69.0,European Championship 2022
Martine GRAEL,5,49erFX,2.0,0,yellow,1,,79.0,69.0,European Championship 2022
Martine GRAEL,5,49erFX,8.0,0,yellow,1,,79.0,69.0,European Championship 2022
Martine GRAEL,5,49erFX,9.0,0,yellow,1,,79.0,69.0,European Championship 2022
Martine GRAEL,5,49erFX,3.0,0,yellow,1,,79.0,69.0,European Championship 2022
Martine GRAEL,5,49erFX,1.0,0,yellow,1,,79.0,69.0,European Championship 2022
Martine GRAEL,5,49erFX,3.0,0,gold,1,,79.0,69.0,European Championship 2022
Martine GRAEL,5,49erFX,10.0,0,gold,1,,79.0,69.0,European Championship 2022
Martine GRAEL,5,49erFX,2.0,0,gold,1,,79.0,69.0,European Championship 2022
Martine GRAEL,5,49erFX,1.0,0,gold,1,,79.0,69.0,European Championship 2022
Martine GRAEL,5,49erFX,6.0,0,gold,1,,79.0,69.0,European Championship 2022
Martine GRAEL,5,49erFX,16.0,0,medal,1,,79.0,69.0,European Championship 2022
Odile van AANHOLT,5,49erFX,7.0,0,yellow,2,,91.0,75.0,European Championship 2022
Odile van AANHOLT,5,49erFX,12.0,0,yellow,2,,91.0,75.0,European Championship 2022
Odile van AANHOLT,5,49erFX,1.0,0,yellow,2,,91.0,75.0,European Championship 2022
Odile van AANHOLT,5,49erFX,6.0,0,blue,2,,91.0,75.0,European Championship 2022
Odile van AANHOLT,5,49erFX,8.0,0,blue,2,,91.0,75.0,European Championship 2022
Odile van AANHOLT,5,49erFX,4.0,0,blue,2,,91.0,75.0,European Championship 2022
Odile van AANHOLT,5,49erFX,16.0,1,blue,2,,91.0,75.0,European Championship 2022
Odile van AANHOLT,5,49erFX,1.0,0,blue,2,,91.0,75.0,European Championship 2022
Odile van AANHOLT,5,49erFX,3.0,0,blue,2,,91.0,75.0,European Championship 2022
Odile van AANHOLT,5,49erFX,2.0,0,gold,2,,91.0,75.0,European Championship 2022
Odile van AANHOLT,5,49erFX,4.0,0,gold,2,,91.0,75.0,European Championship 2022
Odile van AANHOLT,5,49erFX,5.0,0,gold,2,,91.0,75.0,European Championship 2022
Odile van AANHOLT,5,49erFX,9.0,0,gold,2,,91.0,75.0,European Championship 2022
Odile van AANHOLT,5,49erFX,1.0,0,gold,2,,91.0,75.0,European Championship 2022
Odile van AANHOLT,5,49erFX,12.0,0,medal,2,,91.0,75.0,European Championship 2022
Vilma BOBECK,5,49erFX,6.0,0,yellow,3,,102.0,78.0,European Championship 2022
Vilma BOBECK,5,49erFX,1.0,0,yellow,3,,102.0,78.0,European Championship 2022
Vilma BOBECK,5,49erFX,4.0,0,yellow,3,,102.0,78.0,European Championship 2022
Vilma BOBECK,5,49erFX,1.0,0,blue,3,,102.0,78.0,European Championship 2022
Vilma BOBECK,5,49erFX,2.0,0,blue,3,,102.0,78.0,European Championship 2022
Vilma BOBECK,5,49erFX,8.0,0,blue,3,,102.0,78.0,European Championship 2022
Vilma BOBECK,5,49erFX,1.0,0,blue,3,,102.0,78.0,European Championship 2022
Vilma BOBECK,5,49erFX,5.0,0,blue,3,,102.0,78.0,European Championship 2022
Vilma BOBECK,5,49erFX,1.0,0,blue,3,,102.0,78.0,European Championship 2022
Vilma BOBECK,5,49erFX,24.0,1,gold,3,,102.0,78.0,European Championship 2022
Vilma BOBECK,5,49erFX,1.0,0,gold,3,,102.0,78.0,European Championship 2022
Vilma BOBECK,5,49erFX,16.0,0,gold,3,,102.0,78.0,European Championship 2022
Vilma BOBECK,5,49erFX,10.0,0,gold,3,,102.0,78.0,European Championship 2022
Vilma BOBECK,5,49erFX,20.0,0,gold,3,,102.0,78.0,European Championship 2022
Vilma BOBECK,5,49erFX,2.0,0,medal,3,,102.0,78.0,European Championship 2022
Jana GERMANI,5,49erFX,8.0,0,blue,4,,132.0,111.0,European Championship 2022
