Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
Ruggero TITA,5,Nacra 17,2.0,0,,1,,29.0,21.0,European Championship 2022
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022
Ruggero TITA,5,Nacra 17,8.0,1,,1,,29.0,21.0,European Championship 2022
Ruggero TITA,5,Nacra 17,2.0,0,,1,,29.0,21.0,European Championship 2022
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022
Ruggero TITA,5,Nacra 17,2.0,0,,1,,29.0,21.0,European Championship 2022
Ruggero TITA,5,Nacra 17,2.0,0,,1,,29.0,21.0,European Championship 2022
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022
Ruggero TITA,5,Nacra 17,4.0,0,medal,1,,29.0,21.0,European Championship 2022
Micah WILKINSON,5,Nacra 17,1.0,0,,2,,103.0,86.0,European Championship 2022
Micah WILKINSON,5,Nacra 17,3.0,0,,2,,103.0,86.0,European Championship 2022
Micah WILKINSON,5,Nacra 17,17.0,1,,2,,103.0,86.0,European Championship 2022
Micah WILKINSON,5,Nacra 17,2.0,0,,2,,103.0,86.0,European Championship 2022
Micah WILKINSON,5,Nacra 17,2.0,0,,2,,103.0,86.0,European Championship 2022
Micah WILKINSON,5,Nacra 17,12.0,0,,2,,103.0,86.0,European Championship 2022
Micah WILKINSON,5,Nacra 17,6.0,0,,2,,103.0,86.0,European Championship 2022
Micah WILKINSON,5,Nacra 17,9.0,0,,2,,103.0,86.0,European Championship 2022
Micah WILKINSON,5,Nacra 17,4.0,0,,2,,103.0,86.0,European Championship 2022
Micah WILKINSON,5,Nacra 17,4.0,0,,2,,103.0,86.0,European Championship 2022
Micah WILKINSON,5,Nacra 17,6.0,0,,2,,103.0,86.0,European Championship 2022
Micah WILKINSON,5,Nacra 17,8.0,0,,2,,103.0,86.0,European Championship 2022
Micah WILKINSON,5,Nacra 17,11.0,0,,2,,103.0,86.0,European Championship 2022
Micah WILKINSON,5,Nacra 17,10.0,0,,2,,103.0,86.0,European Championship 2022
Micah WILKINSON,5,Nacra 17,8.0,0,medal,2,,103.0,86.0,European Championship 2022
Sinem KURTBAY,5,Nacra 17,11.0,0,,3,,110.0,93.0,European Championship 2022
Sinem KURTBAY,5,Nacra 17,17.0,1,,3,,110.0,93.0,European Championship 2022
Sinem KURTBAY,5,Nacra 17,6.0,0,,3,,110.0,93.0,European Championship 2022
Sinem KURTBAY,5,Nacra 17,4.0,0,,3,,110.0,93.0,European Championship 2022
Sinem KURTBAY,5,Nacra 17,5.0,0,,3,,110.0,93.0,European Championship 2022
Sinem KURTBAY,5,Nacra 17,17.0,0,,3,,110.0,93.0,European Championship 2022
