,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Diego  BOTINFlorian TRITTEL ,,49er,1,G,1,,103,78,Semaine Olympique Francaise De Voile 2023
1,,,Diego  BOTINFlorian TRITTEL ,,49er,11,G,1,,103,78,Semaine Olympique Francaise De Voile 2023
2,,,Diego  BOTINFlorian TRITTEL ,,49er,5,G,1,,103,78,Semaine Olympique Francaise De Voile 2023
3,,,Diego  BOTINFlorian TRITTEL ,,49er,4,G,1,,103,78,Semaine Olympique Francaise De Voile 2023
4,,,Diego  BOTINFlorian TRITTEL ,,49er,1,G,1,,103,78,Semaine Olympique Francaise De Voile 2023
5,,,Diego  BOTINFlorian TRITTEL ,,49er,2,O,1,,103,78,Semaine Olympique Francaise De Voile 2023
6,,,Diego  BOTINFlorian TRITTEL ,,49er,12,O,1,,103,78,Semaine Olympique Francaise De Voile 2023
7,,,Diego  BOTINFlorian TRITTEL ,,49er,1,O,1,,103,78,Semaine Olympique Francaise De Voile 2023
8,,,Diego  BOTINFlorian TRITTEL ,,49er,1,O,1,,103,78,Semaine Olympique Francaise De Voile 2023
9,,,Diego  BOTINFlorian TRITTEL ,,49er,13,O,1,,103,78,Semaine Olympique Francaise De Voile 2023
10,,,Diego  BOTINFlorian TRITTEL ,,49er,RET(25),O,1,,103,78,Semaine Olympique Francaise De Voile 2023
11,,,Diego  BOTINFlorian TRITTEL ,,49er,3,O,1,,103,78,Semaine Olympique Francaise De Voile 2023
12,,,Diego  BOTINFlorian TRITTEL ,,49er,10,O,1,,103,78,Semaine Olympique Francaise De Voile 2023
13,,,Diego  BOTINFlorian TRITTEL ,,49er,14,Medal Race,1,,103,78,Semaine Olympique Francaise De Voile 2023
14,,,Jim COLLEYShaun CONNOR ,,49er,5,G,2,,112,87,Semaine Olympique Francaise De Voile 2023
15,,,Jim COLLEYShaun CONNOR ,,49er,7,G,2,,112,87,Semaine Olympique Francaise De Voile 2023
16,,,Jim COLLEYShaun CONNOR ,,49er,6,G,2,,112,87,Semaine Olympique Francaise De Voile 2023
17,,,Jim COLLEYShaun CONNOR ,,49er,1,G,2,,112,87,Semaine Olympique Francaise De Voile 2023
18,,,Jim COLLEYShaun CONNOR ,,49er,2,G,2,,112,87,Semaine Olympique Francaise De Voile 2023
19,,,Jim COLLEYShaun CONNOR ,,49er,14,O,2,,112,87,Semaine Olympique Francaise De Voile 2023
20,,,Jim COLLEYShaun CONNOR ,,49er,UFD(25),O,2,,112,87,Semaine Olympique Francaise De Voile 2023
21,,,Jim COLLEYShaun CONNOR ,,49er,18,O,2,,112,87,Semaine Olympique Francaise De Voile 2023
22,,,Jim COLLEYShaun CONNOR ,,49er,3,O,2,,112,87,Semaine Olympique Francaise De Voile 2023
23,,,Jim COLLEYShaun CONNOR ,,49er,4,O,2,,112,87,Semaine Olympique Francaise De Voile 2023
24,,,Jim COLLEYShaun CONNOR ,,49er,9,O,2,,112,87,Semaine Olympique Francaise De Voile 2023
25,,,Jim COLLEYShaun CONNOR ,,49er,8,O,2,,112,87,Semaine Olympique Francaise De Voile 2023
26,,,Jim COLLEYShaun CONNOR ,,49er,6,O,2,,112,87,Semaine Olympique Francaise De Voile 2023
27,,,Jim COLLEYShaun CONNOR ,,49er,4,Medal Race,2,,112,87,Semaine Olympique Francaise De Voile 2023
28,,,Mikolaj STANIULJakub SZTORCH ,,49er,7,G,3,,105,90,Semaine Olympique Francaise De Voile 2023
29,,,Mikolaj STANIULJakub SZTORCH ,,49er,1,G,3,,105,90,Semaine Olympique Francaise De Voile 2023
30,,,Mikolaj STANIULJakub SZTORCH ,,49er,2,G,3,,105,90,Semaine Olympique Francaise De Voile 2023
31,,,Mikolaj STANIULJakub SZTORCH ,,49er,12,G,3,,105,90,Semaine Olympique Francaise De Voile 2023
32,,,Mikolaj STANIULJakub SZTORCH ,,49er,8,G,3,,105,90,Semaine Olympique Francaise De Voile 2023
