,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,2,G,1,,59,50,Semaine Olympique Francaise De Voile 2023
1,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,2,G,1,,59,50,Semaine Olympique Francaise De Voile 2023
2,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,(9),G,1,,59,50,Semaine Olympique Francaise De Voile 2023
3,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,2,G,1,,59,50,Semaine Olympique Francaise De Voile 2023
4,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,2,G,1,,59,50,Semaine Olympique Francaise De Voile 2023
5,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,7,O,1,,59,50,Semaine Olympique Francaise De Voile 2023
6,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,3,O,1,,59,50,Semaine Olympique Francaise De Voile 2023
7,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,3,O,1,,59,50,Semaine Olympique Francaise De Voile 2023
8,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,4,O,1,,59,50,Semaine Olympique Francaise De Voile 2023
9,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,2,O,1,,59,50,Semaine Olympique Francaise De Voile 2023
10,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,4,O,1,,59,50,Semaine Olympique Francaise De Voile 2023
11,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,6,O,1,,59,50,Semaine Olympique Francaise De Voile 2023
12,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,1,O,1,,59,50,Semaine Olympique Francaise De Voile 2023
13,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,12,Medal Race,1,,59,50,Semaine Olympique Francaise De Voile 2023
14,,,Jana GERMANIGiorgia BERTUZZI ,,49erFX,1,G,2,,126,102,Semaine Olympique Francaise De Voile 2023
15,,,Jana GERMANIGiorgia BERTUZZI ,,49erFX,1,G,2,,126,102,Semaine Olympique Francaise De Voile 2023
16,,,Jana GERMANIGiorgia BERTUZZI ,,49erFX,14,G,2,,126,102,Semaine Olympique Francaise De Voile 2023
17,,,Jana GERMANIGiorgia BERTUZZI ,,49erFX,3,G,2,,126,102,Semaine Olympique Francaise De Voile 2023
18,,,Jana GERMANIGiorgia BERTUZZI ,,49erFX,3,G,2,,126,102,Semaine Olympique Francaise De Voile 2023
