,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Barbora SVIKOVA ,,IQFOIL Fem.,5,G,1,,61,33,Semaine Olympique Francaise De Voile 2023
1,,,Barbora SVIKOVA ,,IQFOIL Fem.,2,G,1,,61,33,Semaine Olympique Francaise De Voile 2023
2,,,Barbora SVIKOVA ,,IQFOIL Fem.,2,G,1,,61,33,Semaine Olympique Francaise De Voile 2023
3,,,Barbora SVIKOVA ,,IQFOIL Fem.,(8),G,1,,61,33,Semaine Olympique Francaise De Voile 2023
4,,,Barbora SVIKOVA ,,IQFOIL Fem.,2,G,1,,61,33,Semaine Olympique Francaise De Voile 2023
5,,,Barbora SVIKOVA ,,IQFOIL Fem.,2,G,1,,61,33,Semaine Olympique Francaise De Voile 2023
6,,,Barbora SVIKOVA ,,IQFOIL Fem.,(8),G,1,,61,33,Semaine Olympique Francaise De Voile 2023
7,,,Barbora SVIKOVA ,,IQFOIL Fem.,4,G,1,,61,33,Semaine Olympique Francaise De Voile 2023
8,,,Barbora SVIKOVA ,,IQFOIL Fem.,6,G,1,,61,33,Semaine Olympique Francaise De Voile 2023
9,,,Barbora SVIKOVA ,,IQFOIL Fem.,1,G,1,,61,33,Semaine Olympique Francaise De Voile 2023
10,,,Barbora SVIKOVA ,,IQFOIL Fem.,2,G,1,,61,33,Semaine Olympique Francaise De Voile 2023
11,,,Barbora SVIKOVA ,,IQFOIL Fem.,2,G,1,,61,33,Semaine Olympique Francaise De Voile 2023
12,,,Barbora SVIKOVA ,,IQFOIL Fem.,(12),G,1,,61,33,Semaine Olympique Francaise De Voile 2023
13,,,Barbora SVIKOVA ,,IQFOIL Fem.,5,G,1,,61,33,Semaine Olympique Francaise De Voile 2023
14,,,Barbora SVIKOVA ,,IQFOIL Fem.,1,Medal Race,1,,61,33,Semaine Olympique Francaise De Voile 2023
15,,,Rina NIIJIMA ,,IQFOIL Fem.,(11),G,2,,122,75,Semaine Olympique Francaise De Voile 2023
16,,,Rina NIIJIMA ,,IQFOIL Fem.,7,G,2,,122,75,Semaine Olympique Francaise De Voile 2023
17,,,Rina NIIJIMA ,,IQFOIL Fem.,(14),G,2,,122,75,Semaine Olympique Francaise De Voile 2023
18,,,Rina NIIJIMA ,,IQFOIL Fem.,9,G,2,,122,75,Semaine Olympique Francaise De Voile 2023
19,,,Rina NIIJIMA ,,IQFOIL Fem.,10,G,2,,122,75,Semaine Olympique Francaise De Voile 2023
20,,,Rina NIIJIMA ,,IQFOIL Fem.,5,G,2,,122,75,Semaine Olympique Francaise De Voile 2023
21,,,Rina NIIJIMA ,,IQFOIL Fem.,3,G,2,,122,75,Semaine Olympique Francaise De Voile 2023
22,,,Rina NIIJIMA ,,IQFOIL Fem.,8,G,2,,122,75,Semaine Olympique Francaise De Voile 2023
23,,,Rina NIIJIMA ,,IQFOIL Fem.,9,G,2,,122,75,Semaine Olympique Francaise De Voile 2023
24,,,Rina NIIJIMA ,,IQFOIL Fem.,4,G,2,,122,75,Semaine Olympique Francaise De Voile 2023
25,,,Rina NIIJIMA ,,IQFOIL Fem.,(22),G,2,,122,75,Semaine Olympique Francaise De Voile 2023
26,,,Rina NIIJIMA ,,IQFOIL Fem.,11,G,2,,122,75,Semaine Olympique Francaise De Voile 2023
27,,,Rina NIIJIMA ,,IQFOIL Fem.,6,G,2,,122,75,Semaine Olympique Francaise De Voile 2023
28,,,Rina NIIJIMA ,,IQFOIL Fem.,3,G,2,,122,75,Semaine Olympique Francaise De Voile 2023
29,,,Rina NIIJIMA ,,IQFOIL Fem.,2,Medal Race,2,,122,75,Semaine Olympique Francaise De Voile 2023
30,,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,(3),G,3,,27,12,Semaine Olympique Francaise De Voile 2023
31,,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,(5),G,3,,27,12,Semaine Olympique Francaise De Voile 2023
32,,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,1,G,3,,27,12,Semaine Olympique Francaise De Voile 2023
33,,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,2,G,3,,27,12,Semaine Olympique Francaise De Voile 2023
34,,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,1,G,3,,27,12,Semaine Olympique Francaise De Voile 2023
35,,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,1,G,3,,27,12,Semaine Olympique Francaise De Voile 2023
36,,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,1,G,3,,27,12,Semaine Olympique Francaise De Voile 2023
