Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
"GOYARD, Nicolas",7,IQFOIL Masc.,-10,1(CR),1,,33,15,Semaine Olympique Francaise De Voile 2022
"BOURGEOIS, Clément",7,IQFOIL Masc.,2,1(CR),2,,125,44,Semaine Olympique Francaise De Voile 2022
"KOERDEL, Sebastian",7,IQFOIL Masc.,-11,1(CR),3,,86,46,Semaine Olympique Francaise De Voile 2022
"RUTKOWSKI, Maciej",7,IQFOIL Masc.,3,1(CR),4,,184,80,Semaine Olympique Francaise De Voile 2022
"MANOWIECKI, Kamil",7,IQFOIL Masc.,6,1(CR),5,,184.8,89.8,Semaine Olympique Francaise De Voile 2022
"PIGNOLET, Louis",7,IQFOIL Masc.,1,1(CR),6,,157.1,102.1,Semaine Olympique Francaise De Voile 2022
"LE COQ, Pierre",7,IQFOIL Masc.,7,1(CR),7,,180.4,102.4,Semaine Olympique Francaise De Voile 2022
"ARMIT, Joshua",7,IQFOIL Masc.,-15,1(CR),8,,168,108,Semaine Olympique Francaise De Voile 2022
"GOYARD, Thomas",7,IQFOIL Masc.,12,1(CR),9,,262,109,Semaine Olympique Francaise De Voile 2022
"POLAK, Michal",7,IQFOIL Masc.,9,1(CR),10,,163,110,Semaine Olympique Francaise De Voile 2022
"ARNOUX, Tom",7,IQFOIL Masc.,4,1(CR),11,,206,111,Semaine Olympique Francaise De Voile 2022
"LE BOSQ, Titouan",7,IQFOIL Masc.,19,1(CR),12,,236,112,Semaine Olympique Francaise De Voile 2022
"FURMANSKI, Radoslaw",7,IQFOIL Masc.,16,1(CR),13,,220,115,Semaine Olympique Francaise De Voile 2022
"JASIUNAS, Rytis",7,IQFOIL Masc.,8,1(CR),14,,220,115,Semaine Olympique Francaise De Voile 2022
"MESTRE, Adrien",7,IQFOIL Masc.,14,1(CR),15,,279,138,Semaine Olympique Francaise De Voile 2022
"LEWINSKI, Dominik",7,IQFOIL Masc.,13,1(CR),16,,241,151,Semaine Olympique Francaise De Voile 2022
"AU, Ling Yeung",7,IQFOIL Masc.,20,1(CR),17,,261,174,Semaine Olympique Francaise De Voile 2022
"LEE, Taehoon",7,IQFOIL Masc.,23,1(CR),18,,261,187,Semaine Olympique Francaise De Voile 2022
"MCMILLAN, Will",7,IQFOIL Masc.,5,1(CR),19,,318,200,Semaine Olympique Francaise De Voile 2022
"PIANAZZA, Fabien",7,IQFOIL Masc.,22,1(CR),20,,313,211,Semaine Olympique Francaise De Voile 2022
"CHENG, Ching Yin",7,IQFOIL Masc.,24,1(CR),21,,301,213,Semaine Olympique Francaise De Voile 2022
"POULIQUEN, Oël",7,IQFOIL Masc.,-28,1(CR),22,,304,214,Semaine Olympique Francaise De Voile 2022
"WOLF, Fabian",7,IQFOIL Masc.,DNC (57),1(CR),23,,363,214,Semaine Olympique Francaise De Voile 2022
"MERCEUR, Benoît",7,IQFOIL Masc.,18,1(CR),24,,323,219,Semaine Olympique Francaise De Voile 2022
"CARFANTAN, Gaspard",7,IQFOIL Masc.,26,1(CR),25,,353,241,Semaine Olympique Francaise De Voile 2022
"COUSIN, Alexandre",7,IQFOIL Masc.,BFD (57),1(CR),26,,403,255,Semaine Olympique Francaise De Voile 2022
"LIEFTING, Elijah",7,IQFOIL Masc.,27,1(CR),27,,423,300,Semaine Olympique Francaise De Voile 2022
"GHIO, Romain",7,IQFOIL Masc.,-31,1(CR),28,,415,301,Semaine Olympique Francaise De Voile 2022
"BENZ, Matteo",7,IQFOIL Masc.,17,1(CR),29,,477,306,Semaine Olympique Francaise De Voile 2022
"MORRIS, Grae",7,IQFOIL Masc.,25,1(CR),30,,477,306,Semaine Olympique Francaise De Voile 2022
"SCHÄRER, Sebastian",7,IQFOIL Masc.,21,1(CR),31,,457,308,Semaine Olympique Francaise De Voile 2022
"MATHIS, Alexis",7,IQFOIL Masc.,-37,1(CR),32,,431,314,Semaine Olympique Francaise De Voile 2022
"KIM, Chaneui",7,IQFOIL Masc.,29,1(CR),33,,452,317,Semaine Olympique Francaise De Voile 2022
"MYSZKA, Piotr",7,IQFOIL Masc.,38,1(CR),34,,451,330,Semaine Olympique Francaise De Voile 2022
"KIKABHOY, Rafeek",7,IQFOIL Masc.,-36,1(CR),35,,445,333,Semaine Olympique Francaise De Voile 2022
"JOYNER, Harry",7,IQFOIL Masc.,-41,1(CR),36,,468,341,Semaine Olympique Francaise De Voile 2022
"KUBIN, Robert",7,IQFOIL Masc.,32,1(CR),37,,479,358,Semaine Olympique Francaise De Voile 2022
"BIRIZ, Onur Cavit",7,IQFOIL Masc.,30,1(CR),38,,488,371,Semaine Olympique Francaise De Voile 2022
"ROMANOWSKI,",7,IQFOIL Masc.,35,1(CR),39,,495,379,Semaine Olympique Francaise De Voile 2022
"WINCHCOMBE, Caelin",7,IQFOIL Masc.,39,1(CR),40,,537,401,Semaine Olympique Francaise De Voile 2022
"CHANTREL, Jules",7,IQFOIL Masc.,34,1(CR),41,,552,405,Semaine Olympique Francaise De Voile 2022
"KANG, Hyeongjung",7,IQFOIL Masc.,-46,1(CR),42,,556,411,Semaine Olympique Francaise De Voile 2022
"ANAMI, Tomonori",7,IQFOIL Masc.,40,1(CR),43,,561,415,Semaine Olympique Francaise De Voile 2022
"HEIMANN, Jonne",7,IQFOIL Masc.,44,1(CR),44,,584,425,Semaine Olympique Francaise De Voile 2022
"JOYNER, Jack",7,IQFOIL Masc.,33,1(CR),45,,567,435,Semaine Olympique Francaise De Voile 2022
"TUGARYEV, Oleksandr",7,IQFOIL Masc.,-45,1(CR),46,,570,435,Semaine Olympique Francaise De Voile 2022
"GUIRAUD, Lucas",7,IQFOIL Masc.,-42,1(CR),47,,606,450,Semaine Olympique Francaise De Voile 2022
"POGGEMANN, Lars",7,IQFOIL Masc.,-43,1(CR),48,,600,454,Semaine Olympique Francaise De Voile 2022
"DESTOMBES, Clément",7,IQFOIL Masc.,47,1(CR),49,,636.4,492.4,Semaine Olympique Francaise De Voile 2022
"MENDELENKO,",7,IQFOIL Masc.,48,1(CR),50,,663,506,Semaine Olympique Francaise De Voile 2022
"GUEMBRI, Mehdi",7,IQFOIL Masc.,-49,1(CR),51,,683,527,Semaine Olympique Francaise De Voile 2022
"OH, Elkan",7,IQFOIL Masc.,-50,1(CR),52,,678,527,Semaine Olympique Francaise De Voile 2022
"KUMAR S, Jerome",7,IQFOIL Masc.,-51,1(CR),53,,696,535,Semaine Olympique Francaise De Voile 2022
"WEARN HAW, Tan",7,IQFOIL Masc.,DNC (57),1(CR),54,,707,536,Semaine Olympique Francaise De Voile 2022
"GANESH, Sachin",7,IQFOIL Masc.,DNC (57),1(CR),55,,784,613,Semaine Olympique Francaise De Voile 2022
"CROOK, Thomas",7,IQFOIL Masc.,DNC (57),1(CR),56,,822,651,Semaine Olympique Francaise De Voile 2022
"GOYARD, Nicolas",7,IQFOIL Masc.,-2,2(CR),1,,33,15,Semaine Olympique Francaise De Voile 2022
"BOURGEOIS, Clément",7,IQFOIL Masc.,3,2(CR),2,,125,44,Semaine Olympique Francaise De Voile 2022
"KOERDEL, Sebastian",7,IQFOIL Masc.,1,2(CR),3,,86,46,Semaine Olympique Francaise De Voile 2022
"RUTKOWSKI, Maciej",7,IQFOIL Masc.,6,2(CR),4,,184,80,Semaine Olympique Francaise De Voile 2022
"MANOWIECKI, Kamil",7,IQFOIL Masc.,-22,2(CR),5,,184.8,89.8,Semaine Olympique Francaise De Voile 2022
"PIGNOLET, Louis",7,IQFOIL Masc.,4,2(CR),6,,157.1,102.1,Semaine Olympique Francaise De Voile 2022
"LE COQ, Pierre",7,IQFOIL Masc.,5,2(CR),7,,180.4,102.4,Semaine Olympique Francaise De Voile 2022
"ARMIT, Joshua",7,IQFOIL Masc.,13,2(CR),8,,168,108,Semaine Olympique Francaise De Voile 2022
"GOYARD, Thomas",7,IQFOIL Masc.,RET (57),2(CR),9,,262,109,Semaine Olympique Francaise De Voile 2022
