Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
NOESMOEN Hélène,7,IQFOIL Fem.,1,1(CR),1,,28,12,Semaine Olympique Francaise De Voile 2022
DZIARNOWSKA Maja,7,IQFOIL Fem.,-6,1(CR),2,,57,36,Semaine Olympique Francaise De Voile 2022
COUSIN Delphine,7,IQFOIL Fem.,2,1(CR),3,,96,53,Semaine Olympique Francaise De Voile 2022
MAGGETTI Marta,7,IQFOIL Fem.,-13,1(CR),4,,92,54,Semaine Olympique Francaise De Voile 2022
TEN HAVE Veerle,7,IQFOIL Fem.,-9,1(CR),5,,90,55,Semaine Olympique Francaise De Voile 2022
PIANAZZA Manon,7,IQFOIL Fem.,7,1(CR),6,,128,75,Semaine Olympique Francaise De Voile 2022
BELBEOCH Lucie,7,IQFOIL Fem.,4,1(CR),7,,156,75,Semaine Olympique Francaise De Voile 2022
SPECIALE Giorgia,7,IQFOIL Fem.,12,1(CR),8,,144,94,Semaine Olympique Francaise De Voile 2022
KUCHTA Maja,7,IQFOIL Fem.,5,1(CR),9,,182,98,Semaine Olympique Francaise De Voile 2022
MA Kwan Ching,7,IQFOIL Fem.,10,1(CR),10,,165,102,Semaine Olympique Francaise De Voile 2022
MORTEFON Marion,7,IQFOIL Fem.,3,1(CR),11,,169,103,Semaine Olympique Francaise De Voile 2022
AGUILAR CHAVEZ PEON,7,IQFOIL Fem.,14,1(CR),12,,183,118,Semaine Olympique Francaise De Voile 2022
SORIN Lola,7,IQFOIL Fem.,-22,1(CR),13,,190,129,Semaine Olympique Francaise De Voile 2022
ERDIL Lena,7,IQFOIL Fem.,11,1(CR),14,,225,130,Semaine Olympique Francaise De Voile 2022
ENGELMANN Alisa,7,IQFOIL Fem.,-18,1(CR),15,,229.22,161.22,Semaine Olympique Francaise De Voile 2022
PAPAZIAN Ambar,7,IQFOIL Fem.,15,1(CR),16,,244,167,Semaine Olympique Francaise De Voile 2022
