Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
MAEDER Maximilian,7,Formula Kite Masc.,1,G,1,,1,1,Semaine Olympique Francaise De Voile 2022
MAZELLA Axel,7,Formula Kite Masc.,2,G,2,,2,2,Semaine Olympique Francaise De Voile 2022
NOCHER Maxime,7,Formula Kite Masc.,3,G,3,,3,3,Semaine Olympique Francaise De Voile 2022
BOSCHETTI Lorenzo,7,Formula Kite Masc.,4,G,4,,4,4,Semaine Olympique Francaise De Voile 2022
DOLENC Martin,7,Formula Kite Masc.,5,G,5,,5,5,Semaine Olympique Francaise De Voile 2022
BAINBRIDGE Connor,7,Formula Kite Masc.,6,G,6,,6,6,Semaine Olympique Francaise De Voile 2022
DE RAMECOURT Théo,7,Formula Kite Masc.,7,G,7,,7,7,Semaine Olympique Francaise De Voile 2022
PIANOSI Riccardo,7,Formula Kite Masc.,8,G,8,,8,8,Semaine Olympique Francaise De Voile 2022
GRUBER Florian,7,Formula Kite Masc.,9,G,9,,9,9,Semaine Olympique Francaise De Voile 2022
HUANG Qibin,7,Formula Kite Masc.,10,G,10,,10,10,Semaine Olympique Francaise De Voile 2022
GOMEZ Benoit,7,Formula Kite Masc.,11,G,11,,11,11,Semaine Olympique Francaise De Voile 2022
MAUS Jannis,7,Formula Kite Masc.,12,G,12,,12,12,Semaine Olympique Francaise De Voile 2022
VODISEK Toni,7,Formula Kite Masc.,13,G,13,,13,13,Semaine Olympique Francaise De Voile 2022
EHLEN Alexander,7,Formula Kite Masc.,14,G,14,,14,14,Semaine Olympique Francaise De Voile 2022
LHEZ Arthur,7,Formula Kite Masc.,15,G,15,,15,15,Semaine Olympique Francaise De Voile 2022
PARLIER Nicolas,7,Formula Kite Masc.,16,G,16,,16,16,Semaine Olympique Francaise De Voile 2022
ZAKOWSKI Maksymilian,7,Formula Kite Masc.,17,G,17,,17,17,Semaine Olympique Francaise De Voile 2022
LOBO Bruno,7,Formula Kite Masc.,18,G,18,,18,18,Semaine Olympique Francaise De Voile 2022
AZULAY Dvir,7,Formula Kite Masc.,19,G,19,,19,19,Semaine Olympique Francaise De Voile 2022
EDEGRAN Markus,7,Formula Kite Masc.,20,G,20,,20,20,Semaine Olympique Francaise De Voile 2022
ZARKA Dor,7,Formula Kite Masc.,21,G,21,,21,21,Semaine Olympique Francaise De Voile 2022
BONTUS Valentin,7,Formula Kite Masc.,22,G,22,,22,22,Semaine Olympique Francaise De Voile 2022
MARCINIAK Jan,7,Formula Kite Masc.,23,G,23,,23,23,Semaine Olympique Francaise De Voile 2022
BRASILI Alessio,7,Formula Kite Masc.,24,G,24,,24,24,Semaine Olympique Francaise De Voile 2022
HARUVI Zohar,7,Formula Kite Masc.,25,G,25,,25,25,Semaine Olympique Francaise De Voile 2022
CALBUCCI Mario,7,Formula Kite Masc.,26,G,26,,26,26,Semaine Olympique Francaise De Voile 2022
CLIMENT HERNÁNDEZ Alejandro,7,Formula Kite Masc.,27,G,27,,27,27,Semaine Olympique Francaise De Voile 2022
OZOG Blazej,7,Formula Kite Masc.,28,G,28,,28,28,Semaine Olympique Francaise De Voile 2022
RUNCIMAN Noah,7,Formula Kite Masc.,29,G,29,,29,29,Semaine Olympique Francaise De Voile 2022
WESTON Joseph Jonathan,7,Formula Kite Masc.,30,G,30,,30,30,Semaine Olympique Francaise De Voile 2022
GINYOL Ejder,7,Formula Kite Masc.,31,G,31,,31,31,Semaine Olympique Francaise De Voile 2022
JURKOWSKI Jakub,7,Formula Kite Masc.,32,G,32,,32,32,Semaine Olympique Francaise De Voile 2022
QUERNEC Malo,7,Formula Kite Masc.,33,G,33,,33,33,Semaine Olympique Francaise De Voile 2022
VÖSTER Jan,7,Formula Kite Masc.,34,G,34,,34,34,Semaine Olympique Francaise De Voile 2022
PICARD Anthony,7,Formula Kite Masc.,35,G,35,,35,35,Semaine Olympique Francaise De Voile 2022
WOJCIECHOWSKI Michal,7,Formula Kite Masc.,36,G,36,,36,36,Semaine Olympique Francaise De Voile 2022
KOSKA Vojtech,7,Formula Kite Masc.,37,G,37,,37,37,Semaine Olympique Francaise De Voile 2022
PULLEN Zac,7,Formula Kite Masc.,38,G,38,,38,38,Semaine Olympique Francaise De Voile 2022
