Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
"MOROZ, Daniela",7,Formula Kite Fem.,1,G,1,,1,1,Semaine Olympique Francaise De Voile 2022
"NOLOT, Lauriane",7,Formula Kite Fem.,2,G,2,,2,2,Semaine Olympique Francaise De Voile 2022
"ALDRIDGE, Ellie",7,Formula Kite Fem.,3,G,3,,3,3,Semaine Olympique Francaise De Voile 2022
"NEWLAND, Poema",7,Formula Kite Fem.,4,G,4,,4,4,Semaine Olympique Francaise De Voile 2022
"FANCELLI, Alexia",7,Formula Kite Fem.,5,G,5,,5,5,Semaine Olympique Francaise De Voile 2022
"WHITEHEAD, Breiana",7,Formula Kite Fem.,6,G,6,,6,6,Semaine Olympique Francaise De Voile 2022
"ANDERSON, Madeleine",7,Formula Kite Fem.,7,G,7,,7,7,Semaine Olympique Francaise De Voile 2022
"MEYER, Leonie",7,Formula Kite Fem.,8,G,8,,8,8,Semaine Olympique Francaise De Voile 2022
"CRATHORNE, Jemima",7,Formula Kite Fem.,9,G,9,,9,9,Semaine Olympique Francaise De Voile 2022
"DAMASIEWICZ, Julia",7,Formula Kite Fem.,10,G,10,,10,10,Semaine Olympique Francaise De Voile 2022
"KORNELLI, Alina",7,Formula Kite Fem.,11,G,11,,11,11,Semaine Olympique Francaise De Voile 2022
"KAMPMAN, Jessie",7,Formula Kite Fem.,12,G,12,,12,12,Semaine Olympique Francaise De Voile 2022
"DABSON, Katie",7,Formula Kite Fem.,13,G,13,,13,13,Semaine Olympique Francaise De Voile 2022
"PULIDO BORRELL, Gisela",7,Formula Kite Fem.,14,G,14,,14,14,Semaine Olympique Francaise De Voile 2022
"YOUNG, Lily",7,Formula Kite Fem.,15,G,15,,15,15,Semaine Olympique Francaise De Voile 2022
"WOYCIECHOWSKA, Magdalena",7,Formula Kite Fem.,16,G,16,,16,16,Semaine Olympique Francaise De Voile 2022
"TOMASONI, Sofia",7,Formula Kite Fem.,17,G,17,,17,17,Semaine Olympique Francaise De Voile 2022
"ARCISZ, Nina",7,Formula Kite Fem.,18,G,18,,18,18,Semaine Olympique Francaise De Voile 2022
"DESJARDINS, Anaïs Mai",7,Formula Kite Fem.,19,G,19,,19,19,Semaine Olympique Francaise De Voile 2022
"PESCETTO, Maggie",7,Formula Kite Fem.,20,G,20,,20,20,Semaine Olympique Francaise De Voile 2022
"ASHKENAZI, Maya",7,Formula Kite Fem.,21,G,21,,21,21,Semaine Olympique Francaise De Voile 2022
"PEGOURIE, Heloise",7,Formula Kite Fem.,22,G,22,,22,22,Semaine Olympique Francaise De Voile 2022
"LAPORTE, Tiana",7,Formula Kite Fem.,23,G,23,,23,23,Semaine Olympique Francaise De Voile 2022
"RIJSBERGEN, Kimberley",7,Formula Kite Fem.,24,G,24,,24,24,Semaine Olympique Francaise De Voile 2022
"ZUKERMAN, Gal",7,Formula Kite Fem.,25,G,25,,25,25,Semaine Olympique Francaise De Voile 2022
"TAYLOR, Jane",7,Formula Kite Fem.,26,G,26,,26,26,Semaine Olympique Francaise De Voile 2022
"CAVAL, Lysa",7,Formula Kite Fem.,27,G,27,,27,27,Semaine Olympique Francaise De Voile 2022
"BIVAUD, Nina",7,Formula Kite Fem.,28,G,28,,28,28,Semaine Olympique Francaise De Voile 2022
"ATAKAN, Derin",7,Formula Kite Fem.,29,G,29,,29,29,Semaine Olympique Francaise De Voile 2022
"SAWICKA, Dominika",7,Formula Kite Fem.,30,G,30,,30,30,Semaine Olympique Francaise De Voile 2022
"MORKOWSKA, Julia",7,Formula Kite Fem.,31,G,31,,31,31,Semaine Olympique Francaise De Voile 2022
"BOUTANG, Zoé",7,Formula Kite Fem.,32,G,32,,32,32,Semaine Olympique Francaise De Voile 2022
"REVIL, Chloe",7,Formula Kite Fem.,33,G,33,,33,33,Semaine Olympique Francaise De Voile 2022
"SORGUÇ, Derin Deniz",7,Formula Kite Fem.,34,G,34,,34,34,Semaine Olympique Francaise De Voile 2022
"VASONCELLO, Maria Do Socorro",7,Formula Kite Fem.,35,G,35,,35,35,Semaine Olympique Francaise De Voile 2022
"JANTAWAN, Benyapa",7,Formula Kite Fem.,36,G,36,,36,36,Semaine Olympique Francaise De Voile 2022
"LARSSON, Karolina",7,Formula Kite Fem.,37,G,37,,37,37,Semaine Olympique Francaise De Voile 2022
"PHISIL, Tatsanee",7,Formula Kite Fem.,38,G,38,,38,38,Semaine Olympique Francaise De Voile 2022
"ZIZLAVSKA, Monika",7,Formula Kite Fem.,39,G,39,,39,39,Semaine Olympique Francaise De Voile 2022
"SATRJAN, Izabela",7,Formula Kite Fem.,40,G,40,,40,40,Semaine Olympique Francaise De Voile 2022
"DOLENC, Marija",7,Formula Kite Fem.,41,G,41,,41,41,Semaine Olympique Francaise De Voile 2022
"BALANCA, Lilou",7,Formula Kite Fem.,DNC 43,G,42,,43,43,Semaine Olympique Francaise De Voile 2022
