,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Keiju OKADAMiho YOSHIOKA ,,ILCA 7,STP9,G,1,,72,56,Trofeo S.A.R Princesa Sofia 2023
1,,,Keiju OKADAMiho YOSHIOKA ,,ILCA 7,STP7,G,1,,72,56,Trofeo S.A.R Princesa Sofia 2023
2,,,Keiju OKADAMiho YOSHIOKA ,,ILCA 7,1,G,1,,72,56,Trofeo S.A.R Princesa Sofia 2023
3,,,Keiju OKADAMiho YOSHIOKA ,,ILCA 7,3,G,1,,72,56,Trofeo S.A.R Princesa Sofia 2023
4,,,Keiju OKADAMiho YOSHIOKA ,,ILCA 7,3,G,1,,72,56,Trofeo S.A.R Princesa Sofia 2023
5,,,Keiju OKADAMiho YOSHIOKA ,,ILCA 7,1,O,1,,72,56,Trofeo S.A.R Princesa Sofia 2023
6,,,Keiju OKADAMiho YOSHIOKA ,,ILCA 7,7,O,1,,72,56,Trofeo S.A.R Princesa Sofia 2023
7,,,Keiju OKADAMiho YOSHIOKA ,,ILCA 7,4,O,1,,72,56,Trofeo S.A.R Princesa Sofia 2023
8,,,Keiju OKADAMiho YOSHIOKA ,,ILCA 7,(16),O,1,,72,56,Trofeo S.A.R Princesa Sofia 2023
9,,,Keiju OKADAMiho YOSHIOKA ,,ILCA 7,3,O,1,,72,56,Trofeo S.A.R Princesa Sofia 2023
10,,,Keiju OKADAMiho YOSHIOKA ,,ILCA 7,18,Medal Race,1,,72,56,Trofeo S.A.R Princesa Sofia 2023
11,,,Luise WANSERPhilipp  AUTENRIETH  ,,ILCA 7,4,G,2,,83,63,Trofeo S.A.R Princesa Sofia 2023
12,,,Luise WANSERPhilipp  AUTENRIETH  ,,ILCA 7,3,G,2,,83,63,Trofeo S.A.R Princesa Sofia 2023
13,,,Luise WANSERPhilipp  AUTENRIETH  ,,ILCA 7,2,G,2,,83,63,Trofeo S.A.R Princesa Sofia 2023
14,,,Luise WANSERPhilipp  AUTENRIETH  ,,ILCA 7,9,G,2,,83,63,Trofeo S.A.R Princesa Sofia 2023
