,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Samuel Oliver SILLS ,,IQFOIL Masc.,(9),G,1,,83,32,Trofeo S.A.R Princesa Sofia 2023
1,,,Samuel Oliver SILLS ,,IQFOIL Masc.,3,G,1,,83,32,Trofeo S.A.R Princesa Sofia 2023
2,,,Samuel Oliver SILLS ,,IQFOIL Masc.,2,G,1,,83,32,Trofeo S.A.R Princesa Sofia 2023
3,,,Samuel Oliver SILLS ,,IQFOIL Masc.,5,G,1,,83,32,Trofeo S.A.R Princesa Sofia 2023
4,,,Samuel Oliver SILLS ,,IQFOIL Masc.,3,G,1,,83,32,Trofeo S.A.R Princesa Sofia 2023
5,,,Samuel Oliver SILLS ,,IQFOIL Masc.,3,G,1,,83,32,Trofeo S.A.R Princesa Sofia 2023
6,,,Samuel Oliver SILLS ,,IQFOIL Masc.,1,G,1,,83,32,Trofeo S.A.R Princesa Sofia 2023
7,,,Samuel Oliver SILLS ,,IQFOIL Masc.,1,O,1,,83,32,Trofeo S.A.R Princesa Sofia 2023
8,,,Samuel Oliver SILLS ,,IQFOIL Masc.,(25),O,1,,83,32,Trofeo S.A.R Princesa Sofia 2023
9,,,Samuel Oliver SILLS ,,IQFOIL Masc.,1,O,1,,83,32,Trofeo S.A.R Princesa Sofia 2023
10,,,Samuel Oliver SILLS ,,IQFOIL Masc.,4,O,1,,83,32,Trofeo S.A.R Princesa Sofia 2023
11,,,Samuel Oliver SILLS ,,IQFOIL Masc.,7,O,1,,83,32,Trofeo S.A.R Princesa Sofia 2023
12,,,Samuel Oliver SILLS ,,IQFOIL Masc.,1,O,1,,83,32,Trofeo S.A.R Princesa Sofia 2023
13,,,Samuel Oliver SILLS ,,IQFOIL Masc.,(17),O,1,,83,32,Trofeo S.A.R Princesa Sofia 2023
14,,,Samuel Oliver SILLS ,,IQFOIL Masc.,1,O,1,,83,32,Trofeo S.A.R Princesa Sofia 2023
15,,,Samuel Oliver SILLS ,,IQFOIL Masc.,1,Medal Race,1,,83,32,Trofeo S.A.R Princesa Sofia 2023
16,,,Sebastian KOERDEL ,,IQFOIL Masc.,1,G,2,,115,37,Trofeo S.A.R Princesa Sofia 2023
17,,,Sebastian KOERDEL ,,IQFOIL Masc.,3,G,2,,115,37,Trofeo S.A.R Princesa Sofia 2023
18,,,Sebastian KOERDEL ,,IQFOIL Masc.,1,G,2,,115,37,Trofeo S.A.R Princesa Sofia 2023
19,,,Sebastian KOERDEL ,,IQFOIL Masc.,3,G,2,,115,37,Trofeo S.A.R Princesa Sofia 2023
20,,,Sebastian KOERDEL ,,IQFOIL Masc.,2,G,2,,115,37,Trofeo S.A.R Princesa Sofia 2023
21,,,Sebastian KOERDEL ,,IQFOIL Masc.,1,G,2,,115,37,Trofeo S.A.R Princesa Sofia 2023
22,,,Sebastian KOERDEL ,,IQFOIL Masc.,(4),G,2,,115,37,Trofeo S.A.R Princesa Sofia 2023
23,,,Sebastian KOERDEL ,,IQFOIL Masc.,1,O,2,,115,37,Trofeo S.A.R Princesa Sofia 2023
24,,,Sebastian KOERDEL ,,IQFOIL Masc.,DNC(47),O,2,,115,37,Trofeo S.A.R Princesa Sofia 2023
25,,,Sebastian KOERDEL ,,IQFOIL Masc.,3,O,2,,115,37,Trofeo S.A.R Princesa Sofia 2023
26,,,Sebastian KOERDEL ,,IQFOIL Masc.,1,O,2,,115,37,Trofeo S.A.R Princesa Sofia 2023
27,,,Sebastian KOERDEL ,,IQFOIL Masc.,(27),O,2,,115,37,Trofeo S.A.R Princesa Sofia 2023
28,,,Sebastian KOERDEL ,,IQFOIL Masc.,2,O,2,,115,37,Trofeo S.A.R Princesa Sofia 2023
