,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,John GIMSONAnna BURNET ,,Nacra 17,6,G,1,,53,43,Trofeo S.A.R Princesa Sofia 2023
1,,,John GIMSONAnna BURNET ,,Nacra 17,1,G,1,,53,43,Trofeo S.A.R Princesa Sofia 2023
2,,,John GIMSONAnna BURNET ,,Nacra 17,3,G,1,,53,43,Trofeo S.A.R Princesa Sofia 2023
3,,,John GIMSONAnna BURNET ,,Nacra 17,3,G,1,,53,43,Trofeo S.A.R Princesa Sofia 2023
4,,,John GIMSONAnna BURNET ,,Nacra 17,2,G,1,,53,43,Trofeo S.A.R Princesa Sofia 2023
5,,,John GIMSONAnna BURNET ,,Nacra 17,4,O,1,,53,43,Trofeo S.A.R Princesa Sofia 2023
6,,,John GIMSONAnna BURNET ,,Nacra 17,1,O,1,,53,43,Trofeo S.A.R Princesa Sofia 2023
7,,,John GIMSONAnna BURNET ,,Nacra 17,5,O,1,,53,43,Trofeo S.A.R Princesa Sofia 2023
8,,,John GIMSONAnna BURNET ,,Nacra 17,1,O,1,,53,43,Trofeo S.A.R Princesa Sofia 2023
9,,,John GIMSONAnna BURNET ,,Nacra 17,3,O,1,,53,43,Trofeo S.A.R Princesa Sofia 2023
10,,,John GIMSONAnna BURNET ,,Nacra 17,10,O,1,,53,43,Trofeo S.A.R Princesa Sofia 2023
11,,,John GIMSONAnna BURNET ,,Nacra 17,(10),O,1,,53,43,Trofeo S.A.R Princesa Sofia 2023
12,,,John GIMSONAnna BURNET ,,Nacra 17,4,Medal Race,1,,53,43,Trofeo S.A.R Princesa Sofia 2023
13,,,Vittorio  BISSAROMaelle FRASCARI DIOTALLEVI ,,Nacra 17,3,G,2,,56,47,Trofeo S.A.R Princesa Sofia 2023
14,,,Vittorio  BISSAROMaelle FRASCARI DIOTALLEVI ,,Nacra 17,3,G,2,,56,47,Trofeo S.A.R Princesa Sofia 2023
15,,,Vittorio  BISSAROMaelle FRASCARI DIOTALLEVI ,,Nacra 17,1,G,2,,56,47,Trofeo S.A.R Princesa Sofia 2023
16,,,Vittorio  BISSAROMaelle FRASCARI DIOTALLEVI ,,Nacra 17,1,G,2,,56,47,Trofeo S.A.R Princesa Sofia 2023
17,,,Vittorio  BISSAROMaelle FRASCARI DIOTALLEVI ,,Nacra 17,1,G,2,,56,47,Trofeo S.A.R Princesa Sofia 2023
18,,,Vittorio  BISSAROMaelle FRASCARI DIOTALLEVI ,,Nacra 17,6,O,2,,56,47,Trofeo S.A.R Princesa Sofia 2023
19,,,Vittorio  BISSAROMaelle FRASCARI DIOTALLEVI ,,Nacra 17,6,O,2,,56,47,Trofeo S.A.R Princesa Sofia 2023
20,,,Vittorio  BISSAROMaelle FRASCARI DIOTALLEVI ,,Nacra 17,4,O,2,,56,47,Trofeo S.A.R Princesa Sofia 2023
21,,,Vittorio  BISSAROMaelle FRASCARI DIOTALLEVI ,,Nacra 17,(9),O,2,,56,47,Trofeo S.A.R Princesa Sofia 2023
