,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Luise WANSERPhilipp AUTENRIETH ,,470,(21),G,1,,92,71,World Championship 2022
1,,,Luise WANSERPhilipp AUTENRIETH ,,470,2,G,1,,92,71,World Championship 2022
2,,,Luise WANSERPhilipp AUTENRIETH ,,470,1,G,1,,92,71,World Championship 2022
3,,,Luise WANSERPhilipp AUTENRIETH ,,470,1,G,1,,92,71,World Championship 2022
4,,,Luise WANSERPhilipp AUTENRIETH ,,470,7,G,1,,92,71,World Championship 2022
5,,,Luise WANSERPhilipp AUTENRIETH ,,470,6,O,1,,92,71,World Championship 2022
6,,,Luise WANSERPhilipp AUTENRIETH ,,470,4,O,1,,92,71,World Championship 2022
7,,,Luise WANSERPhilipp AUTENRIETH ,,470,15,O,1,,92,71,World Championship 2022
8,,,Luise WANSERPhilipp AUTENRIETH ,,470,2,O,1,,92,71,World Championship 2022
9,,,Luise WANSERPhilipp AUTENRIETH ,,470,1,O,1,,92,71,World Championship 2022
10,,,Luise WANSERPhilipp AUTENRIETH ,,470,12,O,1,,92,71,World Championship 2022
11,,,Luise WANSERPhilipp AUTENRIETH ,,470,20,Medal Race,1,,92,71,World Championship 2022
12,,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,2,G,2,,100,82,World Championship 2022
13,,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,12,G,2,,100,82,World Championship 2022
14,,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,10,G,2,,100,82,World Championship 2022
15,,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,4,G,2,,100,82,World Championship 2022
16,,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,8,G,2,,100,82,World Championship 2022
17,,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,8,O,2,,100,82,World Championship 2022
18,,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,5,O,2,,100,82,World Championship 2022
19,,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,2,O,2,,100,82,World Championship 2022
20,,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,16,O,2,,100,82,World Championship 2022
21,,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,(18),O,2,,100,82,World Championship 2022
22,,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,13,O,2,,100,82,World Championship 2022
23,,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,2,Medal Race,2,,100,82,World Championship 2022
24,,,Camille LECOINTREJeremie MION ,,470,19,G,3,,106,85,World Championship 2022
25,,,Camille LECOINTREJeremie MION ,,470,9,G,3,,106,85,World Championship 2022
26,,,Camille LECOINTREJeremie MION ,,470,7,G,3,,106,85,World Championship 2022
27,,,Camille LECOINTREJeremie MION ,,470,4,G,3,,106,85,World Championship 2022
28,,,Camille LECOINTREJeremie MION ,,470,3,G,3,,106,85,World Championship 2022
29,,,Camille LECOINTREJeremie MION ,,470,2,O,3,,106,85,World Championship 2022
30,,,Camille LECOINTREJeremie MION ,,470,2,O,3,,106,85,World Championship 2022
31,,,Camille LECOINTREJeremie MION ,,470,4,O,3,,106,85,World Championship 2022
32,,,Camille LECOINTREJeremie MION ,,470,(21),O,3,,106,85,World Championship 2022
33,,,Camille LECOINTREJeremie MION ,,470,14,O,3,,106,85,World Championship 2022
34,,,Camille LECOINTREJeremie MION ,,470,9,O,3,,106,85,World Championship 2022
35,,,Camille LECOINTREJeremie MION ,,470,12,Medal Race,3,,106,85,World Championship 2022
36,,,Matisse PACAUDLucie DE GENNES ,,470,3,G,4,,108,87,World Championship 2022
37,,,Matisse PACAUDLucie DE GENNES ,,470,13,G,4,,108,87,World Championship 2022
38,,,Matisse PACAUDLucie DE GENNES ,,470,6,G,4,,108,87,World Championship 2022
39,,,Matisse PACAUDLucie DE GENNES ,,470,2,G,4,,108,87,World Championship 2022
40,,,Matisse PACAUDLucie DE GENNES ,,470,11,G,4,,108,87,World Championship 2022
41,,,Matisse PACAUDLucie DE GENNES ,,470,4,O,4,,108,87,World Championship 2022
42,,,Matisse PACAUDLucie DE GENNES ,,470,19,O,4,,108,87,World Championship 2022
43,,,Matisse PACAUDLucie DE GENNES ,,470,3,O,4,,108,87,World Championship 2022
44,,,Matisse PACAUDLucie DE GENNES ,,470,3,O,4,,108,87,World Championship 2022
45,,,Matisse PACAUDLucie DE GENNES ,,470,(21),O,4,,108,87,World Championship 2022
46,,,Matisse PACAUDLucie DE GENNES ,,470,15,O,4,,108,87,World Championship 2022
47,,,Matisse PACAUDLucie DE GENNES ,,470,8,Medal Race,4,,108,87,World Championship 2022
48,,,Simon DIESCHAnna MARKFORT ,,470,13,G,5,,120,95,World Championship 2022
49,,,Simon DIESCHAnna MARKFORT ,,470,22,G,5,,120,95,World Championship 2022
50,,,Simon DIESCHAnna MARKFORT ,,470,1,G,5,,120,95,World Championship 2022
51,,,Simon DIESCHAnna MARKFORT ,,470,1,G,5,,120,95,World Championship 2022
52,,,Simon DIESCHAnna MARKFORT ,,470,1,G,5,,120,95,World Championship 2022
53,,,Simon DIESCHAnna MARKFORT ,,470,9,O,5,,120,95,World Championship 2022
54,,,Simon DIESCHAnna MARKFORT ,,470,13,O,5,,120,95,World Championship 2022
55,,,Simon DIESCHAnna MARKFORT ,,470,5,O,5,,120,95,World Championship 2022
56,,,Simon DIESCHAnna MARKFORT ,,470,10,O,5,,120,95,World Championship 2022
57,,,Simon DIESCHAnna MARKFORT ,,470,(25),O,5,,120,95,World Championship 2022
58,,,Simon DIESCHAnna MARKFORT ,,470,6,O,5,,120,95,World Championship 2022
59,,,Simon DIESCHAnna MARKFORT ,,470,14,Medal Race,5,,120,95,World Championship 2022
60,,,Malte WINKELAnastasiya WINKEL ,,470,17,G,6,,122,100,World Championship 2022
61,,,Malte WINKELAnastasiya WINKEL ,,470,4,G,6,,122,100,World Championship 2022
62,,,Malte WINKELAnastasiya WINKEL ,,470,13,G,6,,122,100,World Championship 2022
63,,,Malte WINKELAnastasiya WINKEL ,,470,6,G,6,,122,100,World Championship 2022
64,,,Malte WINKELAnastasiya WINKEL ,,470,9,G,6,,122,100,World Championship 2022
65,,,Malte WINKELAnastasiya WINKEL ,,470,3,O,6,,122,100,World Championship 2022
66,,,Malte WINKELAnastasiya WINKEL ,,470,(22),O,6,,122,100,World Championship 2022
67,,,Malte WINKELAnastasiya WINKEL ,,470,8,O,6,,122,100,World Championship 2022
68,,,Malte WINKELAnastasiya WINKEL ,,470,14,O,6,,122,100,World Championship 2022
69,,,Malte WINKELAnastasiya WINKEL ,,470,8,O,6,,122,100,World Championship 2022
70,,,Malte WINKELAnastasiya WINKEL ,,470,14,O,6,,122,100,World Championship 2022
71,,,Malte WINKELAnastasiya WINKEL ,,470,4,Medal Race,6,,122,100,World Championship 2022
72,,,Keiju OKADAMiho YOSHIOKA ,,470,1,G,7,,133,102,World Championship 2022
73,,,Keiju OKADAMiho YOSHIOKA ,,470,7,G,7,,133,102,World Championship 2022
74,,,Keiju OKADAMiho YOSHIOKA ,,470,5,G,7,,133,102,World Championship 2022
75,,,Keiju OKADAMiho YOSHIOKA ,,470,12,G,7,,133,102,World Championship 2022
76,,,Keiju OKADAMiho YOSHIOKA ,,470,3,G,7,,133,102,World Championship 2022
