,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Marta MAGGETTI ,,IQFOIL Fem.,1,G,1,,110,54,World Championship 2022
1,,,Marta MAGGETTI ,,IQFOIL Fem.,1,G,1,,110,54,World Championship 2022
2,,,Marta MAGGETTI ,,IQFOIL Fem.,1,G,1,,110,54,World Championship 2022
3,,,Marta MAGGETTI ,,IQFOIL Fem.,7,G,1,,110,54,World Championship 2022
4,,,Marta MAGGETTI ,,IQFOIL Fem.,(11),G,1,,110,54,World Championship 2022
5,,,Marta MAGGETTI ,,IQFOIL Fem.,(29),O,1,,110,54,World Championship 2022
6,,,Marta MAGGETTI ,,IQFOIL Fem.,4,O,1,,110,54,World Championship 2022
7,,,Marta MAGGETTI ,,IQFOIL Fem.,4,O,1,,110,54,World Championship 2022
8,,,Marta MAGGETTI ,,IQFOIL Fem.,(16),O,1,,110,54,World Championship 2022
9,,,Marta MAGGETTI ,,IQFOIL Fem.,7,O,1,,110,54,World Championship 2022
10,,,Marta MAGGETTI ,,IQFOIL Fem.,7,O,1,,110,54,World Championship 2022
11,,,Marta MAGGETTI ,,IQFOIL Fem.,5,O,1,,110,54,World Championship 2022
12,,,Marta MAGGETTI ,,IQFOIL Fem.,3,O,1,,110,54,World Championship 2022
13,,,Marta MAGGETTI ,,IQFOIL Fem.,12,O,1,,110,54,World Championship 2022
14,,,Marta MAGGETTI ,,IQFOIL Fem.,2,O,1,,110,54,World Championship 2022
15,,,Marta MAGGETTI ,,IQFOIL Fem.,1,Medal Race,1,,110,54,World Championship 2022
16,,,Daniela PELEG ,,IQFOIL Fem.,DNC(35),G,2,,199,90,World Championship 2022
17,,,Daniela PELEG ,,IQFOIL Fem.,3,G,2,,199,90,World Championship 2022
18,,,Daniela PELEG ,,IQFOIL Fem.,3,G,2,,199,90,World Championship 2022
19,,,Daniela PELEG ,,IQFOIL Fem.,8,G,2,,199,90,World Championship 2022
20,,,Daniela PELEG ,,IQFOIL Fem.,4,G,2,,199,90,World Championship 2022
21,,,Daniela PELEG ,,IQFOIL Fem.,DNC(53),O,2,,199,90,World Championship 2022
22,,,Daniela PELEG ,,IQFOIL Fem.,20,O,2,,199,90,World Championship 2022
23,,,Daniela PELEG ,,IQFOIL Fem.,3,O,2,,199,90,World Championship 2022
24,,,Daniela PELEG ,,IQFOIL Fem.,11,O,2,,199,90,World Championship 2022
25,,,Daniela PELEG ,,IQFOIL Fem.,3,O,2,,199,90,World Championship 2022
26,,,Daniela PELEG ,,IQFOIL Fem.,3,O,2,,199,90,World Championship 2022
27,,,Daniela PELEG ,,IQFOIL Fem.,7,O,2,,199,90,World Championship 2022
28,,,Daniela PELEG ,,IQFOIL Fem.,(21),O,2,,199,90,World Championship 2022
29,,,Daniela PELEG ,,IQFOIL Fem.,8,O,2,,199,90,World Championship 2022
30,,,Daniela PELEG ,,IQFOIL Fem.,17,O,2,,199,90,World Championship 2022
31,,,Daniela PELEG ,,IQFOIL Fem.,2,Medal Race,2,,199,90,World Championship 2022
32,,,Maya MORRIS ,,IQFOIL Fem.,9,G,3,,192,107,World Championship 2022
33,,,Maya MORRIS ,,IQFOIL Fem.,5,G,3,,192,107,World Championship 2022
34,,,Maya MORRIS ,,IQFOIL Fem.,(19),G,3,,192,107,World Championship 2022
35,,,Maya MORRIS ,,IQFOIL Fem.,11,G,3,,192,107,World Championship 2022
36,,,Maya MORRIS ,,IQFOIL Fem.,5,G,3,,192,107,World Championship 2022
37,,,Maya MORRIS ,,IQFOIL Fem.,20,O,3,,192,107,World Championship 2022
