,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Sebastian KOERDEL ,,IQFOIL Masc.,(15),G,1,,84,16,World Championship 2022
1,,,Sebastian KOERDEL ,,IQFOIL Masc.,5,G,1,,84,16,World Championship 2022
2,,,Sebastian KOERDEL ,,IQFOIL Masc.,1,G,1,,84,16,World Championship 2022
3,,,Sebastian KOERDEL ,,IQFOIL Masc.,1,G,1,,84,16,World Championship 2022
4,,,Sebastian KOERDEL ,,IQFOIL Masc.,1,O,1,,84,16,World Championship 2022
5,,,Sebastian KOERDEL ,,IQFOIL Masc.,1,O,1,,84,16,World Championship 2022
6,,,Sebastian KOERDEL ,,IQFOIL Masc.,2,O,1,,84,16,World Championship 2022
7,,,Sebastian KOERDEL ,,IQFOIL Masc.,1,O,1,,84,16,World Championship 2022
8,,,Sebastian KOERDEL ,,IQFOIL Masc.,1,O,1,,84,16,World Championship 2022
9,,,Sebastian KOERDEL ,,IQFOIL Masc.,1,O,1,,84,16,World Championship 2022
10,,,Sebastian KOERDEL ,,IQFOIL Masc.,1,O,1,,84,16,World Championship 2022
11,,,Sebastian KOERDEL ,,IQFOIL Masc.,1,O,1,,84,16,World Championship 2022
12,,,Sebastian KOERDEL ,,IQFOIL Masc.,(35),O,1,,84,16,World Championship 2022
13,,,Sebastian KOERDEL ,,IQFOIL Masc.,(18),O,1,,84,16,World Championship 2022
14,,,Sebastian KOERDEL ,,IQFOIL Masc.,1,Medal Race,1,,84,16,World Championship 2022
15,,,Luuc OPZEELAND ,,IQFOIL Masc.,(29),G,2,,137,47,World Championship 2022
16,,,Luuc OPZEELAND ,,IQFOIL Masc.,1,G,2,,137,47,World Championship 2022
17,,,Luuc OPZEELAND ,,IQFOIL Masc.,5,G,2,,137,47,World Championship 2022
18,,,Luuc OPZEELAND ,,IQFOIL Masc.,3,G,2,,137,47,World Championship 2022
19,,,Luuc OPZEELAND ,,IQFOIL Masc.,(25),O,2,,137,47,World Championship 2022
20,,,Luuc OPZEELAND ,,IQFOIL Masc.,5,O,2,,137,47,World Championship 2022
21,,,Luuc OPZEELAND ,,IQFOIL Masc.,1,O,2,,137,47,World Championship 2022
22,,,Luuc OPZEELAND ,,IQFOIL Masc.,(36),O,2,,137,47,World Championship 2022
23,,,Luuc OPZEELAND ,,IQFOIL Masc.,3,O,2,,137,47,World Championship 2022
24,,,Luuc OPZEELAND ,,IQFOIL Masc.,3,O,2,,137,47,World Championship 2022
25,,,Luuc OPZEELAND ,,IQFOIL Masc.,1,O,2,,137,47,World Championship 2022
26,,,Luuc OPZEELAND ,,IQFOIL Masc.,17,O,2,,137,47,World Championship 2022
27,,,Luuc OPZEELAND ,,IQFOIL Masc.,5,O,2,,137,47,World Championship 2022
28,,,Luuc OPZEELAND ,,IQFOIL Masc.,3,O,2,,137,47,World Championship 2022
29,,,Luuc OPZEELAND ,,IQFOIL Masc.,2,Medal Race,2,,137,47,World Championship 2022
30,,,Huig Jan TAK ,,IQFOIL Masc.,(17),G,3,,129,49,World Championship 2022
31,,,Huig Jan TAK ,,IQFOIL Masc.,1,G,3,,129,49,World Championship 2022
32,,,Huig Jan TAK ,,IQFOIL Masc.,1,G,3,,129,49,World Championship 2022
33,,,Huig Jan TAK ,,IQFOIL Masc.,3,G,3,,129,49,World Championship 2022
34,,,Huig Jan TAK ,,IQFOIL Masc.,(36),O,3,,129,49,World Championship 2022
35,,,Huig Jan TAK ,,IQFOIL Masc.,(27),O,3,,129,49,World Championship 2022
36,,,Huig Jan TAK ,,IQFOIL Masc.,3,O,3,,129,49,World Championship 2022
37,,,Huig Jan TAK ,,IQFOIL Masc.,2,O,3,,129,49,World Championship 2022
38,,,Huig Jan TAK ,,IQFOIL Masc.,11,O,3,,129,49,World Championship 2022
39,,,Huig Jan TAK ,,IQFOIL Masc.,5,O,3,,129,49,World Championship 2022
40,,,Huig Jan TAK ,,IQFOIL Masc.,3,O,3,,129,49,World Championship 2022
41,,,Huig Jan TAK ,,IQFOIL Masc.,17,O,3,,129,49,World Championship 2022
42,,,Huig Jan TAK ,,IQFOIL Masc.,1,O,3,,129,49,World Championship 2022
43,,,Huig Jan TAK ,,IQFOIL Masc.,2,O,3,,129,49,World Championship 2022
44,,,Huig Jan TAK ,,IQFOIL Masc.,3,Medal Race,3,,129,49,World Championship 2022
45,,,Tom REUVENY ,,IQFOIL Masc.,3,G,4,,153,82,World Championship 2022
46,,,Tom REUVENY ,,IQFOIL Masc.,(9),G,4,,153,82,World Championship 2022
47,,,Tom REUVENY ,,IQFOIL Masc.,3,G,4,,153,82,World Championship 2022
48,,,Tom REUVENY ,,IQFOIL Masc.,1,G,4,,153,82,World Championship 2022
49,,,Tom REUVENY ,,IQFOIL Masc.,9,O,4,,153,82,World Championship 2022
50,,,Tom REUVENY ,,IQFOIL Masc.,7,O,4,,153,82,World Championship 2022
51,,,Tom REUVENY ,,IQFOIL Masc.,18,O,4,,153,82,World Championship 2022
52,,,Tom REUVENY ,,IQFOIL Masc.,10,O,4,,153,82,World Championship 2022
53,,,Tom REUVENY ,,IQFOIL Masc.,1,O,4,,153,82,World Championship 2022
54,,,Tom REUVENY ,,IQFOIL Masc.,19,O,4,,153,82,World Championship 2022
55,,,Tom REUVENY ,,IQFOIL Masc.,3,O,4,,153,82,World Championship 2022
56,,,Tom REUVENY ,,IQFOIL Masc.,BFD(39),O,4,,153,82,World Championship 2022
57,,,Tom REUVENY ,,IQFOIL Masc.,8,O,4,,153,82,World Championship 2022
58,,,Tom REUVENY ,,IQFOIL Masc.,(23),O,4,,153,82,World Championship 2022
59,,,Tom REUVENY ,,IQFOIL Masc.,4,Medal Race,4,,153,82,World Championship 2022
60,,,Clément BOURGEOIS ,,IQFOIL Masc.,(3),G,5,,185,90,World Championship 2022
61,,,Clément BOURGEOIS ,,IQFOIL Masc.,3,G,5,,185,90,World Championship 2022
62,,,Clément BOURGEOIS ,,IQFOIL Masc.,3,G,5,,185,90,World Championship 2022
63,,,Clément BOURGEOIS ,,IQFOIL Masc.,3,G,5,,185,90,World Championship 2022
64,,,Clément BOURGEOIS ,,IQFOIL Masc.,12,O,5,,185,90,World Championship 2022
65,,,Clément BOURGEOIS ,,IQFOIL Masc.,4,O,5,,185,90,World Championship 2022
66,,,Clément BOURGEOIS ,,IQFOIL Masc.,10,O,5,,185,90,World Championship 2022
67,,,Clément BOURGEOIS ,,IQFOIL Masc.,23,O,5,,185,90,World Championship 2022
68,,,Clément BOURGEOIS ,,IQFOIL Masc.,3,O,5,,185,90,World Championship 2022
69,,,Clément BOURGEOIS ,,IQFOIL Masc.,3,O,5,,185,90,World Championship 2022
