,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,PACHECO van RIJNSOEVER/BARRIO GARCIA,,Nacra 17,12,G,11,,131,108,World Championship 2023
1,,,TITA/BANTI,,Nacra 17,3,G,1,,43,31,World Championship 2023
2,,,GIMSON/BURNET,,Nacra 17,4,G,2,,77,57,World Championship 2023
3,,,YANG/HU,,Nacra 17,15,G,22,,220,194,World Championship 2023
4,,,BOOTH/BOOTH FERRANDO,,Nacra 17,17,G,20,,211,185,World Championship 2023
5,,,HABERL/FRANK,,Nacra 17,14,G,14,,158,134,World Championship 2023
6,,,LIDDELL/COPELAND,,Nacra 17,16,G,25,,238,212,World Championship 2023
7,,,KOHLHOFF/STUHLEMMER,,Nacra 17,10,G,7,,102,85,World Championship 2023
8,,,WILKINSON/DAWSON,,Nacra 17,2,G,8,,119,93,World Championship 2023
9,,,MAJDALANI/BOSCO,,Nacra 17,8,G,9,,112,93,World Championship 2023
10,,,LANGE/TRAVASCIO,,Nacra 17,18,G,17,,184,158,World Championship 2023
11,,,MAI/CHEN,,Nacra 17,17,G,21,,215,189,World Championship 2023
12,,,BISSARO/FRASCARI,,Nacra 17,1,G,5,,102,76,World Championship 2023
13,,,UGOLINI/GIUBILEI,,Nacra 17,5,G,6,,92,81,World Championship 2023
14,,,KURTBAY/KESKINEN,,Nacra 17,9,G,10,,116,99,World Championship 2023
15,,,FARESE/ZOCHLING,,Nacra 17,13,G,12,,146,130,World Championship 2023
16,,,SAOUMA-PEDERSEN/BORRESKOV,,Nacra 17,11,G,13,,156,132,World Championship 2023
17,,,JARUDD/JONSSON,,Nacra 17,7,G,3,,83,66,World Championship 2023
18,,,GARGETT/HOFFMAN,,Nacra 17,21,G,24,,224,201,World Championship 2023
19,,,BESSON/ANCIAN,,Nacra 17,20,G,15,,162,142,World Championship 2023
20,,,van der MEER/BOUWER,,Nacra 17,6,G,4,,97,71,World Championship 2023
21,,,PORRO/DEZULIAN,,Nacra 17,26,G,23,,222,196,World Championship 2023
22,,,LIDDELL/BROWN,,Nacra 17,26,G,19,,202,176,World Championship 2023
23,,,NEWBERRY MOORE/LIEBENBERG,,Nacra 17,19,G,18,,178,159,World Championship 2023
24,,,SVENSSON/DACKHAMMAR,,Nacra 17,26,G,16,,168,142,World Championship 2023
25,,,DING/SHA,,Nacra 17,2,G,28,,161,135,World Championship 2023
26,,,van der VEEN/van ROOIJEN,,Nacra 17,16,G,39,,268,245,World Championship 2023
27,,,BUNDOCK/DARMANIN,,Nacra 17,12,G,27,,151,134,World Championship 2023
28,,,OFFERMAN/HOUTMAN,,Nacra 17,9,G,33,,193,173,World Championship 2023
29,,,WILLIAMS/WILLIAMS,,Nacra 17,14,G,41,,280,257,World Championship 2023
30,,,ASCHIERI/CAMUSSO,,Nacra 17,25,G,45,,301,275,World Championship 2023
31,,,GESLIN GRIMAUD/DECLEF,,Nacra 17,15,G,40,,282,256,World Championship 2023
32,,,SIEMSEN/ARNDT,,Nacra 17,4,G,31,,173,156,World Championship 2023
33,,,PASCHALIDIS/PAPADOPOULOU,,Nacra 17,8,G,35,,210,184,World Championship 2023
34,,,MATTEO/RIGAUD,,Nacra 17,18,G,44,,299,274,World Championship 2023
35,,,CRAIN/GIMPLE,,Nacra 17,17,G,42,,284,260,World Championship 2023
36,,,de JONGHE/RAVELINGIEN,,Nacra 17,25,G,47,,319,294,World Championship 2023
37,,,BILLY/CHAUVIN,,Nacra 17,10,G,30,,162,145,World Championship 2023
38,,,CLAEYSSENS/VANROOSE,,Nacra 17,19,G,37,,229,205,World Championship 2023
39,,,ZHAO/WANG,,Nacra 17,5,G,26,,147,128,World Championship 2023
40,,,SIDDHESHWAR/SARAVANAN,,Nacra 17,22,G,43,,293,268,World Championship 2023
41,,,KOOIJMAN/SPIJKERVET,,Nacra 17,6,G,38,,268,242,World Championship 2023
42,,,GRANDJEAN/FEHLMANN,,Nacra 17,20,G,49,,343,317,World Championship 2023
43,,,ALBRECHT/NICOLINO,,Nacra 17,1,G,29,,170,144,World Championship 2023
44,,,MARTINEAU/BENHAYOUN,,Nacra 17,21,G,46,,318,292,World Championship 2023
45,,,WATANABE/UEDA,,Nacra 17,13,G,48,,328,302,World Championship 2023
46,,,IITUKA/NISHIDA,,Nacra 17,11,G,32,,192,173,World Championship 2023
47,,,LIU/LIM,,Nacra 17,7,G,36,,224,198,World Championship 2023
48,,,KAYNAR/KAYNAKCI,,Nacra 17,3,G,34,,201,176,World Championship 2023
49,,,WILKINSON/DAWSON,,Nacra 17,3,G,8,,119,93,World Championship 2023
50,,,BOOTH/BOOTH FERRANDO,,Nacra 17,12,G,20,,211,185,World Championship 2023
51,,,SAOUMA-PEDERSEN/BORRESKOV,,Nacra 17,5,G,13,,156,132,World Championship 2023
52,,,PASCHALIDIS/PAPADOPOULOU,,Nacra 17,17,G,35,,210,184,World Championship 2023
53,,,WATANABE/UEDA,,Nacra 17,19,G,48,,328,302,World Championship 2023
54,,,BUNDOCK/DARMANIN,,Nacra 17,11,G,27,,151,134,World Championship 2023
55,,,GRANDJEAN/FEHLMANN,,Nacra 17,25,G,49,,343,317,World Championship 2023
56,,,TITA/BANTI,,Nacra 17,1,G,1,,43,31,World Championship 2023
57,,,SIEMSEN/ARNDT,,Nacra 17,13,G,31,,173,156,World Championship 2023
58,,,LANGE/TRAVASCIO,,Nacra 17,14,G,17,,184,158,World Championship 2023
59,,,BILLY/CHAUVIN,,Nacra 17,15,G,30,,162,145,World Championship 2023
60,,,van der MEER/BOUWER,,Nacra 17,7,G,4,,97,71,World Championship 2023
61,,,PORRO/DEZULIAN,,Nacra 17,2,G,23,,222,196,World Championship 2023
62,,,GESLIN GRIMAUD/DECLEF,,Nacra 17,22,G,40,,282,256,World Championship 2023
63,,,UGOLINI/GIUBILEI,,Nacra 17,6,G,6,,92,81,World Championship 2023
64,,,KAYNAR/KAYNAKCI,,Nacra 17,18,G,34,,201,176,World Championship 2023
65,,,NEWBERRY MOORE/LIEBENBERG,,Nacra 17,8,G,18,,178,159,World Championship 2023
66,,,KURTBAY/KESKINEN,,Nacra 17,4,G,10,,116,99,World Championship 2023
67,,,GARGETT/HOFFMAN,,Nacra 17,16,G,24,,224,201,World Championship 2023
68,,,LIU/LIM,,Nacra 17,21,G,36,,224,198,World Championship 2023
69,,,WILLIAMS/WILLIAMS,,Nacra 17,23,G,41,,280,257,World Championship 2023
70,,,BESSON/ANCIAN,,Nacra 17,9,G,15,,162,142,World Championship 2023
71,,,CRAIN/GIMPLE,,Nacra 17,24,G,42,,284,260,World Championship 2023
72,,,SIDDHESHWAR/SARAVANAN,,Nacra 17,20,G,43,,293,268,World Championship 2023
73,,,FARESE/ZOCHLING,,Nacra 17,10,G,12,,146,130,World Championship 2023
74,,,GIMSON/BURNET,,Nacra 17,6,G,2,,77,57,World Championship 2023
