Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
Erick Marcondes de M.Carpes,3,Ilca 6,1,O,1,,24,15,Central and South American Championship 2023
Lucia Falasca,3,Ilca 6,2,O,2,,34,22,Central and South American Championship 2023
Gabriella Marques Kidd,3,Ilca 6,3,O,3,,52,33,Central and South American Championship 2023
Dolores Moreira Fraschini,3,Ilca 6,4,O,4,,52,37,Central and South American Championship 2023
Florencia Chiarella Salas,3,Ilca 6,5,O,5,,61,44,Central and South American Championship 2023
Stefano André Pendola de la Torre,3,Ilca 6,4,O,6,,69,54,Central and South American Championship 2023
Thomas Vives Potthoff,3,Ilca 6,3,O,7,,86,60,Central and South American Championship 2023
Luciana Andrea Cardozo,3,Ilca 6,2,O,8,,100,62,Central and South American Championship 2023
Julian Maria Duarte Argerich,3,Ilca 6,6,O,9,,80,63,Central and South American Championship 2023
Francisco Marotta,3,Ilca 6,8,O,10,,105,78,Central and South American Championship 2023
Joaquin Galvan,3,Ilca 6,10,O,11,,106,86,Central and South American Championship 2023
Sophie Zimmermann Veja,3,Ilca 6,9,O,12,,105,87,Central and South American Championship 2023
Antônio Ribeiro Machado,3,Ilca 6,7,O,13,,120,89,Central and South American Championship 2023
Caterina Isabel Romero Aguirre,3,Ilca 6,6,O,14,,115,90,Central and South American Championship 2023
Agustin Gonzalez Villalba,3,Ilca 6,1,O,15,,122,90,Central and South American Championship 2023
Francisco Gomez,3,Ilca 6,,O,16,UFD,130,92,Central and South American Championship 2023
Cristina Castellanos Estrada,3,Ilca 6,23,O,17,,116,93,Central and South American Championship 2023
Agustina Jordan,3,Ilca 6,11,O,18,,128,98,Central and South American Championship 2023
"Delfina ""Delfi! De Seta Dalli",3,Ilca 6,10,O,19,,126,98,Central and South American Championship 2023
Lucas Momes Ruiz,3,Ilca 6,14,O,20,,136,103,Central and South American Championship 2023
Nicolas Castelari Rivas,3,Ilca 6,8,O,21,,127,103,Central and South American Championship 2023
Nico Gainschuk,3,Ilca 6,15,O,22,,135,109,Central and South American Championship 2023
Maria Gracia Vegas Trivelli,3,Ilca 6,13,O,23,,147,116,Central and South American Championship 2023
Federico Siebert Francavilla,3,Ilca 6,34,O,24,,155,117,Central and South American Championship 2023
