Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
BUKSAK Dominik / KS WIERZBICKI Szymon,7,49er,3,G,1,,89.0,66.0,Semaine Olympique Francaise De Voile 2022
SNOW Nevin AGNESE Maximiliano,7,49er,1,G,2,,111.0,93.0,Semaine Olympique Francaise De Voile 2022
FISCHER Erwan PEQUIN Clement,7,49er,1,G,3,,113.0,94.0,Semaine Olympique Francaise De Voile 2022
BOTIN LE CHEVERTRITTEL PAUL Florian,7,49er,13,G,4,,121.0,103.0,Semaine Olympique Francaise De Voile 2022
RUAL Lucas AMOROS Emile,7,49er,8,G,5,,137.0,116.0,Semaine Olympique Francaise De Voile 2022
LAMBRIEX Bart FLORIS Van De,7,49er,11,G,6,,149.0,117.0,Semaine Olympique Francaise De Voile 2022
RASK Frederik PRECHT JENSEN,7,49er,3,G,7,,154.0,127.0,Semaine Olympique Francaise De Voile 2022
STANIUL Mikotaj / KS SZTORCH Jakub,7,49er,2,G,8,,167.0,135.0,Semaine Olympique Francaise De Voile 2022
PRZYBYTEK Lukssz PIASECKI Jacek,7,49er,7,G,9,,169.0,137.0,Semaine Olympique Francaise De Voile 2022
MOLLERUS Andrew MACDIARMID Ian,7,49er,4,G,10,,174.0,143.0,Semaine Olympique Francaise De Voile 2022
BARROWS Ian HENKEN Hans,7,49er,8,G,11,,152.0,133.0,Semaine Olympique Francaise De Voile 2022
DUNNING BECK LoganGUNN Oscar,7,49er,12,G,12,,153.0,133.0,Semaine Olympique Francaise De Voile 2022
MCHARDIE IsaacMCKENZIE William,7,49er,2,G,13,,170.0,143.0,Semaine Olympique Francaise De Voile 2022
CRIVELLI VISCONCALABRO Giulio,7,49er,11,G,14,,174.0,143.0,Semaine Olympique Francaise De Voile 2022
DICKSON Robert TBC Tbc,7,49er,16,G,15,,177.0,145.0,Semaine Olympique Francaise De Voile 2022
BARRIO Andres TORRADO Antonio,7,49er,6,G,16,,184.0,156.0,Semaine Olympique Francaise De Voile 2022
FERRARESE Simone CHISTE Leonardo,7,49er,DNF (32),G,17,,208.0,176.0,Semaine Olympique Francaise De Voile 2022
