,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Anton DAHLBERGLovisa KARLSSON ,,470,1,G,1,,71,50,European Championship 2023
1,,,Anton DAHLBERGLovisa KARLSSON ,,470,(21),G,1,,71,50,European Championship 2023
2,,,Anton DAHLBERGLovisa KARLSSON ,,470,5,G,1,,71,50,European Championship 2023
3,,,Anton DAHLBERGLovisa KARLSSON ,,470,4,G,1,,71,50,European Championship 2023
4,,,Anton DAHLBERGLovisa KARLSSON ,,470,1,G,1,,71,50,European Championship 2023
5,,,Anton DAHLBERGLovisa KARLSSON ,,470,1,O,1,,71,50,European Championship 2023
6,,,Anton DAHLBERGLovisa KARLSSON ,,470,4,O,1,,71,50,European Championship 2023
7,,,Anton DAHLBERGLovisa KARLSSON ,,470,2,O,1,,71,50,European Championship 2023
8,,,Anton DAHLBERGLovisa KARLSSON ,,470,5,O,1,,71,50,European Championship 2023
9,,,Anton DAHLBERGLovisa KARLSSON ,,470,9,O,1,,71,50,European Championship 2023
10,,,Anton DAHLBERGLovisa KARLSSON ,,470,4,O,1,,71,50,European Championship 2023
11,,,Anton DAHLBERGLovisa KARLSSON ,,470,14,Medal Race,1,,71,50,European Championship 2023
12,,,Simon DIESCHAnna MARKFORT ,,470,12,G,2,,64,51,European Championship 2023
13,,,Simon DIESCHAnna MARKFORT ,,470,3,G,2,,64,51,European Championship 2023
14,,,Simon DIESCHAnna MARKFORT ,,470,1,G,2,,64,51,European Championship 2023
15,,,Simon DIESCHAnna MARKFORT ,,470,1,G,2,,64,51,European Championship 2023
16,,,Simon DIESCHAnna MARKFORT ,,470,1,G,2,,64,51,European Championship 2023
17,,,Simon DIESCHAnna MARKFORT ,,470,5,O,2,,64,51,European Championship 2023
18,,,Simon DIESCHAnna MARKFORT ,,470,8,O,2,,64,51,European Championship 2023
19,,,Simon DIESCHAnna MARKFORT ,,470,5,O,2,,64,51,European Championship 2023
20,,,Simon DIESCHAnna MARKFORT ,,470,(13),O,2,,64,51,European Championship 2023
21,,,Simon DIESCHAnna MARKFORT ,,470,1,O,2,,64,51,European Championship 2023
22,,,Simon DIESCHAnna MARKFORT ,,470,2,O,2,,64,51,European Championship 2023
