,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Mina MOBEKK ,,IQFOIL Fem.,(15),G,1,,207,116,European Championship 2023
1,,,Mina MOBEKK ,,IQFOIL Fem.,2,G,1,,207,116,European Championship 2023
2,,,Mina MOBEKK ,,IQFOIL Fem.,6,G,1,,207,116,European Championship 2023
3,,,Mina MOBEKK ,,IQFOIL Fem.,3,G,1,,207,116,European Championship 2023
4,,,Mina MOBEKK ,,IQFOIL Fem.,3,G,1,,207,116,European Championship 2023
5,,,Mina MOBEKK ,,IQFOIL Fem.,3,G,1,,207,116,European Championship 2023
6,,,Mina MOBEKK ,,IQFOIL Fem.,10,G,1,,207,116,European Championship 2023
7,,,Mina MOBEKK ,,IQFOIL Fem.,(13),G,1,,207,116,European Championship 2023
8,,,Mina MOBEKK ,,IQFOIL Fem.,4,O,1,,207,116,European Championship 2023
9,,,Mina MOBEKK ,,IQFOIL Fem.,8,O,1,,207,116,European Championship 2023
10,,,Mina MOBEKK ,,IQFOIL Fem.,9,O,1,,207,116,European Championship 2023
11,,,Mina MOBEKK ,,IQFOIL Fem.,14,O,1,,207,116,European Championship 2023
12,,,Mina MOBEKK ,,IQFOIL Fem.,5,O,1,,207,116,European Championship 2023
13,,,Mina MOBEKK ,,IQFOIL Fem.,25,O,1,,207,116,European Championship 2023
14,,,Mina MOBEKK ,,IQFOIL Fem.,3,O,1,,207,116,European Championship 2023
15,,,Mina MOBEKK ,,IQFOIL Fem.,(29),O,1,,207,116,European Championship 2023
16,,,Mina MOBEKK ,,IQFOIL Fem.,17,O,1,,207,116,European Championship 2023
17,,,Mina MOBEKK ,,IQFOIL Fem.,4,O,1,,207,116,European Championship 2023
18,,,Mina MOBEKK ,,IQFOIL Fem.,(34),O,1,,207,116,European Championship 2023
19,,,Mina MOBEKK ,,IQFOIL Fem.,1,Medal Race,1,,207,116,European Championship 2023
20,,,Sharon KANTOR ,,IQFOIL Fem.,(15),G,2,,98,34,European Championship 2023
