,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Nicolò RENNA ,,IQFOIL Masc.,1,G,1,,217,102,European Championship 2023
1,,,Nicolò RENNA ,,IQFOIL Masc.,7,G,1,,217,102,European Championship 2023
2,,,Nicolò RENNA ,,IQFOIL Masc.,(13),G,1,,217,102,European Championship 2023
3,,,Nicolò RENNA ,,IQFOIL Masc.,2,G,1,,217,102,European Championship 2023
4,,,Nicolò RENNA ,,IQFOIL Masc.,1,G,1,,217,102,European Championship 2023
5,,,Nicolò RENNA ,,IQFOIL Masc.,2,G,1,,217,102,European Championship 2023
6,,,Nicolò RENNA ,,IQFOIL Masc.,(13),G,1,,217,102,European Championship 2023
7,,,Nicolò RENNA ,,IQFOIL Masc.,13,G,1,,217,102,European Championship 2023
8,,,Nicolò RENNA ,,IQFOIL Masc.,6,O,1,,217,102,European Championship 2023
9,,,Nicolò RENNA ,,IQFOIL Masc.,9,O,1,,217,102,European Championship 2023
10,,,Nicolò RENNA ,,IQFOIL Masc.,BFD(58),O,1,,217,102,European Championship 2023
11,,,Nicolò RENNA ,,IQFOIL Masc.,4,O,1,,217,102,European Championship 2023
12,,,Nicolò RENNA ,,IQFOIL Masc.,13,O,1,,217,102,European Championship 2023
13,,,Nicolò RENNA ,,IQFOIL Masc.,23,O,1,,217,102,European Championship 2023
14,,,Nicolò RENNA ,,IQFOIL Masc.,3,O,1,,217,102,European Championship 2023
15,,,Nicolò RENNA ,,IQFOIL Masc.,(31),O,1,,217,102,European Championship 2023
16,,,Nicolò RENNA ,,IQFOIL Masc.,1,O,1,,217,102,European Championship 2023
17,,,Nicolò RENNA ,,IQFOIL Masc.,17,O,1,,217,102,European Championship 2023
18,,,Nicolò RENNA ,,IQFOIL Masc.,1,Medal Race,1,,217,102,European Championship 2023
19,,,Sebastian KOERDEL ,,IQFOIL Masc.,2,G,2,,115,41,European Championship 2023
20,,,Sebastian KOERDEL ,,IQFOIL Masc.,(9),G,2,,115,41,European Championship 2023
21,,,Sebastian KOERDEL ,,IQFOIL Masc.,2,G,2,,115,41,European Championship 2023
22,,,Sebastian KOERDEL ,,IQFOIL Masc.,1,G,2,,115,41,European Championship 2023
23,,,Sebastian KOERDEL ,,IQFOIL Masc.,(7),G,2,,115,41,European Championship 2023
24,,,Sebastian KOERDEL ,,IQFOIL Masc.,3,G,2,,115,41,European Championship 2023
25,,,Sebastian KOERDEL ,,IQFOIL Masc.,2,G,2,,115,41,European Championship 2023
26,,,Sebastian KOERDEL ,,IQFOIL Masc.,5,G,2,,115,41,European Championship 2023
