,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Jordi XAMMARNora BRUGMAN ,,470,1,G,1,,82,53,Semaine Olympique Francaise De Voile 2023
1,,,Jordi XAMMARNora BRUGMAN ,,470,1,G,1,,82,53,Semaine Olympique Francaise De Voile 2023
2,,,Jordi XAMMARNora BRUGMAN ,,470,12,G,1,,82,53,Semaine Olympique Francaise De Voile 2023
3,,,Jordi XAMMARNora BRUGMAN ,,470,3,G,1,,82,53,Semaine Olympique Francaise De Voile 2023
4,,,Jordi XAMMARNora BRUGMAN ,,470,2,G,1,,82,53,Semaine Olympique Francaise De Voile 2023
5,,,Jordi XAMMARNora BRUGMAN ,,470,4,O,1,,82,53,Semaine Olympique Francaise De Voile 2023
6,,,Jordi XAMMARNora BRUGMAN ,,470,2,O,1,,82,53,Semaine Olympique Francaise De Voile 2023
7,,,Jordi XAMMARNora BRUGMAN ,,470,5,O,1,,82,53,Semaine Olympique Francaise De Voile 2023
8,,,Jordi XAMMARNora BRUGMAN ,,470,(29),O,1,,82,53,Semaine Olympique Francaise De Voile 2023
9,,,Jordi XAMMARNora BRUGMAN ,,470,19,O,1,,82,53,Semaine Olympique Francaise De Voile 2023
10,,,Jordi XAMMARNora BRUGMAN ,,470,4,Medal Race,1,,82,53,Semaine Olympique Francaise De Voile 2023
11,,,Lara VADLAULukas MÄHR ,,470,5,G,2,,94,61,Semaine Olympique Francaise De Voile 2023
12,,,Lara VADLAULukas MÄHR ,,470,3,G,2,,94,61,Semaine Olympique Francaise De Voile 2023
13,,,Lara VADLAULukas MÄHR ,,470,2,G,2,,94,61,Semaine Olympique Francaise De Voile 2023
14,,,Lara VADLAULukas MÄHR ,,470,9,G,2,,94,61,Semaine Olympique Francaise De Voile 2023
15,,,Lara VADLAULukas MÄHR ,,470,6,G,2,,94,61,Semaine Olympique Francaise De Voile 2023
16,,,Lara VADLAULukas MÄHR ,,470,9,O,2,,94,61,Semaine Olympique Francaise De Voile 2023
17,,,Lara VADLAULukas MÄHR ,,470,10,O,2,,94,61,Semaine Olympique Francaise De Voile 2023
18,,,Lara VADLAULukas MÄHR ,,470,1,O,2,,94,61,Semaine Olympique Francaise De Voile 2023
19,,,Lara VADLAULukas MÄHR ,,470,4,O,2,,94,61,Semaine Olympique Francaise De Voile 2023
20,,,Lara VADLAULukas MÄHR ,,470,UFD(33),O,2,,94,61,Semaine Olympique Francaise De Voile 2023
21,,,Lara VADLAULukas MÄHR ,,470,12,Medal Race,2,,94,61,Semaine Olympique Francaise De Voile 2023
22,,,Malte WINKELAnastasiya WINKEL ,,470,7,G,3,,78,64,Semaine Olympique Francaise De Voile 2023
23,,,Malte WINKELAnastasiya WINKEL ,,470,7,G,3,,78,64,Semaine Olympique Francaise De Voile 2023
24,,,Malte WINKELAnastasiya WINKEL ,,470,2,G,3,,78,64,Semaine Olympique Francaise De Voile 2023
25,,,Malte WINKELAnastasiya WINKEL ,,470,8,G,3,,78,64,Semaine Olympique Francaise De Voile 2023
26,,,Malte WINKELAnastasiya WINKEL ,,470,4,G,3,,78,64,Semaine Olympique Francaise De Voile 2023
27,,,Malte WINKELAnastasiya WINKEL ,,470,(14),O,3,,78,64,Semaine Olympique Francaise De Voile 2023
28,,,Malte WINKELAnastasiya WINKEL ,,470,13,O,3,,78,64,Semaine Olympique Francaise De Voile 2023
29,,,Malte WINKELAnastasiya WINKEL ,,470,10,O,3,,78,64,Semaine Olympique Francaise De Voile 2023
30,,,Malte WINKELAnastasiya WINKEL ,,470,9,O,3,,78,64,Semaine Olympique Francaise De Voile 2023
31,,,Malte WINKELAnastasiya WINKEL ,,470,2,O,3,,78,64,Semaine Olympique Francaise De Voile 2023
32,,,Malte WINKELAnastasiya WINKEL ,,470,2,Medal Race,3,,78,64,Semaine Olympique Francaise De Voile 2023
33,,,Diogo COSTACarolina JOÃO ,,470,6,G,4,,85,71,Semaine Olympique Francaise De Voile 2023
34,,,Diogo COSTACarolina JOÃO ,,470,(14),G,4,,85,71,Semaine Olympique Francaise De Voile 2023
35,,,Diogo COSTACarolina JOÃO ,,470,4,G,4,,85,71,Semaine Olympique Francaise De Voile 2023
36,,,Diogo COSTACarolina JOÃO ,,470,1,G,4,,85,71,Semaine Olympique Francaise De Voile 2023
37,,,Diogo COSTACarolina JOÃO ,,470,9,G,4,,85,71,Semaine Olympique Francaise De Voile 2023
38,,,Diogo COSTACarolina JOÃO ,,470,10,O,4,,85,71,Semaine Olympique Francaise De Voile 2023
39,,,Diogo COSTACarolina JOÃO ,,470,14,O,4,,85,71,Semaine Olympique Francaise De Voile 2023
40,,,Diogo COSTACarolina JOÃO ,,470,7,O,4,,85,71,Semaine Olympique Francaise De Voile 2023
41,,,Diogo COSTACarolina JOÃO ,,470,7,O,4,,85,71,Semaine Olympique Francaise De Voile 2023
42,,,Diogo COSTACarolina JOÃO ,,470,3,O,4,,85,71,Semaine Olympique Francaise De Voile 2023
43,,,Diogo COSTACarolina JOÃO ,,470,10,Medal Race,4,,85,71,Semaine Olympique Francaise De Voile 2023
44,,,Simon DIESCHAnna MARKFORT ,,470,11,G,5,,103,81,Semaine Olympique Francaise De Voile 2023
45,,,Simon DIESCHAnna MARKFORT ,,470,2,G,5,,103,81,Semaine Olympique Francaise De Voile 2023
46,,,Simon DIESCHAnna MARKFORT ,,470,3,G,5,,103,81,Semaine Olympique Francaise De Voile 2023
47,,,Simon DIESCHAnna MARKFORT ,,470,7,G,5,,103,81,Semaine Olympique Francaise De Voile 2023
48,,,Simon DIESCHAnna MARKFORT ,,470,15,G,5,,103,81,Semaine Olympique Francaise De Voile 2023
49,,,Simon DIESCHAnna MARKFORT ,,470,5,O,5,,103,81,Semaine Olympique Francaise De Voile 2023
50,,,Simon DIESCHAnna MARKFORT ,,470,8,O,5,,103,81,Semaine Olympique Francaise De Voile 2023
51,,,Simon DIESCHAnna MARKFORT ,,470,(22),O,5,,103,81,Semaine Olympique Francaise De Voile 2023
52,,,Simon DIESCHAnna MARKFORT ,,470,10,O,5,,103,81,Semaine Olympique Francaise De Voile 2023
53,,,Simon DIESCHAnna MARKFORT ,,470,4,O,5,,103,81,Semaine Olympique Francaise De Voile 2023
54,,,Simon DIESCHAnna MARKFORT ,,470,16,Medal Race,5,,103,81,Semaine Olympique Francaise De Voile 2023
55,,,Anton DAHLBERGLovisa KARLSSON ,,470,7,G,6,,106,83,Semaine Olympique Francaise De Voile 2023
56,,,Anton DAHLBERGLovisa KARLSSON ,,470,3,G,6,,106,83,Semaine Olympique Francaise De Voile 2023
57,,,Anton DAHLBERGLovisa KARLSSON ,,470,11,G,6,,106,83,Semaine Olympique Francaise De Voile 2023
58,,,Anton DAHLBERGLovisa KARLSSON ,,470,8,G,6,,106,83,Semaine Olympique Francaise De Voile 2023
59,,,Anton DAHLBERGLovisa KARLSSON ,,470,1,G,6,,106,83,Semaine Olympique Francaise De Voile 2023
60,,,Anton DAHLBERGLovisa KARLSSON ,,470,(23),O,6,,106,83,Semaine Olympique Francaise De Voile 2023
61,,,Anton DAHLBERGLovisa KARLSSON ,,470,9,O,6,,106,83,Semaine Olympique Francaise De Voile 2023
62,,,Anton DAHLBERGLovisa KARLSSON ,,470,11,O,6,,106,83,Semaine Olympique Francaise De Voile 2023
63,,,Anton DAHLBERGLovisa KARLSSON ,,470,13,O,6,,106,83,Semaine Olympique Francaise De Voile 2023
64,,,Anton DAHLBERGLovisa KARLSSON ,,470,14,O,6,,106,83,Semaine Olympique Francaise De Voile 2023
65,,,Anton DAHLBERGLovisa KARLSSON ,,470,6,Medal Race,6,,106,83,Semaine Olympique Francaise De Voile 2023
66,,,Camille LECOINTREJeremie MION ,,470,14,G,7,,101,83,Semaine Olympique Francaise De Voile 2023
67,,,Camille LECOINTREJeremie MION ,,470,15,G,7,,101,83,Semaine Olympique Francaise De Voile 2023
68,,,Camille LECOINTREJeremie MION ,,470,11,G,7,,101,83,Semaine Olympique Francaise De Voile 2023
69,,,Camille LECOINTREJeremie MION ,,470,12,G,7,,101,83,Semaine Olympique Francaise De Voile 2023
70,,,Camille LECOINTREJeremie MION ,,470,11,G,7,,101,83,Semaine Olympique Francaise De Voile 2023
71,,,Camille LECOINTREJeremie MION ,,470,7,O,7,,101,83,Semaine Olympique Francaise De Voile 2023
72,,,Camille LECOINTREJeremie MION ,,470,1,O,7,,101,83,Semaine Olympique Francaise De Voile 2023
73,,,Camille LECOINTREJeremie MION ,,470,3,O,7,,101,83,Semaine Olympique Francaise De Voile 2023
74,,,Camille LECOINTREJeremie MION ,,470,1,O,7,,101,83,Semaine Olympique Francaise De Voile 2023
75,,,Camille LECOINTREJeremie MION ,,470,(18),O,7,,101,83,Semaine Olympique Francaise De Voile 2023
76,,,Camille LECOINTREJeremie MION ,,470,8,Medal Race,7,,101,83,Semaine Olympique Francaise De Voile 2023
77,,,Nitai HASSONNoa LASRY ,,470,4,G,8,,109,90,Semaine Olympique Francaise De Voile 2023
78,,,Nitai HASSONNoa LASRY ,,470,4,G,8,,109,90,Semaine Olympique Francaise De Voile 2023
79,,,Nitai HASSONNoa LASRY ,,470,5,G,8,,109,90,Semaine Olympique Francaise De Voile 2023
80,,,Nitai HASSONNoa LASRY ,,470,4,G,8,,109,90,Semaine Olympique Francaise De Voile 2023
81,,,Nitai HASSONNoa LASRY ,,470,12,G,8,,109,90,Semaine Olympique Francaise De Voile 2023
82,,,Nitai HASSONNoa LASRY ,,470,12,O,8,,109,90,Semaine Olympique Francaise De Voile 2023
83,,,Nitai HASSONNoa LASRY ,,470,7,O,8,,109,90,Semaine Olympique Francaise De Voile 2023
84,,,Nitai HASSONNoa LASRY ,,470,12,O,8,,109,90,Semaine Olympique Francaise De Voile 2023
85,,,Nitai HASSONNoa LASRY ,,470,(19),O,8,,109,90,Semaine Olympique Francaise De Voile 2023
86,,,Nitai HASSONNoa LASRY ,,470,16,O,8,,109,90,Semaine Olympique Francaise De Voile 2023
87,,,Nitai HASSONNoa LASRY ,,470,14,Medal Race,8,,109,90,Semaine Olympique Francaise De Voile 2023
88,,,Tetsuya ISOZAKIYurie SEKI ,,470,8,G,9,,127,98,Semaine Olympique Francaise De Voile 2023
89,,,Tetsuya ISOZAKIYurie SEKI ,,470,9,G,9,,127,98,Semaine Olympique Francaise De Voile 2023
90,,,Tetsuya ISOZAKIYurie SEKI ,,470,1,G,9,,127,98,Semaine Olympique Francaise De Voile 2023
91,,,Tetsuya ISOZAKIYurie SEKI ,,470,17,G,9,,127,98,Semaine Olympique Francaise De Voile 2023
92,,,Tetsuya ISOZAKIYurie SEKI ,,470,14,G,9,,127,98,Semaine Olympique Francaise De Voile 2023
93,,,Tetsuya ISOZAKIYurie SEKI ,,470,21,O,9,,127,98,Semaine Olympique Francaise De Voile 2023
94,,,Tetsuya ISOZAKIYurie SEKI ,,470,5,O,9,,127,98,Semaine Olympique Francaise De Voile 2023
95,,,Tetsuya ISOZAKIYurie SEKI ,,470,(29),O,9,,127,98,Semaine Olympique Francaise De Voile 2023
96,,,Tetsuya ISOZAKIYurie SEKI ,,470,2,O,9,,127,98,Semaine Olympique Francaise De Voile 2023
97,,,Tetsuya ISOZAKIYurie SEKI ,,470,1,O,9,,127,98,Semaine Olympique Francaise De Voile 2023
98,,,Tetsuya ISOZAKIYurie SEKI ,,470,20,Medal Race,9,,127,98,Semaine Olympique Francaise De Voile 2023
99,,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,2,G,10,,120,99,Semaine Olympique Francaise De Voile 2023
100,,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,2,G,10,,120,99,Semaine Olympique Francaise De Voile 2023
101,,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,13,G,10,,120,99,Semaine Olympique Francaise De Voile 2023
102,,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,14,G,10,,120,99,Semaine Olympique Francaise De Voile 2023
103,,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,13,G,10,,120,99,Semaine Olympique Francaise De Voile 2023
104,,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,1,O,10,,120,99,Semaine Olympique Francaise De Voile 2023
105,,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,19,O,10,,120,99,Semaine Olympique Francaise De Voile 2023
106,,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,(21),O,10,,120,99,Semaine Olympique Francaise De Voile 2023
107,,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,6,O,10,,120,99,Semaine Olympique Francaise De Voile 2023
108,,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,11,O,10,,120,99,Semaine Olympique Francaise De Voile 2023
109,,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,18,Medal Race,10,,120,99,Semaine Olympique Francaise De Voile 2023
110,,,Beatriz GAGORodolfo PIRES ,,470,8,G,11,,117,88,Semaine Olympique Francaise De Voile 2023
111,,,Beatriz GAGORodolfo PIRES ,,470,6,G,11,,117,88,Semaine Olympique Francaise De Voile 2023
112,,,Beatriz GAGORodolfo PIRES ,,470,3,G,11,,117,88,Semaine Olympique Francaise De Voile 2023
113,,,Beatriz GAGORodolfo PIRES ,,470,5,G,11,,117,88,Semaine Olympique Francaise De Voile 2023
114,,,Beatriz GAGORodolfo PIRES ,,470,1,G,11,,117,88,Semaine Olympique Francaise De Voile 2023
115,,,Beatriz GAGORodolfo PIRES ,,470,3,O,11,,117,88,Semaine Olympique Francaise De Voile 2023
116,,,Beatriz GAGORodolfo PIRES ,,470,(29),O,11,,117,88,Semaine Olympique Francaise De Voile 2023
117,,,Beatriz GAGORodolfo PIRES ,,470,9,O,11,,117,88,Semaine Olympique Francaise De Voile 2023
118,,,Beatriz GAGORodolfo PIRES ,,470,25,O,11,,117,88,Semaine Olympique Francaise De Voile 2023
119,,,Beatriz GAGORodolfo PIRES ,,470,28,O,11,,117,88,Semaine Olympique Francaise De Voile 2023
120,,,Giacomo  FERRARIBianca CARUSO ,,470,23,G,12,,127,94,Semaine Olympique Francaise De Voile 2023
121,,,Giacomo  FERRARIBianca CARUSO ,,470,1,G,12,,127,94,Semaine Olympique Francaise De Voile 2023
122,,,Giacomo  FERRARIBianca CARUSO ,,470,7,G,12,,127,94,Semaine Olympique Francaise De Voile 2023
123,,,Giacomo  FERRARIBianca CARUSO ,,470,UFD(33),G,12,,127,94,Semaine Olympique Francaise De Voile 2023
124,,,Giacomo  FERRARIBianca CARUSO ,,470,8,G,12,,127,94,Semaine Olympique Francaise De Voile 2023
125,,,Giacomo  FERRARIBianca CARUSO ,,470,11,O,12,,127,94,Semaine Olympique Francaise De Voile 2023
126,,,Giacomo  FERRARIBianca CARUSO ,,470,6,O,12,,127,94,Semaine Olympique Francaise De Voile 2023
127,,,Giacomo  FERRARIBianca CARUSO ,,470,4,O,12,,127,94,Semaine Olympique Francaise De Voile 2023
128,,,Giacomo  FERRARIBianca CARUSO ,,470,28,O,12,,127,94,Semaine Olympique Francaise De Voile 2023
129,,,Giacomo  FERRARIBianca CARUSO ,,470,6,O,12,,127,94,Semaine Olympique Francaise De Voile 2023
130,,,Elena BERTABruno FESTO ,,470,5,G,13,,121,94,Semaine Olympique Francaise De Voile 2023
131,,,Elena BERTABruno FESTO ,,470,7,G,13,,121,94,Semaine Olympique Francaise De Voile 2023
132,,,Elena BERTABruno FESTO ,,470,19,G,13,,121,94,Semaine Olympique Francaise De Voile 2023
133,,,Elena BERTABruno FESTO ,,470,2,G,13,,121,94,Semaine Olympique Francaise De Voile 2023
134,,,Elena BERTABruno FESTO ,,470,10,G,13,,121,94,Semaine Olympique Francaise De Voile 2023
135,,,Elena BERTABruno FESTO ,,470,6,O,13,,121,94,Semaine Olympique Francaise De Voile 2023
136,,,Elena BERTABruno FESTO ,,470,15,O,13,,121,94,Semaine Olympique Francaise De Voile 2023
137,,,Elena BERTABruno FESTO ,,470,27,O,13,,121,94,Semaine Olympique Francaise De Voile 2023
138,,,Elena BERTABruno FESTO ,,470,3,O,13,,121,94,Semaine Olympique Francaise De Voile 2023
139,,,Elena BERTABruno FESTO ,,470,(27),O,13,,121,94,Semaine Olympique Francaise De Voile 2023
140,,,Linda FAHRNICyril SCHUEPBACH ,,470,15,G,14,,131,98,Semaine Olympique Francaise De Voile 2023
141,,,Linda FAHRNICyril SCHUEPBACH ,,470,DNC(33),G,14,,131,98,Semaine Olympique Francaise De Voile 2023
142,,,Linda FAHRNICyril SCHUEPBACH ,,470,12,G,14,,131,98,Semaine Olympique Francaise De Voile 2023
