,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Lauriane NOLOT ,,Formula Kite Fem.,3,G,1,,64,34,Semaine Olympique Francaise De Voile 2023
1,,,Lauriane NOLOT ,,Formula Kite Fem.,1,G,1,,64,34,Semaine Olympique Francaise De Voile 2023
2,,,Lauriane NOLOT ,,Formula Kite Fem.,(4),G,1,,64,34,Semaine Olympique Francaise De Voile 2023
3,,,Lauriane NOLOT ,,Formula Kite Fem.,2,G,1,,64,34,Semaine Olympique Francaise De Voile 2023
4,,,Lauriane NOLOT ,,Formula Kite Fem.,1,O,1,,64,34,Semaine Olympique Francaise De Voile 2023
5,,,Lauriane NOLOT ,,Formula Kite Fem.,1,O,1,,64,34,Semaine Olympique Francaise De Voile 2023
6,,,Lauriane NOLOT ,,Formula Kite Fem.,1,O,1,,64,34,Semaine Olympique Francaise De Voile 2023
7,,,Lauriane NOLOT ,,Formula Kite Fem.,2,O,1,,64,34,Semaine Olympique Francaise De Voile 2023
8,,,Lauriane NOLOT ,,Formula Kite Fem.,1,O,1,,64,34,Semaine Olympique Francaise De Voile 2023
9,,,Lauriane NOLOT ,,Formula Kite Fem.,2,O,1,,64,34,Semaine Olympique Francaise De Voile 2023
10,,,Lauriane NOLOT ,,Formula Kite Fem.,(12),O,1,,64,34,Semaine Olympique Francaise De Voile 2023
11,,,Lauriane NOLOT ,,Formula Kite Fem.,11,O,1,,64,34,Semaine Olympique Francaise De Voile 2023
12,,,Lauriane NOLOT ,,Formula Kite Fem.,3,O,1,,64,34,Semaine Olympique Francaise De Voile 2023
13,,,Lauriane NOLOT ,,Formula Kite Fem.,(14),O,1,,64,34,Semaine Olympique Francaise De Voile 2023
14,,,Lauriane NOLOT ,,Formula Kite Fem.,5,O,1,,64,34,Semaine Olympique Francaise De Voile 2023
15,,,Lauriane NOLOT ,,Formula Kite Fem.,1,O,1,,64,34,Semaine Olympique Francaise De Voile 2023
16,,,Lauriane NOLOT ,,Formula Kite Fem.,1,Medal Race,1,,64,34,Semaine Olympique Francaise De Voile 2023
17,,,Daniela  MOROZ ,,Formula Kite Fem.,1,G,2,,103,56,Semaine Olympique Francaise De Voile 2023
18,,,Daniela  MOROZ ,,Formula Kite Fem.,(2),G,2,,103,56,Semaine Olympique Francaise De Voile 2023
19,,,Daniela  MOROZ ,,Formula Kite Fem.,1,G,2,,103,56,Semaine Olympique Francaise De Voile 2023
20,,,Daniela  MOROZ ,,Formula Kite Fem.,1,G,2,,103,56,Semaine Olympique Francaise De Voile 2023
21,,,Daniela  MOROZ ,,Formula Kite Fem.,DNC(26),O,2,,103,56,Semaine Olympique Francaise De Voile 2023
22,,,Daniela  MOROZ ,,Formula Kite Fem.,4,O,2,,103,56,Semaine Olympique Francaise De Voile 2023
23,,,Daniela  MOROZ ,,Formula Kite Fem.,3,O,2,,103,56,Semaine Olympique Francaise De Voile 2023
24,,,Daniela  MOROZ ,,Formula Kite Fem.,11,O,2,,103,56,Semaine Olympique Francaise De Voile 2023
25,,,Daniela  MOROZ ,,Formula Kite Fem.,9,O,2,,103,56,Semaine Olympique Francaise De Voile 2023
26,,,Daniela  MOROZ ,,Formula Kite Fem.,1,O,2,,103,56,Semaine Olympique Francaise De Voile 2023
27,,,Daniela  MOROZ ,,Formula Kite Fem.,2,O,2,,103,56,Semaine Olympique Francaise De Voile 2023
28,,,Daniela  MOROZ ,,Formula Kite Fem.,9,O,2,,103,56,Semaine Olympique Francaise De Voile 2023
29,,,Daniela  MOROZ ,,Formula Kite Fem.,5,O,2,,103,56,Semaine Olympique Francaise De Voile 2023
30,,,Daniela  MOROZ ,,Formula Kite Fem.,1,O,2,,103,56,Semaine Olympique Francaise De Voile 2023
31,,,Daniela  MOROZ ,,Formula Kite Fem.,8,O,2,,103,56,Semaine Olympique Francaise De Voile 2023
32,,,Daniela  MOROZ ,,Formula Kite Fem.,(19),O,2,,103,56,Semaine Olympique Francaise De Voile 2023
33,,,Daniela  MOROZ ,,Formula Kite Fem.,2,Medal Race,2,,103,56,Semaine Olympique Francaise De Voile 2023
34,,,Jessie KAMPMAN ,,Formula Kite Fem.,1,G,3,,85,38,Semaine Olympique Francaise De Voile 2023
35,,,Jessie KAMPMAN ,,Formula Kite Fem.,1,G,3,,85,38,Semaine Olympique Francaise De Voile 2023
36,,,Jessie KAMPMAN ,,Formula Kite Fem.,(2),G,3,,85,38,Semaine Olympique Francaise De Voile 2023
37,,,Jessie KAMPMAN ,,Formula Kite Fem.,2,G,3,,85,38,Semaine Olympique Francaise De Voile 2023
38,,,Jessie KAMPMAN ,,Formula Kite Fem.,9,O,3,,85,38,Semaine Olympique Francaise De Voile 2023
39,,,Jessie KAMPMAN ,,Formula Kite Fem.,2,O,3,,85,38,Semaine Olympique Francaise De Voile 2023
40,,,Jessie KAMPMAN ,,Formula Kite Fem.,2,O,3,,85,38,Semaine Olympique Francaise De Voile 2023
41,,,Jessie KAMPMAN ,,Formula Kite Fem.,1,O,3,,85,38,Semaine Olympique Francaise De Voile 2023
42,,,Jessie KAMPMAN ,,Formula Kite Fem.,2,O,3,,85,38,Semaine Olympique Francaise De Voile 2023
43,,,Jessie KAMPMAN ,,Formula Kite Fem.,4,O,3,,85,38,Semaine Olympique Francaise De Voile 2023
44,,,Jessie KAMPMAN ,,Formula Kite Fem.,(19),O,3,,85,38,Semaine Olympique Francaise De Voile 2023
45,,,Jessie KAMPMAN ,,Formula Kite Fem.,6,O,3,,85,38,Semaine Olympique Francaise De Voile 2023
46,,,Jessie KAMPMAN ,,Formula Kite Fem.,4,O,3,,85,38,Semaine Olympique Francaise De Voile 2023
47,,,Jessie KAMPMAN ,,Formula Kite Fem.,3,O,3,,85,38,Semaine Olympique Francaise De Voile 2023
48,,,Jessie KAMPMAN ,,Formula Kite Fem.,1,O,3,,85,38,Semaine Olympique Francaise De Voile 2023
49,,,Jessie KAMPMAN ,,Formula Kite Fem.,DNC(26),O,3,,85,38,Semaine Olympique Francaise De Voile 2023
50,,,Jessie KAMPMAN ,,Formula Kite Fem.,3,Medal Race,3,,85,38,Semaine Olympique Francaise De Voile 2023
51,,,Ellie ALDRIDGE ,,Formula Kite Fem.,3,G,4,,86,38,Semaine Olympique Francaise De Voile 2023
52,,,Ellie ALDRIDGE ,,Formula Kite Fem.,2,G,4,,86,38,Semaine Olympique Francaise De Voile 2023
53,,,Ellie ALDRIDGE ,,Formula Kite Fem.,1,G,4,,86,38,Semaine Olympique Francaise De Voile 2023
54,,,Ellie ALDRIDGE ,,Formula Kite Fem.,(4),G,4,,86,38,Semaine Olympique Francaise De Voile 2023
55,,,Ellie ALDRIDGE ,,Formula Kite Fem.,5,O,4,,86,38,Semaine Olympique Francaise De Voile 2023
56,,,Ellie ALDRIDGE ,,Formula Kite Fem.,3,O,4,,86,38,Semaine Olympique Francaise De Voile 2023
57,,,Ellie ALDRIDGE ,,Formula Kite Fem.,5,O,4,,86,38,Semaine Olympique Francaise De Voile 2023
58,,,Ellie ALDRIDGE ,,Formula Kite Fem.,3,O,4,,86,38,Semaine Olympique Francaise De Voile 2023
59,,,Ellie ALDRIDGE ,,Formula Kite Fem.,5,O,4,,86,38,Semaine Olympique Francaise De Voile 2023
60,,,Ellie ALDRIDGE ,,Formula Kite Fem.,5,O,4,,86,38,Semaine Olympique Francaise De Voile 2023
61,,,Ellie ALDRIDGE ,,Formula Kite Fem.,1,O,4,,86,38,Semaine Olympique Francaise De Voile 2023
62,,,Ellie ALDRIDGE ,,Formula Kite Fem.,1,O,4,,86,38,Semaine Olympique Francaise De Voile 2023
63,,,Ellie ALDRIDGE ,,Formula Kite Fem.,1,O,4,,86,38,Semaine Olympique Francaise De Voile 2023
64,,,Ellie ALDRIDGE ,,Formula Kite Fem.,DSQ(26),O,4,,86,38,Semaine Olympique Francaise De Voile 2023
65,,,Ellie ALDRIDGE ,,Formula Kite Fem.,3,O,4,,86,38,Semaine Olympique Francaise De Voile 2023
