,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Axel MAZELLA ,,Formula Kite Masc.,1,G,1,,70,38,Semaine Olympique Francaise De Voile 2023
1,,,Axel MAZELLA ,,Formula Kite Masc.,2,G,1,,70,38,Semaine Olympique Francaise De Voile 2023
2,,,Axel MAZELLA ,,Formula Kite Masc.,4,G,1,,70,38,Semaine Olympique Francaise De Voile 2023
3,,,Axel MAZELLA ,,Formula Kite Masc.,2,G,1,,70,38,Semaine Olympique Francaise De Voile 2023
4,,,Axel MAZELLA ,,Formula Kite Masc.,(15),G,1,,70,38,Semaine Olympique Francaise De Voile 2023
5,,,Axel MAZELLA ,,Formula Kite Masc.,(10),O,1,,70,38,Semaine Olympique Francaise De Voile 2023
6,,,Axel MAZELLA ,,Formula Kite Masc.,1,O,1,,70,38,Semaine Olympique Francaise De Voile 2023
7,,,Axel MAZELLA ,,Formula Kite Masc.,2,O,1,,70,38,Semaine Olympique Francaise De Voile 2023
8,,,Axel MAZELLA ,,Formula Kite Masc.,3,O,1,,70,38,Semaine Olympique Francaise De Voile 2023
9,,,Axel MAZELLA ,,Formula Kite Masc.,4,O,1,,70,38,Semaine Olympique Francaise De Voile 2023
10,,,Axel MAZELLA ,,Formula Kite Masc.,3,O,1,,70,38,Semaine Olympique Francaise De Voile 2023
11,,,Axel MAZELLA ,,Formula Kite Masc.,3,O,1,,70,38,Semaine Olympique Francaise De Voile 2023
12,,,Axel MAZELLA ,,Formula Kite Masc.,1,O,1,,70,38,Semaine Olympique Francaise De Voile 2023
13,,,Axel MAZELLA ,,Formula Kite Masc.,(7),O,1,,70,38,Semaine Olympique Francaise De Voile 2023
14,,,Axel MAZELLA ,,Formula Kite Masc.,5,O,1,,70,38,Semaine Olympique Francaise De Voile 2023
15,,,Axel MAZELLA ,,Formula Kite Masc.,3,O,1,,70,38,Semaine Olympique Francaise De Voile 2023
16,,,Axel MAZELLA ,,Formula Kite Masc.,4,O,1,,70,38,Semaine Olympique Francaise De Voile 2023
17,,,Axel MAZELLA ,,Formula Kite Masc.,1,Medal Race,1,,70,38,Semaine Olympique Francaise De Voile 2023
18,,,Maximilian MAEDER ,,Formula Kite Masc.,(1),G,2,,84,42,Semaine Olympique Francaise De Voile 2023
19,,,Maximilian MAEDER ,,Formula Kite Masc.,1,G,2,,84,42,Semaine Olympique Francaise De Voile 2023
20,,,Maximilian MAEDER ,,Formula Kite Masc.,1,G,2,,84,42,Semaine Olympique Francaise De Voile 2023
21,,,Maximilian MAEDER ,,Formula Kite Masc.,1,G,2,,84,42,Semaine Olympique Francaise De Voile 2023
22,,,Maximilian MAEDER ,,Formula Kite Masc.,1,G,2,,84,42,Semaine Olympique Francaise De Voile 2023
23,,,Maximilian MAEDER ,,Formula Kite Masc.,3,O,2,,84,42,Semaine Olympique Francaise De Voile 2023
24,,,Maximilian MAEDER ,,Formula Kite Masc.,5,O,2,,84,42,Semaine Olympique Francaise De Voile 2023
25,,,Maximilian MAEDER ,,Formula Kite Masc.,1,O,2,,84,42,Semaine Olympique Francaise De Voile 2023
26,,,Maximilian MAEDER ,,Formula Kite Masc.,DNC(28),O,2,,84,42,Semaine Olympique Francaise De Voile 2023
27,,,Maximilian MAEDER ,,Formula Kite Masc.,(13),O,2,,84,42,Semaine Olympique Francaise De Voile 2023
28,,,Maximilian MAEDER ,,Formula Kite Masc.,2,O,2,,84,42,Semaine Olympique Francaise De Voile 2023
29,,,Maximilian MAEDER ,,Formula Kite Masc.,12,O,2,,84,42,Semaine Olympique Francaise De Voile 2023
30,,,Maximilian MAEDER ,,Formula Kite Masc.,2,O,2,,84,42,Semaine Olympique Francaise De Voile 2023
31,,,Maximilian MAEDER ,,Formula Kite Masc.,2,O,2,,84,42,Semaine Olympique Francaise De Voile 2023
32,,,Maximilian MAEDER ,,Formula Kite Masc.,1,O,2,,84,42,Semaine Olympique Francaise De Voile 2023
33,,,Maximilian MAEDER ,,Formula Kite Masc.,9,O,2,,84,42,Semaine Olympique Francaise De Voile 2023
34,,,Maximilian MAEDER ,,Formula Kite Masc.,1,O,2,,84,42,Semaine Olympique Francaise De Voile 2023
35,,,Maximilian MAEDER ,,Formula Kite Masc.,2,Medal Race,2,,84,42,Semaine Olympique Francaise De Voile 2023
36,,,Connor BAINBRIDGE ,,Formula Kite Masc.,2,G,3,,87,49,Semaine Olympique Francaise De Voile 2023
37,,,Connor BAINBRIDGE ,,Formula Kite Masc.,(4),G,3,,87,49,Semaine Olympique Francaise De Voile 2023
38,,,Connor BAINBRIDGE ,,Formula Kite Masc.,2,G,3,,87,49,Semaine Olympique Francaise De Voile 2023
39,,,Connor BAINBRIDGE ,,Formula Kite Masc.,3,G,3,,87,49,Semaine Olympique Francaise De Voile 2023
40,,,Connor BAINBRIDGE ,,Formula Kite Masc.,3,G,3,,87,49,Semaine Olympique Francaise De Voile 2023
41,,,Connor BAINBRIDGE ,,Formula Kite Masc.,1,O,3,,87,49,Semaine Olympique Francaise De Voile 2023
42,,,Connor BAINBRIDGE ,,Formula Kite Masc.,2,O,3,,87,49,Semaine Olympique Francaise De Voile 2023
43,,,Connor BAINBRIDGE ,,Formula Kite Masc.,3,O,3,,87,49,Semaine Olympique Francaise De Voile 2023
44,,,Connor BAINBRIDGE ,,Formula Kite Masc.,1,O,3,,87,49,Semaine Olympique Francaise De Voile 2023
45,,,Connor BAINBRIDGE ,,Formula Kite Masc.,6,O,3,,87,49,Semaine Olympique Francaise De Voile 2023
46,,,Connor BAINBRIDGE ,,Formula Kite Masc.,7,O,3,,87,49,Semaine Olympique Francaise De Voile 2023
47,,,Connor BAINBRIDGE ,,Formula Kite Masc.,6,O,3,,87,49,Semaine Olympique Francaise De Voile 2023
48,,,Connor BAINBRIDGE ,,Formula Kite Masc.,(26),O,3,,87,49,Semaine Olympique Francaise De Voile 2023
49,,,Connor BAINBRIDGE ,,Formula Kite Masc.,5,O,3,,87,49,Semaine Olympique Francaise De Voile 2023
50,,,Connor BAINBRIDGE ,,Formula Kite Masc.,3,O,3,,87,49,Semaine Olympique Francaise De Voile 2023
51,,,Connor BAINBRIDGE ,,Formula Kite Masc.,(8),O,3,,87,49,Semaine Olympique Francaise De Voile 2023
52,,,Connor BAINBRIDGE ,,Formula Kite Masc.,5,O,3,,87,49,Semaine Olympique Francaise De Voile 2023
53,,,Connor BAINBRIDGE ,,Formula Kite Masc.,3,Medal Race,3,,87,49,Semaine Olympique Francaise De Voile 2023
54,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,1,G,4,,62,44,Semaine Olympique Francaise De Voile 2023
55,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,(2),G,4,,62,44,Semaine Olympique Francaise De Voile 2023
56,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,1,G,4,,62,44,Semaine Olympique Francaise De Voile 2023
57,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,1,G,4,,62,44,Semaine Olympique Francaise De Voile 2023
58,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,2,G,4,,62,44,Semaine Olympique Francaise De Voile 2023
59,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,5,O,4,,62,44,Semaine Olympique Francaise De Voile 2023
60,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,4,O,4,,62,44,Semaine Olympique Francaise De Voile 2023
61,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,(7),O,4,,62,44,Semaine Olympique Francaise De Voile 2023
62,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,2,O,4,,62,44,Semaine Olympique Francaise De Voile 2023
63,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,1,O,4,,62,44,Semaine Olympique Francaise De Voile 2023
64,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,5,O,4,,62,44,Semaine Olympique Francaise De Voile 2023
65,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,2,O,4,,62,44,Semaine Olympique Francaise De Voile 2023
66,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,6,O,4,,62,44,Semaine Olympique Francaise De Voile 2023
67,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,(9),O,4,,62,44,Semaine Olympique Francaise De Voile 2023
68,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,2,O,4,,62,44,Semaine Olympique Francaise De Voile 2023
69,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,6,O,4,,62,44,Semaine Olympique Francaise De Voile 2023
70,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,6,O,4,,62,44,Semaine Olympique Francaise De Voile 2023
71,,,Maxime Nocher NOCHER ,,Formula Kite Masc.,4,Medal Race,4,,62,44,Semaine Olympique Francaise De Voile 2023
72,,,Lorenzo  BOSCHETTI  ,,Formula Kite Masc.,3,G,5,,140,87,Semaine Olympique Francaise De Voile 2023
73,,,Lorenzo  BOSCHETTI  ,,Formula Kite Masc.,3,G,5,,140,87,Semaine Olympique Francaise De Voile 2023
74,,,Lorenzo  BOSCHETTI  ,,Formula Kite Masc.,3,G,5,,140,87,Semaine Olympique Francaise De Voile 2023
75,,,Lorenzo  BOSCHETTI  ,,Formula Kite Masc.,(16),G,5,,140,87,Semaine Olympique Francaise De Voile 2023
76,,,Lorenzo  BOSCHETTI  ,,Formula Kite Masc.,2,G,5,,140,87,Semaine Olympique Francaise De Voile 2023
