,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,John  GIMSON Anna  BURNET  ,,Nacra 17,3,G,1,,39,32,Semaine Olympique Francaise De Voile 2023
1,,,John  GIMSON Anna  BURNET  ,,Nacra 17,3,G,1,,39,32,Semaine Olympique Francaise De Voile 2023
2,,,John  GIMSON Anna  BURNET  ,,Nacra 17,1,G,1,,39,32,Semaine Olympique Francaise De Voile 2023
3,,,John  GIMSON Anna  BURNET  ,,Nacra 17,5,G,1,,39,32,Semaine Olympique Francaise De Voile 2023
4,,,John  GIMSON Anna  BURNET  ,,Nacra 17,(7),G,1,,39,32,Semaine Olympique Francaise De Voile 2023
5,,,John  GIMSON Anna  BURNET  ,,Nacra 17,1,O,1,,39,32,Semaine Olympique Francaise De Voile 2023
6,,,John  GIMSON Anna  BURNET  ,,Nacra 17,1,O,1,,39,32,Semaine Olympique Francaise De Voile 2023
7,,,John  GIMSON Anna  BURNET  ,,Nacra 17,1,O,1,,39,32,Semaine Olympique Francaise De Voile 2023
8,,,John  GIMSON Anna  BURNET  ,,Nacra 17,6,O,1,,39,32,Semaine Olympique Francaise De Voile 2023
9,,,John  GIMSON Anna  BURNET  ,,Nacra 17,5,O,1,,39,32,Semaine Olympique Francaise De Voile 2023
10,,,John  GIMSON Anna  BURNET  ,,Nacra 17,1,O,1,,39,32,Semaine Olympique Francaise De Voile 2023
11,,,John  GIMSON Anna  BURNET  ,,Nacra 17,1,O,1,,39,32,Semaine Olympique Francaise De Voile 2023
12,,,John  GIMSON Anna  BURNET  ,,Nacra 17,4,Medal Race,1,,39,32,Semaine Olympique Francaise De Voile 2023
13,,,Mateo MAJDALANIEugenia BOSCO ,,Nacra 17,2,G,2,,83,70,Semaine Olympique Francaise De Voile 2023
14,,,Mateo MAJDALANIEugenia BOSCO ,,Nacra 17,1,G,2,,83,70,Semaine Olympique Francaise De Voile 2023
15,,,Mateo MAJDALANIEugenia BOSCO ,,Nacra 17,11,G,2,,83,70,Semaine Olympique Francaise De Voile 2023
16,,,Mateo MAJDALANIEugenia BOSCO ,,Nacra 17,11,G,2,,83,70,Semaine Olympique Francaise De Voile 2023
17,,,Mateo MAJDALANIEugenia BOSCO ,,Nacra 17,5,G,2,,83,70,Semaine Olympique Francaise De Voile 2023
18,,,Mateo MAJDALANIEugenia BOSCO ,,Nacra 17,3,O,2,,83,70,Semaine Olympique Francaise De Voile 2023
19,,,Mateo MAJDALANIEugenia BOSCO ,,Nacra 17,4,O,2,,83,70,Semaine Olympique Francaise De Voile 2023
20,,,Mateo MAJDALANIEugenia BOSCO ,,Nacra 17,11,O,2,,83,70,Semaine Olympique Francaise De Voile 2023
21,,,Mateo MAJDALANIEugenia BOSCO ,,Nacra 17,4,O,2,,83,70,Semaine Olympique Francaise De Voile 2023
22,,,Mateo MAJDALANIEugenia BOSCO ,,Nacra 17,1,O,2,,83,70,Semaine Olympique Francaise De Voile 2023
23,,,Mateo MAJDALANIEugenia BOSCO ,,Nacra 17,(13),O,2,,83,70,Semaine Olympique Francaise De Voile 2023
24,,,Mateo MAJDALANIEugenia BOSCO ,,Nacra 17,7,O,2,,83,70,Semaine Olympique Francaise De Voile 2023
25,,,Mateo MAJDALANIEugenia BOSCO ,,Nacra 17,10,Medal Race,2,,83,70,Semaine Olympique Francaise De Voile 2023
26,,,Gianlugi UGOLINIMaria  GIUBILEI ,,Nacra 17,7,G,3,,97,77,Semaine Olympique Francaise De Voile 2023
27,,,Gianlugi UGOLINIMaria  GIUBILEI ,,Nacra 17,5,G,3,,97,77,Semaine Olympique Francaise De Voile 2023
28,,,Gianlugi UGOLINIMaria  GIUBILEI ,,Nacra 17,2,G,3,,97,77,Semaine Olympique Francaise De Voile 2023
29,,,Gianlugi UGOLINIMaria  GIUBILEI ,,Nacra 17,(20),G,3,,97,77,Semaine Olympique Francaise De Voile 2023
