,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Logan DUNNING BECKOscar GUNN ,,49er,5,G,1,,81,67,Trofeo S.A.R Princesa Sofia 2023
1,,,Logan DUNNING BECKOscar GUNN ,,49er,12,G,1,,81,67,Trofeo S.A.R Princesa Sofia 2023
2,,,Logan DUNNING BECKOscar GUNN ,,49er,4,G,1,,81,67,Trofeo S.A.R Princesa Sofia 2023
3,,,Logan DUNNING BECKOscar GUNN ,,49er,7,G,1,,81,67,Trofeo S.A.R Princesa Sofia 2023
4,,,Logan DUNNING BECKOscar GUNN ,,49er,3,G,1,,81,67,Trofeo S.A.R Princesa Sofia 2023
5,,,Logan DUNNING BECKOscar GUNN ,,49er,11,O,1,,81,67,Trofeo S.A.R Princesa Sofia 2023
6,,,Logan DUNNING BECKOscar GUNN ,,49er,1,O,1,,81,67,Trofeo S.A.R Princesa Sofia 2023
7,,,Logan DUNNING BECKOscar GUNN ,,49er,1,O,1,,81,67,Trofeo S.A.R Princesa Sofia 2023
8,,,Logan DUNNING BECKOscar GUNN ,,49er,3,O,1,,81,67,Trofeo S.A.R Princesa Sofia 2023
9,,,Logan DUNNING BECKOscar GUNN ,,49er,12,O,1,,81,67,Trofeo S.A.R Princesa Sofia 2023
10,,,Logan DUNNING BECKOscar GUNN ,,49er,(14),O,1,,81,67,Trofeo S.A.R Princesa Sofia 2023
11,,,Logan DUNNING BECKOscar GUNN ,,49er,4,O,1,,81,67,Trofeo S.A.R Princesa Sofia 2023
12,,,Logan DUNNING BECKOscar GUNN ,,49er,4,Medal Race,1,,81,67,Trofeo S.A.R Princesa Sofia 2023
13,,,Tom BURTONMax PAUL ,,49er,UFD(34),G,2,,110,76,Trofeo S.A.R Princesa Sofia 2023
14,,,Tom BURTONMax PAUL ,,49er,8,G,2,,110,76,Trofeo S.A.R Princesa Sofia 2023
15,,,Tom BURTONMax PAUL ,,49er,7,G,2,,110,76,Trofeo S.A.R Princesa Sofia 2023
16,,,Tom BURTONMax PAUL ,,49er,5,G,2,,110,76,Trofeo S.A.R Princesa Sofia 2023
17,,,Tom BURTONMax PAUL ,,49er,6,G,2,,110,76,Trofeo S.A.R Princesa Sofia 2023
18,,,Tom BURTONMax PAUL ,,49er,12,O,2,,110,76,Trofeo S.A.R Princesa Sofia 2023
19,,,Tom BURTONMax PAUL ,,49er,3,O,2,,110,76,Trofeo S.A.R Princesa Sofia 2023
20,,,Tom BURTONMax PAUL ,,49er,3,O,2,,110,76,Trofeo S.A.R Princesa Sofia 2023
21,,,Tom BURTONMax PAUL ,,49er,5,O,2,,110,76,Trofeo S.A.R Princesa Sofia 2023
22,,,Tom BURTONMax PAUL ,,49er,3,O,2,,110,76,Trofeo S.A.R Princesa Sofia 2023
23,,,Tom BURTONMax PAUL ,,49er,11,O,2,,110,76,Trofeo S.A.R Princesa Sofia 2023
24,,,Tom BURTONMax PAUL ,,49er,1,O,2,,110,76,Trofeo S.A.R Princesa Sofia 2023
25,,,Tom BURTONMax PAUL ,,49er,12,Medal Race,2,,110,76,Trofeo S.A.R Princesa Sofia 2023
26,,,Isaac MCHARDIEWilliam MCKENZIE ,,49er,2,G,3,,89,79,Trofeo S.A.R Princesa Sofia 2023
27,,,Isaac MCHARDIEWilliam MCKENZIE ,,49er,5,G,3,,89,79,Trofeo S.A.R Princesa Sofia 2023
28,,,Isaac MCHARDIEWilliam MCKENZIE ,,49er,5,G,3,,89,79,Trofeo S.A.R Princesa Sofia 2023
29,,,Isaac MCHARDIEWilliam MCKENZIE ,,49er,7,G,3,,89,79,Trofeo S.A.R Princesa Sofia 2023
30,,,Isaac MCHARDIEWilliam MCKENZIE ,,49er,8,G,3,,89,79,Trofeo S.A.R Princesa Sofia 2023
31,,,Isaac MCHARDIEWilliam MCKENZIE ,,49er,1,O,3,,89,79,Trofeo S.A.R Princesa Sofia 2023
32,,,Isaac MCHARDIEWilliam MCKENZIE ,,49er,6,O,3,,89,79,Trofeo S.A.R Princesa Sofia 2023
33,,,Isaac MCHARDIEWilliam MCKENZIE ,,49er,7,O,3,,89,79,Trofeo S.A.R Princesa Sofia 2023
34,,,Isaac MCHARDIEWilliam MCKENZIE ,,49er,(10),O,3,,89,79,Trofeo S.A.R Princesa Sofia 2023
35,,,Isaac MCHARDIEWilliam MCKENZIE ,,49er,6,O,3,,89,79,Trofeo S.A.R Princesa Sofia 2023
36,,,Isaac MCHARDIEWilliam MCKENZIE ,,49er,6,O,3,,89,79,Trofeo S.A.R Princesa Sofia 2023
37,,,Isaac MCHARDIEWilliam MCKENZIE ,,49er,8,O,3,,89,79,Trofeo S.A.R Princesa Sofia 2023
38,,,Isaac MCHARDIEWilliam MCKENZIE ,,49er,18,Medal Race,3,,89,79,Trofeo S.A.R Princesa Sofia 2023
39,,,Lukasz PRZYBYTEKJacek  PIASECKI ,,49er,8,G,4,,100,81,Trofeo S.A.R Princesa Sofia 2023
40,,,Lukasz PRZYBYTEKJacek  PIASECKI ,,49er,3,G,4,,100,81,Trofeo S.A.R Princesa Sofia 2023
41,,,Lukasz PRZYBYTEKJacek  PIASECKI ,,49er,3,G,4,,100,81,Trofeo S.A.R Princesa Sofia 2023
42,,,Lukasz PRZYBYTEKJacek  PIASECKI ,,49er,9,G,4,,100,81,Trofeo S.A.R Princesa Sofia 2023
43,,,Lukasz PRZYBYTEKJacek  PIASECKI ,,49er,3,G,4,,100,81,Trofeo S.A.R Princesa Sofia 2023
44,,,Lukasz PRZYBYTEKJacek  PIASECKI ,,49er,5,O,4,,100,81,Trofeo S.A.R Princesa Sofia 2023
45,,,Lukasz PRZYBYTEKJacek  PIASECKI ,,49er,4,O,4,,100,81,Trofeo S.A.R Princesa Sofia 2023
46,,,Lukasz PRZYBYTEKJacek  PIASECKI ,,49er,5,O,4,,100,81,Trofeo S.A.R Princesa Sofia 2023
47,,,Lukasz PRZYBYTEKJacek  PIASECKI ,,49er,18,O,4,,100,81,Trofeo S.A.R Princesa Sofia 2023
48,,,Lukasz PRZYBYTEKJacek  PIASECKI ,,49er,9,O,4,,100,81,Trofeo S.A.R Princesa Sofia 2023
49,,,Lukasz PRZYBYTEKJacek  PIASECKI ,,49er,8,O,4,,100,81,Trofeo S.A.R Princesa Sofia 2023
50,,,Lukasz PRZYBYTEKJacek  PIASECKI ,,49er,(19),O,4,,100,81,Trofeo S.A.R Princesa Sofia 2023
51,,,Lukasz PRZYBYTEKJacek  PIASECKI ,,49er,6,Medal Race,4,,100,81,Trofeo S.A.R Princesa Sofia 2023
52,,,Jim COLLEYShaun CONNOR ,,49er,STP11,G,5,,114,93,Trofeo S.A.R Princesa Sofia 2023
53,,,Jim COLLEYShaun CONNOR ,,49er,STP3,G,5,,114,93,Trofeo S.A.R Princesa Sofia 2023
54,,,Jim COLLEYShaun CONNOR ,,49er,9,G,5,,114,93,Trofeo S.A.R Princesa Sofia 2023
55,,,Jim COLLEYShaun CONNOR ,,49er,9,G,5,,114,93,Trofeo S.A.R Princesa Sofia 2023
56,,,Jim COLLEYShaun CONNOR ,,49er,13,G,5,,114,93,Trofeo S.A.R Princesa Sofia 2023
57,,,Jim COLLEYShaun CONNOR ,,49er,4,O,5,,114,93,Trofeo S.A.R Princesa Sofia 2023
58,,,Jim COLLEYShaun CONNOR ,,49er,5,O,5,,114,93,Trofeo S.A.R Princesa Sofia 2023
59,,,Jim COLLEYShaun CONNOR ,,49er,(21),O,5,,114,93,Trofeo S.A.R Princesa Sofia 2023
60,,,Jim COLLEYShaun CONNOR ,,49er,15,O,5,,114,93,Trofeo S.A.R Princesa Sofia 2023
61,,,Jim COLLEYShaun CONNOR ,,49er,1,O,5,,114,93,Trofeo S.A.R Princesa Sofia 2023
62,,,Jim COLLEYShaun CONNOR ,,49er,10,O,5,,114,93,Trofeo S.A.R Princesa Sofia 2023
63,,,Jim COLLEYShaun CONNOR ,,49er,5,O,5,,114,93,Trofeo S.A.R Princesa Sofia 2023
64,,,Jim COLLEYShaun CONNOR ,,49er,8,Medal Race,5,,114,93,Trofeo S.A.R Princesa Sofia 2023
65,,,Bart LAMBRIEXFloris VAN DE WERKEN  ,,49er,4,G,6,,116,95,Trofeo S.A.R Princesa Sofia 2023
66,,,Bart LAMBRIEXFloris VAN DE WERKEN  ,,49er,1,G,6,,116,95,Trofeo S.A.R Princesa Sofia 2023
67,,,Bart LAMBRIEXFloris VAN DE WERKEN  ,,49er,4,G,6,,116,95,Trofeo S.A.R Princesa Sofia 2023
68,,,Bart LAMBRIEXFloris VAN DE WERKEN  ,,49er,5,G,6,,116,95,Trofeo S.A.R Princesa Sofia 2023
69,,,Bart LAMBRIEXFloris VAN DE WERKEN  ,,49er,16,G,6,,116,95,Trofeo S.A.R Princesa Sofia 2023
70,,,Bart LAMBRIEXFloris VAN DE WERKEN  ,,49er,15,O,6,,116,95,Trofeo S.A.R Princesa Sofia 2023
71,,,Bart LAMBRIEXFloris VAN DE WERKEN  ,,49er,(21),O,6,,116,95,Trofeo S.A.R Princesa Sofia 2023
72,,,Bart LAMBRIEXFloris VAN DE WERKEN  ,,49er,19,O,6,,116,95,Trofeo S.A.R Princesa Sofia 2023
73,,,Bart LAMBRIEXFloris VAN DE WERKEN  ,,49er,9,O,6,,116,95,Trofeo S.A.R Princesa Sofia 2023
74,,,Bart LAMBRIEXFloris VAN DE WERKEN  ,,49er,8,O,6,,116,95,Trofeo S.A.R Princesa Sofia 2023
