,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Martine SOFFIATTI GRAELKahena KUNZE ,,49erFX,6,G,1,,73,61,Trofeo S.A.R Princesa Sofia 2023
1,,,Martine SOFFIATTI GRAELKahena KUNZE ,,49erFX,9,G,1,,73,61,Trofeo S.A.R Princesa Sofia 2023
2,,,Martine SOFFIATTI GRAELKahena KUNZE ,,49erFX,5,G,1,,73,61,Trofeo S.A.R Princesa Sofia 2023
3,,,Martine SOFFIATTI GRAELKahena KUNZE ,,49erFX,(12),G,1,,73,61,Trofeo S.A.R Princesa Sofia 2023
4,,,Martine SOFFIATTI GRAELKahena KUNZE ,,49erFX,2,G,1,,73,61,Trofeo S.A.R Princesa Sofia 2023
5,,,Martine SOFFIATTI GRAELKahena KUNZE ,,49erFX,5,G,1,,73,61,Trofeo S.A.R Princesa Sofia 2023
6,,,Martine SOFFIATTI GRAELKahena KUNZE ,,49erFX,1,O,1,,73,61,Trofeo S.A.R Princesa Sofia 2023
7,,,Martine SOFFIATTI GRAELKahena KUNZE ,,49erFX,8,O,1,,73,61,Trofeo S.A.R Princesa Sofia 2023
8,,,Martine SOFFIATTI GRAELKahena KUNZE ,,49erFX,5,O,1,,73,61,Trofeo S.A.R Princesa Sofia 2023
9,,,Martine SOFFIATTI GRAELKahena KUNZE ,,49erFX,10,O,1,,73,61,Trofeo S.A.R Princesa Sofia 2023
10,,,Martine SOFFIATTI GRAELKahena KUNZE ,,49erFX,1,O,1,,73,61,Trofeo S.A.R Princesa Sofia 2023
11,,,Martine SOFFIATTI GRAELKahena KUNZE ,,49erFX,7,O,1,,73,61,Trofeo S.A.R Princesa Sofia 2023
12,,,Martine SOFFIATTI GRAELKahena KUNZE ,,49erFX,2,Medal Race,1,,73,61,Trofeo S.A.R Princesa Sofia 2023
13,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,11,G,2,,99,76,Trofeo S.A.R Princesa Sofia 2023
14,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,6,G,2,,99,76,Trofeo S.A.R Princesa Sofia 2023
15,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,2,G,2,,99,76,Trofeo S.A.R Princesa Sofia 2023
16,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,3,G,2,,99,76,Trofeo S.A.R Princesa Sofia 2023
17,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,1,G,2,,99,76,Trofeo S.A.R Princesa Sofia 2023
18,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,2,G,2,,99,76,Trofeo S.A.R Princesa Sofia 2023
19,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,9,O,2,,99,76,Trofeo S.A.R Princesa Sofia 2023
20,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,4,O,2,,99,76,Trofeo S.A.R Princesa Sofia 2023
21,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,16,O,2,,99,76,Trofeo S.A.R Princesa Sofia 2023
22,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,15,O,2,,99,76,Trofeo S.A.R Princesa Sofia 2023
23,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,(23),O,2,,99,76,Trofeo S.A.R Princesa Sofia 2023
24,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,3,O,2,,99,76,Trofeo S.A.R Princesa Sofia 2023
25,,,Odile VAN AANHOLTAnnette DUETZ ,,49erFX,4,Medal Race,2,,99,76,Trofeo S.A.R Princesa Sofia 2023
26,,,Maria Sol BRANZCecilia CARRANZA SAROLI ,,49erFX,(19),G,3,,95,76,Trofeo S.A.R Princesa Sofia 2023
27,,,Maria Sol BRANZCecilia CARRANZA SAROLI ,,49erFX,15,G,3,,95,76,Trofeo S.A.R Princesa Sofia 2023
28,,,Maria Sol BRANZCecilia CARRANZA SAROLI ,,49erFX,1,G,3,,95,76,Trofeo S.A.R Princesa Sofia 2023
29,,,Maria Sol BRANZCecilia CARRANZA SAROLI ,,49erFX,17,G,3,,95,76,Trofeo S.A.R Princesa Sofia 2023
30,,,Maria Sol BRANZCecilia CARRANZA SAROLI ,,49erFX,7,G,3,,95,76,Trofeo S.A.R Princesa Sofia 2023
31,,,Maria Sol BRANZCecilia CARRANZA SAROLI ,,49erFX,5,G,3,,95,76,Trofeo S.A.R Princesa Sofia 2023
32,,,Maria Sol BRANZCecilia CARRANZA SAROLI ,,49erFX,2,O,3,,95,76,Trofeo S.A.R Princesa Sofia 2023
33,,,Maria Sol BRANZCecilia CARRANZA SAROLI ,,49erFX,2,O,3,,95,76,Trofeo S.A.R Princesa Sofia 2023
34,,,Maria Sol BRANZCecilia CARRANZA SAROLI ,,49erFX,4,O,3,,95,76,Trofeo S.A.R Princesa Sofia 2023
35,,,Maria Sol BRANZCecilia CARRANZA SAROLI ,,49erFX,4,O,3,,95,76,Trofeo S.A.R Princesa Sofia 2023
36,,,Maria Sol BRANZCecilia CARRANZA SAROLI ,,49erFX,7,O,3,,95,76,Trofeo S.A.R Princesa Sofia 2023
37,,,Maria Sol BRANZCecilia CARRANZA SAROLI ,,49erFX,6,O,3,,95,76,Trofeo S.A.R Princesa Sofia 2023
38,,,Maria Sol BRANZCecilia CARRANZA SAROLI ,,49erFX,6,Medal Race,3,,95,76,Trofeo S.A.R Princesa Sofia 2023
39,,,Helene NÆSSMarie RØNNINGEN ,,49erFX,8,G,4,,109,88,Trofeo S.A.R Princesa Sofia 2023
40,,,Helene NÆSSMarie RØNNINGEN ,,49erFX,(21),G,4,,109,88,Trofeo S.A.R Princesa Sofia 2023
41,,,Helene NÆSSMarie RØNNINGEN ,,49erFX,6,G,4,,109,88,Trofeo S.A.R Princesa Sofia 2023
42,,,Helene NÆSSMarie RØNNINGEN ,,49erFX,11,G,4,,109,88,Trofeo S.A.R Princesa Sofia 2023
43,,,Helene NÆSSMarie RØNNINGEN ,,49erFX,6,G,4,,109,88,Trofeo S.A.R Princesa Sofia 2023
44,,,Helene NÆSSMarie RØNNINGEN ,,49erFX,14,G,4,,109,88,Trofeo S.A.R Princesa Sofia 2023
45,,,Helene NÆSSMarie RØNNINGEN ,,49erFX,3,O,4,,109,88,Trofeo S.A.R Princesa Sofia 2023
46,,,Helene NÆSSMarie RØNNINGEN ,,49erFX,5,O,4,,109,88,Trofeo S.A.R Princesa Sofia 2023
47,,,Helene NÆSSMarie RØNNINGEN ,,49erFX,3,O,4,,109,88,Trofeo S.A.R Princesa Sofia 2023
48,,,Helene NÆSSMarie RØNNINGEN ,,49erFX,5,O,4,,109,88,Trofeo S.A.R Princesa Sofia 2023
49,,,Helene NÆSSMarie RØNNINGEN ,,49erFX,6,O,4,,109,88,Trofeo S.A.R Princesa Sofia 2023
50,,,Helene NÆSSMarie RØNNINGEN ,,49erFX,9,O,4,,109,88,Trofeo S.A.R Princesa Sofia 2023
51,,,Helene NÆSSMarie RØNNINGEN ,,49erFX,12,Medal Race,4,,109,88,Trofeo S.A.R Princesa Sofia 2023
52,,,Stephanie ROBLEMaggie SHEA ,,49erFX,18,G,5,,109,89,Trofeo S.A.R Princesa Sofia 2023
53,,,Stephanie ROBLEMaggie SHEA ,,49erFX,2,G,5,,109,89,Trofeo S.A.R Princesa Sofia 2023
54,,,Stephanie ROBLEMaggie SHEA ,,49erFX,3,G,5,,109,89,Trofeo S.A.R Princesa Sofia 2023
55,,,Stephanie ROBLEMaggie SHEA ,,49erFX,5,G,5,,109,89,Trofeo S.A.R Princesa Sofia 2023
56,,,Stephanie ROBLEMaggie SHEA ,,49erFX,10,G,5,,109,89,Trofeo S.A.R Princesa Sofia 2023
57,,,Stephanie ROBLEMaggie SHEA ,,49erFX,7,G,5,,109,89,Trofeo S.A.R Princesa Sofia 2023
58,,,Stephanie ROBLEMaggie SHEA ,,49erFX,(20),O,5,,109,89,Trofeo S.A.R Princesa Sofia 2023
59,,,Stephanie ROBLEMaggie SHEA ,,49erFX,6,O,5,,109,89,Trofeo S.A.R Princesa Sofia 2023
60,,,Stephanie ROBLEMaggie SHEA ,,49erFX,12,O,5,,109,89,Trofeo S.A.R Princesa Sofia 2023
61,,,Stephanie ROBLEMaggie SHEA ,,49erFX,7,O,5,,109,89,Trofeo S.A.R Princesa Sofia 2023
62,,,Stephanie ROBLEMaggie SHEA ,,49erFX,4,O,5,,109,89,Trofeo S.A.R Princesa Sofia 2023
63,,,Stephanie ROBLEMaggie SHEA ,,49erFX,5,O,5,,109,89,Trofeo S.A.R Princesa Sofia 2023
64,,,Stephanie ROBLEMaggie SHEA ,,49erFX,10,Medal Race,5,,109,89,Trofeo S.A.R Princesa Sofia 2023
65,,,Marla BERGMANNHanna WILLE ,,49erFX,4,G,6,,119,100,Trofeo S.A.R Princesa Sofia 2023
66,,,Marla BERGMANNHanna WILLE ,,49erFX,3,G,6,,119,100,Trofeo S.A.R Princesa Sofia 2023
67,,,Marla BERGMANNHanna WILLE ,,49erFX,3,G,6,,119,100,Trofeo S.A.R Princesa Sofia 2023
68,,,Marla BERGMANNHanna WILLE ,,49erFX,4,G,6,,119,100,Trofeo S.A.R Princesa Sofia 2023
69,,,Marla BERGMANNHanna WILLE ,,49erFX,4,G,6,,119,100,Trofeo S.A.R Princesa Sofia 2023
70,,,Marla BERGMANNHanna WILLE ,,49erFX,(19),G,6,,119,100,Trofeo S.A.R Princesa Sofia 2023
71,,,Marla BERGMANNHanna WILLE ,,49erFX,17,O,6,,119,100,Trofeo S.A.R Princesa Sofia 2023
72,,,Marla BERGMANNHanna WILLE ,,49erFX,10,O,6,,119,100,Trofeo S.A.R Princesa Sofia 2023
73,,,Marla BERGMANNHanna WILLE ,,49erFX,10,O,6,,119,100,Trofeo S.A.R Princesa Sofia 2023
74,,,Marla BERGMANNHanna WILLE ,,49erFX,1,O,6,,119,100,Trofeo S.A.R Princesa Sofia 2023
