,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Lauriane NOLOT ,,Formula Kite Fem.,5,G,1,,94,24,Trofeo S.A.R Princesa Sofia 2023
1,,,Lauriane NOLOT ,,Formula Kite Fem.,1,G,1,,94,24,Trofeo S.A.R Princesa Sofia 2023
2,,,Lauriane NOLOT ,,Formula Kite Fem.,UFD(28),G,1,,94,24,Trofeo S.A.R Princesa Sofia 2023
3,,,Lauriane NOLOT ,,Formula Kite Fem.,1,G,1,,94,24,Trofeo S.A.R Princesa Sofia 2023
4,,,Lauriane NOLOT ,,Formula Kite Fem.,1,G,1,,94,24,Trofeo S.A.R Princesa Sofia 2023
5,,,Lauriane NOLOT ,,Formula Kite Fem.,1,G,1,,94,24,Trofeo S.A.R Princesa Sofia 2023
6,,,Lauriane NOLOT ,,Formula Kite Fem.,1,G,1,,94,24,Trofeo S.A.R Princesa Sofia 2023
7,,,Lauriane NOLOT ,,Formula Kite Fem.,2,G,1,,94,24,Trofeo S.A.R Princesa Sofia 2023
8,,,Lauriane NOLOT ,,Formula Kite Fem.,2,O,1,,94,24,Trofeo S.A.R Princesa Sofia 2023
9,,,Lauriane NOLOT ,,Formula Kite Fem.,1,O,1,,94,24,Trofeo S.A.R Princesa Sofia 2023
10,,,Lauriane NOLOT ,,Formula Kite Fem.,2,O,1,,94,24,Trofeo S.A.R Princesa Sofia 2023
11,,,Lauriane NOLOT ,,Formula Kite Fem.,3,O,1,,94,24,Trofeo S.A.R Princesa Sofia 2023
12,,,Lauriane NOLOT ,,Formula Kite Fem.,2,O,1,,94,24,Trofeo S.A.R Princesa Sofia 2023
13,,,Lauriane NOLOT ,,Formula Kite Fem.,DNC(29),O,1,,94,24,Trofeo S.A.R Princesa Sofia 2023
14,,,Lauriane NOLOT ,,Formula Kite Fem.,(13),O,1,,94,24,Trofeo S.A.R Princesa Sofia 2023
15,,,Lauriane NOLOT ,,Formula Kite Fem.,1,O,1,,94,24,Trofeo S.A.R Princesa Sofia 2023
16,,,Lauriane NOLOT ,,Formula Kite Fem.,1,Medal Race,1,,94,24,Trofeo S.A.R Princesa Sofia 2023
17,,,Ellie ALDRIDGE ,,Formula Kite Fem.,STP3,G,2,,48,33,Trofeo S.A.R Princesa Sofia 2023
18,,,Ellie ALDRIDGE ,,Formula Kite Fem.,(4),G,2,,48,33,Trofeo S.A.R Princesa Sofia 2023
19,,,Ellie ALDRIDGE ,,Formula Kite Fem.,1,G,2,,48,33,Trofeo S.A.R Princesa Sofia 2023
20,,,Ellie ALDRIDGE ,,Formula Kite Fem.,2,G,2,,48,33,Trofeo S.A.R Princesa Sofia 2023
21,,,Ellie ALDRIDGE ,,Formula Kite Fem.,3,G,2,,48,33,Trofeo S.A.R Princesa Sofia 2023
22,,,Ellie ALDRIDGE ,,Formula Kite Fem.,2,G,2,,48,33,Trofeo S.A.R Princesa Sofia 2023
23,,,Ellie ALDRIDGE ,,Formula Kite Fem.,2,G,2,,48,33,Trofeo S.A.R Princesa Sofia 2023
24,,,Ellie ALDRIDGE ,,Formula Kite Fem.,2,G,2,,48,33,Trofeo S.A.R Princesa Sofia 2023
25,,,Ellie ALDRIDGE ,,Formula Kite Fem.,3,O,2,,48,33,Trofeo S.A.R Princesa Sofia 2023
26,,,Ellie ALDRIDGE ,,Formula Kite Fem.,2,O,2,,48,33,Trofeo S.A.R Princesa Sofia 2023
27,,,Ellie ALDRIDGE ,,Formula Kite Fem.,4,O,2,,48,33,Trofeo S.A.R Princesa Sofia 2023
28,,,Ellie ALDRIDGE ,,Formula Kite Fem.,(6),O,2,,48,33,Trofeo S.A.R Princesa Sofia 2023
29,,,Ellie ALDRIDGE ,,Formula Kite Fem.,1,O,2,,48,33,Trofeo S.A.R Princesa Sofia 2023
30,,,Ellie ALDRIDGE ,,Formula Kite Fem.,(5),O,2,,48,33,Trofeo S.A.R Princesa Sofia 2023
31,,,Ellie ALDRIDGE ,,Formula Kite Fem.,4,O,2,,48,33,Trofeo S.A.R Princesa Sofia 2023
32,,,Ellie ALDRIDGE ,,Formula Kite Fem.,2,O,2,,48,33,Trofeo S.A.R Princesa Sofia 2023
33,,,Ellie ALDRIDGE ,,Formula Kite Fem.,2,Medal Race,2,,48,33,Trofeo S.A.R Princesa Sofia 2023
34,,,Poema NEWLAND ,,Formula Kite Fem.,1,G,3,,67,42,Trofeo S.A.R Princesa Sofia 2023
35,,,Poema NEWLAND ,,Formula Kite Fem.,2,G,3,,67,42,Trofeo S.A.R Princesa Sofia 2023
36,,,Poema NEWLAND ,,Formula Kite Fem.,2,G,3,,67,42,Trofeo S.A.R Princesa Sofia 2023
37,,,Poema NEWLAND ,,Formula Kite Fem.,3,G,3,,67,42,Trofeo S.A.R Princesa Sofia 2023
38,,,Poema NEWLAND ,,Formula Kite Fem.,5,G,3,,67,42,Trofeo S.A.R Princesa Sofia 2023
39,,,Poema NEWLAND ,,Formula Kite Fem.,2,G,3,,67,42,Trofeo S.A.R Princesa Sofia 2023
40,,,Poema NEWLAND ,,Formula Kite Fem.,5,G,3,,67,42,Trofeo S.A.R Princesa Sofia 2023
41,,,Poema NEWLAND ,,Formula Kite Fem.,STP(6),G,3,,67,42,Trofeo S.A.R Princesa Sofia 2023
42,,,Poema NEWLAND ,,Formula Kite Fem.,5,O,3,,67,42,Trofeo S.A.R Princesa Sofia 2023
43,,,Poema NEWLAND ,,Formula Kite Fem.,(12),O,3,,67,42,Trofeo S.A.R Princesa Sofia 2023
44,,,Poema NEWLAND ,,Formula Kite Fem.,3,O,3,,67,42,Trofeo S.A.R Princesa Sofia 2023
45,,,Poema NEWLAND ,,Formula Kite Fem.,4,O,3,,67,42,Trofeo S.A.R Princesa Sofia 2023
46,,,Poema NEWLAND ,,Formula Kite Fem.,(7),O,3,,67,42,Trofeo S.A.R Princesa Sofia 2023
47,,,Poema NEWLAND ,,Formula Kite Fem.,1,O,3,,67,42,Trofeo S.A.R Princesa Sofia 2023
48,,,Poema NEWLAND ,,Formula Kite Fem.,1,O,3,,67,42,Trofeo S.A.R Princesa Sofia 2023
49,,,Poema NEWLAND ,,Formula Kite Fem.,5,O,3,,67,42,Trofeo S.A.R Princesa Sofia 2023
50,,,Poema NEWLAND ,,Formula Kite Fem.,3,Medal Race,3,,67,42,Trofeo S.A.R Princesa Sofia 2023
51,,,Daniela  MOROZ ,,Formula Kite Fem.,3,G,4,,114,37,Trofeo S.A.R Princesa Sofia 2023
52,,,Daniela  MOROZ ,,Formula Kite Fem.,1,G,4,,114,37,Trofeo S.A.R Princesa Sofia 2023
53,,,Daniela  MOROZ ,,Formula Kite Fem.,UFD(28),G,4,,114,37,Trofeo S.A.R Princesa Sofia 2023
54,,,Daniela  MOROZ ,,Formula Kite Fem.,3,G,4,,114,37,Trofeo S.A.R Princesa Sofia 2023
55,,,Daniela  MOROZ ,,Formula Kite Fem.,(20),G,4,,114,37,Trofeo S.A.R Princesa Sofia 2023
56,,,Daniela  MOROZ ,,Formula Kite Fem.,1,G,4,,114,37,Trofeo S.A.R Princesa Sofia 2023
57,,,Daniela  MOROZ ,,Formula Kite Fem.,1,G,4,,114,37,Trofeo S.A.R Princesa Sofia 2023
58,,,Daniela  MOROZ ,,Formula Kite Fem.,1,G,4,,114,37,Trofeo S.A.R Princesa Sofia 2023
59,,,Daniela  MOROZ ,,Formula Kite Fem.,RET(29),O,4,,114,37,Trofeo S.A.R Princesa Sofia 2023
60,,,Daniela  MOROZ ,,Formula Kite Fem.,3,O,4,,114,37,Trofeo S.A.R Princesa Sofia 2023
61,,,Daniela  MOROZ ,,Formula Kite Fem.,8,O,4,,114,37,Trofeo S.A.R Princesa Sofia 2023
62,,,Daniela  MOROZ ,,Formula Kite Fem.,1,O,4,,114,37,Trofeo S.A.R Princesa Sofia 2023
63,,,Daniela  MOROZ ,,Formula Kite Fem.,3,O,4,,114,37,Trofeo S.A.R Princesa Sofia 2023
64,,,Daniela  MOROZ ,,Formula Kite Fem.,3,O,4,,114,37,Trofeo S.A.R Princesa Sofia 2023
65,,,Daniela  MOROZ ,,Formula Kite Fem.,2,O,4,,114,37,Trofeo S.A.R Princesa Sofia 2023
66,,,Daniela  MOROZ ,,Formula Kite Fem.,3,O,4,,114,37,Trofeo S.A.R Princesa Sofia 2023
67,,,Daniela  MOROZ ,,Formula Kite Fem.,4,Medal Race,4,,114,37,Trofeo S.A.R Princesa Sofia 2023
68,,,Katie DABSON ,,Formula Kite Fem.,1,G,5,,103,56,Trofeo S.A.R Princesa Sofia 2023
69,,,Katie DABSON ,,Formula Kite Fem.,(3),G,5,,103,56,Trofeo S.A.R Princesa Sofia 2023
70,,,Katie DABSON ,,Formula Kite Fem.,2,G,5,,103,56,Trofeo S.A.R Princesa Sofia 2023
71,,,Katie DABSON ,,Formula Kite Fem.,1,G,5,,103,56,Trofeo S.A.R Princesa Sofia 2023
72,,,Katie DABSON ,,Formula Kite Fem.,1,G,5,,103,56,Trofeo S.A.R Princesa Sofia 2023
73,,,Katie DABSON ,,Formula Kite Fem.,3,G,5,,103,56,Trofeo S.A.R Princesa Sofia 2023
74,,,Katie DABSON ,,Formula Kite Fem.,3,G,5,,103,56,Trofeo S.A.R Princesa Sofia 2023
75,,,Katie DABSON ,,Formula Kite Fem.,3,G,5,,103,56,Trofeo S.A.R Princesa Sofia 2023
76,,,Katie DABSON ,,Formula Kite Fem.,(16),O,5,,103,56,Trofeo S.A.R Princesa Sofia 2023
77,,,Katie DABSON ,,Formula Kite Fem.,9,O,5,,103,56,Trofeo S.A.R Princesa Sofia 2023
78,,,Katie DABSON ,,Formula Kite Fem.,5,O,5,,103,56,Trofeo S.A.R Princesa Sofia 2023
79,,,Katie DABSON ,,Formula Kite Fem.,5,O,5,,103,56,Trofeo S.A.R Princesa Sofia 2023
80,,,Katie DABSON ,,Formula Kite Fem.,(28),O,5,,103,56,Trofeo S.A.R Princesa Sofia 2023
81,,,Katie DABSON ,,Formula Kite Fem.,7,O,5,,103,56,Trofeo S.A.R Princesa Sofia 2023
82,,,Katie DABSON ,,Formula Kite Fem.,5,O,5,,103,56,Trofeo S.A.R Princesa Sofia 2023
83,,,Katie DABSON ,,Formula Kite Fem.,6,O,5,,103,56,Trofeo S.A.R Princesa Sofia 2023
84,,,Katie DABSON ,,Formula Kite Fem.,5,Medal Race,5,,103,56,Trofeo S.A.R Princesa Sofia 2023
85,,,Jessie KAMPMAN  ,,Formula Kite Fem.,DNC(28),G,6,,154,68,Trofeo S.A.R Princesa Sofia 2023
86,,,Jessie KAMPMAN  ,,Formula Kite Fem.,9,G,6,,154,68,Trofeo S.A.R Princesa Sofia 2023
87,,,Jessie KAMPMAN  ,,Formula Kite Fem.,1,G,6,,154,68,Trofeo S.A.R Princesa Sofia 2023
88,,,Jessie KAMPMAN  ,,Formula Kite Fem.,2,G,6,,154,68,Trofeo S.A.R Princesa Sofia 2023
89,,,Jessie KAMPMAN  ,,Formula Kite Fem.,2,G,6,,154,68,Trofeo S.A.R Princesa Sofia 2023
90,,,Jessie KAMPMAN  ,,Formula Kite Fem.,3,G,6,,154,68,Trofeo S.A.R Princesa Sofia 2023
91,,,Jessie KAMPMAN  ,,Formula Kite Fem.,2,G,6,,154,68,Trofeo S.A.R Princesa Sofia 2023
92,,,Jessie KAMPMAN  ,,Formula Kite Fem.,1,G,6,,154,68,Trofeo S.A.R Princesa Sofia 2023
93,,,Jessie KAMPMAN  ,,Formula Kite Fem.,DNC(29),O,6,,154,68,Trofeo S.A.R Princesa Sofia 2023
94,,,Jessie KAMPMAN  ,,Formula Kite Fem.,5,O,6,,154,68,Trofeo S.A.R Princesa Sofia 2023
95,,,Jessie KAMPMAN  ,,Formula Kite Fem.,1,O,6,,154,68,Trofeo S.A.R Princesa Sofia 2023
96,,,Jessie KAMPMAN  ,,Formula Kite Fem.,2,O,6,,154,68,Trofeo S.A.R Princesa Sofia 2023
97,,,Jessie KAMPMAN  ,,Formula Kite Fem.,4,O,6,,154,68,Trofeo S.A.R Princesa Sofia 2023
98,,,Jessie KAMPMAN  ,,Formula Kite Fem.,DNC(29),O,6,,154,68,Trofeo S.A.R Princesa Sofia 2023
99,,,Jessie KAMPMAN  ,,Formula Kite Fem.,23,O,6,,154,68,Trofeo S.A.R Princesa Sofia 2023
100,,,Jessie KAMPMAN  ,,Formula Kite Fem.,7,O,6,,154,68,Trofeo S.A.R Princesa Sofia 2023
101,,,Jessie KAMPMAN  ,,Formula Kite Fem.,6,Medal Race,6,,154,68,Trofeo S.A.R Princesa Sofia 2023
102,,,Lily  YOUNG ,,Formula Kite Fem.,3,G,7,,140,72,Trofeo S.A.R Princesa Sofia 2023
103,,,Lily  YOUNG ,,Formula Kite Fem.,3,G,7,,140,72,Trofeo S.A.R Princesa Sofia 2023
104,,,Lily  YOUNG ,,Formula Kite Fem.,UFD(28),G,7,,140,72,Trofeo S.A.R Princesa Sofia 2023
105,,,Lily  YOUNG ,,Formula Kite Fem.,5,G,7,,140,72,Trofeo S.A.R Princesa Sofia 2023
106,,,Lily  YOUNG ,,Formula Kite Fem.,2,G,7,,140,72,Trofeo S.A.R Princesa Sofia 2023
107,,,Lily  YOUNG ,,Formula Kite Fem.,5,G,7,,140,72,Trofeo S.A.R Princesa Sofia 2023
108,,,Lily  YOUNG ,,Formula Kite Fem.,5,G,7,,140,72,Trofeo S.A.R Princesa Sofia 2023
109,,,Lily  YOUNG ,,Formula Kite Fem.,4,G,7,,140,72,Trofeo S.A.R Princesa Sofia 2023
110,,,Lily  YOUNG ,,Formula Kite Fem.,1,O,7,,140,72,Trofeo S.A.R Princesa Sofia 2023
111,,,Lily  YOUNG ,,Formula Kite Fem.,(17),O,7,,140,72,Trofeo S.A.R Princesa Sofia 2023
112,,,Lily  YOUNG ,,Formula Kite Fem.,7,O,7,,140,72,Trofeo S.A.R Princesa Sofia 2023
113,,,Lily  YOUNG ,,Formula Kite Fem.,10,O,7,,140,72,Trofeo S.A.R Princesa Sofia 2023
114,,,Lily  YOUNG ,,Formula Kite Fem.,5,O,7,,140,72,Trofeo S.A.R Princesa Sofia 2023
115,,,Lily  YOUNG ,,Formula Kite Fem.,8,O,7,,140,72,Trofeo S.A.R Princesa Sofia 2023
116,,,Lily  YOUNG ,,Formula Kite Fem.,7,O,7,,140,72,Trofeo S.A.R Princesa Sofia 2023
117,,,Lily  YOUNG ,,Formula Kite Fem.,(23),O,7,,140,72,Trofeo S.A.R Princesa Sofia 2023
118,,,Lily  YOUNG ,,Formula Kite Fem.,7,Medal Race,7,,140,72,Trofeo S.A.R Princesa Sofia 2023
119,,,Annelous LAMMERTS ,,Formula Kite Fem.,2,G,8,,151,106,Trofeo S.A.R Princesa Sofia 2023
120,,,Annelous LAMMERTS ,,Formula Kite Fem.,6,G,8,,151,106,Trofeo S.A.R Princesa Sofia 2023
121,,,Annelous LAMMERTS ,,Formula Kite Fem.,4,G,8,,151,106,Trofeo S.A.R Princesa Sofia 2023
122,,,Annelous LAMMERTS ,,Formula Kite Fem.,4,G,8,,151,106,Trofeo S.A.R Princesa Sofia 2023
123,,,Annelous LAMMERTS ,,Formula Kite Fem.,(12),G,8,,151,106,Trofeo S.A.R Princesa Sofia 2023
124,,,Annelous LAMMERTS ,,Formula Kite Fem.,5,G,8,,151,106,Trofeo S.A.R Princesa Sofia 2023
125,,,Annelous LAMMERTS ,,Formula Kite Fem.,3,G,8,,151,106,Trofeo S.A.R Princesa Sofia 2023
126,,,Annelous LAMMERTS ,,Formula Kite Fem.,6,G,8,,151,106,Trofeo S.A.R Princesa Sofia 2023
127,,,Annelous LAMMERTS ,,Formula Kite Fem.,8,O,8,,151,106,Trofeo S.A.R Princesa Sofia 2023
128,,,Annelous LAMMERTS ,,Formula Kite Fem.,13,O,8,,151,106,Trofeo S.A.R Princesa Sofia 2023
129,,,Annelous LAMMERTS ,,Formula Kite Fem.,9,O,8,,151,106,Trofeo S.A.R Princesa Sofia 2023
