,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Maximilian MAEDER ,,Formula Kite Masc.,1,G,1,,66,19,Trofeo S.A.R Princesa Sofia 2023
1,,,Maximilian MAEDER ,,Formula Kite Masc.,DNC(30),G,1,,66,19,Trofeo S.A.R Princesa Sofia 2023
2,,,Maximilian MAEDER ,,Formula Kite Masc.,STP2,G,1,,66,19,Trofeo S.A.R Princesa Sofia 2023
3,,,Maximilian MAEDER ,,Formula Kite Masc.,2,G,1,,66,19,Trofeo S.A.R Princesa Sofia 2023
4,,,Maximilian MAEDER ,,Formula Kite Masc.,1,G,1,,66,19,Trofeo S.A.R Princesa Sofia 2023
5,,,Maximilian MAEDER ,,Formula Kite Masc.,(3),G,1,,66,19,Trofeo S.A.R Princesa Sofia 2023
6,,,Maximilian MAEDER ,,Formula Kite Masc.,1,G,1,,66,19,Trofeo S.A.R Princesa Sofia 2023
7,,,Maximilian MAEDER ,,Formula Kite Masc.,1,G,1,,66,19,Trofeo S.A.R Princesa Sofia 2023
8,,,Maximilian MAEDER ,,Formula Kite Masc.,(14),O,1,,66,19,Trofeo S.A.R Princesa Sofia 2023
9,,,Maximilian MAEDER ,,Formula Kite Masc.,1,O,1,,66,19,Trofeo S.A.R Princesa Sofia 2023
10,,,Maximilian MAEDER ,,Formula Kite Masc.,1,O,1,,66,19,Trofeo S.A.R Princesa Sofia 2023
11,,,Maximilian MAEDER ,,Formula Kite Masc.,1,O,1,,66,19,Trofeo S.A.R Princesa Sofia 2023
12,,,Maximilian MAEDER ,,Formula Kite Masc.,1,O,1,,66,19,Trofeo S.A.R Princesa Sofia 2023
13,,,Maximilian MAEDER ,,Formula Kite Masc.,3,O,1,,66,19,Trofeo S.A.R Princesa Sofia 2023
14,,,Maximilian MAEDER ,,Formula Kite Masc.,1,O,1,,66,19,Trofeo S.A.R Princesa Sofia 2023
15,,,Maximilian MAEDER ,,Formula Kite Masc.,2,O,1,,66,19,Trofeo S.A.R Princesa Sofia 2023
16,,,Maximilian MAEDER ,,Formula Kite Masc.,1,Medal Race,1,,66,19,Trofeo S.A.R Princesa Sofia 2023
17,,,Connor BAINBRIDGE  ,,Formula Kite Masc.,1,G,2,,82,33,Trofeo S.A.R Princesa Sofia 2023
18,,,Connor BAINBRIDGE  ,,Formula Kite Masc.,2,G,2,,82,33,Trofeo S.A.R Princesa Sofia 2023
19,,,Connor BAINBRIDGE  ,,Formula Kite Masc.,UFD(30),G,2,,82,33,Trofeo S.A.R Princesa Sofia 2023
20,,,Connor BAINBRIDGE  ,,Formula Kite Masc.,1,G,2,,82,33,Trofeo S.A.R Princesa Sofia 2023
21,,,Connor BAINBRIDGE  ,,Formula Kite Masc.,1,G,2,,82,33,Trofeo S.A.R Princesa Sofia 2023
22,,,Connor BAINBRIDGE  ,,Formula Kite Masc.,2,G,2,,82,33,Trofeo S.A.R Princesa Sofia 2023
23,,,Connor BAINBRIDGE  ,,Formula Kite Masc.,2,G,2,,82,33,Trofeo S.A.R Princesa Sofia 2023
24,,,Connor BAINBRIDGE  ,,Formula Kite Masc.,2,G,2,,82,33,Trofeo S.A.R Princesa Sofia 2023
25,,,Connor BAINBRIDGE  ,,Formula Kite Masc.,3,O,2,,82,33,Trofeo S.A.R Princesa Sofia 2023
26,,,Connor BAINBRIDGE  ,,Formula Kite Masc.,2,O,2,,82,33,Trofeo S.A.R Princesa Sofia 2023
27,,,Connor BAINBRIDGE  ,,Formula Kite Masc.,(12),O,2,,82,33,Trofeo S.A.R Princesa Sofia 2023
28,,,Connor BAINBRIDGE  ,,Formula Kite Masc.,4,O,2,,82,33,Trofeo S.A.R Princesa Sofia 2023
29,,,Connor BAINBRIDGE  ,,Formula Kite Masc.,(7),O,2,,82,33,Trofeo S.A.R Princesa Sofia 2023
30,,,Connor BAINBRIDGE  ,,Formula Kite Masc.,6,O,2,,82,33,Trofeo S.A.R Princesa Sofia 2023
31,,,Connor BAINBRIDGE  ,,Formula Kite Masc.,2,O,2,,82,33,Trofeo S.A.R Princesa Sofia 2023
32,,,Connor BAINBRIDGE  ,,Formula Kite Masc.,3,O,2,,82,33,Trofeo S.A.R Princesa Sofia 2023
33,,,Connor BAINBRIDGE  ,,Formula Kite Masc.,2,Medal Race,2,,82,33,Trofeo S.A.R Princesa Sofia 2023
34,,,Axel MAZELLA ,,Formula Kite Masc.,2,G,3,,67,38,Trofeo S.A.R Princesa Sofia 2023
35,,,Axel MAZELLA ,,Formula Kite Masc.,1,G,3,,67,38,Trofeo S.A.R Princesa Sofia 2023
36,,,Axel MAZELLA ,,Formula Kite Masc.,(3),G,3,,67,38,Trofeo S.A.R Princesa Sofia 2023
37,,,Axel MAZELLA ,,Formula Kite Masc.,1,G,3,,67,38,Trofeo S.A.R Princesa Sofia 2023
38,,,Axel MAZELLA ,,Formula Kite Masc.,1,G,3,,67,38,Trofeo S.A.R Princesa Sofia 2023
39,,,Axel MAZELLA ,,Formula Kite Masc.,1,G,3,,67,38,Trofeo S.A.R Princesa Sofia 2023
40,,,Axel MAZELLA ,,Formula Kite Masc.,1,G,3,,67,38,Trofeo S.A.R Princesa Sofia 2023
41,,,Axel MAZELLA ,,Formula Kite Masc.,1,G,3,,67,38,Trofeo S.A.R Princesa Sofia 2023
42,,,Axel MAZELLA ,,Formula Kite Masc.,(7),O,3,,67,38,Trofeo S.A.R Princesa Sofia 2023
43,,,Axel MAZELLA ,,Formula Kite Masc.,4,O,3,,67,38,Trofeo S.A.R Princesa Sofia 2023
44,,,Axel MAZELLA ,,Formula Kite Masc.,5,O,3,,67,38,Trofeo S.A.R Princesa Sofia 2023
45,,,Axel MAZELLA ,,Formula Kite Masc.,2,O,3,,67,38,Trofeo S.A.R Princesa Sofia 2023
46,,,Axel MAZELLA ,,Formula Kite Masc.,6,O,3,,67,38,Trofeo S.A.R Princesa Sofia 2023
47,,,Axel MAZELLA ,,Formula Kite Masc.,(19),O,3,,67,38,Trofeo S.A.R Princesa Sofia 2023
48,,,Axel MAZELLA ,,Formula Kite Masc.,6,O,3,,67,38,Trofeo S.A.R Princesa Sofia 2023
49,,,Axel MAZELLA ,,Formula Kite Masc.,4,O,3,,67,38,Trofeo S.A.R Princesa Sofia 2023
50,,,Axel MAZELLA ,,Formula Kite Masc.,3,Medal Race,3,,67,38,Trofeo S.A.R Princesa Sofia 2023
51,,,Max NOCHER ,,Formula Kite Masc.,3,G,4,,78,38,Trofeo S.A.R Princesa Sofia 2023
52,,,Max NOCHER ,,Formula Kite Masc.,(5),G,4,,78,38,Trofeo S.A.R Princesa Sofia 2023
53,,,Max NOCHER ,,Formula Kite Masc.,2,G,4,,78,38,Trofeo S.A.R Princesa Sofia 2023
54,,,Max NOCHER ,,Formula Kite Masc.,1,G,4,,78,38,Trofeo S.A.R Princesa Sofia 2023
55,,,Max NOCHER ,,Formula Kite Masc.,2,G,4,,78,38,Trofeo S.A.R Princesa Sofia 2023
56,,,Max NOCHER ,,Formula Kite Masc.,1,G,4,,78,38,Trofeo S.A.R Princesa Sofia 2023
57,,,Max NOCHER ,,Formula Kite Masc.,2,G,4,,78,38,Trofeo S.A.R Princesa Sofia 2023
58,,,Max NOCHER ,,Formula Kite Masc.,2,G,4,,78,38,Trofeo S.A.R Princesa Sofia 2023
59,,,Max NOCHER ,,Formula Kite Masc.,2,O,4,,78,38,Trofeo S.A.R Princesa Sofia 2023
60,,,Max NOCHER ,,Formula Kite Masc.,RDG8,O,4,,78,38,Trofeo S.A.R Princesa Sofia 2023
61,,,Max NOCHER ,,Formula Kite Masc.,2,O,4,,78,38,Trofeo S.A.R Princesa Sofia 2023
62,,,Max NOCHER ,,Formula Kite Masc.,(20),O,4,,78,38,Trofeo S.A.R Princesa Sofia 2023
63,,,Max NOCHER ,,Formula Kite Masc.,3,O,4,,78,38,Trofeo S.A.R Princesa Sofia 2023
64,,,Max NOCHER ,,Formula Kite Masc.,2,O,4,,78,38,Trofeo S.A.R Princesa Sofia 2023
65,,,Max NOCHER ,,Formula Kite Masc.,4,O,4,,78,38,Trofeo S.A.R Princesa Sofia 2023
66,,,Max NOCHER ,,Formula Kite Masc.,(15),O,4,,78,38,Trofeo S.A.R Princesa Sofia 2023
67,,,Max NOCHER ,,Formula Kite Masc.,4,Medal Race,4,,78,38,Trofeo S.A.R Princesa Sofia 2023
68,,,Martin DOLENC ,,Formula Kite Masc.,4,G,5,,78,49,Trofeo S.A.R Princesa Sofia 2023
69,,,Martin DOLENC ,,Formula Kite Masc.,2,G,5,,78,49,Trofeo S.A.R Princesa Sofia 2023
70,,,Martin DOLENC ,,Formula Kite Masc.,7,G,5,,78,49,Trofeo S.A.R Princesa Sofia 2023
71,,,Martin DOLENC ,,Formula Kite Masc.,3,G,5,,78,49,Trofeo S.A.R Princesa Sofia 2023
72,,,Martin DOLENC ,,Formula Kite Masc.,(9),G,5,,78,49,Trofeo S.A.R Princesa Sofia 2023
73,,,Martin DOLENC ,,Formula Kite Masc.,2,G,5,,78,49,Trofeo S.A.R Princesa Sofia 2023
74,,,Martin DOLENC ,,Formula Kite Masc.,2,G,5,,78,49,Trofeo S.A.R Princesa Sofia 2023
75,,,Martin DOLENC ,,Formula Kite Masc.,2,G,5,,78,49,Trofeo S.A.R Princesa Sofia 2023
76,,,Martin DOLENC ,,Formula Kite Masc.,(9),O,5,,78,49,Trofeo S.A.R Princesa Sofia 2023
77,,,Martin DOLENC ,,Formula Kite Masc.,3,O,5,,78,49,Trofeo S.A.R Princesa Sofia 2023
78,,,Martin DOLENC ,,Formula Kite Masc.,8,O,5,,78,49,Trofeo S.A.R Princesa Sofia 2023
79,,,Martin DOLENC ,,Formula Kite Masc.,3,O,5,,78,49,Trofeo S.A.R Princesa Sofia 2023
80,,,Martin DOLENC ,,Formula Kite Masc.,2,O,5,,78,49,Trofeo S.A.R Princesa Sofia 2023
81,,,Martin DOLENC ,,Formula Kite Masc.,1,O,5,,78,49,Trofeo S.A.R Princesa Sofia 2023
82,,,Martin DOLENC ,,Formula Kite Masc.,(11),O,5,,78,49,Trofeo S.A.R Princesa Sofia 2023
83,,,Martin DOLENC ,,Formula Kite Masc.,5,O,5,,78,49,Trofeo S.A.R Princesa Sofia 2023
84,,,Martin DOLENC ,,Formula Kite Masc.,5,Medal Race,5,,78,49,Trofeo S.A.R Princesa Sofia 2023
85,,,Toni VODIŠEK ,,Formula Kite Masc.,2,G,6,,130,55,Trofeo S.A.R Princesa Sofia 2023
86,,,Toni VODIŠEK ,,Formula Kite Masc.,1,G,6,,130,55,Trofeo S.A.R Princesa Sofia 2023
87,,,Toni VODIŠEK ,,Formula Kite Masc.,1,G,6,,130,55,Trofeo S.A.R Princesa Sofia 2023
88,,,Toni VODIŠEK ,,Formula Kite Masc.,2,G,6,,130,55,Trofeo S.A.R Princesa Sofia 2023
89,,,Toni VODIŠEK ,,Formula Kite Masc.,2,G,6,,130,55,Trofeo S.A.R Princesa Sofia 2023
