,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Emma WILSON ,,IQFOIL Fem.,(9),G,1,,99,54,Trofeo S.A.R Princesa Sofia 2023
1,,,Emma WILSON ,,IQFOIL Fem.,3,G,1,,99,54,Trofeo S.A.R Princesa Sofia 2023
2,,,Emma WILSON ,,IQFOIL Fem.,1,G,1,,99,54,Trofeo S.A.R Princesa Sofia 2023
3,,,Emma WILSON ,,IQFOIL Fem.,1,G,1,,99,54,Trofeo S.A.R Princesa Sofia 2023
4,,,Emma WILSON ,,IQFOIL Fem.,4,G,1,,99,54,Trofeo S.A.R Princesa Sofia 2023
5,,,Emma WILSON ,,IQFOIL Fem.,1,G,1,,99,54,Trofeo S.A.R Princesa Sofia 2023
6,,,Emma WILSON ,,IQFOIL Fem.,4,G,1,,99,54,Trofeo S.A.R Princesa Sofia 2023
7,,,Emma WILSON ,,IQFOIL Fem.,1,G,1,,99,54,Trofeo S.A.R Princesa Sofia 2023
8,,,Emma WILSON ,,IQFOIL Fem.,(5),G,1,,99,54,Trofeo S.A.R Princesa Sofia 2023
9,,,Emma WILSON ,,IQFOIL Fem.,(31),O,1,,99,54,Trofeo S.A.R Princesa Sofia 2023
10,,,Emma WILSON ,,IQFOIL Fem.,5,O,1,,99,54,Trofeo S.A.R Princesa Sofia 2023
11,,,Emma WILSON ,,IQFOIL Fem.,27,O,1,,99,54,Trofeo S.A.R Princesa Sofia 2023
12,,,Emma WILSON ,,IQFOIL Fem.,3,O,1,,99,54,Trofeo S.A.R Princesa Sofia 2023
13,,,Emma WILSON ,,IQFOIL Fem.,2,O,1,,99,54,Trofeo S.A.R Princesa Sofia 2023
14,,,Emma WILSON ,,IQFOIL Fem.,1,O,1,,99,54,Trofeo S.A.R Princesa Sofia 2023
15,,,Emma WILSON ,,IQFOIL Fem.,1,O,1,,99,54,Trofeo S.A.R Princesa Sofia 2023
16,,,Emma WILSON ,,IQFOIL Fem.,1,Medal Race,1,,99,54,Trofeo S.A.R Princesa Sofia 2023
17,,,Lucie BELBEOCH ,,IQFOIL Fem.,13,G,2,,138,91,Trofeo S.A.R Princesa Sofia 2023
18,,,Lucie BELBEOCH ,,IQFOIL Fem.,9,G,2,,138,91,Trofeo S.A.R Princesa Sofia 2023
19,,,Lucie BELBEOCH ,,IQFOIL Fem.,5,G,2,,138,91,Trofeo S.A.R Princesa Sofia 2023
20,,,Lucie BELBEOCH ,,IQFOIL Fem.,5,G,2,,138,91,Trofeo S.A.R Princesa Sofia 2023
21,,,Lucie BELBEOCH ,,IQFOIL Fem.,(18),G,2,,138,91,Trofeo S.A.R Princesa Sofia 2023
