,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,THAMSOONTORN/KHEMKAEW,,470,18,G,49,,210,181,World Championship 2023
1,,,GIANNOULIS/GIANNOULI,,470,32,G,58,,258,226,World Championship 2023
2,,,JERWOOD/NICHOLAS,,470,10,G,36,,135,102,World Championship 2023
3,,,SPANAKI/SPANAKIS,,470,2,G,48,,211,178,World Championship 2023
4,,,BRISTOW/TAYLOR,,470,5,G,38,,137,116,World Championship 2023
5,,,RENNIE-YOUNGER/McGLASHAN,,470,15,G,60,,262,229,World Championship 2023
6,,,KONGARA/SHEKHAR,,470,12,G,56,,249,216,World Championship 2023
7,,,VERMA/SHARMA,,470,23,G,52,,218,190,World Championship 2023
8,,,JACOBSEN/FORSLUND,,470,17,G,59,,262,229,World Championship 2023
9,,,SCOTT/HUME,,470,32,G,53,,224,192,World Championship 2023
10,,,PASZEK/LASKOWSKA,,470,19,G,54,,223,195,World Championship 2023
11,,,SAMARZIJA/SCHEIDL,,470,25,G,62,,285,252,World Championship 2023
12,,,KORSAK/BORYS,,470,27,G,47,,203,173,World Championship 2023
13,,,JACKSON/HIGGINS,,470,20,G,50,,216,185,World Championship 2023
14,,,GAGO/PIRES,,470,4,G,34,,111,86,World Championship 2023
15,,,RUIZ PONCE/GIL ROIG,,470,16,G,51,,219,187,World Championship 2023
16,,,PHELAN/BASTIAN,,470,32,G,63,,290,257,World Championship 2023
17,,,WORNALL/STREET,,470,22,G,57,,257,225,World Championship 2023
18,,,KAMAN SHAH/NOOR JAMALI,,470,26,G,43,,178,149,World Championship 2023
19,,,PENNANEAC'H/WILLIOT,,470,6,G,42,,174,142,World Championship 2023
20,,,FAHRNI/SCHUPBACH,,470,3,G,40,,163,138,World Championship 2023
21,,,ZEGERS/van VUGT,,470,1,G,35,,116,87,World Championship 2023
22,,,PETRAITYTE/JURGELIONIS,,470,32,G,64,,338,305,World Championship 2023
23,,,PAWLOWSKA/SZLIJA,,470,21,G,46,,193,160,World Championship 2023
24,,,PAPPA/MICHALOPOULOS,,470,13,G,39,,158,134,World Championship 2023
25,,,DONNER/HABERL,,470,11,G,45,,179,151,World Championship 2023
26,,,di SALLE/BELLICO,,470,9,G,41,,173,141,World Championship 2023
27,,,DIAS FERREIRA DUQUE/MARTINS,,470,7,G,44,,183,151,World Championship 2023
28,,,FRAS/SKERLAVAJ,,470,24,G,61,,267,237,World Championship 2023
29,,,BERTA/FESTO,,470,8,G,37,,131,105,World Championship 2023
30,,,COWLES/HUGHES,,470,14,G,55,,239,206,World Championship 2023
31,,,JACKSON/HIGGINS,,470,8,G,50,,216,185,World Championship 2023
32,,,KONGARA/SHEKHAR,,470,25,G,56,,249,216,World Championship 2023
33,,,KAMAN SHAH/NOOR JAMALI,,470,17,G,43,,178,149,World Championship 2023
34,,,RUIZ PONCE/GIL ROIG,,470,24,G,51,,219,187,World Championship 2023
35,,,PHELAN/BASTIAN,,470,28,G,63,,290,257,World Championship 2023
36,,,PETRAITYTE/JURGELIONIS,,470,29,G,64,,338,305,World Championship 2023
37,,,GIANNOULIS/GIANNOULI,,470,20,G,58,,258,226,World Championship 2023
38,,,DONNER/HABERL,,470,19,G,45,,179,151,World Championship 2023
39,,,PAWLOWSKA/SZLIJA,,470,21,G,46,,193,160,World Championship 2023
40,,,PAPPA/MICHALOPOULOS,,470,16,G,39,,158,134,World Championship 2023
41,,,BERTA/FESTO,,470,5,G,37,,131,105,World Championship 2023
42,,,THAMSOONTORN/KHEMKAEW,,470,27,G,49,,210,181,World Championship 2023
43,,,COWLES/HUGHES,,470,18,G,55,,239,206,World Championship 2023
44,,,KORSAK/BORYS,,470,26,G,47,,203,173,World Championship 2023
45,,,WORNALL/STREET,,470,7,G,57,,257,225,World Championship 2023
46,,,BRISTOW/TAYLOR,,470,3,G,38,,137,116,World Championship 2023
47,,,FRAS/SKERLAVAJ,,470,23,G,61,,267,237,World Championship 2023
48,,,SPANAKI/SPANAKIS,,470,10,G,48,,211,178,World Championship 2023
49,,,PASZEK/LASKOWSKA,,470,22,G,54,,223,195,World Championship 2023
50,,,JERWOOD/NICHOLAS,,470,2,G,36,,135,102,World Championship 2023
51,,,PENNANEAC'H/WILLIOT,,470,9,G,42,,174,142,World Championship 2023
52,,,RENNIE-YOUNGER/McGLASHAN,,470,13,G,60,,262,229,World Championship 2023
53,,,DIAS FERREIRA DUQUE/MARTINS,,470,12,G,44,,183,151,World Championship 2023
54,,,VERMA/SHARMA,,470,11,G,52,,218,190,World Championship 2023
55,,,SAMARZIJA/SCHEIDL,,470,30,G,62,,285,252,World Championship 2023
56,,,GAGO/PIRES,,470,1,G,34,,111,86,World Championship 2023
57,,,JACOBSEN/FORSLUND,,470,32,G,59,,262,229,World Championship 2023
58,,,ZEGERS/van VUGT,,470,6,G,35,,116,87,World Championship 2023
59,,,di SALLE/BELLICO,,470,4,G,41,,173,141,World Championship 2023
60,,,FAHRNI/SCHUPBACH,,470,15,G,40,,163,138,World Championship 2023
61,,,SCOTT/HUME,,470,14,G,53,,224,192,World Championship 2023
62,,,NORDSTROM/BORNARTH,,470,28,G,21,,176,144,World Championship 2023
63,,,MERMOD/SIEGENTHALER,,470,7,G,12,,124,101,World Championship 2023
64,,,le CLECH/RETORNAZ,,470,25,G,30,,227,196,World Championship 2023
65,,,DIESCH/MARKFORT,,470,4,G,8,,122,98,World Championship 2023
66,,,BALLESTER BOVER/WIZNER PEREZ-la FUENTE,,470,32,G,29,,215,182,World Championship 2023
67,,,LINCK DUARTE/BUSATO BARBACHAN,,470,22,G,32,,243,210,World Championship 2023
68,,,DAHLBERG/KARLSSON,,470,23,G,6,,118,95,World Championship 2023
69,,,DAHNKE/CIPRA,,470,10,G,26,,194,161,World Championship 2023
70,,,McNAY/DALLMAN-WEISS,,470,16,G,18,,161,135,World Championship 2023
71,,,TAKAYAMA/MORITA,,470,14,G,24,,191,160,World Championship 2023
72,,,LEIGH/ORR,,470,30,G,25,,191,161,World Championship 2023
73,,,ISOZAKI/SEKI,,470,6,G,3,,112,91,World Championship 2023
74,,,OKADA/YOSHIOKA,,470,5,G,1,,74,50,World Championship 2023
75,,,TULCALI/DANISMEND,,470,21,G,31,,235,202,World Championship 2023
76,,,PACAUD/de GENNES,,470,29,G,14,,142,113,World Championship 2023
77,,,WRIGLEY/HARRIS,,470,1,G,15,,148,115,World Championship 2023
78,,,WINKEL/WINKEL,,470,12,G,5,,110,94,World Championship 2023
