,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Lucy KENYON,,IQFOIL Fem.,29.0,G,68,,380.0,273.0,World Championship 2023
1,,,Aimee BRIGHT,,IQFOIL Fem.,34.0,G,66,,377.0,264.0,World Championship 2023
2,,,Katerina ALTMANNOVA,,IQFOIL Fem.,36.0,G,57,,326.0,214.0,World Championship 2023
3,,,Andrea TORRES FULLANA,,IQFOIL Fem.,8.0,G,49,,304.0,182.0,World Championship 2023
4,,,Catrin WILLIAMS,,IQFOIL Fem.,22.0,G,71,,409.0,282.0,World Championship 2023
5,,,Cecilia Haslund ORESKOV,,IQFOIL Fem.,33.0,G,84,,516.0,387.0,World Championship 2023
6,,,Anna WEIS,,IQFOIL Fem.,45.0,G,80,,484.0,349.0,World Championship 2023
7,,,Rebecca HELLER,,IQFOIL Fem.,41.0,G,87,,594.0,457.0,World Championship 2023
8,,,Sara SZENTIVANYI,,IQFOIL Fem.,45.0,G,86,,589.0,450.0,World Championship 2023
9,,,Kristyna PINOSOVA,,IQFOIL Fem.,1.0,G,55,,308.0,211.0,World Championship 2023
10,,,Lena ERDIL,,IQFOIL Fem.,14.0,G,47,,247.0,166.0,World Championship 2023
11,,,Merve VATAN,,IQFOIL Fem.,9.0,G,52,,311.0,204.0,World Championship 2023
12,,,Katya Ida COELHO,,IQFOIL Fem.,45.0,G,88,,636.0,497.0,World Championship 2023
13,,,Lorena ABICHT,,IQFOIL Fem.,30.0,G,79,,477.0,348.0,World Championship 2023
14,,,Giovanna PRADA,,IQFOIL Fem.,20.0,G,67,,379.0,267.0,World Championship 2023
15,,,Samantha COSTIN,,IQFOIL Fem.,28.0,G,63,,357.0,258.0,World Championship 2023
16,,,Aleksandra BLINNIKKA,,IQFOIL Fem.,6.0,G,56,,315.0,212.0,World Championship 2023
17,,,Dominique STATER,,IQFOIL Fem.,11.0,G,50,,314.8,194.8,World Championship 2023
18,,,Johanna HJERTBERG,,IQFOIL Fem.,2.0,G,58,,349.0,230.0,World Championship 2023
19,,,YAMABE Miki,,IQFOIL Fem.,37.0,G,85,,515.0,388.0,World Championship 2023
20,,,Ingrid PUUSTA,,IQFOIL Fem.,12.0,G,53,,314.0,207.0,World Championship 2023
21,,,Alisa ENGELMANN,,IQFOIL Fem.,3.0,G,45,,257.0,157.0,World Championship 2023
22,,,Bryn MULLER,,IQFOIL Fem.,40.0,G,74,,446.0,318.0,World Championship 2023
23,,,Natasa LAPPA,,IQFOIL Fem.,5.0,G,48,,271.0,177.0,World Championship 2023
24,,,Dilara URALP PALOMBO,,IQFOIL Fem.,4.0,G,54,,313.0,210.0,World Championship 2023
25,,,Stella BILGER,,IQFOIL Fem.,24.0,G,82,,494.0,376.0,World Championship 2023
26,,,Helena WANSER,,IQFOIL Fem.,25.0,G,70,,384.0,281.0,World Championship 2023
27,,,Sofie HAMMEKEN,,IQFOIL Fem.,16.0,G,72,,425.0,312.0,World Championship 2023
28,,,WATANABE Junna,,IQFOIL Fem.,31.0,G,75,,434.0,319.0,World Championship 2023
29,,,Emma Viktoria MILLEND,,IQFOIL Fem.,23.0,G,62,,372.0,245.0,World Championship 2023
30,,,Marion COUTURIER,,IQFOIL Fem.,19.0,G,60,,363.0,237.0,World Championship 2023
31,,,Danae PONTIFEX,,IQFOIL Fem.,27.0,G,64,,374.0,260.0,World Championship 2023
32,,,Cristina ORTIZ VIVAS,,IQFOIL Fem.,35.0,G,83,,510.0,385.0,World Championship 2023
33,,,Manon BERGER,,IQFOIL Fem.,13.0,G,77,,466.0,336.0,World Championship 2023
34,,,Danicka SAILER,,IQFOIL Fem.,21.0,G,65,,388.0,263.0,World Championship 2023
35,,,Lina ERZEN,,IQFOIL Fem.,26.0,G,51,,310.0,196.0,World Championship 2023
36,,,MA Kwan Ching,,IQFOIL Fem.,7.0,G,46,,254.0,161.0,World Championship 2023
37,,,Fianne van den BRULE,,IQFOIL Fem.,32.0,G,69,,385.0,280.0,World Championship 2023
38,,,ONISHI Fujiko,,IQFOIL Fem.,15.0,G,59,,331.0,233.0,World Championship 2023
39,,,Elena SANDERA,,IQFOIL Fem.,39.0,G,81,,496.0,357.0,World Championship 2023
40,,,Jennie ROBERTS,,IQFOIL Fem.,18.0,G,61,,352.0,245.0,World Championship 2023
41,,,Sofia HAMALAINEN,,IQFOIL Fem.,38.0,G,78,,461.0,341.0,World Championship 2023
42,,,Aikaterini DIVARI,,IQFOIL Fem.,17.0,G,73,,433.0,313.0,World Championship 2023
43,,,Bruna MARTINELLI CESARIO de MELLO,,IQFOIL Fem.,10.0,G,76,,439.0,326.0,World Championship 2023
44,,,Daniela PELEG,,IQFOIL Fem.,34.0,G,29,,257.0,170.0,World Championship 2023
45,,,TAN Xialing,,IQFOIL Fem.,26.0,G,30,,269.0,182.0,World Championship 2023
46,,,Tuva OPPEDAL,,IQFOIL Fem.,41.0,G,35,,315.0,208.0,World Championship 2023
47,,,Lilian de GEUS,,IQFOIL Fem.,21.0,G,21,,205.0,134.0,World Championship 2023
48,,,Mina MOBEKK,,IQFOIL Fem.,12.0,G,4,,142.0,78.0,World Championship 2023
49,,,Laerke BUHL-HANSEN,,IQFOIL Fem.,28.0,G,34,,317.5,206.5,World Championship 2023
50,,,YAN Zheng,,IQFOIL Fem.,9.0,G,8,,115.0,65.0,World Championship 2023
51,,,Marta MAGGETTI,,IQFOIL Fem.,45.0,G,10,,116.0,50.0,World Championship 2023
52,,,Palma CARGO,,IQFOIL Fem.,24.0,G,14,,203.0,103.0,World Championship 2023
53,,,Helle OPPEDAL,,IQFOIL Fem.,27.0,G,26,,266.0,163.0,World Championship 2023
54,,,Shahar RESHEF,,IQFOIL Fem.,13.0,G,13,,218.0,102.0,World Championship 2023
55,,,Manon PIANAZZA,,IQFOIL Fem.,32.0,G,31,,275.0,192.0,World Championship 2023
56,,,LU Yunxiu,,IQFOIL Fem.,36.0,G,44,,389.0,273.0,World Championship 2023
57,,,Sara WENNEKES,,IQFOIL Fem.,30.0,G,11,,219.0,95.0,World Championship 2023
58,,,Emma WILSON,,IQFOIL Fem.,1.0,G,3,,51.0,27.0,World Championship 2023
59,,,Zofia NOCETI KLEPACKA,,IQFOIL Fem.,17.0,G,38,,323.6,225.6,World Championship 2023
60,,,HUANG Xianting,,IQFOIL Fem.,23.0,G,17,,191.0,118.0,World Championship 2023
61,,,Islay WATSON,,IQFOIL Fem.,18.0,G,23,,267.0,150.0,World Championship 2023
62,,,Giorgia SPECIALE,,IQFOIL Fem.,6.0,G,16,,186.0,114.0,World Championship 2023
63,,,Katerina SVIKOVA,,IQFOIL Fem.,35.0,G,40,,327.0,237.0,World Championship 2023
64,,,Barbora SVIKOVA,,IQFOIL Fem.,31.0,G,36,,308.0,219.0,World Championship 2023
65,,,Delphine COUSIN,,IQFOIL Fem.,10.0,G,24,,262.0,157.0,World Championship 2023
66,,,Maria Belen BAZO GERMAN,,IQFOIL Fem.,19.0,G,25,,263.0,161.0,World Championship 2023
67,,,Shahar TIBI,,IQFOIL Fem.,5.0,G,1,,74.0,38.0,World Championship 2023
