,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Robert KUBIN,,IQFOIL Masc.,47.0,G,66,,389.0,256.0,World Championship 2023
1,,,KURAMOCHI Daiya,,IQFOIL Masc.,17.0,G,81,,476.0,347.0,World Championship 2023
2,,,Matteo BENZ,,IQFOIL Masc.,8.0,G,50,,269.0,171.0,World Championship 2023
3,,,Nimrod MASHIAH,,IQFOIL Masc.,10.0,G,54,,298.0,185.0,World Championship 2023
4,,,Mate BORS,,IQFOIL Masc.,38.0,G,86,,518.0,381.0,World Championship 2023
5,,,Romek ROOLAHT,,IQFOIL Masc.,18.0,G,67,,364.0,256.0,World Championship 2023
6,,,Jack MARQUARDT,,IQFOIL Masc.,33.0,G,87,,533.0,394.0,World Championship 2023
7,,,Sebastian SCHARER,,IQFOIL Masc.,7.0,G,60,,343.0,216.0,World Championship 2023
8,,,Vidar NYSTROM,,IQFOIL Masc.,29.0,G,70,,413.0,283.0,World Championship 2023
9,,,Bernat TOMAS CARDELL,,IQFOIL Masc.,4.0,G,48,,213.6,151.6,World Championship 2023
10,,,Luka MRATOVIC,,IQFOIL Masc.,6.0,G,58,,325.0,207.0,World Championship 2023
11,,,Oleksandr MENDELENKO,,IQFOIL Masc.,47.0,G,90,,550.0,411.0,World Championship 2023
12,,,Jeronimo ABOGADO IRISH STEPHENSON,,IQFOIL Masc.,37.0,G,83,,486.0,365.0,World Championship 2023
13,,,Noah LYONS,,IQFOIL Masc.,15.0,G,55,,305.1,187.1,World Championship 2023
14,,,Samuel PEREZ,,IQFOIL Masc.,47.0,G,78,,451.0,318.0,World Championship 2023
15,,,Niklas LILLELUND,,IQFOIL Masc.,2.0,G,56,,338.0,201.0,World Championship 2023
16,,,Jonne HEIMANN,,IQFOIL Masc.,31.0,G,65,,383.0,254.0,World Championship 2023
17,,,Pedro PASCUAL,,IQFOIL Masc.,11.0,G,68,,370.0,259.0,World Championship 2023
18,,,David DRDA,,IQFOIL Masc.,25.0,G,79,,469.4,334.4,World Championship 2023
19,,,Leonidas TSORTANIDIS,,IQFOIL Masc.,1.0,G,51,,248.0,171.0,World Championship 2023
20,,,William McMILLAN,,IQFOIL Masc.,21.0,G,74,,435.0,309.0,World Championship 2023
21,,,ANAMI Tomonori,,IQFOIL Masc.,14.0,G,75,,432.0,312.0,World Championship 2023
22,,,KIKABHOY Asgar,,IQFOIL Masc.,20.0,G,72,,429.9,297.9,World Championship 2023
23,,,Geronimo NORES,,IQFOIL Masc.,13.0,G,52,,283.0,173.0,World Championship 2023
24,,,Simon GOMEZ ORTIZ,,IQFOIL Masc.,30.0,G,82,,474.0,349.0,World Championship 2023
25,,,Sachin GANESH,,IQFOIL Masc.,47.0,G,93,,623.1,480.1,World Championship 2023
26,,,Renar ROOLAHT,,IQFOIL Masc.,12.0,G,62,,343.0,230.0,World Championship 2023
27,,,CHENG Ching Yin,,IQFOIL Masc.,22.0,G,53,,315.0,180.0,World Championship 2023
28,,,Martins DZIRNIEKS,,IQFOIL Masc.,32.0,G,88,,537.0,395.0,World Championship 2023
29,,,Bence SANTA,,IQFOIL Masc.,19.0,G,76,,430.0,313.0,World Championship 2023
30,,,Val ERZEN,,IQFOIL Masc.,23.0,G,63,,339.0,240.0,World Championship 2023
31,,,Mehdi GUEMBRI,,IQFOIL Masc.,47.0,G,92,,624.0,475.0,World Championship 2023
32,,,Iakovos CHRISTOFIDES,,IQFOIL Masc.,24.0,G,73,,421.0,300.0,World Championship 2023
33,,,Thomas BROUCKE,,IQFOIL Masc.,47.0,G,80,,457.0,344.0,World Championship 2023
34,,,Jerome Kumar SAVARIMUTHU,,IQFOIL Masc.,34.0,G,91,,580.0,437.0,World Championship 2023
35,,,Abdulmajeed AL-HADHRAMI,,IQFOIL Masc.,36.0,G,85,,517.0,373.0,World Championship 2023
36,,,Patrick HAYBITTLE,,IQFOIL Masc.,5.0,G,59,,321.0,210.0,World Championship 2023
37,,,Vyron KOKKALANIS,,IQFOIL Masc.,26.0,G,71,,426.0,288.0,World Championship 2023
38,,,Malik HOVELING,,IQFOIL Masc.,27.0,G,69,,406.0,269.0,World Championship 2023
39,,,Dayne Edgar Agnelo COELHO,,IQFOIL Masc.,35.0,G,89,,539.0,398.0,World Championship 2023
40,,,Theo PETER,,IQFOIL Masc.,47.0,G,84,,496.0,365.0,World Championship 2023
41,,,Alexander TEMKO,,IQFOIL Masc.,47.0,G,61,,326.0,221.0,World Championship 2023
42,,,Andreas CARIOLOU,,IQFOIL Masc.,28.0,G,64,,343.0,251.0,World Championship 2023
43,,,Karel LAVICKY,,IQFOIL Masc.,16.0,G,77,,457.0,314.0,World Championship 2023
44,,,TOMIZAWA Makoto,,IQFOIL Masc.,9.0,G,57,,288.0,202.0,World Championship 2023
45,,,Jorge ARANZUEQUE CAMPELLO,,IQFOIL Masc.,3.0,G,49,,255.0,165.0,World Championship 2023
46,,,Sebastian SCHARER,,IQFOIL Masc.,25.0,G,60,,343.0,216.0,World Championship 2023
47,,,Tom REUVENY,,IQFOIL Masc.,1.0,G,17,,213.0,123.0,World Championship 2023
48,,,Michal POLAK,,IQFOIL Masc.,11.0,G,28,,298.0,175.0,World Championship 2023
49,,,Bence SANTA,,IQFOIL Masc.,51.0,G,76,,430.0,313.0,World Championship 2023
50,,,Nicolas GOYARD,,IQFOIL Masc.,9.0,G,15,,221.0,117.0,World Championship 2023
51,,,Joost VINK,,IQFOIL Masc.,15.0,G,30,,263.0,185.0,World Championship 2023
52,,,ANAMI Tomonori,,IQFOIL Masc.,27.0,G,75,,432.0,312.0,World Championship 2023
53,,,Nimrod MASHIAH,,IQFOIL Masc.,17.0,G,54,,298.0,185.0,World Championship 2023
54,,,Yoav OMER,,IQFOIL Masc.,5.0,G,6,,133.0,78.0,World Championship 2023
55,,,Pedro PASCUAL,,IQFOIL Masc.,37.0,G,68,,370.0,259.0,World Championship 2023
56,,,Kiran BADLOE,,IQFOIL Masc.,39.0,G,46,,405.0,279.0,World Championship 2023
57,,,Alexander TEMKO,,IQFOIL Masc.,21.0,G,61,,326.0,221.0,World Championship 2023
58,,,Sachin GANESH,,IQFOIL Masc.,41.0,G,93,,623.1,480.1,World Championship 2023
59,,,Thomas GOYARD,,IQFOIL Masc.,3.0,G,10,,192.0,82.0,World Championship 2023
60,,,Jeronimo ABOGADO IRISH STEPHENSON,,IQFOIL Masc.,35.0,G,83,,486.0,365.0,World Championship 2023
61,,,David DRDA,,IQFOIL Masc.,30.0,G,79,,469.4,334.4,World Championship 2023
62,,,Mate BORS,,IQFOIL Masc.,33.0,G,86,,518.0,381.0,World Championship 2023
63,,,Endre FUNNEMARK,,IQFOIL Masc.,19.0,G,32,,289.0,191.0,World Championship 2023
64,,,Jack MARQUARDT,,IQFOIL Masc.,31.0,G,87,,533.0,394.0,World Championship 2023
